RAM 1561/3964MB (lfb 4x4MB) SWAP 492/6078MB (cached 6MB) IRAM 0/252kB(lfb 252kB) CPU [8%@1479,9%@1479,18%@1479,12%@1479] EMC_FREQ 1%@1600 GR3D_FREQ 0%@921 APE 25 PLL@32C CPU@34.5C iwlwifi@33C PMIC@50C GPU@32.5C AO@43.5C thermal@33.75C POM_5V_IN 2494/2494 POM_5V_GPU 122/122 POM_5V_CPU 530/530
RAM 1561/3964MB (lfb 4x4MB) SWAP 492/6078MB (cached 6MB) IRAM 0/252kB(lfb 252kB) CPU [3%@1479,3%@1479,1%@1479,1%@1479] EMC_FREQ 1%@1600 GR3D_FREQ 0%@921 APE 25 PLL@32.5C CPU@35.5C iwlwifi@33C PMIC@50C GPU@32.5C AO@43.5C thermal@33.5C POM_5V_IN 2889/2691 POM_5V_GPU 122/122 POM_5V_CPU 934/732
RAM 1562/3964MB (lfb 4x4MB) SWAP 492/6078MB (cached 6MB) IRAM 0/252kB(lfb 252kB) CPU [2%@1479,5%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@921 APE 25 PLL@32.5C CPU@34C iwlwifi@34C PMIC@50C GPU@32.5C AO@43.5C thermal@33.5C POM_5V_IN 1931/2438 POM_5V_GPU 123/122 POM_5V_CPU 287/583
RAM 1561/3964MB (lfb 4x4MB) SWAP 492/6078MB (cached 6MB) IRAM 0/252kB(lfb 252kB) CPU [1%@1479,6%@1479,1%@1479,1%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@921 APE 25 PLL@32C CPU@34C iwlwifi@33C PMIC@50C GPU@32.5C AO@43C thermal@33.25C POM_5V_IN 1931/2311 POM_5V_GPU 123/122 POM_5V_CPU 287/509
RAM 1561/3964MB (lfb 4x4MB) SWAP 492/6078MB (cached 6MB) IRAM 0/252kB(lfb 252kB) CPU [2%@1479,5%@1479,1%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@921 APE 25 PLL@32C CPU@34C iwlwifi@35C PMIC@50C GPU@32.5C AO@43.5C thermal@33.75C POM_5V_IN 1931/2235 POM_5V_GPU 123/122 POM_5V_CPU 328/473
RAM 1561/3964MB (lfb 4x4MB) SWAP 492/6078MB (cached 6MB) IRAM 0/252kB(lfb 252kB) CPU [2%@1479,5%@1479,0%@1479,1%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@921 APE 25 PLL@32C CPU@34C iwlwifi@33C PMIC@50C GPU@32.5C AO@43C thermal@33.5C POM_5V_IN 1931/2184 POM_5V_GPU 123/122 POM_5V_CPU 328/449
RAM 1561/3964MB (lfb 4x4MB) SWAP 492/6078MB (cached 6MB) IRAM 0/252kB(lfb 252kB) CPU [3%@1479,6%@1479,1%@1479,1%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@921 APE 25 PLL@32C CPU@34C iwlwifi@33C PMIC@50C GPU@32.5C AO@43.5C thermal@33.25C POM_5V_IN 1931/2148 POM_5V_GPU 123/122 POM_5V_CPU 328/431
RAM 1561/3964MB (lfb 4x4MB) SWAP 492/6078MB (cached 6MB) IRAM 0/252kB(lfb 252kB) CPU [2%@1479,2%@1479,0%@1479,4%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@921 APE 25 PLL@32C CPU@34C iwlwifi@34C PMIC@50C GPU@33C AO@43C thermal@33.25C POM_5V_IN 2013/2131 POM_5V_GPU 123/122 POM_5V_CPU 369/423
RAM 1561/3964MB (lfb 4x4MB) SWAP 492/6078MB (cached 6MB) IRAM 0/252kB(lfb 252kB) CPU [2%@1479,3%@1479,0%@1479,2%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@921 APE 25 PLL@32C CPU@34C iwlwifi@33C PMIC@50C GPU@32.5C AO@43C thermal@33.75C POM_5V_IN 2129/2131 POM_5V_GPU 122/122 POM_5V_CPU 450/426
RAM 1561/3964MB (lfb 4x4MB) SWAP 492/6078MB (cached 6MB) IRAM 0/252kB(lfb 252kB) CPU [2%@1479,5%@1479,1%@1479,1%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@921 APE 25 PLL@32C CPU@34C iwlwifi@33C PMIC@50C GPU@32C AO@43.5C thermal@33.25C POM_5V_IN 1931/2111 POM_5V_GPU 123/122 POM_5V_CPU 328/416
RAM 1561/3964MB (lfb 4x4MB) SWAP 492/6078MB (cached 6MB) IRAM 0/252kB(lfb 252kB) CPU [1%@1479,5%@1479,1%@1479,1%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@921 APE 25 PLL@32C CPU@34C iwlwifi@33C PMIC@50C GPU@32.5C AO@43C thermal@33.5C POM_5V_IN 1931/2094 POM_5V_GPU 123/122 POM_5V_CPU 287/405
