layer_name,layer_type,params,input_shape,output_shape,mean_ms,std_ms,min_ms,max_ms
conv5.0,Conv2d,475136,"[1, 464, 7, 7]","[1, 1024, 7, 7]",1.8014,0.0841,1.7322,1.9776
conv1.0,Conv2d,648,"[1, 3, 224, 224]","[1, 24, 112, 112]",1.4019,0.0624,1.3525,1.6551
stage3.1.branch2.0,Conv2d,13456,"[1, 116, 14, 14]","[1, 116, 14, 14]",1.1586,0.0962,1.0533,1.4003
stage2.1.branch2.0,Conv2d,3364,"[1, 58, 28, 28]","[1, 58, 28, 28]",1.1489,0.1283,1.0373,1.3652
stage3.7.branch2.0,Conv2d,13456,"[1, 116, 14, 14]","[1, 116, 14, 14]",1.1273,0.129,1.0226,1.4558
stage4.1.branch2.0,Conv2d,53824,"[1, 232, 7, 7]","[1, 232, 7, 7]",1.1229,0.0848,0.9978,1.2987
stage4.2.branch2.0,Conv2d,53824,"[1, 232, 7, 7]","[1, 232, 7, 7]",1.1193,0.1083,1.0301,1.4451
stage3.2.branch2.0,Conv2d,13456,"[1, 116, 14, 14]","[1, 116, 14, 14]",1.1146,0.0838,1.0341,1.3124
stage3.4.branch2.0,Conv2d,13456,"[1, 116, 14, 14]","[1, 116, 14, 14]",1.109,0.0935,1.0327,1.3327
stage3.5.branch2.0,Conv2d,13456,"[1, 116, 14, 14]","[1, 116, 14, 14]",1.109,0.087,1.0304,1.2714
stage4.3.branch2.0,Conv2d,53824,"[1, 232, 7, 7]","[1, 232, 7, 7]",1.1067,0.0885,1.0168,1.3318
stage3.6.branch2.0,Conv2d,13456,"[1, 116, 14, 14]","[1, 116, 14, 14]",1.1016,0.0929,1.0258,1.3053
stage3.3.branch2.0,Conv2d,13456,"[1, 116, 14, 14]","[1, 116, 14, 14]",1.0992,0.0859,1.0266,1.2859
stage2.2.branch2.0,Conv2d,3364,"[1, 58, 28, 28]","[1, 58, 28, 28]",1.0941,0.1537,0.9624,1.366
stage2.3.branch2.0,Conv2d,3364,"[1, 58, 28, 28]","[1, 58, 28, 28]",1.0704,0.1356,0.9465,1.3153
fc,Linear,1025000,"[1, 1024]","[1, 1000]",0.9376,0.0296,0.8874,1.0205
stage3.0.branch2.0,Conv2d,13456,"[1, 116, 28, 28]","[1, 116, 28, 28]",0.8989,0.0616,0.8529,1.0549
stage4.0.branch2.0,Conv2d,53824,"[1, 232, 14, 14]","[1, 232, 14, 14]",0.8977,0.0661,0.8431,1.0396
stage3.0.branch1.0,Conv2d,1044,"[1, 116, 28, 28]","[1, 116, 14, 14]",0.861,0.0377,0.8144,0.965
stage4.0.branch1.0,Conv2d,2088,"[1, 232, 14, 14]","[1, 232, 7, 7]",0.8481,0.0443,0.8078,0.9465
stage2.0.branch2.0,Conv2d,1392,"[1, 24, 56, 56]","[1, 58, 56, 56]",0.7548,0.0987,0.6853,0.9286
