RAM 1519/3964MB (lfb 13x4MB) SWAP 626/6078MB (cached 11MB) IRAM 0/252kB(lfb 252kB) CPU [2%@1479,3%@1479,2%@1479,1%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@921 APE 25 PLL@32.5C CPU@35.5C iwlwifi@33C PMIC@50C GPU@33.5C AO@43.5C thermal@34C POM_5V_IN 2690/2690 POM_5V_GPU 122/122 POM_5V_CPU 1017/1017
RAM 1519/3964MB (lfb 13x4MB) SWAP 626/6078MB (cached 11MB) IRAM 0/252kB(lfb 252kB) CPU [2%@1479,0%@1479,1%@1479,3%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@921 APE 25 PLL@32C CPU@34C iwlwifi@33C PMIC@50C GPU@33C AO@43.5C thermal@33.25C POM_5V_IN 2051/2370 POM_5V_GPU 123/122 POM_5V_CPU 410/713
RAM 1520/3964MB (lfb 13x4MB) SWAP 626/6078MB (cached 11MB) IRAM 0/252kB(lfb 252kB) CPU [1%@1479,0%@1479,1%@1479,4%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@921 APE 25 PLL@32C CPU@34C iwlwifi@33C PMIC@50C GPU@32.5C AO@43C thermal@33.5C POM_5V_IN 1934/2225 POM_5V_GPU 123/122 POM_5V_CPU 328/585
RAM 1520/3964MB (lfb 13x4MB) SWAP 626/6078MB (cached 11MB) IRAM 0/252kB(lfb 252kB) CPU [3%@1479,0%@1479,0%@1479,2%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@921 APE 25 PLL@32.5C CPU@34.5C iwlwifi@33C PMIC@50C GPU@32.5C AO@43C thermal@33.5C POM_5V_IN 2054/2182 POM_5V_GPU 123/122 POM_5V_CPU 369/531
RAM 1516/3964MB (lfb 13x4MB) SWAP 626/6078MB (cached 11MB) IRAM 0/252kB(lfb 252kB) CPU [6%@1479,5%@1479,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@921 APE 25 PLL@32.5C CPU@34.5C iwlwifi@34C PMIC@50C GPU@32C AO@43C thermal@32.75C POM_5V_IN 2576/2261 POM_5V_GPU 122/122 POM_5V_CPU 857/596
RAM 1516/3964MB (lfb 13x4MB) SWAP 626/6078MB (cached 11MB) IRAM 0/252kB(lfb 252kB) CPU [4%@921,5%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32C CPU@33.5C iwlwifi@33C PMIC@50C GPU@31.5C AO@43C thermal@32.75C POM_5V_IN 1892/2199 POM_5V_GPU 82/115 POM_5V_CPU 288/544
RAM 1516/3964MB (lfb 13x4MB) SWAP 626/6078MB (cached 11MB) IRAM 0/252kB(lfb 252kB) CPU [7%@921,5%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32C CPU@33.5C iwlwifi@33C PMIC@50C GPU@32C AO@43C thermal@33C POM_5V_IN 1892/2155 POM_5V_GPU 82/111 POM_5V_CPU 288/508
RAM 1635/3964MB (lfb 13x4MB) SWAP 626/6078MB (cached 11MB) IRAM 0/252kB(lfb 252kB) CPU [57%@921,62%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32C CPU@33.5C iwlwifi@33C PMIC@50C GPU@32.5C AO@43C thermal@33.25C POM_5V_IN 1931/2127 POM_5V_GPU 82/107 POM_5V_CPU 328/485
RAM 1678/3964MB (lfb 13x4MB) SWAP 626/6078MB (cached 11MB) IRAM 0/252kB(lfb 252kB) CPU [99%@921,100%@921,off,off] EMC_FREQ 1%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32C CPU@34C iwlwifi@33C PMIC@50C GPU@32.5C AO@43.5C thermal@33C POM_5V_IN 2576/2177 POM_5V_GPU 81/104 POM_5V_CPU 775/517
RAM 1661/3964MB (lfb 13x4MB) SWAP 626/6078MB (cached 11MB) IRAM 0/252kB(lfb 252kB) CPU [100%@921,100%@921,off,off] EMC_FREQ 1%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32C CPU@34.5C iwlwifi@33C PMIC@50C GPU@32.5C AO@43.5C thermal@33.5C POM_5V_IN 2572/2216 POM_5V_GPU 81/102 POM_5V_CPU 898/555
RAM 1667/3964MB (lfb 13x4MB) SWAP 626/6078MB (cached 11MB) IRAM 0/252kB(lfb 252kB) CPU [100%@921,100%@921,off,off] EMC_FREQ 1%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32.5C CPU@34.5C iwlwifi@33C PMIC@50C GPU@32.5C AO@43.5C thermal@33.5C POM_5V_IN 2453/2238 POM_5V_GPU 81/100 POM_5V_CPU 858/583
RAM 1668/3964MB (lfb 13x4MB) SWAP 626/6078MB (cached 11MB) IRAM 0/252kB(lfb 252kB) CPU [100%@921,100%@921,off,off] EMC_FREQ 1%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32.5C CPU@35C iwlwifi@33C PMIC@50C GPU@33C AO@43.5C thermal@33.5C POM_5V_IN 2453/2256 POM_5V_GPU 81/98 POM_5V_CPU 858/606
RAM 1669/3964MB (lfb 13x4MB) SWAP 626/6078MB (cached 11MB) IRAM 0/252kB(lfb 252kB) CPU [100%@921,100%@921,off,off] EMC_FREQ 1%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32.5C CPU@34.5C iwlwifi@33C PMIC@50C GPU@32C AO@43.5C thermal@33.75C POM_5V_IN 2735/2293 POM_5V_GPU 81/97 POM_5V_CPU 816/622
RAM 1681/3964MB (lfb 13x4MB) SWAP 626/6078MB (cached 11MB) IRAM 0/252kB(lfb 252kB) CPU [100%@921,100%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32.5C CPU@35C iwlwifi@33C PMIC@50C GPU@32.5C AO@44C thermal@33.5C POM_5V_IN 2535/2310 POM_5V_GPU 81/96 POM_5V_CPU 940/645
RAM 1670/3964MB (lfb 13x4MB) SWAP 626/6078MB (cached 11MB) IRAM 0/252kB(lfb 252kB) CPU [100%@921,100%@921,off,off] EMC_FREQ 1%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32.5C CPU@35C iwlwifi@33C PMIC@50C GPU@32.5C AO@44C thermal@33.75C POM_5V_IN 2617/2330 POM_5V_GPU 81/95 POM_5V_CPU 939/664
RAM 1671/3964MB (lfb 13x4MB) SWAP 626/6078MB (cached 11MB) IRAM 0/252kB(lfb 252kB) CPU [100%@921,100%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32.5C CPU@34.5C iwlwifi@33C PMIC@50C GPU@33C AO@44C thermal@34C POM_5V_IN 2457/2338 POM_5V_GPU 81/94 POM_5V_CPU 817/674
RAM 1673/3964MB (lfb 13x4MB) SWAP 626/6078MB (cached 11MB) IRAM 0/252kB(lfb 252kB) CPU [100%@921,100%@921,off,off] EMC_FREQ 1%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32.5C CPU@35C iwlwifi@33C PMIC@50C GPU@33C AO@44C thermal@34.25C POM_5V_IN 2494/2347 POM_5V_GPU 81/93 POM_5V_CPU 858/684
RAM 1674/3964MB (lfb 13x4MB) SWAP 626/6078MB (cached 11MB) IRAM 0/252kB(lfb 252kB) CPU [100%@921,100%@921,off,off] EMC_FREQ 1%@1600 GR3D_FREQ 0%@614 APE 25 PLL@33C CPU@35.5C iwlwifi@33C PMIC@50C GPU@33C AO@44C thermal@34C POM_5V_IN 2457/2353 POM_5V_GPU 81/92 POM_5V_CPU 858/694
RAM 1663/3964MB (lfb 13x4MB) SWAP 626/6078MB (cached 11MB) IRAM 0/252kB(lfb 252kB) CPU [100%@921,100%@921,off,off] EMC_FREQ 1%@1600 GR3D_FREQ 0%@614 APE 25 PLL@33C CPU@35C iwlwifi@33C PMIC@50C GPU@33C AO@44.5C thermal@34.25C POM_5V_IN 2416/2357 POM_5V_GPU 81/92 POM_5V_CPU 817/701
RAM 1666/3964MB (lfb 13x4MB) SWAP 626/6078MB (cached 11MB) IRAM 0/252kB(lfb 252kB) CPU [100%@921,100%@921,off,off] EMC_FREQ 1%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32.5C CPU@35C iwlwifi@33C PMIC@50C GPU@33C AO@44.5C thermal@34.25C POM_5V_IN 2494/2363 POM_5V_GPU 81/91 POM_5V_CPU 858/708
RAM 1666/3964MB (lfb 13x4MB) SWAP 626/6078MB (cached 11MB) IRAM 0/252kB(lfb 252kB) CPU [100%@921,100%@921,off,off] EMC_FREQ 1%@1600 GR3D_FREQ 0%@614 APE 25 PLL@33C CPU@35C iwlwifi@33C PMIC@50C GPU@33C AO@44C thermal@34C POM_5V_IN 2494/2370 POM_5V_GPU 81/91 POM_5V_CPU 858/715
RAM 1667/3964MB (lfb 13x4MB) SWAP 626/6078MB (cached 11MB) IRAM 0/252kB(lfb 252kB) CPU [100%@921,100%@921,off,off] EMC_FREQ 1%@1600 GR3D_FREQ 0%@614 APE 25 PLL@33C CPU@35C iwlwifi@33C PMIC@50C GPU@33C AO@44.5C thermal@34C POM_5V_IN 2535/2377 POM_5V_GPU 81/90 POM_5V_CPU 899/724
RAM 1668/3964MB (lfb 13x4MB) SWAP 626/6078MB (cached 11MB) IRAM 0/252kB(lfb 252kB) CPU [100%@921,100%@921,off,off] EMC_FREQ 1%@1600 GR3D_FREQ 0%@614 APE 25 PLL@33C CPU@35.5C iwlwifi@33C PMIC@50C GPU@33C AO@44.5C thermal@34C POM_5V_IN 2535/2384 POM_5V_GPU 81/90 POM_5V_CPU 899/731
RAM 1670/3964MB (lfb 13x4MB) SWAP 626/6078MB (cached 11MB) IRAM 0/252kB(lfb 252kB) CPU [100%@921,100%@921,off,off] EMC_FREQ 1%@1600 GR3D_FREQ 0%@614 APE 25 PLL@33C CPU@35C iwlwifi@33C PMIC@50C GPU@33.5C AO@44C thermal@34.25C POM_5V_IN 2576/2392 POM_5V_GPU 81/89 POM_5V_CPU 899/738
RAM 1669/3964MB (lfb 13x4MB) SWAP 626/6078MB (cached 11MB) IRAM 0/252kB(lfb 252kB) CPU [100%@921,100%@921,off,off] EMC_FREQ 1%@1600 GR3D_FREQ 0%@614 APE 25 PLL@33C CPU@35C iwlwifi@33C PMIC@50C GPU@33C AO@45C thermal@34C POM_5V_IN 2412/2393 POM_5V_GPU 81/89 POM_5V_CPU 858/743
RAM 1670/3964MB (lfb 13x4MB) SWAP 626/6078MB (cached 11MB) IRAM 0/252kB(lfb 252kB) CPU [100%@921,100%@921,off,off] EMC_FREQ 1%@1600 GR3D_FREQ 0%@614 APE 25 PLL@33C CPU@35.5C iwlwifi@33C PMIC@50C GPU@33C AO@44C thermal@34.5C POM_5V_IN 2416/2394 POM_5V_GPU 81/89 POM_5V_CPU 819/746
RAM 1676/3964MB (lfb 13x4MB) SWAP 626/6078MB (cached 11MB) IRAM 0/252kB(lfb 252kB) CPU [77%@921,75%@921,off,off] EMC_FREQ 1%@1600 GR3D_FREQ 0%@614 APE 25 PLL@33C CPU@35.5C iwlwifi@33C PMIC@50C GPU@33C AO@44C thermal@34C POM_5V_IN 2494/2397 POM_5V_GPU 81/88 POM_5V_CPU 858/750
RAM 1675/3964MB (lfb 13x4MB) SWAP 626/6078MB (cached 11MB) IRAM 0/252kB(lfb 252kB) CPU [4%@921,8%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@33C CPU@34.5C iwlwifi@33C PMIC@50C GPU@33C AO@44C thermal@33.75C POM_5V_IN 1934/2381 POM_5V_GPU 82/88 POM_5V_CPU 329/735
RAM 1676/3964MB (lfb 13x4MB) SWAP 626/6078MB (cached 11MB) IRAM 0/252kB(lfb 252kB) CPU [6%@921,4%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@33C CPU@34.5C iwlwifi@33C PMIC@50C GPU@33C AO@44C thermal@33.5C POM_5V_IN 1934/2365 POM_5V_GPU 82/88 POM_5V_CPU 329/721
RAM 1675/3964MB (lfb 13x4MB) SWAP 626/6078MB (cached 11MB) IRAM 0/252kB(lfb 252kB) CPU [7%@921,3%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@33C CPU@34.5C iwlwifi@33C PMIC@50C GPU@33C AO@44.5C thermal@33.5C POM_5V_IN 1892/2350 POM_5V_GPU 82/88 POM_5V_CPU 288/707
RAM 1675/3964MB (lfb 13x4MB) SWAP 626/6078MB (cached 11MB) IRAM 0/252kB(lfb 252kB) CPU [4%@921,6%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32.5C CPU@34C iwlwifi@33C PMIC@50C GPU@33C AO@43.5C thermal@33.5C POM_5V_IN 1892/2335 POM_5V_GPU 82/87 POM_5V_CPU 288/693
RAM 1675/3964MB (lfb 13x4MB) SWAP 626/6078MB (cached 11MB) IRAM 0/252kB(lfb 252kB) CPU [6%@921,5%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32.5C CPU@34.5C iwlwifi@33C PMIC@50C GPU@32.5C AO@43.5C thermal@33.25C POM_5V_IN 2133/2328 POM_5V_GPU 82/87 POM_5V_CPU 492/687
RAM 1781/3964MB (lfb 11x4MB) SWAP 626/6078MB (cached 11MB) IRAM 0/252kB(lfb 252kB) CPU [27%@921,32%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32C CPU@34C iwlwifi@33C PMIC@50C GPU@33C AO@44C thermal@33.75C POM_5V_IN 1934/2316 POM_5V_GPU 82/87 POM_5V_CPU 329/676
RAM 2872/3964MB (lfb 11x1MB) SWAP 626/6078MB (cached 11MB) IRAM 0/252kB(lfb 252kB) CPU [99%@921,99%@921,off,off] EMC_FREQ 1%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32.5C CPU@35.5C iwlwifi@33C PMIC@50C GPU@33C AO@44C thermal@33.75C POM_5V_IN 2613/2325 POM_5V_GPU 81/87 POM_5V_CPU 898/682
RAM 3141/3964MB (lfb 1x2MB) SWAP 665/6078MB (cached 10MB) IRAM 0/252kB(lfb 252kB) CPU [45%@921,97%@921,off,off] EMC_FREQ 2%@1600 GR3D_FREQ 1%@614 APE 25 PLL@33C CPU@34.5C iwlwifi@33C PMIC@50C GPU@33.5C AO@44.5C thermal@34C POM_5V_IN 2490/2330 POM_5V_GPU 122/88 POM_5V_CPU 816/686
RAM 3141/3964MB (lfb 1x2MB) SWAP 664/6078MB (cached 10MB) IRAM 0/252kB(lfb 252kB) CPU [30%@921,100%@921,off,off] EMC_FREQ 4%@1600 GR3D_FREQ 6%@614 APE 25 PLL@33C CPU@34.5C iwlwifi@33C PMIC@50C GPU@33C AO@45C thermal@34C POM_5V_IN 2576/2337 POM_5V_GPU 286/93 POM_5V_CPU 654/685
RAM 3143/3964MB (lfb 1x2MB) SWAP 664/6078MB (cached 11MB) IRAM 0/252kB(lfb 252kB) CPU [36%@921,96%@921,off,off] EMC_FREQ 4%@1600 GR3D_FREQ 6%@614 APE 25 PLL@33C CPU@35C iwlwifi@33C PMIC@50C GPU@33.5C AO@44.5C thermal@34C POM_5V_IN 3169/2359 POM_5V_GPU 609/107 POM_5V_CPU 772/688
RAM 3143/3964MB (lfb 1x2MB) SWAP 664/6078MB (cached 11MB) IRAM 0/252kB(lfb 252kB) CPU [28%@921,100%@921,off,off] EMC_FREQ 3%@1600 GR3D_FREQ 7%@614 APE 25 PLL@33C CPU@34.5C iwlwifi@33C PMIC@50C GPU@33.5C AO@44.5C thermal@33.75C POM_5V_IN 2375/2360 POM_5V_GPU 245/111 POM_5V_CPU 614/686
RAM 3145/3964MB (lfb 1x2MB) SWAP 663/6078MB (cached 12MB) IRAM 0/252kB(lfb 252kB) CPU [19%@921,71%@921,off,off] EMC_FREQ 4%@1600 GR3D_FREQ 27%@614 APE 25 PLL@33C CPU@35.5C iwlwifi@33C PMIC@50C GPU@33C AO@44C thermal@33.5C POM_5V_IN 3362/2385 POM_5V_GPU 729/127 POM_5V_CPU 769/688
RAM 3145/3964MB (lfb 1x2MB) SWAP 663/6078MB (cached 12MB) IRAM 0/252kB(lfb 252kB) CPU [9%@921,5%@921,off,off] EMC_FREQ 1%@1600 GR3D_FREQ 0%@614 APE 25 PLL@33C CPU@34.5C iwlwifi@33C PMIC@50C GPU@33C AO@44C thermal@33.25C POM_5V_IN 1934/2374 POM_5V_GPU 82/126 POM_5V_CPU 329/679
RAM 3145/3964MB (lfb 1x2MB) SWAP 663/6078MB (cached 12MB) IRAM 0/252kB(lfb 252kB) CPU [7%@921,3%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@33C CPU@34C iwlwifi@35C PMIC@50C GPU@33C AO@44C thermal@33.5C POM_5V_IN 1890/2362 POM_5V_GPU 82/125 POM_5V_CPU 287/669
RAM 3146/3964MB (lfb 1x2MB) SWAP 663/6078MB (cached 12MB) IRAM 0/252kB(lfb 252kB) CPU [4%@921,6%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@33C CPU@34C iwlwifi@33C PMIC@50C GPU@33C AO@44C thermal@33.5C POM_5V_IN 1810/2349 POM_5V_GPU 82/124 POM_5V_CPU 246/659
RAM 3145/3964MB (lfb 1x2MB) SWAP 663/6078MB (cached 12MB) IRAM 0/252kB(lfb 252kB) CPU [9%@921,2%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32.5C CPU@34.5C iwlwifi@33C PMIC@50C GPU@32.5C AO@44C thermal@33.5C POM_5V_IN 1934/2339 POM_5V_GPU 82/123 POM_5V_CPU 329/652
RAM 3145/3964MB (lfb 1x2MB) SWAP 663/6078MB (cached 12MB) IRAM 0/252kB(lfb 252kB) CPU [6%@921,3%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32.5C CPU@34.5C iwlwifi@33C PMIC@50C GPU@32.5C AO@43.5C thermal@33C POM_5V_IN 1934/2330 POM_5V_GPU 82/122 POM_5V_CPU 329/644
RAM 3147/3964MB (lfb 1x2MB) SWAP 663/6078MB (cached 12MB) IRAM 0/252kB(lfb 252kB) CPU [8%@921,8%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32.5C CPU@34.5C iwlwifi@33C PMIC@50C GPU@32.5C AO@43.5C thermal@33.25C POM_5V_IN 2174/2327 POM_5V_GPU 82/121 POM_5V_CPU 574/643
RAM 3146/3964MB (lfb 1x2MB) SWAP 663/6078MB (cached 12MB) IRAM 0/252kB(lfb 252kB) CPU [8%@921,5%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32.5C CPU@34C iwlwifi@33C PMIC@50C GPU@32.5C AO@44C thermal@33C POM_5V_IN 1934/2318 POM_5V_GPU 82/120 POM_5V_CPU 329/636
RAM 3146/3964MB (lfb 1x2MB) SWAP 663/6078MB (cached 12MB) IRAM 0/252kB(lfb 252kB) CPU [5%@921,6%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32C CPU@33.5C iwlwifi@33C PMIC@50C GPU@32.5C AO@43.5C thermal@33C POM_5V_IN 1934/2310 POM_5V_GPU 82/119 POM_5V_CPU 329/629
RAM 3146/3964MB (lfb 1x2MB) SWAP 663/6078MB (cached 12MB) IRAM 0/252kB(lfb 252kB) CPU [5%@921,5%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32.5C CPU@34C iwlwifi@33C PMIC@50C GPU@32.5C AO@43.5C thermal@32.75C POM_5V_IN 2174/2307 POM_5V_GPU 82/118 POM_5V_CPU 574/628
RAM 3146/3964MB (lfb 1x2MB) SWAP 663/6078MB (cached 12MB) IRAM 0/252kB(lfb 252kB) CPU [3%@921,7%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32C CPU@34C iwlwifi@35C PMIC@50C GPU@32.5C AO@43.5C thermal@32.75C POM_5V_IN 2174/2304 POM_5V_GPU 82/118 POM_5V_CPU 574/627
RAM 3146/3964MB (lfb 1x2MB) SWAP 663/6078MB (cached 12MB) IRAM 0/252kB(lfb 252kB) CPU [5%@921,6%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32C CPU@34C iwlwifi@33C PMIC@50C GPU@32C AO@43.5C thermal@32.75C POM_5V_IN 2215/2303 POM_5V_GPU 82/117 POM_5V_CPU 574/626
RAM 3146/3964MB (lfb 1x2MB) SWAP 663/6078MB (cached 12MB) IRAM 0/252kB(lfb 252kB) CPU [9%@921,7%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32C CPU@33.5C iwlwifi@33C PMIC@50C GPU@32C AO@43.5C thermal@33C POM_5V_IN 1934/2295 POM_5V_GPU 82/116 POM_5V_CPU 329/620
RAM 3146/3964MB (lfb 1x2MB) SWAP 663/6078MB (cached 12MB) IRAM 0/252kB(lfb 252kB) CPU [6%@921,3%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32C CPU@33.5C iwlwifi@33C PMIC@50C GPU@32C AO@43C thermal@32.75C POM_5V_IN 1892/2288 POM_5V_GPU 82/115 POM_5V_CPU 288/614
RAM 3146/3964MB (lfb 1x2MB) SWAP 663/6078MB (cached 12MB) IRAM 0/252kB(lfb 252kB) CPU [4%@921,8%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32C CPU@33.5C iwlwifi@33C PMIC@50C GPU@32C AO@43C thermal@32.5C POM_5V_IN 2051/2283 POM_5V_GPU 82/115 POM_5V_CPU 491/611
RAM 3146/3964MB (lfb 1x2MB) SWAP 663/6078MB (cached 12MB) IRAM 0/252kB(lfb 252kB) CPU [5%@921,3%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@31.5C CPU@33C iwlwifi@33C PMIC@50C GPU@32C AO@43C thermal@32.75C POM_5V_IN 1731/2273 POM_5V_GPU 82/114 POM_5V_CPU 164/603
RAM 3146/3964MB (lfb 1x2MB) SWAP 663/6078MB (cached 12MB) IRAM 0/252kB(lfb 252kB) CPU [6%@921,5%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@31.5C CPU@33C iwlwifi@33C PMIC@50C GPU@31.5C AO@43C thermal@32.75C POM_5V_IN 2174/2271 POM_5V_GPU 82/114 POM_5V_CPU 574/603
RAM 3153/3964MB (lfb 3x1MB) SWAP 663/6078MB (cached 12MB) IRAM 0/252kB(lfb 252kB) CPU [7%@921,7%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32C CPU@34C iwlwifi@35C PMIC@50C GPU@32C AO@43C thermal@32.5C POM_5V_IN 2174/2269 POM_5V_GPU 82/113 POM_5V_CPU 574/602
RAM 3146/3964MB (lfb 1x2MB) SWAP 663/6078MB (cached 12MB) IRAM 0/252kB(lfb 252kB) CPU [10%@921,5%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@31.5C CPU@33.5C iwlwifi@33C PMIC@50C GPU@31.5C AO@43C thermal@32.5C POM_5V_IN 2453/2273 POM_5V_GPU 81/112 POM_5V_CPU 736/604
RAM 3146/3964MB (lfb 1x2MB) SWAP 663/6078MB (cached 12MB) IRAM 0/252kB(lfb 252kB) CPU [6%@921,4%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@31C CPU@33.5C iwlwifi@33C PMIC@50C GPU@32C AO@43C thermal@32.25C POM_5V_IN 1728/2263 POM_5V_GPU 82/112 POM_5V_CPU 164/597
RAM 3146/3964MB (lfb 1x2MB) SWAP 663/6078MB (cached 12MB) IRAM 0/252kB(lfb 252kB) CPU [5%@921,4%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@31.5C CPU@33C iwlwifi@33C PMIC@50C GPU@31.5C AO@42.5C thermal@32.25C POM_5V_IN 1731/2254 POM_5V_GPU 82/111 POM_5V_CPU 164/589
RAM 3146/3964MB (lfb 1x2MB) SWAP 663/6078MB (cached 12MB) IRAM 0/252kB(lfb 252kB) CPU [5%@921,4%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@31.5C CPU@33C iwlwifi@33C PMIC@50C GPU@31.5C AO@42.5C thermal@32.5C POM_5V_IN 1728/2245 POM_5V_GPU 82/111 POM_5V_CPU 164/582
RAM 3146/3964MB (lfb 1x2MB) SWAP 663/6078MB (cached 12MB) IRAM 0/252kB(lfb 252kB) CPU [5%@921,6%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@31.5C CPU@32.5C iwlwifi@33C PMIC@50C GPU@31.5C AO@42.5C thermal@32.25C POM_5V_IN 2013/2241 POM_5V_GPU 82/110 POM_5V_CPU 410/579
RAM 3153/3964MB (lfb 1x2MB) SWAP 662/6078MB (cached 12MB) IRAM 0/252kB(lfb 252kB) CPU [9%@921,8%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@31C CPU@32.5C iwlwifi@33C PMIC@50C GPU@31.5C AO@42.5C thermal@32C POM_5V_IN 1731/2233 POM_5V_GPU 82/110 POM_5V_CPU 164/573
