layer_name,layer_type,params,input_shape,output_shape,mean_ms,std_ms,min_ms,max_ms
anchor_generator,DefaultBoxGenerator,0,[],[],7.8734,1.2929,6.9587,12.8411
head.classification_head.module_list.0.1,Conv2d,367458,"[1, 672, 20, 20]","[1, 546, 20, 20]",5.0244,0.1067,4.9253,5.2959
transform,GeneralizedRCNNTransform,0,[],[],2.4007,0.2293,2.032,2.7884
backbone.features.0.2.block.0.0,Conv2d,1024,"[1, 16, 160, 160]","[1, 64, 160, 160]",2.3915,0.1437,2.2605,2.8298
backbone.features.0.3.block.1.0,Conv2d,648,"[1, 72, 80, 80]","[1, 72, 80, 80]",2.0256,0.0312,1.9944,2.0966
backbone.features.0.6.block.1.0,Conv2d,3000,"[1, 120, 40, 40]","[1, 120, 40, 40]",1.9258,0.0411,1.8865,2.0011
backbone.features.0.5.block.1.0,Conv2d,3000,"[1, 120, 40, 40]","[1, 120, 40, 40]",1.9191,0.0352,1.8841,1.9948
backbone.features.0.1.block.0.0,Conv2d,144,"[1, 16, 160, 160]","[1, 16, 160, 160]",1.9069,0.042,1.8801,2.0688
backbone.features.0.2.block.1.0,Conv2d,576,"[1, 64, 160, 160]","[1, 64, 80, 80]",1.8481,0.0385,1.8096,1.9375
backbone.features.0.0.0,Conv2d,432,"[1, 3, 320, 320]","[1, 16, 160, 160]",1.8181,0.0541,1.7327,1.9302
backbone.features.0.12.block.3.0,Conv2d,75264,"[1, 672, 20, 20]","[1, 112, 20, 20]",1.8027,0.6472,1.5335,4.5742
head.classification_head.module_list.0.0.0,Conv2d,6048,"[1, 672, 20, 20]","[1, 672, 20, 20]",1.7636,0.1803,1.6411,2.4121
backbone.features.0.13.0,Conv2d,75264,"[1, 112, 20, 20]","[1, 672, 20, 20]",1.6107,0.1581,1.4686,2.0213
head.classification_head.module_list.1.1,Conv2d,262626,"[1, 480, 10, 10]","[1, 546, 10, 10]",1.5473,0.1455,1.4462,2.1058
backbone.features.0.4.block.0.0,Conv2d,1728,"[1, 24, 80, 80]","[1, 72, 80, 80]",1.5171,0.1208,1.4118,1.77
backbone.features.0.12.block.0.0,Conv2d,75264,"[1, 112, 20, 20]","[1, 672, 20, 20]",1.4923,0.1167,1.3814,1.762
head.regression_head.module_list.0.0.0,Conv2d,6048,"[1, 672, 20, 20]","[1, 672, 20, 20]",1.4839,0.06,1.4298,1.6331
backbone.features.0.11.block.3.0,Conv2d,53760,"[1, 480, 20, 20]","[1, 112, 20, 20]",1.4145,0.1375,1.2872,1.8321
backbone.features.0.7.block.0.0,Conv2d,9600,"[1, 40, 40, 40]","[1, 240, 40, 40]",1.4109,0.1007,1.3053,1.6245
backbone.features.0.1.block.1.0,Conv2d,256,"[1, 16, 160, 160]","[1, 16, 160, 160]",1.3944,0.0607,1.3311,1.519
backbone.features.0.3.block.0.0,Conv2d,1728,"[1, 24, 80, 80]","[1, 72, 80, 80]",1.3923,0.0815,1.3171,1.6122
backbone.features.0.12.block.1.0,Conv2d,6048,"[1, 672, 20, 20]","[1, 672, 20, 20]",1.3333,0.1501,1.2683,1.965
backbone.features.0.2.block.0.1,BatchNorm2d,128,"[1, 64, 160, 160]","[1, 64, 160, 160]",1.3102,0.0463,1.2682,1.4168
backbone.features.0.4.block.1.0,Conv2d,1800,"[1, 72, 80, 80]","[1, 72, 40, 40]",1.3039,0.0397,1.2677,1.4287
backbone.features.0.11.block.0.0,Conv2d,38400,"[1, 80, 20, 20]","[1, 480, 20, 20]",1.1945,0.0996,1.0855,1.4216
backbone.features.0.6.block.3.0,Conv2d,4800,"[1, 120, 40, 40]","[1, 40, 40, 40]",1.0572,0.1396,0.9431,1.3972
backbone.features.0.5.block.3.0,Conv2d,4800,"[1, 120, 40, 40]","[1, 40, 40, 40]",1.0429,0.1024,0.9453,1.2602
backbone.features.0.6.block.0.0,Conv2d,4800,"[1, 40, 40, 40]","[1, 120, 40, 40]",1.0363,0.0739,0.9698,1.1934
backbone.features.0.3.block.2.0,Conv2d,1728,"[1, 72, 80, 80]","[1, 24, 80, 80]",1.0334,0.0459,0.9804,1.1292
backbone.features.1.0.1.0,Conv2d,16800,"[1, 672, 20, 20]","[1, 672, 10, 10]",1.0161,0.0532,0.9765,1.2022
backbone.features.0.11.block.1.0,Conv2d,4320,"[1, 480, 20, 20]","[1, 480, 20, 20]",1.0016,0.0338,0.961,1.0742
head.classification_head.module_list.1.0.0,Conv2d,4320,"[1, 480, 10, 10]","[1, 480, 10, 10]",0.9965,0.1006,0.9293,1.3622
backbone.extra.0.0.0,Conv2d,122880,"[1, 480, 10, 10]","[1, 256, 10, 10]",0.9875,0.0884,0.9014,1.2175
backbone.features.0.2.block.2.0,Conv2d,1536,"[1, 64, 80, 80]","[1, 24, 80, 80]",0.9836,0.0755,0.9149,1.1853
backbone.features.0.4.block.3.0,Conv2d,2880,"[1, 72, 40, 40]","[1, 40, 40, 40]",0.956,0.1138,0.8499,1.2605
backbone.features.1.0.3.0,Conv2d,53760,"[1, 672, 10, 10]","[1, 80, 10, 10]",0.925,0.2147,0.7846,1.7587
head.classification_head.module_list.4.1,Conv2d,140322,"[1, 256, 2, 2]","[1, 546, 2, 2]",0.9074,0.8302,0.5797,4.4244
backbone.features.0.9.block.0.0,Conv2d,14720,"[1, 80, 20, 20]","[1, 184, 20, 20]",0.889,0.1028,0.7851,1.147
backbone.features.0.5.block.0.0,Conv2d,4800,"[1, 40, 40, 40]","[1, 120, 40, 40]",0.8858,0.0532,0.8444,1.037
backbone.features.0.2.block.0.2,ReLU,0,"[1, 64, 160, 160]","[1, 64, 160, 160]",0.8649,0.0309,0.8346,0.9296
backbone.features.1.2.block.0.0,Conv2d,38400,"[1, 80, 10, 10]","[1, 480, 10, 10]",0.8636,0.1393,0.7247,1.3558
head.regression_head.module_list.1.0.0,Conv2d,4320,"[1, 480, 10, 10]","[1, 480, 10, 10]",0.8604,0.075,0.7752,0.9858
backbone.features.1.1.block.3.0,Conv2d,38400,"[1, 480, 10, 10]","[1, 80, 10, 10]",0.8452,0.1542,0.7267,1.4371
backbone.features.0.10.block.0.0,Conv2d,14720,"[1, 80, 20, 20]","[1, 184, 20, 20]",0.8428,0.0737,0.7796,1.0462
backbone.features.1.2.block.3.0,Conv2d,38400,"[1, 480, 10, 10]","[1, 80, 10, 10]",0.833,0.1027,0.6922,1.0802
head.classification_head.module_list.2.1,Conv2d,280098,"[1, 512, 5, 5]","[1, 546, 5, 5]",0.8249,0.2126,0.6856,1.6796
backbone.features.0.12.block.2.fc1,Conv2d,113064,"[1, 672, 1, 1]","[1, 168, 1, 1]",0.8221,0.3648,0.6138,2.3248
backbone.features.0.7.block.2.0,Conv2d,19200,"[1, 240, 20, 20]","[1, 80, 20, 20]",0.8171,0.0847,0.7339,1.0629
backbone.features.1.3.0,Conv2d,38400,"[1, 80, 10, 10]","[1, 480, 10, 10]",0.8144,0.1083,0.6944,1.039
backbone.features.0.8.block.0.0,Conv2d,16000,"[1, 80, 20, 20]","[1, 200, 20, 20]",0.8028,0.1354,0.7319,1.3667
backbone.features.1.2.block.1.0,Conv2d,12000,"[1, 480, 10, 10]","[1, 480, 10, 10]",0.7989,0.3535,0.6617,2.2234
head.regression_head.module_list.0.1,Conv2d,16152,"[1, 672, 20, 20]","[1, 24, 20, 20]",0.7981,0.1169,0.6794,0.9964
backbone.features.1.0.2.fc1,Conv2d,113064,"[1, 672, 1, 1]","[1, 168, 1, 1]",0.7895,0.1898,0.6091,1.2908
backbone.features.1.2.block.2.fc1,Conv2d,57720,"[1, 480, 1, 1]","[1, 120, 1, 1]",0.772,0.164,0.6024,1.1429
head.regression_head.module_list.1.1,Conv2d,11544,"[1, 480, 10, 10]","[1, 24, 10, 10]",0.7583,0.1174,0.6263,0.9667
backbone.features.0.8.block.2.0,Conv2d,16000,"[1, 200, 20, 20]","[1, 80, 20, 20]",0.7539,0.0773,0.6808,0.9579
head.regression_head.module_list.2.1,Conv2d,12312,"[1, 512, 5, 5]","[1, 24, 5, 5]",0.7514,0.1262,0.605,0.9825
head.regression_head.module_list.3.1,Conv2d,6168,"[1, 256, 3, 3]","[1, 24, 3, 3]",0.7449,0.186,0.5896,1.3511
backbone.features.0.11.block.2.fc1,Conv2d,57720,"[1, 480, 1, 1]","[1, 120, 1, 1]",0.7415,0.1223,0.6152,0.963
backbone.features.0.12.block.2.fc2,Conv2d,113568,"[1, 168, 1, 1]","[1, 672, 1, 1]",0.7415,0.1456,0.5871,1.0179
backbone.features.1.1.block.2.fc1,Conv2d,57720,"[1, 480, 1, 1]","[1, 120, 1, 1]",0.7408,0.1521,0.6043,1.1017
backbone.features.1.1.block.0.0,Conv2d,38400,"[1, 80, 10, 10]","[1, 480, 10, 10]",0.7342,0.1412,0.6321,1.2801
head.classification_head.module_list.2.0.0,Conv2d,4608,"[1, 512, 5, 5]","[1, 512, 5, 5]",0.7293,0.1162,0.618,0.9736
head.regression_head.module_list.4.1,Conv2d,6168,"[1, 256, 2, 2]","[1, 24, 2, 2]",0.7285,0.1538,0.5881,1.1417
backbone.features.0.10.block.2.0,Conv2d,14720,"[1, 184, 20, 20]","[1, 80, 20, 20]",0.7275,0.0706,0.6619,0.9149
backbone.features.1.0.2.fc2,Conv2d,113568,"[1, 168, 1, 1]","[1, 672, 1, 1]",0.7263,0.1199,0.5937,0.9233
backbone.features.0.9.block.2.0,Conv2d,14720,"[1, 184, 20, 20]","[1, 80, 20, 20]",0.7257,0.0692,0.6568,0.8936
head.regression_head.module_list.2.0.0,Conv2d,4608,"[1, 512, 5, 5]","[1, 512, 5, 5]",0.7234,0.1573,0.6049,1.256
head.regression_head.module_list.3.0.0,Conv2d,2304,"[1, 256, 3, 3]","[1, 256, 3, 3]",0.7167,0.1324,0.589,1.0016
head.classification_head.module_list.5.0.0,Conv2d,1152,"[1, 128, 1, 1]","[1, 128, 1, 1]",0.7136,0.1736,0.5837,1.2942
backbone.features.0.4.block.2.fc2,Conv2d,1800,"[1, 24, 1, 1]","[1, 72, 1, 1]",0.7125,0.1018,0.6143,0.9591
backbone.features.1.2.block.2.fc2,Conv2d,58080,"[1, 120, 1, 1]","[1, 480, 1, 1]",0.711,0.294,0.538,1.8913
head.classification_head.module_list.3.1,Conv2d,140322,"[1, 256, 3, 3]","[1, 546, 3, 3]",0.7075,0.1164,0.5893,0.9576
backbone.features.0.5.block.2.fc2,Conv2d,3960,"[1, 32, 1, 1]","[1, 120, 1, 1]",0.7046,0.1157,0.5984,0.9758
backbone.features.0.6.block.2.fc2,Conv2d,3960,"[1, 32, 1, 1]","[1, 120, 1, 1]",0.7027,0.1145,0.5983,0.9203
head.classification_head.module_list.3.0.0,Conv2d,2304,"[1, 256, 3, 3]","[1, 256, 3, 3]",0.7024,0.1068,0.5994,0.9304
head.regression_head.module_list.4.0.0,Conv2d,2304,"[1, 256, 2, 2]","[1, 256, 2, 2]",0.701,0.1191,0.5811,0.9852
backbone.features.1.1.block.1.0,Conv2d,12000,"[1, 480, 10, 10]","[1, 480, 10, 10]",0.6951,0.052,0.6579,0.8812
backbone.features.0.11.block.2.fc2,Conv2d,58080,"[1, 120, 1, 1]","[1, 480, 1, 1]",0.6949,0.2635,0.5462,1.7921
head.classification_head.module_list.4.0.0,Conv2d,2304,"[1, 256, 2, 2]","[1, 256, 2, 2]",0.6896,0.1178,0.5786,1.0514
head.regression_head.module_list.5.0.0,Conv2d,1152,"[1, 128, 1, 1]","[1, 128, 1, 1]",0.6868,0.1026,0.5794,0.8979
backbone.features.0.12.block.1.1,BatchNorm2d,1344,"[1, 672, 20, 20]","[1, 672, 20, 20]",0.6828,0.6005,0.4857,3.2661
backbone.features.0.0.1,BatchNorm2d,32,"[1, 16, 160, 160]","[1, 16, 160, 160]",0.6819,0.04,0.6338,0.757
backbone.features.0.7.block.1.0,Conv2d,2160,"[1, 240, 40, 40]","[1, 240, 20, 20]",0.6683,0.0498,0.6323,0.8044
backbone.features.0.4.block.2.fc1,Conv2d,1752,"[1, 72, 1, 1]","[1, 24, 1, 1]",0.6674,0.0946,0.5719,0.8424
backbone.features.1.1.block.2.fc2,Conv2d,58080,"[1, 120, 1, 1]","[1, 480, 1, 1]",0.6549,0.1501,0.5363,1.1683
backbone.features.0.6.block.2.fc1,Conv2d,3872,"[1, 120, 1, 1]","[1, 32, 1, 1]",0.6538,0.1261,0.539,1.0117
backbone.features.0.5.block.2.fc1,Conv2d,3872,"[1, 120, 1, 1]","[1, 32, 1, 1]",0.6407,0.109,0.5457,0.8603
head.classification_head.module_list.5.1,Conv2d,70434,"[1, 128, 1, 1]","[1, 546, 1, 1]",0.6378,0.1349,0.5225,0.9903
head.regression_head.module_list.5.1,Conv2d,3096,"[1, 128, 1, 1]","[1, 24, 1, 1]",0.6341,0.1298,0.5217,1.0058
backbone.extra.0.2.0,Conv2d,131072,"[1, 256, 5, 5]","[1, 512, 5, 5]",0.6306,0.0966,0.5466,0.8169
backbone.features.0.7.block.0.1,BatchNorm2d,480,"[1, 240, 40, 40]","[1, 240, 40, 40]",0.6274,0.0571,0.5838,0.8325
backbone.extra.3.0.0,Conv2d,16384,"[1, 256, 2, 2]","[1, 64, 2, 2]",0.6269,0.1682,0.5009,1.1542
backbone.extra.1.0.0,Conv2d,65536,"[1, 512, 5, 5]","[1, 128, 5, 5]",0.6211,0.1077,0.5117,0.8904
backbone.features.0.4.block.0.1,BatchNorm2d,144,"[1, 72, 80, 80]","[1, 72, 80, 80]",0.6148,0.0488,0.5633,0.7277
backbone.features.0.3.block.0.1,BatchNorm2d,144,"[1, 72, 80, 80]","[1, 72, 80, 80]",0.6144,0.04,0.5773,0.7206
head.regression_head.module_list.0.0.1,BatchNorm2d,1344,"[1, 672, 20, 20]","[1, 672, 20, 20]",0.6126,0.3083,0.4911,1.8623
backbone.features.0.1.block.1.1,BatchNorm2d,32,"[1, 16, 160, 160]","[1, 16, 160, 160]",0.6036,0.0358,0.5681,0.6841
backbone.features.0.1.block.0.1,BatchNorm2d,32,"[1, 16, 160, 160]","[1, 16, 160, 160]",0.6012,0.0365,0.5653,0.7072
backbone.features.0.3.block.1.1,BatchNorm2d,144,"[1, 72, 80, 80]","[1, 72, 80, 80]",0.5997,0.0425,0.5631,0.723
backbone.features.0.8.block.1.0,Conv2d,1800,"[1, 200, 20, 20]","[1, 200, 20, 20]",0.5993,0.118,0.5443,1.0987
backbone.extra.2.0.0,Conv2d,32768,"[1, 256, 3, 3]","[1, 128, 3, 3]",0.5905,0.093,0.5008,0.7605
backbone.features.0.2.block.1.1,BatchNorm2d,128,"[1, 64, 80, 80]","[1, 64, 80, 80]",0.5778,0.0462,0.5357,0.7034
backbone.features.0.10.block.1.0,Conv2d,1656,"[1, 184, 20, 20]","[1, 184, 20, 20]",0.5551,0.046,0.5183,0.676
backbone.features.0.9.block.1.0,Conv2d,1656,"[1, 184, 20, 20]","[1, 184, 20, 20]",0.5534,0.0401,0.5246,0.6674
backbone.features.0.13.1,BatchNorm2d,1344,"[1, 672, 20, 20]","[1, 672, 20, 20]",0.5416,0.0719,0.4695,0.8079
head.classification_head.module_list.0.0.1,BatchNorm2d,1344,"[1, 672, 20, 20]","[1, 672, 20, 20]",0.5384,0.0408,0.4821,0.6162
backbone.extra.1.2.0,Conv2d,32768,"[1, 128, 3, 3]","[1, 256, 3, 3]",0.5279,0.1301,0.4331,0.9854
backbone.features.0.12.block.0.1,BatchNorm2d,1344,"[1, 672, 20, 20]","[1, 672, 20, 20]",0.5209,0.0391,0.4841,0.6053
backbone.extra.3.2.0,Conv2d,8192,"[1, 64, 1, 1]","[1, 128, 1, 1]",0.5048,0.0783,0.4216,0.6398
backbone.extra.2.2.0,Conv2d,32768,"[1, 128, 2, 2]","[1, 256, 2, 2]",0.4951,0.075,0.4287,0.6359
backbone.features.0.11.block.3.1,BatchNorm2d,224,"[1, 112, 20, 20]","[1, 112, 20, 20]",0.4671,0.1364,0.377,1.0022
backbone.features.0.6.block.1.1,BatchNorm2d,240,"[1, 120, 40, 40]","[1, 120, 40, 40]",0.4548,0.0698,0.3962,0.6475
backbone.features.1.2.block.1.1,BatchNorm2d,960,"[1, 480, 10, 10]","[1, 480, 10, 10]",0.4501,0.1399,0.3484,0.9103
backbone.features.1.2.block.0.1,BatchNorm2d,960,"[1, 480, 10, 10]","[1, 480, 10, 10]",0.4484,0.0911,0.3668,0.6972
backbone.features.0.5.block.1.1,BatchNorm2d,240,"[1, 120, 40, 40]","[1, 120, 40, 40]",0.446,0.0559,0.3992,0.6026
backbone.features.0.12.block.3.1,BatchNorm2d,224,"[1, 112, 20, 20]","[1, 112, 20, 20]",0.4457,0.0726,0.3669,0.5679
backbone.features.0.5.block.3.1,BatchNorm2d,80,"[1, 40, 40, 40]","[1, 40, 40, 40]",0.4455,0.0618,0.3911,0.5815
head.classification_head.module_list.1.0.1,BatchNorm2d,960,"[1, 480, 10, 10]","[1, 480, 10, 10]",0.4442,0.0577,0.3687,0.5468
backbone.features.0.6.block.0.1,BatchNorm2d,240,"[1, 120, 40, 40]","[1, 120, 40, 40]",0.4429,0.0402,0.4019,0.5269
backbone.features.0.6.block.3.1,BatchNorm2d,80,"[1, 40, 40, 40]","[1, 40, 40, 40]",0.4429,0.0613,0.3836,0.5841
backbone.features.0.4.block.3.1,BatchNorm2d,80,"[1, 40, 40, 40]","[1, 40, 40, 40]",0.4423,0.0851,0.3849,0.7559
backbone.features.0.11.block.0.1,BatchNorm2d,960,"[1, 480, 20, 20]","[1, 480, 20, 20]",0.4401,0.0414,0.3944,0.5237
backbone.features.0.11.block.1.1,BatchNorm2d,960,"[1, 480, 20, 20]","[1, 480, 20, 20]",0.4385,0.0435,0.3859,0.5526
backbone.features.1.1.block.3.1,BatchNorm2d,160,"[1, 80, 10, 10]","[1, 80, 10, 10]",0.4373,0.0813,0.3669,0.6798
backbone.features.1.0.1.1,BatchNorm2d,1344,"[1, 672, 10, 10]","[1, 672, 10, 10]",0.4359,0.1026,0.3552,0.7357
backbone.features.0.5.block.0.1,BatchNorm2d,240,"[1, 120, 40, 40]","[1, 120, 40, 40]",0.4352,0.0353,0.4018,0.5318
backbone.features.1.2.block.3.1,BatchNorm2d,160,"[1, 80, 10, 10]","[1, 80, 10, 10]",0.4311,0.074,0.3666,0.628
backbone.extra.3.2.2,ReLU6,0,"[1, 128, 1, 1]","[1, 128, 1, 1]",0.431,0.675,0.2359,3.3676
backbone.features.1.1.block.0.1,BatchNorm2d,960,"[1, 480, 10, 10]","[1, 480, 10, 10]",0.4291,0.0931,0.3502,0.7448
head.regression_head.module_list.1.0.1,BatchNorm2d,960,"[1, 480, 10, 10]","[1, 480, 10, 10]",0.4276,0.0512,0.3787,0.5361
backbone.features.1.1.block.1.1,BatchNorm2d,960,"[1, 480, 10, 10]","[1, 480, 10, 10]",0.4274,0.1115,0.3496,0.8486
backbone.extra.0.2.1,BatchNorm2d,1024,"[1, 512, 5, 5]","[1, 512, 5, 5]",0.4271,0.0809,0.3482,0.6468
backbone.features.0.7.block.2.1,BatchNorm2d,160,"[1, 80, 20, 20]","[1, 80, 20, 20]",0.4266,0.0784,0.3579,0.6872
