co2_per_inference_mg,energy_per_inference_mj,latency_mean_ms,model,num_runs,power_avg_mw,power_mode,runtime,total_co2_mg,total_energy_mj
0.20685,1622.354659,348.1388,mobilenetv3_small,200,4660.08,MAXN,pytorch_cpu,41.37,324470.9318
0.013798,108.216598,27.7524,mobilenetv3_small,200,3899.36,MAXN,pytorch_cuda,2.7595,21643.3197
0.002747,21.547459,7.0076,mobilenetv3_small,200,3074.87,MAXN,tensorrt_fp32,0.5495,4309.4918
0.002662,20.875682,5.8849,mobilenetv3_small,200,3547.33,MAXN,tensorrt_fp16,0.5323,4175.1365
0.003324,26.069073,7.1104,mobilenetv3_small,200,3666.33,MAXN,tensorrt_int8,0.6648,5213.8146
0.0052,40.784924,11.1433,mobilenetv3_small,200,3660.04,MAXN,onnxrt_cuda,1.04,8156.9847
0.002865,22.473377,7.2151,mobilenetv3_small,200,3114.77,MAXN,onnxrt_trt,0.5731,4494.6754
0.027141,212.872046,63.3893,mobilenetv3_small,200,3358.17,MAXN,tflite_cpu,5.4282,42574.4091
0.005345,41.917678,9.8306,mobilenetv3_small,200,4264.0,MAXN,ncnn_cpu,1.0689,8383.5357
0.002799,21.951286,7.2664,mobilenetv3_small,200,3020.93,MAXN,ncnn_vulkan,0.5598,4390.2572
0.518327,4065.307259,762.1527,resnet50,200,5333.98,MAXN,pytorch_cpu,103.6653,813061.4517
0.061128,479.435228,90.2361,resnet50,200,5313.12,MAXN,pytorch_cuda,12.2256,95887.0455
0.03567,279.763718,55.242,resnet50,200,5064.33,MAXN,tensorrt_fp32,7.134,55952.7436
0.019271,151.142397,29.8445,resnet50,200,5064.33,MAXN,tensorrt_fp16,3.8541,30228.4793
0.040053,314.139248,54.4161,resnet50,200,5772.91,MAXN,tensorrt_int8,8.0106,62827.8496
0.37644,2952.46757,513.2459,resnet50,200,5752.54,MAXN,onnxrt_cuda,75.2879,590493.5139
0.031224,244.897221,54.7539,resnet50,200,4472.69,MAXN,onnxrt_trt,6.2449,48979.4442
0.3199,2509.018894,552.9043,resnet50,200,4537.89,MAXN,tflite_cpu,63.98,501803.7788
0.169499,1329.40664,242.7701,resnet50,200,5475.99,MAXN,ncnn_cpu,33.8999,265881.328
0.059644,467.798374,91.7437,resnet50,200,5098.97,MAXN,ncnn_vulkan,11.9289,93559.6748
0.767367,6018.563698,1267.3115,efficientnet_b0,200,4749.08,MAXN,pytorch_cpu,153.4734,1203712.7397
0.025437,199.507774,44.5687,efficientnet_b0,200,4476.41,MAXN,pytorch_cuda,5.0874,39901.5549
0.014125,110.78661,27.4872,efficientnet_b0,200,4030.48,MAXN,tensorrt_fp32,2.8251,22157.322
0.012704,99.641841,22.1576,efficientnet_b0,200,4496.96,MAXN,tensorrt_fp16,2.5409,19928.3682
0.016425,128.826619,27.5443,efficientnet_b0,200,4677.07,MAXN,tensorrt_int8,3.2851,25765.3238
0.023899,187.442228,39.5076,efficientnet_b0,200,4744.46,MAXN,onnxrt_cuda,4.7798,37488.4456
0.012503,98.065817,27.935,efficientnet_b0,200,3510.5,MAXN,onnxrt_trt,2.5007,19613.1635
0.121151,950.206334,277.5719,efficientnet_b0,200,3423.28,MAXN,tflite_cpu,24.2303,190041.2668
0.041547,325.860662,63.1808,efficientnet_b0,200,5157.59,MAXN,ncnn_cpu,8.3094,65172.1325
0.011764,92.263738,23.2369,efficientnet_b0,200,3970.57,MAXN,ncnn_vulkan,2.3527,18452.7476
0.215751,1692.161748,363.3572,shufflenet_v2_x1_0,200,4657.02,MAXN,pytorch_cpu,43.1501,338432.3495
0.015231,119.456713,30.7417,shufflenet_v2_x1_0,200,3885.82,MAXN,pytorch_cuda,3.0461,23891.3425
0.00339,26.588679,8.1801,shufflenet_v2_x1_0,200,3250.41,MAXN,tensorrt_fp32,0.678,5317.7358
0.003343,26.219781,7.3446,shufflenet_v2_x1_0,200,3569.94,MAXN,tensorrt_fp16,0.6686,5243.9563
0.003951,30.98447,8.1624,shufflenet_v2_x1_0,200,3796.0,MAXN,tensorrt_int8,0.7901,6196.8941
0.007661,60.088389,15.9613,shufflenet_v2_x1_0,200,3764.63,MAXN,onnxrt_cuda,1.5323,12017.6778
0.003846,30.163064,8.8082,shufflenet_v2_x1_0,200,3424.43,MAXN,onnxrt_trt,0.7692,6032.6129
0.011471,89.969457,19.0883,shufflenet_v2_x1_0,200,4713.33,MAXN,ncnn_cpu,2.2942,17993.8914
0.004925,38.630464,11.1611,shufflenet_v2_x1_0,200,3461.17,MAXN,ncnn_vulkan,0.9851,7726.0929
0.716134,5616.737953,955.8778,yolov8n,200,5876.0,MAXN,pytorch_cpu,143.2268,1123347.5906
0.067091,526.205728,92.6833,yolov8n,200,5677.46,MAXN,pytorch_cuda,13.4182,105241.1457
0.066314,520.109131,79.0431,yolov8n,200,6580.07,MAXN,tensorrt_fp32,13.2628,104021.8262
0.04557,357.409878,60.4646,yolov8n,200,5911.06,MAXN,tensorrt_fp16,9.114,71481.9757
0.065745,515.648048,78.515,yolov8n,200,6567.51,MAXN,tensorrt_int8,13.149,103129.6095
0.089836,704.596866,111.9771,yolov8n,200,6292.33,MAXN,onnxrt_cuda,17.9672,140919.3731
0.068608,538.100982,75.614,yolov8n,200,7116.42,MAXN,onnxrt_trt,13.7216,107620.1964
0.509756,3998.087043,1141.8995,yolov8n,200,3501.26,MAXN,tflite_cpu,101.9512,799617.4087
0.510389,4003.048411,1144.7584,yolov8n,200,3496.85,MAXN,tflite_gpu,102.0777,800609.6822
0.838531,6576.711205,1300.0973,ssd_mobilenet_v2,200,5058.63,MAXN,pytorch_cpu,167.7061,1315342.2409
0.035973,282.142081,59.1074,ssd_mobilenet_v2,200,4773.38,MAXN,pytorch_cuda,7.1946,56428.4162
0.020683,162.220037,30.8867,ssd_mobilenet_v2,200,5252.1,MAXN,tensorrt_fp32,4.1366,32444.0074
0.018747,147.035525,28.2895,ssd_mobilenet_v2,200,5197.53,MAXN,tensorrt_fp16,3.7494,29407.105
0.023149,181.563294,34.093,ssd_mobilenet_v2,200,5325.53,MAXN,tensorrt_int8,4.6299,36312.6589
0.03878,304.153749,58.7403,ssd_mobilenet_v2,200,5177.94,MAXN,onnxrt_cuda,7.7559,60830.7498
0.015319,120.151462,31.5878,ssd_mobilenet_v2,200,3803.73,MAXN,onnxrt_trt,3.0639,24030.2925
0.171223,1342.928827,391.1766,ssd_mobilenet_v2,200,3433.05,MAXN,tflite_cpu,34.2447,268585.7653
0.177267,1390.33295,402.4235,ssd_mobilenet_v2,200,3454.9,MAXN,tflite_gpu,35.4535,278066.59
0.070997,556.837061,102.3622,ssd_mobilenet_v2,200,5439.87,MAXN,ncnn_cpu,14.1993,111367.4122
0.029636,232.435322,44.3107,ssd_mobilenet_v2,200,5245.58,MAXN,ncnn_vulkan,5.9271,46487.0643
0.150697,1181.938786,474.3199,mobilenetv3_small,200,2491.86,5W,pytorch_cpu,30.1394,236387.7572
0.016367,128.366957,51.1192,mobilenetv3_small,200,2511.13,5W,pytorch_cuda,3.2734,25673.3913
0.003102,24.330848,9.6994,mobilenetv3_small,200,2508.49,5W,tensorrt_fp32,0.6204,4866.1696
0.004337,34.017549,13.6303,mobilenetv3_small,200,2495.73,5W,tensorrt_fp16,0.8674,6803.5097
0.003202,25.111796,9.6404,mobilenetv3_small,200,2604.85,5W,tensorrt_int8,0.6404,5022.3592
