co2_per_inference_mg,energy_per_inference_mj,error,final_class,mean_ms,memory_mb,model,model_size_mb,num_runs,p50_ms,p95_ms,p99_ms,power_avg_mw,power_max_mw,power_mode,runtime,source_path,status,status_reason,std_ms,total_co2_mg,total_energy_mj
0.20685,1622.354659,,measured,348.1388,13.34,mobilenetv3_small,9.75,200,376.358,430.7702,456.5739,4660.08,4920.0,MAXN,pytorch_cpu,results/clean_v2_20260512_131735/latency/MAXN/mobilenetv3_small_pytorch_cpu,ok,ok,83.3253,41.37,324470.9318
0.013798,108.216598,,measured,27.7524,12.29,mobilenetv3_small,9.75,200,26.8266,32.2764,34.3787,3899.36,4840.0,MAXN,pytorch_cuda,results/clean_v2_20260512_131735/latency/MAXN/mobilenetv3_small_pytorch_cuda,ok,ok,2.1376,2.7595,21643.3197
0.002747,21.547459,,measured,7.0076,0.58,mobilenetv3_small,11.94,200,6.8852,7.6848,9.1105,3074.87,5904.0,MAXN,tensorrt_fp32,results/clean_v2_20260512_131735/latency/MAXN/mobilenetv3_small_tensorrt_fp32,ok,ok,0.4216,0.5495,4309.4918
0.002662,20.875682,,measured,5.8849,0.58,mobilenetv3_small,6.78,200,5.7414,6.5685,8.5139,3547.33,5864.0,MAXN,tensorrt_fp16,results/clean_v2_20260512_131735/latency/MAXN/mobilenetv3_small_tensorrt_fp16,ok,ok,0.497,0.5323,4175.1365
0.003324,26.069073,,measured,7.1104,0.58,mobilenetv3_small,12.24,200,7.002,7.2762,9.4851,3666.33,5904.0,MAXN,tensorrt_int8,results/clean_v2_20260512_131735/latency/MAXN/mobilenetv3_small_tensorrt_int8,ok,ok,0.439,0.6648,5213.8146
0.0052,40.784924,,measured,11.1433,388.38,mobilenetv3_small,9.71,200,10.9088,12.8202,15.1304,3660.04,5855.0,MAXN,onnxrt_cuda,results/clean_v2_20260512_131735/latency/MAXN/mobilenetv3_small_onnxrt_cuda,ok,ok,0.9092,1.04,8156.9847
0.002865,22.473377,,measured,7.2151,986.35,mobilenetv3_small,9.71,200,7.118,7.6252,9.3285,3114.77,5697.0,MAXN,onnxrt_trt,results/clean_v2_20260512_131735/latency/MAXN/mobilenetv3_small_onnxrt_trt,ok,ok,0.3617,0.5731,4494.6754
0.027141,212.872046,,measured,63.3893,16.38,mobilenetv3_small,11.99,200,62.3677,67.9283,70.5376,3358.17,3778.0,MAXN,tflite_cpu,results/clean_v2_20260512_131735/latency/MAXN/mobilenetv3_small_tflite_cpu,ok,ok,2.3581,5.4282,42574.4091
,,"tflite_gpu: Descriptors cannot be created directly.
If this call came from a _pb2.py file, your generated code is out of date and must be regenerated with protoc >= 3.19.0.
If you cannot immediately regenerate your protos, some other possible workarounds are:
 1. Downgrade the protobuf package to 3.20.x or lower.
 2. Set PROTOCOL_BUFFERS_PYTHON_IMPLEMENTATION=python (but this will use pure-Python parsing and will be much slower).

More information: https://developers.google.com/protocol-buffers/docs/news/2022-05-06#python-updates",error,,,mobilenetv3_small,,,,,,2411.5,2637.0,MAXN,tflite_gpu,results/clean_v2_20260512_131735/latency/MAXN/mobilenetv3_small_tflite_gpu,error,runtime_error,,,
0.005345,41.917678,,measured,9.8306,3.96,mobilenetv3_small,9.68,200,8.8947,14.1887,21.0129,4264.0,5141.0,MAXN,ncnn_cpu,results/clean_v2_20260512_131735/latency/MAXN/mobilenetv3_small_ncnn_cpu,ok,ok,4.5183,1.0689,8383.5357
0.002799,21.951286,,measured,7.2664,2.17,mobilenetv3_small,9.68,200,7.1491,7.5446,9.8466,3020.93,4280.0,MAXN,ncnn_vulkan,results/clean_v2_20260512_131735/latency/MAXN/mobilenetv3_small_ncnn_vulkan,ok,ok,0.4201,0.5598,4390.2572
0.518327,4065.307259,,measured,762.1527,21.02,resnet50,97.7,200,764.2314,825.221,842.9892,5333.98,5607.0,MAXN,pytorch_cpu,results/clean_v2_20260512_131735/latency/MAXN/resnet50_pytorch_cpu,ok,ok,36.687,103.6653,813061.4517
0.061128,479.435228,,measured,90.2361,125.64,resnet50,97.7,200,90.2083,91.088,92.1425,5313.12,8423.0,MAXN,pytorch_cuda,results/clean_v2_20260512_131735/latency/MAXN/resnet50_pytorch_cuda,ok,ok,0.6651,12.2256,95887.0455
0.03567,279.763718,,measured,55.242,0.58,resnet50,121.75,200,55.1354,55.7904,56.0184,5064.33,7354.0,MAXN,tensorrt_fp32,results/clean_v2_20260512_131735/latency/MAXN/resnet50_tensorrt_fp32,ok,ok,0.3072,7.134,55952.7436
0.019271,151.142397,,measured,29.8445,0.58,resnet50,61.14,200,29.8014,30.2426,30.3099,5064.33,6932.0,MAXN,tensorrt_fp16,results/clean_v2_20260512_131735/latency/MAXN/resnet50_tensorrt_fp16,ok,ok,0.1943,3.8541,30228.4793
0.040053,314.139248,,measured,54.4161,0.58,resnet50,115.83,200,54.3167,54.8566,55.8971,5772.91,7458.0,MAXN,tensorrt_int8,results/clean_v2_20260512_131735/latency/MAXN/resnet50_tensorrt_int8,ok,ok,0.4313,8.0106,62827.8496
0.37644,2952.46757,,measured,513.2459,391.41,resnet50,97.41,200,512.9556,516.4848,520.4068,5752.54,6865.0,MAXN,onnxrt_cuda,results/clean_v2_20260512_131735/latency/MAXN/resnet50_onnxrt_cuda,ok,ok,1.8991,75.2879,590493.5139
0.031224,244.897221,,measured,54.7539,651.16,resnet50,97.41,200,54.6402,55.4835,55.683,4472.69,7510.0,MAXN,onnxrt_trt,results/clean_v2_20260512_131735/latency/MAXN/resnet50_onnxrt_trt,ok,ok,0.3999,6.2449,48979.4442
0.3199,2509.018894,,measured,552.9043,196.38,resnet50,97.43,200,549.9915,568.6152,602.9788,4537.89,4760.0,MAXN,tflite_cpu,results/clean_v2_20260512_131735/latency/MAXN/resnet50_tflite_cpu,ok,ok,17.3174,63.98,501803.7788
,,"tflite_gpu: Descriptors cannot be created directly.
If this call came from a _pb2.py file, your generated code is out of date and must be regenerated with protoc >= 3.19.0.
If you cannot immediately regenerate your protos, some other possible workarounds are:
 1. Downgrade the protobuf package to 3.20.x or lower.
 2. Set PROTOCOL_BUFFERS_PYTHON_IMPLEMENTATION=python (but this will use pure-Python parsing and will be much slower).

More information: https://developers.google.com/protocol-buffers/docs/news/2022-05-06#python-updates",error,,,resnet50,,,,,,2465.33,2605.0,MAXN,tflite_gpu,results/clean_v2_20260512_131735/latency/MAXN/resnet50_tflite_gpu,error,runtime_error,,,
0.169499,1329.40664,,measured,242.7701,11.86,resnet50,97.39,200,240.1211,253.3274,302.9185,5475.99,5713.0,MAXN,ncnn_cpu,results/clean_v2_20260512_131735/latency/MAXN/resnet50_ncnn_cpu,ok,ok,13.1175,33.8999,265881.328
0.059644,467.798374,,measured,91.7437,1.65,resnet50,97.39,200,91.7234,92.4823,93.9071,5098.97,6523.0,MAXN,ncnn_vulkan,results/clean_v2_20260512_131735/latency/MAXN/resnet50_ncnn_vulkan,ok,ok,0.5798,11.9289,93559.6748
0.767367,6018.563698,,measured,1267.3115,18.23,efficientnet_b0,20.33,200,1300.3402,1531.1095,1571.4299,4749.08,5079.0,MAXN,pytorch_cpu,results/clean_v2_20260512_131735/latency/MAXN/efficientnet_b0_pytorch_cpu,ok,ok,212.4369,153.4734,1203712.7397
0.025437,199.507774,,measured,44.5687,30.94,efficientnet_b0,20.33,200,42.9161,49.9032,58.1406,4476.41,6090.0,MAXN,pytorch_cuda,results/clean_v2_20260512_131735/latency/MAXN/efficientnet_b0_pytorch_cuda,ok,ok,3.5969,5.0874,39901.5549
0.014125,110.78661,,measured,27.4872,0.58,efficientnet_b0,25.22,200,27.4032,27.8095,28.0882,4030.48,6742.0,MAXN,tensorrt_fp32,results/clean_v2_20260512_131735/latency/MAXN/efficientnet_b0_tensorrt_fp32,ok,ok,0.2443,2.8251,22157.322
