model,runtime,rank,layer_name,backend,granularity,mean_ms,std_ms,min_ms,max_ms,samples,percent_total_ms,cumulative_percent_ms
efficientnet_b0,onnxrt_cuda,3,model_loading_uri,onnxruntime,onnx_node,246.698,0.0,246.698,246.698,1,7.214807,86.143425
efficientnet_b0,onnxrt_cuda,1,session_initialization,onnxruntime,onnx_node,2450.286,0.0,2450.286,2450.286,1,71.65985,71.65985
efficientnet_b0,onnxrt_cuda,255,Conv:/features/features.0/features.0.0/Conv_fence_before,onnxruntime,onnx_node,0.001383,0.000486,0.001,0.002,60,4e-05,99.989621
efficientnet_b0,onnxrt_cuda,5,Conv:/features/features.0/features.0.0/Conv_kernel_time,onnxruntime,onnx_node,58.207083,444.899763,0.258,3475.547,60,1.702296,94.854552
efficientnet_b0,onnxrt_cuda,284,Conv:/features/features.0/features.0.0/Conv_fence_after,onnxruntime,onnx_node,0.001,0.0,0.001,0.001,11,2.9e-05,99.990524
efficientnet_b0,onnxrt_cuda,285,Sigmoid:/features/features.0/features.0.2/Sigmoid_fence_before,onnxruntime,onnx_node,0.001,0.0,0.001,0.001,26,2.9e-05,99.990554
efficientnet_b0,onnxrt_cuda,91,Sigmoid:/features/features.0/features.0.2/Sigmoid_kernel_time,onnxruntime,onnx_node,0.07945,0.01805,0.069,0.145,60,0.002324,99.706464
efficientnet_b0,onnxrt_cuda,286,Mul:/features/features.0/features.0.2/Mul_fence_before,onnxruntime,onnx_node,0.001,0.0,0.001,0.001,19,2.9e-05,99.990583
efficientnet_b0,onnxrt_cuda,104,Mul:/features/features.0/features.0.2/Mul_kernel_time,onnxruntime,onnx_node,0.072467,0.020393,0.063,0.188,60,0.002119,99.734825
efficientnet_b0,onnxrt_cuda,264,Conv:/features/features.1/features.1.0/block/block.0/block.0.0/Conv_fence_before,onnxruntime,onnx_node,0.001068,0.00033,0.001,0.003,44,3.1e-05,99.989918
efficientnet_b0,onnxrt_cuda,15,Conv:/features/features.1/features.1.0/block/block.0/block.0.0/Conv_kernel_time,onnxruntime,onnx_node,7.47915,56.125207,0.157,438.585,60,0.218732,97.651468
efficientnet_b0,onnxrt_cuda,287,Conv:/features/features.1/features.1.0/block/block.0/block.0.0/Conv_fence_after,onnxruntime,onnx_node,0.001,0.0,0.001,0.001,10,2.9e-05,99.990612
efficientnet_b0,onnxrt_cuda,288,Sigmoid:/features/features.1/features.1.0/block/block.0/block.0.2/Sigmoid_fence_before,onnxruntime,onnx_node,0.001,0.0,0.001,0.001,28,2.9e-05,99.990641
efficientnet_b0,onnxrt_cuda,95,Sigmoid:/features/features.1/features.1.0/block/block.0/block.0.2/Sigmoid_kernel_time,onnxruntime,onnx_node,0.076383,0.015191,0.069,0.175,60,0.002234,99.71551
efficientnet_b0,onnxrt_cuda,289,Sigmoid:/features/features.1/features.1.0/block/block.0/block.0.2/Sigmoid_fence_after,onnxruntime,onnx_node,0.001,0.0,0.001,0.001,6,2.9e-05,99.990671
efficientnet_b0,onnxrt_cuda,248,Mul:/features/features.1/features.1.0/block/block.0/block.0.2/Mul_fence_before,onnxruntime,onnx_node,0.004714,0.013392,0.001,0.053,14,0.000138,99.989089
efficientnet_b0,onnxrt_cuda,114,Mul:/features/features.1/features.1.0/block/block.0/block.0.2/Mul_kernel_time,onnxruntime,onnx_node,0.068017,0.009782,0.061,0.124,60,0.001989,99.755212
efficientnet_b0,onnxrt_cuda,290,Mul:/features/features.1/features.1.0/block/block.0/block.0.2/Mul_fence_after,onnxruntime,onnx_node,0.001,0.0,0.001,0.001,3,2.9e-05,99.9907
efficientnet_b0,onnxrt_cuda,257,GlobalAveragePool:/features/features.1/features.1.0/block/block.1/avgpool/GlobalAveragePool_fence_before,onnxruntime,onnx_node,0.0012,0.0004,0.001,0.002,60,3.5e-05,99.989693
