model,runtime,rank,layer_name,backend,granularity,mean_ms,std_ms,min_ms,max_ms,samples,percent_total_ms,cumulative_percent_ms
efficientnet_b0,pytorch_cuda,26,aten::conv2d,pytorch,op,0.003857,0.000618,0.002832,0.004622,4050,0.370001,99.507881
efficientnet_b0,pytorch_cuda,23,aten::convolution,pytorch,op,0.005599,0.000585,0.0046,0.006368,4050,0.53711,98.15537
efficientnet_b0,pytorch_cuda,10,aten::_convolution,pytorch,op,0.01793,0.000731,0.017375,0.019195,4050,1.720018,86.724109
efficientnet_b0,pytorch_cuda,1,aten::cudnn_convolution,pytorch,op,0.204872,0.012777,0.194443,0.225188,3250,19.653291,19.653291
efficientnet_b0,pytorch_cuda,21,aten::empty,pytorch,op,0.005903,0.000126,0.005796,0.006142,13850,0.566272,97.063307
efficientnet_b0,pytorch_cuda,24,aten::batch_norm,pytorch,op,0.005436,0.000232,0.005229,0.00578,2450,0.521473,98.676843
efficientnet_b0,pytorch_cuda,15,aten::_batch_norm_impl_index,pytorch,op,0.010313,0.000421,0.010045,0.011153,2450,0.989322,92.342515
efficientnet_b0,pytorch_cuda,3,aten::cudnn_batch_norm,pytorch,op,0.099878,0.016076,0.09031,0.131745,2450,9.581258,46.603564
efficientnet_b0,pytorch_cuda,25,aten::empty_like,pytorch,op,0.004806,0.000197,0.004663,0.005184,2450,0.461038,99.137881
efficientnet_b0,pytorch_cuda,18,aten::view,pytorch,op,0.008529,0.000508,0.008229,0.009543,2450,0.818184,94.939233
efficientnet_b0,pytorch_cuda,9,aten::silu_,pytorch,op,0.056892,0.004788,0.053304,0.065743,2450,5.457627,85.004091
efficientnet_b0,pytorch_cuda,7,aten::_conv_depthwise2d,pytorch,op,0.066984,0.00633,0.062013,0.078906,800,6.425749,73.771885
efficientnet_b0,pytorch_cuda,14,aten::resize_,pytorch,op,0.010364,0.000752,0.009706,0.011556,800,0.994214,91.353193
efficientnet_b0,pytorch_cuda,22,aten::adaptive_avg_pool2d,pytorch,op,0.005785,0.000377,0.005447,0.006288,850,0.554953,97.61826
efficientnet_b0,pytorch_cuda,4,aten::mean,pytorch,op,0.079656,0.004482,0.075647,0.086771,850,7.641369,54.244933
efficientnet_b0,pytorch_cuda,13,aten::reshape,pytorch,op,0.012091,0.000711,0.011512,0.013397,1600,1.159885,90.358978
efficientnet_b0,pytorch_cuda,20,aten::_reshape_alias,pytorch,op,0.007899,0.000457,0.007445,0.008688,1650,0.757748,96.497034
efficientnet_b0,pytorch_cuda,8,aten::add_,pytorch,op,0.060196,0.005912,0.055968,0.07128,2050,5.774579,79.546464
efficientnet_b0,pytorch_cuda,6,aten::sigmoid,pytorch,op,0.067421,0.006655,0.063025,0.080287,800,6.46767,67.346136
efficientnet_b0,pytorch_cuda,5,aten::mul,pytorch,op,0.06915,0.006074,0.064856,0.080888,800,6.633533,60.878466
efficientnet_b0,pytorch_cuda,11,aten::flatten,pytorch,op,0.01304,0.000578,0.0123,0.014,50,1.250922,87.975031
efficientnet_b0,pytorch_cuda,28,aten::dropout_,pytorch,op,0.00144,0.000242,0.0011,0.0017,50,0.138139,100.0
efficientnet_b0,pytorch_cuda,12,aten::linear,pytorch,op,0.01276,0.001503,0.0116,0.0157,50,1.224062,89.199093
efficientnet_b0,pytorch_cuda,17,aten::t,pytorch,op,0.0088,0.000228,0.0086,0.0092,50,0.844181,94.12105
efficientnet_b0,pytorch_cuda,19,aten::transpose,pytorch,op,0.00834,0.000287,0.0079,0.0087,50,0.800053,95.739286
efficientnet_b0,pytorch_cuda,27,aten::as_strided,pytorch,op,0.00369,0.000146,0.0035,0.00385,100,0.35398,99.861861
efficientnet_b0,pytorch_cuda,2,aten::addmm,pytorch,op,0.18106,0.018279,0.1679,0.2167,50,17.369015,37.022307
efficientnet_b0,pytorch_cuda,16,aten::expand,pytorch,op,0.00974,0.000185,0.0095,0.01,50,0.934354,93.276869
