model,runtime,rank,layer_name,backend,granularity,mean_ms,std_ms,min_ms,max_ms,samples,percent_total_ms,cumulative_percent_ms
mobilenetv3_small,ncnn_cpu,1,Convolution:/features/features.0/features.0.0/Conv,ncnn,ncnn_layer,1.088676,0.088333,1.06,1.8,68,8.521637,8.521637
mobilenetv3_small,ncnn_cpu,36,HardSwish:/features/features.0/features.0.2/Mul,ncnn,ncnn_layer,0.154265,0.012639,0.15,0.23,68,1.207513,83.100651
mobilenetv3_small,ncnn_cpu,10,ConvolutionDepthWise:/features/features.1/block/block.0/block.0.0/Conv,ncnn,ncnn_layer,0.324559,0.050568,0.31,0.73,68,2.540493,36.486607
mobilenetv3_small,ncnn_cpu,45,ReLU:/features/features.1/block/block.0/block.0.2/Relu,ncnn,ncnn_layer,0.050588,0.004499,0.04,0.08,68,0.395979,88.768694
mobilenetv3_small,ncnn_cpu,119,Split:splitncnn_0,ncnn,ncnn_layer,0.0,0.0,0.0,0.0,68,0.0,100.0
mobilenetv3_small,ncnn_cpu,57,Pooling:/features/features.1/block/block.1/avgpool/GlobalAveragePool,ncnn,ncnn_layer,0.030735,0.00261,0.03,0.04,68,0.240579,92.383154
mobilenetv3_small,ncnn_cpu,91,Convolution:/features/features.1/block/block.1/fc1/Conv,ncnn,ncnn_layer,0.016471,0.007815,0.01,0.06,68,0.128927,98.637111
mobilenetv3_small,ncnn_cpu,114,ReLU:/features/features.1/block/block.1/activation/Relu,ncnn,ncnn_layer,0.000441,0.003611,0.0,0.03,68,0.003452,99.988494
mobilenetv3_small,ncnn_cpu,100,Convolution:/features/features.1/block/block.1/fc2/Conv,ncnn,ncnn_layer,0.01,0.0,0.01,0.01,68,0.078275,99.450938
mobilenetv3_small,ncnn_cpu,117,HardSigmoid:/features/features.1/block/block.1/scale_activation/HardSigmoid,ncnn,ncnn_layer,0.000294,0.00169,0.0,0.01,68,0.002301,99.997699
mobilenetv3_small,ncnn_cpu,54,BinaryOp:/features/features.1/block/block.1/Mul,ncnn,ncnn_layer,0.0325,0.01376,0.03,0.14,68,0.254395,91.655664
