model,runtime,rank,layer_name,backend,granularity,mean_ms,std_ms,min_ms,max_ms,samples,percent_total_ms,cumulative_percent_ms
mobilenetv3_small,ncnn_vulkan,1,Convolution:/features/features.0/features.0.0/Conv,ncnn,ncnn_layer,0.555196,0.002872,0.54828,0.56229,70,10.5375,10.5375
mobilenetv3_small,ncnn_vulkan,35,HardSwish:/features/features.0/features.0.2/Mul,ncnn,ncnn_layer,0.05158,0.000644,0.04995,0.05359,70,0.978977,73.218387
mobilenetv3_small,ncnn_vulkan,12,ConvolutionDepthWise:/features/features.1/block/block.0/block.0.0/Conv,ncnn,ncnn_layer,0.120926,0.001567,0.1174,0.12432,70,2.295149,42.548974
mobilenetv3_small,ncnn_vulkan,79,ReLU:/features/features.1/block/block.0/block.0.2/Relu,ncnn,ncnn_layer,0.013845,0.000401,0.01307,0.0149,70,0.262775,94.479009
mobilenetv3_small,ncnn_vulkan,130,Split:splitncnn_0,ncnn,ncnn_layer,0.000339,2.5e-05,0.00031,0.00036,70,0.006434,99.955322
mobilenetv3_small,ncnn_vulkan,57,Pooling:/features/features.1/block/block.1/avgpool/GlobalAveragePool,ncnn,ncnn_layer,0.02317,0.000326,0.02245,0.02385,70,0.439762,87.376869
mobilenetv3_small,ncnn_vulkan,76,Convolution:/features/features.1/block/block.1/fc1/Conv,ncnn,ncnn_layer,0.015212,0.00034,0.01453,0.01625,70,0.28872,93.661284
mobilenetv3_small,ncnn_vulkan,121,ReLU:/features/features.1/block/block.1/activation/Relu,ncnn,ncnn_layer,0.003551,5e-05,0.00349,0.0038,70,0.067397,99.896864
mobilenetv3_small,ncnn_vulkan,70,Convolution:/features/features.1/block/block.1/fc2/Conv,ncnn,ncnn_layer,0.015745,0.000451,0.0149,0.01667,70,0.298837,91.902389
mobilenetv3_small,ncnn_vulkan,110,HardSigmoid:/features/features.1/block/block.1/scale_activation/HardSigmoid,ncnn,ncnn_layer,0.004011,0.000129,0.0038,0.00432,70,0.076128,99.102731
mobilenetv3_small,ncnn_vulkan,58,BinaryOp:/features/features.1/block/block.1/Mul,ncnn,ncnn_layer,0.021705,0.000198,0.02141,0.02255,70,0.411956,87.788825
mobilenetv3_small,ncnn_vulkan,48,Convolution:/features/features.1/block/block.2/block.2.0/Conv,ncnn,ncnn_layer,0.029244,0.000368,0.02854,0.03,70,0.555045,82.902916
mobilenetv3_small,ncnn_vulkan,9,Convolution:/features/features.2/block/block.0/block.0.0/Conv,ncnn,ncnn_layer,0.124745,0.001188,0.12193,0.1276,70,2.367633,35.635094
mobilenetv3_small,ncnn_vulkan,30,ReLU:/features/features.2/block/block.0/block.0.2/Relu,ncnn,ncnn_layer,0.06055,0.000671,0.05906,0.06224,70,1.149226,68.248549
mobilenetv3_small,ncnn_vulkan,4,ConvolutionDepthWise:/features/features.2/block/block.1/block.1.0/Conv,ncnn,ncnn_layer,0.137946,0.00131,0.1351,0.14203,70,2.618185,23.628787
mobilenetv3_small,ncnn_vulkan,73,ReLU:/features/features.2/block/block.1/block.1.2/Relu,ncnn,ncnn_layer,0.015369,0.000345,0.01458,0.01635,70,0.2917,92.789846
mobilenetv3_small,ncnn_vulkan,40,Convolution:/features/features.2/block/block.2/block.2.0/Conv,ncnn,ncnn_layer,0.042368,0.000355,0.04156,0.04302,70,0.804135,77.694769
mobilenetv3_small,ncnn_vulkan,125,Split:splitncnn_1,ncnn,ncnn_layer,0.000343,2.4e-05,0.00031,0.00036,70,0.00651,99.922961
mobilenetv3_small,ncnn_vulkan,37,Convolution:/features/features.3/block/block.0/block.0.0/Conv,ncnn,ncnn_layer,0.048448,0.000685,0.04698,0.05052,70,0.919533,75.081252
mobilenetv3_small,ncnn_vulkan,71,ReLU:/features/features.3/block/block.0/block.0.2/Relu,ncnn,ncnn_layer,0.015705,0.000359,0.01495,0.01677,70,0.298077,92.200467
mobilenetv3_small,ncnn_vulkan,15,ConvolutionDepthWise:/features/features.3/block/block.1/block.1.0/Conv,ncnn,ncnn_layer,0.083455,0.000626,0.08245,0.08516,70,1.583958,47.604505
mobilenetv3_small,ncnn_vulkan,69,ReLU:/features/features.3/block/block.1/block.1.2/Relu,ncnn,ncnn_layer,0.016627,0.000535,0.01542,0.01802,70,0.315577,91.603553
mobilenetv3_small,ncnn_vulkan,36,Convolution:/features/features.3/block/block.2/block.2.0/Conv,ncnn,ncnn_layer,0.049702,0.000418,0.04844,0.05099,70,0.943333,74.16172
mobilenetv3_small,ncnn_vulkan,92,BinaryOp:/features/features.3/Add,ncnn,ncnn_layer,0.009278,0.000198,0.00891,0.0099,70,0.176094,97.149654
mobilenetv3_small,ncnn_vulkan,39,Convolution:/features/features.4/block/block.0/block.0.0/Conv,ncnn,ncnn_layer,0.04693,0.00061,0.04578,0.0487,70,0.890721,76.890633
mobilenetv3_small,ncnn_vulkan,62,HardSwish:/features/features.4/block/block.0/block.0.2/Mul,ncnn,ncnn_layer,0.018613,0.000138,0.01828,0.01901,70,0.353271,89.30884
mobilenetv3_small,ncnn_vulkan,16,ConvolutionDepthWise:/features/features.4/block/block.1/block.1.0/Conv,ncnn,ncnn_layer,0.082572,0.000466,0.08172,0.0837,70,1.567199,49.171703
mobilenetv3_small,ncnn_vulkan,98,HardSwish:/features/features.4/block/block.1/block.1.2/Mul,ncnn,ncnn_layer,0.006971,9.1e-05,0.00672,0.00724,70,0.132308,98.018378
mobilenetv3_small,ncnn_vulkan,126,Split:splitncnn_2,ncnn,ncnn_layer,0.000342,2.4e-05,0.00031,0.00036,70,0.006491,99.929452
mobilenetv3_small,ncnn_vulkan,78,Pooling:/features/features.4/block/block.2/avgpool/GlobalAveragePool,ncnn,ncnn_layer,0.01432,0.00024,0.01385,0.01495,70,0.27179,94.216234
mobilenetv3_small,ncnn_vulkan,49,Convolution:/features/features.4/block/block.2/fc1/Conv,ncnn,ncnn_layer,0.027473,0.000368,0.02667,0.02839,70,0.521432,83.424348
mobilenetv3_small,ncnn_vulkan,113,ReLU:/features/features.4/block/block.2/activation/Relu,ncnn,ncnn_layer,0.003981,0.000125,0.0038,0.00422,70,0.075559,99.330298
mobilenetv3_small,ncnn_vulkan,66,Convolution:/features/features.4/block/block.2/fc2/Conv,ncnn,ncnn_layer,0.017116,0.000427,0.01635,0.01823,70,0.324858,90.647522
mobilenetv3_small,ncnn_vulkan,108,HardSigmoid:/features/features.4/block/block.2/scale_activation/HardSigmoid,ncnn,ncnn_layer,0.004046,0.000139,0.0038,0.00438,70,0.076792,98.950342
mobilenetv3_small,ncnn_vulkan,82,BinaryOp:/features/features.4/block/block.2/Mul,ncnn,ncnn_layer,0.012795,0.000167,0.01255,0.01323,70,0.242846,95.222086
mobilenetv3_small,ncnn_vulkan,44,Convolution:/features/features.4/block/block.3/block.3.0/Conv,ncnn,ncnn_layer,0.03426,0.000506,0.0325,0.03536,70,0.650247,80.583719
mobilenetv3_small,ncnn_vulkan,128,Split:splitncnn_3,ncnn,ncnn_layer,0.000341,2.4e-05,0.00031,0.00036,70,0.006472,99.942415
mobilenetv3_small,ncnn_vulkan,33,Convolution:/features/features.5/block/block.0/block.0.0/Conv,ncnn,ncnn_layer,0.051904,0.000467,0.05104,0.05313,70,0.985127,71.258705
mobilenetv3_small,ncnn_vulkan,80,HardSwish:/features/features.5/block/block.0/block.0.2/Mul,ncnn,ncnn_layer,0.013193,0.000106,0.01307,0.01344,70,0.2504,94.729409
mobilenetv3_small,ncnn_vulkan,5,ConvolutionDepthWise:/features/features.5/block/block.1/block.1.0/Conv,ncnn,ncnn_layer,0.127969,0.000229,0.12745,0.12875,70,2.428824,26.05761
mobilenetv3_small,ncnn_vulkan,83,HardSwish:/features/features.5/block/block.1/block.1.2/Mul,ncnn,ncnn_layer,0.012505,0.000617,0.01068,0.01328,70,0.237342,95.459428
mobilenetv3_small,ncnn_vulkan,129,Split:splitncnn_4,ncnn,ncnn_layer,0.000341,2.4e-05,0.00031,0.00036,70,0.006472,99.948887
mobilenetv3_small,ncnn_vulkan,60,Pooling:/features/features.5/block/block.2/avgpool/GlobalAveragePool,ncnn,ncnn_layer,0.02053,0.00018,0.0201,0.02099,70,0.389655,88.568609
mobilenetv3_small,ncnn_vulkan,32,Convolution:/features/features.5/block/block.2/fc1/Conv,ncnn,ncnn_layer,0.053336,0.00039,0.05266,0.05469,70,1.012306,70.273578
mobilenetv3_small,ncnn_vulkan,118,ReLU:/features/features.5/block/block.2/activation/Relu,ncnn,ncnn_layer,0.003737,0.000125,0.00359,0.00401,70,0.070927,99.691047
mobilenetv3_small,ncnn_vulkan,54,Convolution:/features/features.5/block/block.2/fc2/Conv,ncnn,ncnn_layer,0.026493,0.000549,0.02557,0.02792,70,0.502831,85.977242
mobilenetv3_small,ncnn_vulkan,109,HardSigmoid:/features/features.5/block/block.2/scale_activation/HardSigmoid,ncnn,ncnn_layer,0.004018,0.000145,0.00385,0.00438,70,0.076261,99.026603
mobilenetv3_small,ncnn_vulkan,56,BinaryOp:/features/features.5/block/block.2/Mul,ncnn,ncnn_layer,0.025135,0.000211,0.02474,0.02568,70,0.477057,86.937107
mobilenetv3_small,ncnn_vulkan,22,Convolution:/features/features.5/block/block.3/block.3.0/Conv,ncnn,ncnn_layer,0.07613,0.001403,0.0724,0.07807,70,1.444931,58.052306
mobilenetv3_small,ncnn_vulkan,97,BinaryOp:/features/features.5/Add,ncnn,ncnn_layer,0.007014,0.00025,0.00651,0.00771,70,0.133124,97.88607
