model,runtime,rank,layer_name,backend,granularity,mean_ms,std_ms,min_ms,max_ms,samples,percent_total_ms,cumulative_percent_ms
resnet50,ncnn_cpu,2,Convolution:/conv1/Conv,ncnn,ncnn_layer,14.165588,0.031547,14.13,14.34,68,3.802496,7.609728
resnet50,ncnn_cpu,62,ReLU:/relu/Relu,ncnn,ncnn_layer,0.658382,0.018912,0.64,0.74,68,0.176731,97.249165
resnet50,ncnn_cpu,54,Pooling:/maxpool/MaxPool,ncnn,ncnn_layer,1.354706,0.026148,1.33,1.48,68,0.363646,95.314522
resnet50,ncnn_cpu,125,Split:splitncnn_0,ncnn,ncnn_layer,0.003676,0.004822,0.0,0.01,68,0.000987,99.996961
resnet50,ncnn_cpu,53,Convolution:/layer1/layer1.0/conv1/Conv,ncnn,ncnn_layer,1.798971,0.080131,1.61,1.89,68,0.482901,94.950875
resnet50,ncnn_cpu,92,ReLU:/layer1/layer1.0/relu/Relu,ncnn,ncnn_layer,0.152059,0.013886,0.14,0.21,68,0.040817,99.529495
resnet50,ncnn_cpu,29,Convolution:/layer1/layer1.0/conv2/Conv,ncnn,ncnn_layer,5.457647,0.051281,5.38,5.58,68,1.465007,63.13159
resnet50,ncnn_cpu,89,ReLU:/layer1/layer1.0/relu_1/Relu,ncnn,ncnn_layer,0.157353,0.01009,0.15,0.2,68,0.042239,99.406292
resnet50,ncnn_cpu,21,Convolution:/layer1/layer1.0/conv3/Conv,ncnn,ncnn_layer,5.603824,0.040946,5.55,5.7,68,1.504245,51.213174
resnet50,ncnn_cpu,15,Convolution:/layer1/layer1.0/downsample/downsample.0/Conv,ncnn,ncnn_layer,5.903529,0.025133,5.84,6.02,68,1.584695,42.055975
resnet50,ncnn_cpu,55,BinaryOp:/layer1/layer1.0/Add,ncnn,ncnn_layer,1.277647,0.124937,1.23,2.28,68,0.342961,95.657483
resnet50,ncnn_cpu,60,ReLU:/layer1/layer1.0/relu_2/Relu,ncnn,ncnn_layer,0.667647,0.01628,0.65,0.71,68,0.179218,96.894006
resnet50,ncnn_cpu,123,Split:splitncnn_1,ncnn,ncnn_layer,0.006618,0.005586,0.0,0.03,68,0.001776,99.994197
resnet50,ncnn_cpu,14,Convolution:/layer1/layer1.1/conv1/Conv,ncnn,ncnn_layer,6.319412,0.028069,6.28,6.49,68,1.696332,40.471279
resnet50,ncnn_cpu,88,ReLU:/layer1/layer1.1/relu/Relu,ncnn,ncnn_layer,0.160588,0.006155,0.15,0.18,68,0.043107,99.364054
resnet50,ncnn_cpu,31,Convolution:/layer1/layer1.1/conv2/Conv,ncnn,ncnn_layer,5.343382,0.023428,5.3,5.4,68,1.434334,66.012653
resnet50,ncnn_cpu,91,ReLU:/layer1/layer1.1/relu_1/Relu,ncnn,ncnn_layer,0.152794,0.007039,0.15,0.19,68,0.041015,99.488677
resnet50,ncnn_cpu,24,Convolution:/layer1/layer1.1/conv3/Conv,ncnn,ncnn_layer,5.581618,0.049753,5.51,5.7,68,1.498284,55.710553
resnet50,ncnn_cpu,57,BinaryOp:/layer1/layer1.1/Add,ncnn,ncnn_layer,1.249559,0.022455,1.23,1.36,68,0.335421,96.331523
resnet50,ncnn_cpu,59,ReLU:/layer1/layer1.1/relu_2/Relu,ncnn,ncnn_layer,0.673088,0.018089,0.66,0.74,68,0.180678,96.714789
resnet50,ncnn_cpu,124,Split:splitncnn_2,ncnn,ncnn_layer,0.006618,0.006327,0.0,0.04,68,0.001776,99.995974
resnet50,ncnn_cpu,13,Convolution:/layer1/layer1.2/conv1/Conv,ncnn,ncnn_layer,6.366618,0.039055,6.33,6.65,68,1.709003,38.774947
resnet50,ncnn_cpu,87,ReLU:/layer1/layer1.2/relu/Relu,ncnn,ncnn_layer,0.160735,0.006712,0.15,0.19,68,0.043146,99.320947
resnet50,ncnn_cpu,30,Convolution:/layer1/layer1.2/conv2/Conv,ncnn,ncnn_layer,5.389559,0.061152,5.33,5.82,68,1.44673,64.578319
resnet50,ncnn_cpu,90,ReLU:/layer1/layer1.2/relu_1/Relu,ncnn,ncnn_layer,0.154118,0.01018,0.15,0.19,68,0.04137,99.447662
resnet50,ncnn_cpu,25,Convolution:/layer1/layer1.2/conv3/Conv,ncnn,ncnn_layer,5.580147,0.048583,5.52,5.66,68,1.497889,57.208442
resnet50,ncnn_cpu,56,BinaryOp:/layer1/layer1.2/Add,ncnn,ncnn_layer,1.261471,0.019798,1.24,1.31,68,0.338619,95.996102
resnet50,ncnn_cpu,61,ReLU:/layer1/layer1.2/relu_2/Relu,ncnn,ncnn_layer,0.664706,0.014294,0.65,0.72,68,0.178428,97.072435
resnet50,ncnn_cpu,122,Split:splitncnn_3,ncnn,ncnn_layer,0.006765,0.004678,0.0,0.01,68,0.001816,99.992421
resnet50,ncnn_cpu,6,Convolution:/layer2/layer2.0/conv1/Conv,ncnn,ncnn_layer,11.532941,0.063687,11.46,11.93,68,3.095809,21.015493
resnet50,ncnn_cpu,72,ReLU:/layer2/layer2.0/relu/Relu,ncnn,ncnn_layer,0.321324,0.009986,0.31,0.36,68,0.086254,98.457464
resnet50,ncnn_cpu,1,Convolution:/layer2/layer2.0/conv2/Conv,ncnn,ncnn_layer,14.183235,0.252816,14.01,15.68,68,3.807233,3.807233
resnet50,ncnn_cpu,97,ReLU:/layer2/layer2.0/relu_1/Relu,ncnn,ncnn_layer,0.082059,0.005017,0.08,0.11,68,0.022027,99.65925
resnet50,ncnn_cpu,35,Convolution:/layer2/layer2.0/conv3/Conv,ncnn,ncnn_layer,5.319118,0.027372,5.3,5.51,68,1.427821,71.730095
resnet50,ncnn_cpu,5,Convolution:/layer2/layer2.0/downsample/downsample.0/Conv,ncnn,ncnn_layer,11.733676,0.028487,11.6,11.78,68,3.149693,17.919684
resnet50,ncnn_cpu,63,BinaryOp:/layer2/layer2.0/Add,ncnn,ncnn_layer,0.642794,0.015034,0.62,0.68,68,0.172546,97.421712
resnet50,ncnn_cpu,71,ReLU:/layer2/layer2.0/relu_2/Relu,ncnn,ncnn_layer,0.322941,0.010718,0.31,0.37,68,0.086688,98.371211
resnet50,ncnn_cpu,128,Split:splitncnn_4,ncnn,ncnn_layer,0.002206,0.004146,0.0,0.01,68,0.000592,99.998855
resnet50,ncnn_cpu,18,Convolution:/layer2/layer2.1/conv1/Conv,ncnn,ncnn_layer,5.7525,0.030553,5.66,5.9,68,1.544154,46.692781
resnet50,ncnn_cpu,102,ReLU:/layer2/layer2.1/relu/Relu,ncnn,ncnn_layer,0.075,0.006063,0.07,0.1,68,0.020132,99.766267
resnet50,ncnn_cpu,51,Convolution:/layer2/layer2.1/conv2/Conv,ncnn,ncnn_layer,4.214706,0.043537,4.14,4.51,68,1.131362,93.340994
resnet50,ncnn_cpu,99,ReLU:/layer2/layer2.1/relu_1/Relu,ncnn,ncnn_layer,0.081176,0.005294,0.08,0.11,68,0.02179,99.703067
resnet50,ncnn_cpu,33,Convolution:/layer2/layer2.1/conv3/Conv,ncnn,ncnn_layer,5.328824,0.031414,5.31,5.53,68,1.430426,68.873545
resnet50,ncnn_cpu,66,BinaryOp:/layer2/layer2.1/Add,ncnn,ncnn_layer,0.634706,0.017529,0.62,0.73,68,0.170375,97.934022
resnet50,ncnn_cpu,67,ReLU:/layer2/layer2.1/relu_2/Relu,ncnn,ncnn_layer,0.327941,0.012783,0.32,0.38,68,0.08803,98.022052
resnet50,ncnn_cpu,126,Split:splitncnn_5,ncnn,ncnn_layer,0.0025,0.00433,0.0,0.01,68,0.000671,99.997632
resnet50,ncnn_cpu,17,Convolution:/layer2/layer2.2/conv1/Conv,ncnn,ncnn_layer,5.757059,0.037458,5.65,5.94,68,1.545378,45.148626
resnet50,ncnn_cpu,103,ReLU:/layer2/layer2.2/relu/Relu,ncnn,ncnn_layer,0.074118,0.00691,0.07,0.11,68,0.019896,99.786163
resnet50,ncnn_cpu,52,Convolution:/layer2/layer2.2/conv2/Conv,ncnn,ncnn_layer,4.198382,0.022003,4.14,4.3,68,1.12698,94.467974
resnet50,ncnn_cpu,100,ReLU:/layer2/layer2.2/relu_1/Relu,ncnn,ncnn_layer,0.080441,0.002676,0.08,0.1,68,0.021593,99.72466
resnet50,ncnn_cpu,32,Convolution:/layer2/layer2.2/conv3/Conv,ncnn,ncnn_layer,5.328971,0.032137,5.31,5.54,68,1.430466,67.443119
resnet50,ncnn_cpu,64,BinaryOp:/layer2/layer2.2/Add,ncnn,ncnn_layer,0.637206,0.016436,0.62,0.69,68,0.171046,97.592758
resnet50,ncnn_cpu,68,ReLU:/layer2/layer2.2/relu_2/Relu,ncnn,ncnn_layer,0.327941,0.022266,0.32,0.49,68,0.08803,98.110082
resnet50,ncnn_cpu,127,Split:splitncnn_6,ncnn,ncnn_layer,0.002353,0.004242,0.0,0.01,68,0.000632,99.998263
resnet50,ncnn_cpu,16,Convolution:/layer2/layer2.3/conv1/Conv,ncnn,ncnn_layer,5.764118,0.039341,5.71,5.97,68,1.547273,43.603248
resnet50,ncnn_cpu,104,ReLU:/layer2/layer2.3/relu/Relu,ncnn,ncnn_layer,0.073676,0.005397,0.07,0.09,68,0.019777,99.80594
resnet50,ncnn_cpu,50,Convolution:/layer2/layer2.3/conv2/Conv,ncnn,ncnn_layer,4.229706,0.018066,4.16,4.32,68,1.135388,92.209633
resnet50,ncnn_cpu,98,ReLU:/layer2/layer2.3/relu_1/Relu,ncnn,ncnn_layer,0.082059,0.007186,0.08,0.11,68,0.022027,99.681277
resnet50,ncnn_cpu,34,Convolution:/layer2/layer2.3/conv3/Conv,ncnn,ncnn_layer,5.3225,0.013545,5.3,5.38,68,1.428729,70.302274
resnet50,ncnn_cpu,65,BinaryOp:/layer2/layer2.3/Add,ncnn,ncnn_layer,0.636618,0.015108,0.62,0.67,68,0.170889,97.763647
resnet50,ncnn_cpu,69,ReLU:/layer2/layer2.3/relu_2/Relu,ncnn,ncnn_layer,0.325147,0.009624,0.32,0.37,68,0.08728,98.197362
resnet50,ncnn_cpu,129,Split:splitncnn_7,ncnn,ncnn_layer,0.001471,0.003542,0.0,0.01,68,0.000395,99.99925
resnet50,ncnn_cpu,7,Convolution:/layer3/layer3.0/conv1/Conv,ncnn,ncnn_layer,11.000147,0.058874,10.88,11.33,68,2.95279,23.968283
resnet50,ncnn_cpu,93,ReLU:/layer3/layer3.0/relu/Relu,ncnn,ncnn_layer,0.151176,0.005565,0.14,0.18,68,0.04058,99.570075
resnet50,ncnn_cpu,4,Convolution:/layer3/layer3.0/conv2/Conv,ncnn,ncnn_layer,13.171029,0.033437,13.06,13.25,68,3.535524,14.769991
resnet50,ncnn_cpu,106,ReLU:/layer3/layer3.0/relu_1/Relu,ncnn,ncnn_layer,0.046912,0.00462,0.04,0.05,68,0.012593,99.837481
resnet50,ncnn_cpu,39,Convolution:/layer3/layer3.0/conv3/Conv,ncnn,ncnn_layer,5.275441,0.037669,5.25,5.48,68,1.416097,77.40739
resnet50,ncnn_cpu,8,Convolution:/layer3/layer3.0/downsample/downsample.0/Conv,ncnn,ncnn_layer,10.920882,0.059303,10.84,11.07,68,2.931513,26.899797
resnet50,ncnn_cpu,70,BinaryOp:/layer3/layer3.0/Add,ncnn,ncnn_layer,0.324706,0.012773,0.31,0.36,68,0.087161,98.284523
resnet50,ncnn_cpu,85,ReLU:/layer3/layer3.0/relu_2/Relu,ncnn,ncnn_layer,0.161176,0.005294,0.16,0.19,68,0.043265,99.234614
resnet50,ncnn_cpu,133,Split:splitncnn_8,ncnn,ncnn_layer,0.000441,0.002054,0.0,0.01,68,0.000118,99.999882
resnet50,ncnn_cpu,26,Convolution:/layer3/layer3.1/conv1/Conv,ncnn,ncnn_layer,5.578676,0.028123,5.55,5.7,68,1.497495,58.705937
resnet50,ncnn_cpu,113,ReLU:/layer3/layer3.1/relu/Relu,ncnn,ncnn_layer,0.040294,0.002407,0.04,0.06,68,0.010816,99.919471
resnet50,ncnn_cpu,49,Convolution:/layer3/layer3.1/conv2/Conv,ncnn,ncnn_layer,4.921029,0.023082,4.89,5.01,68,1.320961,91.074245
resnet50,ncnn_cpu,108,ReLU:/layer3/layer3.1/relu_1/Relu,ncnn,ncnn_layer,0.045,0.005,0.04,0.05,68,0.012079,99.861797
resnet50,ncnn_cpu,41,Convolution:/layer3/layer3.1/conv3/Conv,ncnn,ncnn_layer,5.254706,0.01091,5.23,5.29,68,1.410531,80.230623
resnet50,ncnn_cpu,76,BinaryOp:/layer3/layer3.1/Add,ncnn,ncnn_layer,0.312206,0.00783,0.3,0.34,68,0.083806,98.795255
