model,runtime,rank,layer_name,backend,granularity,mean_ms,std_ms,min_ms,max_ms,samples,percent_total_ms,cumulative_percent_ms
resnet50,ncnn_vulkan,1,Convolution:/conv1/Conv,ncnn,ncnn_layer,7.941515,0.006976,7.92245,7.95458,70,8.942559,8.942559
resnet50,ncnn_vulkan,59,ReLU:/relu/Relu,ncnn,ncnn_layer,0.206689,0.001168,0.2038,0.20943,70,0.232743,96.167969
resnet50,ncnn_vulkan,54,Pooling:/maxpool/MaxPool,ncnn,ncnn_layer,0.396749,0.003626,0.38984,0.40573,70,0.44676,94.820614
resnet50,ncnn_vulkan,127,Split:splitncnn_0,ncnn,ncnn_layer,0.000342,2.4e-05,0.00031,0.00036,70,0.000385,99.995805
resnet50,ncnn_vulkan,58,Convolution:/layer1/layer1.0/conv1/Conv,ncnn,ncnn_layer,0.246818,0.00066,0.24536,0.24839,70,0.27793,95.935226
resnet50,ncnn_vulkan,83,ReLU:/layer1/layer1.0/relu/Relu,ncnn,ncnn_layer,0.052815,0.000588,0.05156,0.05422,70,0.059472,98.848461
resnet50,ncnn_vulkan,36,Convolution:/layer1/layer1.0/conv2/Conv,ncnn,ncnn_layer,0.950169,0.003349,0.94052,0.95719,70,1.06994,77.068919
resnet50,ncnn_vulkan,81,ReLU:/layer1/layer1.0/relu_1/Relu,ncnn,ncnn_layer,0.053476,0.000706,0.05208,0.05505,70,0.060217,98.729309
resnet50,ncnn_vulkan,35,Convolution:/layer1/layer1.0/conv3/Conv,ncnn,ncnn_layer,0.950625,0.000807,0.9487,0.95208,70,1.070453,75.99898
resnet50,ncnn_vulkan,39,Convolution:/layer1/layer1.0/downsample/downsample.0/Conv,ncnn,ncnn_layer,0.948363,0.000828,0.94594,0.95083,70,1.067906,80.274675
resnet50,ncnn_vulkan,57,BinaryOp:/layer1/layer1.0/Add,ncnn,ncnn_layer,0.247315,0.00103,0.24568,0.25255,70,0.27849,95.657296
resnet50,ncnn_vulkan,61,ReLU:/layer1/layer1.0/relu_2/Relu,ncnn,ncnn_layer,0.204708,0.001091,0.20245,0.20786,70,0.230512,96.630017
resnet50,ncnn_vulkan,133,Split:splitncnn_1,ncnn,ncnn_layer,0.000339,2.5e-05,0.00031,0.00036,70,0.000382,99.998103
resnet50,ncnn_vulkan,43,Convolution:/layer1/layer1.1/conv1/Conv,ncnn,ncnn_layer,0.933638,0.001257,0.93135,0.93667,70,1.051325,84.525574
resnet50,ncnn_vulkan,89,ReLU:/layer1/layer1.1/relu/Relu,ncnn,ncnn_layer,0.052149,0.000566,0.05104,0.0537,70,0.058722,99.203889
resnet50,ncnn_vulkan,37,Convolution:/layer1/layer1.1/conv2/Conv,ncnn,ncnn_layer,0.949935,0.003057,0.94229,0.95703,70,1.069676,78.138595
