model,runtime,rank,layer_name,backend,granularity,mean_ms,std_ms,min_ms,max_ms,samples,percent_total_ms,cumulative_percent_ms
resnet50,onnxrt_cuda,2,model_loading_uri,onnxruntime,onnx_node,1132.696,0.0,1132.696,1132.696,1,25.253224,81.633368
resnet50,onnxrt_cuda,1,session_initialization,onnxruntime,onnx_node,2528.848,0.0,2528.848,2528.848,1,56.380144,56.380144
resnet50,onnxrt_cuda,67,FusedConv:/conv1/Conv_/relu/Relu_fence_before,onnxruntime,onnx_node,0.001217,0.000412,0.001,0.002,60,2.7e-05,99.997661
resnet50,onnxrt_cuda,5,FusedConv:/conv1/Conv_/relu/Relu_kernel_time,onnxruntime,onnx_node,66.5193,495.638379,0.423,3872.519,60,1.483034,99.027137
resnet50,onnxrt_cuda,80,FusedConv:/conv1/Conv_/relu/Relu_fence_after,onnxruntime,onnx_node,0.001,0.0,0.001,0.001,17,2.2e-05,99.997971
resnet50,onnxrt_cuda,81,MaxPool:/maxpool/MaxPool_fence_before,onnxruntime,onnx_node,0.001,0.0,0.001,0.001,50,2.2e-05,99.997993
resnet50,onnxrt_cuda,59,MaxPool:/maxpool/MaxPool_kernel_time,onnxruntime,onnx_node,0.1188,0.028961,0.106,0.323,60,0.002649,99.995007
resnet50,onnxrt_cuda,82,MaxPool:/maxpool/MaxPool_fence_after,onnxruntime,onnx_node,0.001,0.0,0.001,0.001,3,2.2e-05,99.998016
resnet50,onnxrt_cuda,83,FusedConv:/layer1/layer1.0/conv1/Conv_/layer1/layer1.0/relu/Relu_fence_before,onnxruntime,onnx_node,0.001,0.0,0.001,0.001,22,2.2e-05,99.998038
resnet50,onnxrt_cuda,48,FusedConv:/layer1/layer1.0/conv1/Conv_/layer1/layer1.0/relu/Relu_kernel_time,onnxruntime,onnx_node,0.6225,3.245954,0.188,25.555,60,0.013879,99.870162
resnet50,onnxrt_cuda,84,FusedConv:/layer1/layer1.0/conv1/Conv_/layer1/layer1.0/relu/Relu_fence_after,onnxruntime,onnx_node,0.001,0.0,0.001,0.001,4,2.2e-05,99.99806
resnet50,onnxrt_cuda,77,FusedConv:/layer1/layer1.0/conv2/Conv_/layer1/layer1.0/relu_1/Relu_fence_before,onnxruntime,onnx_node,0.001021,0.000144,0.001,0.002,47,2.3e-05,99.997903
resnet50,onnxrt_cuda,9,FusedConv:/layer1/layer1.0/conv2/Conv_/layer1/layer1.0/relu_1/Relu_kernel_time,onnxruntime,onnx_node,1.29895,7.801642,0.258,61.224,60,0.02896,99.154488
resnet50,onnxrt_cuda,85,FusedConv:/layer1/layer1.0/conv2/Conv_/layer1/layer1.0/relu_1/Relu_fence_after,onnxruntime,onnx_node,0.001,0.0,0.001,0.001,3,2.2e-05,99.998083
resnet50,onnxrt_cuda,86,Conv:/layer1/layer1.0/conv3/Conv_fence_before,onnxruntime,onnx_node,0.001,0.0,0.001,0.001,50,2.2e-05,99.998105
resnet50,onnxrt_cuda,25,Conv:/layer1/layer1.0/conv3/Conv_kernel_time,onnxruntime,onnx_node,0.83055,3.940907,0.299,31.101,60,0.018517,99.491204
resnet50,onnxrt_cuda,87,Conv:/layer1/layer1.0/conv3/Conv_fence_after,onnxruntime,onnx_node,0.001,0.0,0.001,0.001,6,2.2e-05,99.998127
