model,runtime,rank,layer_name,backend,granularity,mean_ms,std_ms,min_ms,max_ms,samples,percent_total_ms,cumulative_percent_ms
shufflenet_v2_x1_0,ncnn_cpu,2,Convolution:/conv1/conv1.0/Conv,ncnn,ncnn_layer,1.972059,0.101772,1.93,2.79,68,7.293159,16.342984
shufflenet_v2_x1_0,ncnn_cpu,44,ReLU:/conv1/conv1.2/Relu,ncnn,ncnn_layer,0.187647,0.012141,0.18,0.24,68,0.693965,78.318513
shufflenet_v2_x1_0,ncnn_cpu,8,Pooling:/maxpool/MaxPool,ncnn,ncnn_layer,0.483824,0.071744,0.46,1.05,68,1.7893,33.835686
shufflenet_v2_x1_0,ncnn_cpu,155,Split:splitncnn_0,ncnn,ncnn_layer,0.000735,0.00261,0.0,0.01,68,0.002718,100.0
shufflenet_v2_x1_0,ncnn_cpu,49,ConvolutionDepthWise:/stage2/stage2.0/branch1/branch1.0/Conv,ncnn,ncnn_layer,0.174853,0.016042,0.15,0.24,68,0.646649,81.619741
shufflenet_v2_x1_0,ncnn_cpu,40,Convolution:/stage2/stage2.0/branch1/branch1.2/Conv,ncnn,ncnn_layer,0.199559,0.020611,0.19,0.35,68,0.738018,75.452373
shufflenet_v2_x1_0,ncnn_cpu,123,ReLU:/stage2/stage2.0/branch1/branch1.4/Relu,ncnn,ncnn_layer,0.021912,0.007907,0.02,0.08,68,0.081036,98.475579
shufflenet_v2_x1_0,ncnn_cpu,5,Convolution:/stage2/stage2.0/branch2/branch2.0/Conv,ncnn,ncnn_layer,0.686324,0.015615,0.67,0.75,68,2.538195,28.289405
shufflenet_v2_x1_0,ncnn_cpu,65,ReLU:/stage2/stage2.0/branch2/branch2.2/Relu,ncnn,ncnn_layer,0.102353,0.008931,0.1,0.17,68,0.378527,89.501905
shufflenet_v2_x1_0,ncnn_cpu,6,ConvolutionDepthWise:/stage2/stage2.0/branch2/branch2.3/Conv,ncnn,ncnn_layer,0.507941,0.026097,0.48,0.6,68,1.878491,30.167895
