model,runtime,rank,layer_name,backend,granularity,mean_ms,std_ms,min_ms,max_ms,samples,percent_total_ms,cumulative_percent_ms
shufflenet_v2_x1_0,onnxrt_cuda,2,model_loading_uri,onnxruntime,onnx_node,171.103,0.0,171.103,171.103,1,5.272893,88.413677
shufflenet_v2_x1_0,onnxrt_cuda,1,session_initialization,onnxruntime,onnx_node,2697.881,0.0,2697.881,2697.881,1,83.140785,83.140785
shufflenet_v2_x1_0,onnxrt_cuda,433,FusedConv:/conv1/conv1.0/Conv_/conv1/conv1.2/Relu_fence_before,onnxruntime,onnx_node,0.001367,0.000482,0.001,0.002,60,4.2e-05,99.989825
shufflenet_v2_x1_0,onnxrt_cuda,5,FusedConv:/conv1/conv1.0/Conv_/conv1/conv1.2/Relu_kernel_time,onnxruntime,onnx_node,44.844417,340.958717,0.384,2663.798,60,1.381973,97.715396
shufflenet_v2_x1_0,onnxrt_cuda,442,FusedConv:/conv1/conv1.0/Conv_/conv1/conv1.2/Relu_fence_after,onnxruntime,onnx_node,0.001,0.0,0.001,0.001,22,3.1e-05,99.990139
shufflenet_v2_x1_0,onnxrt_cuda,441,MaxPool:/maxpool/MaxPool_fence_before,onnxruntime,onnx_node,0.001034,0.000182,0.001,0.002,58,3.2e-05,99.990108
shufflenet_v2_x1_0,onnxrt_cuda,77,MaxPool:/maxpool/MaxPool_kernel_time,onnxruntime,onnx_node,0.183717,0.510573,0.109,4.105,60,0.005662,99.68107
shufflenet_v2_x1_0,onnxrt_cuda,443,MaxPool:/maxpool/MaxPool_fence_after,onnxruntime,onnx_node,0.001,0.0,0.001,0.001,2,3.1e-05,99.990169
shufflenet_v2_x1_0,onnxrt_cuda,444,Conv:/stage2/stage2.0/branch1/branch1.0/Conv_fence_before,onnxruntime,onnx_node,0.001,0.0,0.001,0.001,29,3.1e-05,99.9902
shufflenet_v2_x1_0,onnxrt_cuda,24,Conv:/stage2/stage2.0/branch1/branch1.0/Conv_kernel_time,onnxruntime,onnx_node,1.031983,6.500887,0.171,50.966,60,0.031803,98.875113
shufflenet_v2_x1_0,onnxrt_cuda,445,Conv:/stage2/stage2.0/branch1/branch1.0/Conv_fence_after,onnxruntime,onnx_node,0.001,0.0,0.001,0.001,2,3.1e-05,99.990231
shufflenet_v2_x1_0,onnxrt_cuda,446,FusedConv:/stage2/stage2.0/branch1/branch1.2/Conv_/stage2/stage2.0/branch1/branch1.4/Relu_fence_before,onnxruntime,onnx_node,0.001,0.0,0.001,0.001,46,3.1e-05,99.990262
shufflenet_v2_x1_0,onnxrt_cuda,40,FusedConv:/stage2/stage2.0/branch1/branch1.2/Conv_/stage2/stage2.0/branch1/branch1.4/Relu_kernel_time,onnxruntime,onnx_node,0.61505,3.261952,0.175,25.67,60,0.018954,99.188024
shufflenet_v2_x1_0,onnxrt_cuda,434,FusedConv:/stage2/stage2.0/branch1/branch1.2/Conv_/stage2/stage2.0/branch1/branch1.4/Relu_fence_after,onnxruntime,onnx_node,0.001333,0.000471,0.001,0.002,3,4.1e-05,99.989866
