model,runtime,rank,layer_name,backend,granularity,mean_ms,std_ms,min_ms,max_ms,samples,percent_total_ms,cumulative_percent_ms
yolov8n,ncnn_cpu,176,MemoryData:pnnx_fold_anchor_points.1,ncnn,ncnn_layer,0.023824,0.006424,0.02,0.06,68,0.005746,99.990814
yolov8n,ncnn_cpu,184,Split:splitncnn_0,ncnn,ncnn_layer,0.000294,0.00169,0.0,0.01,136,7.1e-05,100.0
yolov8n,ncnn_cpu,11,Convolution:conv_2,ncnn,ncnn_layer,8.277353,0.61468,8.16,13.27,68,1.996249,33.665131
yolov8n,ncnn_cpu,21,Swish:silu_69,ncnn,ncnn_layer,5.663971,0.023772,5.64,5.81,68,1.36598,49.247549
yolov8n,ncnn_cpu,1,Convolution:conv_3,ncnn,ncnn_layer,20.055294,1.392255,19.78,31.44,68,4.836735,4.836735
yolov8n,ncnn_cpu,47,Swish:silu_70,ncnn,ncnn_layer,2.833824,0.014555,2.81,2.87,68,0.683433,74.088767
yolov8n,ncnn_cpu,32,Convolution:conv_4,ncnn,ncnn_layer,3.99,0.072416,3.9,4.29,68,0.962268,61.721499
yolov8n,ncnn_cpu,45,Swish:silu_71,ncnn,ncnn_layer,2.838235,0.03148,2.81,3.05,68,0.684497,72.720978
yolov8n,ncnn_cpu,85,Slice:split_0,ncnn,ncnn_layer,1.103235,0.162512,1.06,2.42,68,0.266067,91.216092
yolov8n,ncnn_cpu,16,Convolution:conv_5,ncnn,ncnn_layer,6.233088,0.110563,6.14,7.09,68,1.503234,42.067564
yolov8n,ncnn_cpu,72,Swish:silu_72,ncnn,ncnn_layer,1.425,0.03976,1.41,1.73,68,0.343667,87.128687
yolov8n,ncnn_cpu,17,Convolution:conv_6,ncnn,ncnn_layer,6.184853,0.111058,6.09,6.98,68,1.491601,43.559165
yolov8n,ncnn_cpu,78,Swish:silu_73,ncnn,ncnn_layer,1.421765,0.020142,1.41,1.51,68,0.342887,89.187569
yolov8n,ncnn_cpu,112,BinaryOp:add_0,ncnn,ncnn_layer,0.622647,0.017288,0.61,0.69,68,0.150164,96.165113
yolov8n,ncnn_cpu,66,Concat:cat_0,ncnn,ncnn_layer,1.546324,0.417587,1.48,4.96,68,0.372927,85.02118
yolov8n,ncnn_cpu,15,Convolution:conv_7,ncnn,ncnn_layer,6.665735,0.049089,6.59,6.95,68,1.607575,40.56433
yolov8n,ncnn_cpu,46,Swish:silu_74,ncnn,ncnn_layer,2.837647,0.022037,2.81,2.91,68,0.684355,73.405334
yolov8n,ncnn_cpu,2,Convolution:conv_8,ncnn,ncnn_layer,15.810735,0.076875,15.72,16.4,68,3.813075,8.64981
yolov8n,ncnn_cpu,74,Swish:silu_75,ncnn,ncnn_layer,1.423235,0.017273,1.41,1.48,68,0.343242,87.815418
yolov8n,ncnn_cpu,42,Convolution:conv_9,ncnn,ncnn_layer,3.272353,0.012616,3.24,3.31,68,0.789193,70.566905
yolov8n,ncnn_cpu,79,Swish:silu_76,ncnn,ncnn_layer,1.421029,0.016462,1.41,1.48,68,0.34271,89.530279
yolov8n,ncnn_cpu,110,Slice:split_1,ncnn,ncnn_layer,0.665294,0.020826,0.64,0.72,68,0.160449,95.856345
yolov8n,ncnn_cpu,185,Split:splitncnn_1,ncnn,ncnn_layer,0.0,0.0,0.0,0.0,68,0.0,100.0
yolov8n,ncnn_cpu,34,Convolution:conv_10,ncnn,ncnn_layer,3.856912,0.050476,3.78,4.2,68,0.930171,63.58773
yolov8n,ncnn_cpu,98,Swish:silu_77,ncnn,ncnn_layer,0.718676,0.017649,0.71,0.81,68,0.173323,93.798384
yolov8n,ncnn_cpu,38,Convolution:conv_11,ncnn,ncnn_layer,3.758382,0.021802,3.71,3.82,68,0.906409,67.236064
yolov8n,ncnn_cpu,102,Swish:silu_78,ncnn,ncnn_layer,0.715588,0.010625,0.71,0.74,68,0.172578,94.489833
yolov8n,ncnn_cpu,144,BinaryOp:add_1,ncnn,ncnn_layer,0.2875,0.011424,0.28,0.32,68,0.069336,99.030391
yolov8n,ncnn_cpu,186,Split:splitncnn_2,ncnn,ncnn_layer,0.0,0.0,0.0,0.0,68,0.0,100.0
