model,runtime,rank,layer_name,backend,granularity,mean_ms,std_ms,min_ms,max_ms,samples,percent_total_ms,cumulative_percent_ms
yolov8n,ncnn_vulkan,3,Convolution:conv_2,ncnn,ncnn_layer,4.473888,0.01267,4.44328,4.5063,70,6.336363,20.091728
yolov8n,ncnn_vulkan,55,Swish:silu_69,ncnn,ncnn_layer,0.426142,0.002118,0.42276,0.43625,70,0.603544,88.177921
yolov8n,ncnn_vulkan,1,Convolution:conv_3,ncnn,ncnn_layer,5.02317,0.001909,5.01865,5.02682,70,7.114311,7.114311
yolov8n,ncnn_vulkan,65,Swish:silu_70,ncnn,ncnn_layer,0.211897,0.001078,0.20922,0.21396,70,0.30011,91.593518
yolov8n,ncnn_vulkan,46,Convolution:conv_4,ncnn,ncnn_layer,0.522774,0.001378,0.51964,0.52599,70,0.740404,81.853212
yolov8n,ncnn_vulkan,64,Swish:silu_71,ncnn,ncnn_layer,0.213923,0.001239,0.21083,0.21734,70,0.302979,91.293408
yolov8n,ncnn_vulkan,67,Slice:split_0,ncnn,ncnn_layer,0.196346,0.000847,0.19427,0.19833,70,0.278085,92.153832
yolov8n,ncnn_vulkan,171,Split:splitncnn_0,ncnn,ncnn_layer,0.000336,2.5e-05,0.00031,0.00036,70,0.000476,99.997275
yolov8n,ncnn_vulkan,12,Convolution:conv_5,ncnn,ncnn_layer,1.102316,0.00792,1.07969,1.12,70,1.561209,48.174963
yolov8n,ncnn_vulkan,75,Swish:silu_72,ncnn,ncnn_layer,0.111163,0.001266,0.10849,0.11391,70,0.15744,93.910174
yolov8n,ncnn_vulkan,13,Convolution:conv_6,ncnn,ncnn_layer,1.096945,0.007964,1.07646,1.12031,70,1.553602,49.728565
yolov8n,ncnn_vulkan,76,Swish:silu_73,ncnn,ncnn_layer,0.10993,0.000944,0.10766,0.11198,70,0.155694,94.065867
yolov8n,ncnn_vulkan,73,BinaryOp:add_0,ncnn,ncnn_layer,0.143078,0.000767,0.1412,0.1449,70,0.202641,93.557879
yolov8n,ncnn_vulkan,56,Concat:cat_0,ncnn,ncnn_layer,0.29128,0.000827,0.2899,0.29307,70,0.41254,88.590461
yolov8n,ncnn_vulkan,22,Convolution:conv_7,ncnn,ncnn_layer,0.750214,0.001686,0.74604,0.75448,70,1.062527,60.612671
yolov8n,ncnn_vulkan,61,Swish:silu_74,ncnn,ncnn_layer,0.215968,0.001395,0.21245,0.21891,70,0.305875,90.381319
yolov8n,ncnn_vulkan,2,Convolution:conv_8,ncnn,ncnn_layer,4.68902,0.002037,4.6851,4.69365,70,6.641054,13.755365
yolov8n,ncnn_vulkan,80,Swish:silu_75,ncnn,ncnn_layer,0.10849,0.000894,0.10635,0.11089,70,0.153654,94.683
yolov8n,ncnn_vulkan,53,Convolution:conv_9,ncnn,ncnn_layer,0.495168,0.00091,0.49297,0.49719,70,0.701306,86.883528
yolov8n,ncnn_vulkan,78,Swish:silu_76,ncnn,ncnn_layer,0.108838,0.001073,0.10672,0.11151,70,0.154147,94.375331
yolov8n,ncnn_vulkan,88,Slice:split_1,ncnn,ncnn_layer,0.102118,0.000831,0.10078,0.10651,70,0.14463,95.867721
yolov8n,ncnn_vulkan,170,Split:splitncnn_1,ncnn,ncnn_layer,0.000337,2.5e-05,0.00031,0.00036,70,0.000477,99.996799
yolov8n,ncnn_vulkan,29,Convolution:conv_10,ncnn,ncnn_layer,0.673999,0.002856,0.66635,0.6812,70,0.954584,67.638775
yolov8n,ncnn_vulkan,108,Swish:silu_77,ncnn,ncnn_layer,0.056233,0.000739,0.05443,0.05771,70,0.079643,97.87854
yolov8n,ncnn_vulkan,34,Convolution:conv_11,ncnn,ncnn_layer,0.670099,0.00403,0.66042,0.68219,70,0.949061,72.397361
yolov8n,ncnn_vulkan,106,Swish:silu_78,ncnn,ncnn_layer,0.056544,0.000836,0.05453,0.05917,70,0.080083,97.719145
yolov8n,ncnn_vulkan,98,BinaryOp:add_1,ncnn,ncnn_layer,0.073506,0.000473,0.07219,0.07458,70,0.104106,97.001981
yolov8n,ncnn_vulkan,172,Split:splitncnn_2,ncnn,ncnn_layer,0.000336,2.5e-05,0.00031,0.00036,70,0.000476,99.997751
yolov8n,ncnn_vulkan,33,Convolution:conv_12,ncnn,ncnn_layer,0.671424,0.00342,0.66526,0.68109,70,0.950937,71.4483
yolov8n,ncnn_vulkan,107,Swish:silu_79,ncnn,ncnn_layer,0.05631,0.000709,0.05443,0.05776,70,0.079752,97.798897
yolov8n,ncnn_vulkan,32,Convolution:conv_13,ncnn,ncnn_layer,0.672539,0.003726,0.66448,0.68,70,0.952516,70.497363
yolov8n,ncnn_vulkan,104,Swish:silu_80,ncnn,ncnn_layer,0.056689,0.000598,0.05526,0.05807,70,0.080289,97.558917
yolov8n,ncnn_vulkan,97,BinaryOp:add_2,ncnn,ncnn_layer,0.073539,0.000582,0.07245,0.07573,70,0.104153,96.897875
yolov8n,ncnn_vulkan,66,Concat:cat_1,ncnn,ncnn_layer,0.199273,0.00083,0.19755,0.2012,70,0.28223,91.875748
yolov8n,ncnn_vulkan,15,Convolution:conv_14,ncnn,ncnn_layer,0.952202,0.000876,0.95021,0.95464,70,1.348603,52.493587
yolov8n,ncnn_vulkan,81,Swish:silu_81,ncnn,ncnn_layer,0.10832,0.001092,0.1062,0.11115,70,0.153414,94.836413
yolov8n,ncnn_vulkan,159,Split:splitncnn_3,ncnn,ncnn_layer,0.00034,2.4e-05,0.00031,0.00036,70,0.000482,99.991521
yolov8n,ncnn_vulkan,4,Convolution:conv_15,ncnn,ncnn_layer,4.193724,0.001619,4.19099,4.19833,70,5.939567,26.031295
yolov8n,ncnn_vulkan,112,Swish:silu_82,ncnn,ncnn_layer,0.054643,0.000786,0.05313,0.05698,70,0.077391,98.192144
