model,runtime,rank,layer_name,backend,granularity,mean_ms,std_ms,min_ms,max_ms,samples,percent_total_ms,cumulative_percent_ms
efficientnet_b0,tensorrt_fp16,8,/features/features.0/features.0.0/Conv,tensorrt,trt_layer,0.636635,0.032799,0.593907,0.818906,60,0.954076,62.687238
efficientnet_b0,tensorrt_fp16,34,"PWN(PWN(/features/features.0/features.0.2/Sigmoid), /features/features.0/features.0.2/Mul)",tensorrt,trt_layer,0.279858,0.000725,0.278802,0.281823,60,0.419402,78.47147
efficientnet_b0,tensorrt_fp16,7,/features/features.1/features.1.0/block/block.0/block.0.0/Conv,tensorrt,trt_layer,0.694635,0.007271,0.679532,0.712813,60,1.040996,61.733162
efficientnet_b0,tensorrt_fp16,33,"PWN(PWN(/features/features.1/features.1.0/block/block.0/block.0.2/Sigmoid), /features/features.1/features.1.0/block/block.0/block.0.2/Mul)",tensorrt,trt_layer,0.284683,0.000483,0.283177,0.286094,60,0.426633,78.052068
efficientnet_b0,tensorrt_fp16,69,/features/features.1/features.1.0/block/block.1/avgpool/GlobalAveragePool,tensorrt,trt_layer,0.146221,0.009885,0.137031,0.169896,60,0.21913,89.35425
efficientnet_b0,tensorrt_fp16,171,/features/features.1/features.1.0/block/block.1/fc1/Conv,tensorrt,trt_layer,0.016666,0.000605,0.015365,0.018333,60,0.024976,99.671004
efficientnet_b0,tensorrt_fp16,185,"PWN(PWN(/features/features.1/features.1.0/block/block.1/activation/Sigmoid), /features/features.1/features.1.0/block/block.1/activation/Mul)",tensorrt,trt_layer,0.007596,0.000342,0.006875,0.008437,60,0.011384,99.907854
efficientnet_b0,tensorrt_fp16,177,/features/features.1/features.1.0/block/block.1/fc2/Conv,tensorrt,trt_layer,0.011944,0.000275,0.01151,0.012968,60,0.0179,99.801313
efficientnet_b0,tensorrt_fp16,14,"PWN(PWN(/features/features.1/features.1.0/block/block.1/scale_activation/Sigmoid), /features/features.1/features.1.0/block/block.1/Mul)",tensorrt,trt_layer,0.488295,0.000315,0.48776,0.489219,60,0.73177,67.36626
efficientnet_b0,tensorrt_fp16,19,/features/features.1/features.1.0/block/block.2/block.2.0/Conv,tensorrt,trt_layer,0.449879,0.001671,0.446667,0.45526,60,0.674199,70.786383
efficientnet_b0,tensorrt_fp16,3,/features/features.2/features.2.0/block/block.0/block.0.0/Conv,tensorrt,trt_layer,0.977725,0.006369,0.968021,0.992292,60,1.465242,57.093434
efficientnet_b0,tensorrt_fp16,4,"PWN(PWN(/features/features.2/features.2.0/block/block.0/block.0.2/Sigmoid), /features/features.2/features.2.0/block/block.0/block.0.2/Mul)",tensorrt,trt_layer,0.867662,0.000597,0.866614,0.869218,60,1.300299,58.393733
efficientnet_b0,tensorrt_fp16,2,/features/features.2/features.2.0/block/block.1/block.1.0/Conv,tensorrt,trt_layer,1.140528,0.023567,1.09073,1.186198,60,1.709222,55.628193
efficientnet_b0,tensorrt_fp16,52,"PWN(PWN(/features/features.2/features.2.0/block/block.1/block.1.2/Sigmoid), /features/features.2/features.2.0/block/block.1/block.1.2/Mul)",tensorrt,trt_layer,0.217578,0.000487,0.216666,0.218698,60,0.326067,85.101606
efficientnet_b0,tensorrt_fp16,80,/features/features.2/features.2.0/block/block.2/avgpool/GlobalAveragePool,tensorrt,trt_layer,0.134994,0.003164,0.131511,0.148125,60,0.202305,91.658881
efficientnet_b0,tensorrt_fp16,193,Reformatting CopyNode for Input Tensor 0 to /features/features.2/features.2.0/block/block.2/fc1/Conv,tensorrt,trt_layer,0.00639,0.000395,0.005677,0.007761,60,0.009576,99.99172
efficientnet_b0,tensorrt_fp16,176,/features/features.2/features.2.0/block/block.2/fc1/Conv,tensorrt,trt_layer,0.014443,0.000556,0.01375,0.016354,60,0.021645,99.783413
efficientnet_b0,tensorrt_fp16,188,"PWN(PWN(/features/features.2/features.2.0/block/block.2/activation/Sigmoid), /features/features.2/features.2.0/block/block.2/activation/Mul)",tensorrt,trt_layer,0.007331,0.000401,0.006719,0.008385,60,0.010986,99.941091
efficientnet_b0,tensorrt_fp16,172,/features/features.2/features.2.0/block/block.2/fc2/Conv,tensorrt,trt_layer,0.016362,0.000456,0.015573,0.017708,60,0.02452,99.695525
efficientnet_b0,tensorrt_fp16,194,"Reformatting CopyNode for Input Tensor 0 to PWN(PWN(/features/features.2/features.2.0/block/block.2/scale_activation/Sigmoid), /features/features.2/features.2.0/block/block.2/Mul)",tensorrt,trt_layer,0.005525,0.000323,0.005209,0.006407,60,0.00828,100.0
efficientnet_b0,tensorrt_fp16,9,"PWN(PWN(/features/features.2/features.2.0/block/block.2/scale_activation/Sigmoid), /features/features.2/features.2.0/block/block.2/Mul)",tensorrt,trt_layer,0.552875,0.000363,0.552188,0.55375,60,0.828551,63.515789
efficientnet_b0,tensorrt_fp16,43,/features/features.2/features.2.0/block/block.3/block.3.0/Conv,tensorrt,trt_layer,0.246567,0.00607,0.240521,0.274531,60,0.369511,82.022113
efficientnet_b0,tensorrt_fp16,13,/features/features.2/features.2.1/block/block.0/block.0.0/Conv,tensorrt,trt_layer,0.488858,0.003606,0.483229,0.50276,60,0.732614,66.634489
efficientnet_b0,tensorrt_fp16,31,"PWN(PWN(/features/features.2/features.2.1/block/block.0/block.0.2/Sigmoid), /features/features.2/features.2.1/block/block.0/block.0.2/Mul)",tensorrt,trt_layer,0.308852,0.000531,0.307813,0.310313,60,0.462853,77.183643
efficientnet_b0,tensorrt_fp16,6,/features/features.2/features.2.1/block/block.1/block.1.0/Conv,tensorrt,trt_layer,0.723709,0.010391,0.705,0.750781,60,1.084567,60.692166
efficientnet_b0,tensorrt_fp16,27,"PWN(PWN(/features/features.2/features.2.1/block/block.1/block.1.2/Sigmoid), /features/features.2/features.2.1/block/block.1/block.1.2/Mul)",tensorrt,trt_layer,0.327282,0.00271,0.325364,0.33651,60,0.490472,75.28114
efficientnet_b0,tensorrt_fp16,63,/features/features.2/features.2.1/block/block.2/avgpool/GlobalAveragePool,tensorrt,trt_layer,0.162164,0.005872,0.15677,0.192864,60,0.243023,87.995274
efficientnet_b0,tensorrt_fp16,169,/features/features.2/features.2.1/block/block.2/fc1/Conv,tensorrt,trt_layer,0.02191,0.000598,0.019792,0.02302,60,0.032835,99.613934
efficientnet_b0,tensorrt_fp16,187,"PWN(PWN(/features/features.2/features.2.1/block/block.2/activation/Sigmoid), /features/features.2/features.2.1/block/block.2/activation/Mul)",tensorrt,trt_layer,0.007374,0.000302,0.006823,0.00849,60,0.011051,99.930104
efficientnet_b0,tensorrt_fp16,175,/features/features.2/features.2.1/block/block.2/fc2/Conv,tensorrt,trt_layer,0.014686,0.000288,0.01401,0.015469,60,0.022009,99.761768
efficientnet_b0,tensorrt_fp16,5,"PWN(PWN(/features/features.2/features.2.1/block/block.2/scale_activation/Sigmoid), /features/features.2/features.2.1/block/block.2/Mul)",tensorrt,trt_layer,0.809987,0.000392,0.809167,0.810729,60,1.213865,59.607598
efficientnet_b0,tensorrt_fp16,23,/features/features.2/features.2.1/block/block.3/block.3.0/Conv + /features/features.2/features.2.1/Add,tensorrt,trt_layer,0.363931,0.002197,0.358906,0.368646,60,0.545396,73.21832
efficientnet_b0,tensorrt_fp16,98,Reformatting CopyNode for Input Tensor 0 to /features/features.3/features.3.0/block/block.0/block.0.0/Conv,tensorrt,trt_layer,0.095912,0.003234,0.095,0.120364,60,0.143736,94.507906
efficientnet_b0,tensorrt_fp16,22,/features/features.3/features.3.0/block/block.0/block.0.0/Conv,tensorrt,trt_layer,0.374651,0.003864,0.369896,0.38526,60,0.561461,72.672924
efficientnet_b0,tensorrt_fp16,17,"Reformatting CopyNode for Input Tensor 0 to PWN(PWN(/features/features.3/features.3.0/block/block.0/block.0.2/Sigmoid), /features/features.3/features.3.0/block/block.0/block.0.2/Mul)",tensorrt,trt_layer,0.459955,0.000351,0.45901,0.461042,60,0.689299,69.437227
efficientnet_b0,tensorrt_fp16,24,"PWN(PWN(/features/features.3/features.3.0/block/block.0/block.0.2/Sigmoid), /features/features.3/features.3.0/block/block.0/block.0.2/Mul)",tensorrt,trt_layer,0.356862,0.000404,0.356042,0.358073,60,0.534802,73.753121
efficientnet_b0,tensorrt_fp16,1,/features/features.3/features.3.0/block/block.1/block.1.0/Conv,tensorrt,trt_layer,35.978999,273.040538,0.421719,2133.243164,60,53.918971,53.918971
