model,runtime,rank,layer_name,backend,granularity,mean_ms,std_ms,min_ms,max_ms,samples,percent_total_ms,cumulative_percent_ms
efficientnet_b0,tensorrt_fp32,16,/features/features.0/features.0.0/Conv,tensorrt,trt_layer,0.605773,0.035055,0.476979,0.701666,60,0.696136,73.186054
efficientnet_b0,tensorrt_fp32,49,"PWN(PWN(/features/features.0/features.0.2/Sigmoid), /features/features.0/features.0.2/Mul)",tensorrt,trt_layer,0.279621,0.000662,0.278334,0.281562,60,0.321332,89.143233
efficientnet_b0,tensorrt_fp32,15,/features/features.1/features.1.0/block/block.0/block.0.0/Conv,tensorrt,trt_layer,0.693085,0.006247,0.671354,0.706041,60,0.796473,72.489917
efficientnet_b0,tensorrt_fp32,48,"PWN(PWN(/features/features.1/features.1.0/block/block.0/block.0.2/Sigmoid), /features/features.1/features.1.0/block/block.0/block.0.2/Mul)",tensorrt,trt_layer,0.285398,0.004416,0.284011,0.319114,60,0.327971,88.821901
efficientnet_b0,tensorrt_fp32,72,/features/features.1/features.1.0/block/block.1/avgpool/GlobalAveragePool,tensorrt,trt_layer,0.148122,0.010022,0.138646,0.172604,60,0.170217,94.842725
efficientnet_b0,tensorrt_fp32,148,/features/features.1/features.1.0/block/block.1/fc1/Conv,tensorrt,trt_layer,0.017095,0.000503,0.01625,0.018281,60,0.019645,99.858688
efficientnet_b0,tensorrt_fp32,164,"PWN(PWN(/features/features.1/features.1.0/block/block.1/activation/Sigmoid), /features/features.1/features.1.0/block/block.1/activation/Mul)",tensorrt,trt_layer,0.006189,0.00028,0.00573,0.006875,60,0.007112,100.0
efficientnet_b0,tensorrt_fp32,140,/features/features.1/features.1.0/block/block.1/fc2/Conv,tensorrt,trt_layer,0.027879,0.000302,0.027396,0.028906,60,0.032038,99.642654
efficientnet_b0,tensorrt_fp32,26,"PWN(PWN(/features/features.1/features.1.0/block/block.1/scale_activation/Sigmoid), /features/features.1/features.1.0/block/block.1/Mul)",tensorrt,trt_layer,0.488298,0.000335,0.487448,0.48901,60,0.561138,79.150755
efficientnet_b0,tensorrt_fp32,32,/features/features.1/features.1.0/block/block.2/block.2.0/Conv,tensorrt,trt_layer,0.448224,0.001848,0.444948,0.452396,60,0.515086,82.363926
efficientnet_b0,tensorrt_fp32,6,/features/features.2/features.2.0/block/block.0/block.0.0/Conv,tensorrt,trt_layer,0.980223,0.006033,0.972605,0.992761,60,1.126443,64.015051
efficientnet_b0,tensorrt_fp32,8,"PWN(PWN(/features/features.2/features.2.0/block/block.0/block.0.2/Sigmoid), /features/features.2/features.2.0/block/block.0/block.0.2/Mul)",tensorrt,trt_layer,0.876249,0.000928,0.874323,0.879479,60,1.006959,66.03789
efficientnet_b0,tensorrt_fp32,5,/features/features.2/features.2.0/block/block.1/block.1.0/Conv,tensorrt,trt_layer,1.14192,0.02376,1.085625,1.203802,60,1.31226,62.888608
efficientnet_b0,tensorrt_fp32,64,"PWN(PWN(/features/features.2/features.2.0/block/block.1/block.1.2/Sigmoid), /features/features.2/features.2.0/block/block.1/block.1.2/Mul)",tensorrt,trt_layer,0.217877,0.000735,0.216771,0.222188,60,0.250378,93.351265
efficientnet_b0,tensorrt_fp32,75,/features/features.2/features.2.0/block/block.2/avgpool/GlobalAveragePool,tensorrt,trt_layer,0.13552,0.002291,0.130104,0.143906,60,0.155736,95.311864
efficientnet_b0,tensorrt_fp32,120,/features/features.2/features.2.0/block/block.2/fc1/Conv,tensorrt,trt_layer,0.042641,0.000663,0.041562,0.046771,60,0.049002,98.782381
efficientnet_b0,tensorrt_fp32,152,"PWN(PWN(/features/features.2/features.2.0/block/block.2/activation/Sigmoid), /features/features.2/features.2.0/block/block.2/activation/Mul)",tensorrt,trt_layer,0.008475,0.00039,0.008021,0.010625,60,0.009739,99.901464
efficientnet_b0,tensorrt_fp32,141,/features/features.2/features.2.0/block/block.2/fc2/Conv,tensorrt,trt_layer,0.027607,0.000677,0.02651,0.031458,60,0.031725,99.674379
efficientnet_b0,tensorrt_fp32,18,"PWN(PWN(/features/features.2/features.2.0/block/block.2/scale_activation/Sigmoid), /features/features.2/features.2.0/block/block.2/Mul)",tensorrt,trt_layer,0.588628,0.000457,0.587656,0.590938,60,0.676434,74.543978
efficientnet_b0,tensorrt_fp32,60,/features/features.2/features.2.0/block/block.3/block.3.0/Conv,tensorrt,trt_layer,0.241474,0.005173,0.235417,0.25302,60,0.277495,92.291398
efficientnet_b0,tensorrt_fp32,27,/features/features.2/features.2.1/block/block.0/block.0.0/Conv,tensorrt,trt_layer,0.487928,0.002507,0.483906,0.498333,60,0.560712,79.711467
efficientnet_b0,tensorrt_fp32,46,"PWN(PWN(/features/features.2/features.2.1/block/block.0/block.0.2/Sigmoid), /features/features.2/features.2.1/block/block.0/block.0.2/Mul)",tensorrt,trt_layer,0.309411,0.000703,0.308282,0.312656,60,0.355566,88.155843
efficientnet_b0,tensorrt_fp32,14,/features/features.2/features.2.1/block/block.1/block.1.0/Conv,tensorrt,trt_layer,0.726499,0.0122,0.703385,0.760521,60,0.834871,71.693445
efficientnet_b0,tensorrt_fp32,44,"PWN(PWN(/features/features.2/features.2.1/block/block.1/block.1.2/Sigmoid), /features/features.2/features.2.1/block/block.1/block.1.2/Mul)",tensorrt,trt_layer,0.327159,0.002578,0.324895,0.333073,60,0.375961,87.426777
efficientnet_b0,tensorrt_fp32,67,/features/features.2/features.2.1/block/block.2/avgpool/GlobalAveragePool,tensorrt,trt_layer,0.162826,0.004336,0.155417,0.17151,60,0.187115,93.978824
efficientnet_b0,tensorrt_fp32,121,/features/features.2/features.2.1/block/block.2/fc1/Conv,tensorrt,trt_layer,0.042042,0.000828,0.040313,0.045885,60,0.048313,98.830694
efficientnet_b0,tensorrt_fp32,150,"PWN(PWN(/features/features.2/features.2.1/block/block.2/activation/Sigmoid), /features/features.2/features.2.1/block/block.2/activation/Mul)",tensorrt,trt_layer,0.008878,0.000308,0.008385,0.010209,60,0.010202,99.881922
