model,runtime,rank,layer_name,backend,granularity,mean_ms,std_ms,min_ms,max_ms,samples,percent_total_ms,cumulative_percent_ms
efficientnet_b0,tensorrt_int8,17,/features/features.0/features.0.0/Conv,tensorrt,trt_layer,0.610045,0.047502,0.470469,0.798281,60,0.821343,68.678128
efficientnet_b0,tensorrt_int8,50,"PWN(PWN(/features/features.0/features.0.2/Sigmoid), /features/features.0/features.0.2/Mul)",tensorrt,trt_layer,0.280125,0.00056,0.278854,0.281406,60,0.37715,87.246366
efficientnet_b0,tensorrt_int8,16,/features/features.1/features.1.0/block/block.0/block.0.0/Conv,tensorrt,trt_layer,0.69305,0.005913,0.678125,0.706615,60,0.933098,67.856784
efficientnet_b0,tensorrt_int8,49,"PWN(PWN(/features/features.1/features.1.0/block/block.0/block.0.2/Sigmoid), /features/features.1/features.1.0/block/block.0/block.0.2/Mul)",tensorrt,trt_layer,0.285299,0.000494,0.284271,0.286875,60,0.384117,86.869215
efficientnet_b0,tensorrt_int8,71,/features/features.1/features.1.0/block/block.1/avgpool/GlobalAveragePool,tensorrt,trt_layer,0.149693,0.009072,0.135416,0.173854,60,0.201541,93.477711
efficientnet_b0,tensorrt_int8,151,/features/features.1/features.1.0/block/block.1/fc1/Conv,tensorrt,trt_layer,0.015471,0.000623,0.014062,0.017031,60,0.02083,99.78024
efficientnet_b0,tensorrt_int8,169,"PWN(PWN(/features/features.1/features.1.0/block/block.1/activation/Sigmoid), /features/features.1/features.1.0/block/block.1/activation/Mul)",tensorrt,trt_layer,0.006464,0.00034,0.005833,0.007292,60,0.008703,99.983911
efficientnet_b0,tensorrt_int8,153,/features/features.1/features.1.0/block/block.1/fc2/Conv,tensorrt,trt_layer,0.011911,0.000239,0.011458,0.012708,60,0.016037,99.816948
efficientnet_b0,tensorrt_int8,26,"PWN(PWN(/features/features.1/features.1.0/block/block.1/scale_activation/Sigmoid), /features/features.1/features.1.0/block/block.1/Mul)",tensorrt,trt_layer,0.488664,0.000358,0.488021,0.489687,60,0.65792,74.877614
efficientnet_b0,tensorrt_int8,33,/features/features.1/features.1.0/block/block.2/block.2.0/Conv,tensorrt,trt_layer,0.448863,0.001369,0.445885,0.451719,60,0.604333,79.260603
efficientnet_b0,tensorrt_int8,7,/features/features.2/features.2.0/block/block.0/block.0.0/Conv,tensorrt,trt_layer,0.977858,0.005163,0.972656,0.991979,60,1.316554,57.943557
efficientnet_b0,tensorrt_int8,9,"PWN(PWN(/features/features.2/features.2.0/block/block.0/block.0.2/Sigmoid), /features/features.2/features.2.0/block/block.0/block.0.2/Mul)",tensorrt,trt_layer,0.86751,0.000572,0.866354,0.869427,60,1.167985,60.301944
efficientnet_b0,tensorrt_int8,5,/features/features.2/features.2.0/block/block.1/block.1.0/Conv,tensorrt,trt_layer,1.139696,0.02007,1.090208,1.18125,60,1.534447,55.1827
efficientnet_b0,tensorrt_int8,64,"PWN(PWN(/features/features.2/features.2.0/block/block.1/block.1.2/Sigmoid), /features/features.2/features.2.0/block/block.1/block.1.2/Mul)",tensorrt,trt_layer,0.219955,0.000659,0.218802,0.222031,60,0.29614,91.914029
efficientnet_b0,tensorrt_int8,75,/features/features.2/features.2.0/block/block.2/avgpool/GlobalAveragePool,tensorrt,trt_layer,0.134247,0.002422,0.130781,0.144428,60,0.180745,94.223803
efficientnet_b0,tensorrt_int8,146,/features/features.2/features.2.0/block/block.2/fc1/Conv,tensorrt,trt_layer,0.017145,0.000361,0.016406,0.018437,60,0.023083,99.671776
efficientnet_b0,tensorrt_int8,170,"PWN(PWN(/features/features.2/features.2.0/block/block.2/activation/Sigmoid), /features/features.2/features.2.0/block/block.2/activation/Mul)",tensorrt,trt_layer,0.006256,0.000309,0.005729,0.00724,60,0.008423,99.992334
efficientnet_b0,tensorrt_int8,152,/features/features.2/features.2.0/block/block.2/fc2/Conv,tensorrt,trt_layer,0.015354,0.000324,0.014635,0.016458,60,0.020672,99.800912
efficientnet_b0,tensorrt_int8,19,"PWN(PWN(/features/features.2/features.2.0/block/block.2/scale_activation/Sigmoid), /features/features.2/features.2.0/block/block.2/Mul)",tensorrt,trt_layer,0.553826,0.000497,0.553021,0.55526,60,0.745652,70.218735
efficientnet_b0,tensorrt_int8,57,/features/features.2/features.2.0/block/block.3/block.3.0/Conv,tensorrt,trt_layer,0.248957,0.009327,0.241719,0.283541,60,0.335187,89.671104
efficientnet_b0,tensorrt_int8,27,/features/features.2/features.2.1/block/block.0/block.0.0/Conv,tensorrt,trt_layer,0.488388,0.002806,0.484479,0.499896,60,0.657548,75.535162
efficientnet_b0,tensorrt_int8,48,"PWN(PWN(/features/features.2/features.2.1/block/block.0/block.0.2/Sigmoid), /features/features.2/features.2.1/block/block.0/block.0.2/Mul)",tensorrt,trt_layer,0.309233,0.000588,0.308073,0.311354,60,0.41634,86.485099
efficientnet_b0,tensorrt_int8,15,/features/features.2/features.2.1/block/block.1/block.1.0/Conv,tensorrt,trt_layer,0.727297,0.011107,0.704219,0.757396,60,0.979207,66.923686
efficientnet_b0,tensorrt_int8,46,"PWN(PWN(/features/features.2/features.2.1/block/block.1/block.1.2/Sigmoid), /features/features.2/features.2.1/block/block.1/block.1.2/Mul)",tensorrt,trt_layer,0.326834,0.002323,0.324739,0.333958,60,0.440038,85.630033
efficientnet_b0,tensorrt_int8,67,/features/features.2/features.2.1/block/block.2/avgpool/GlobalAveragePool,tensorrt,trt_layer,0.163253,0.004769,0.157864,0.176771,60,0.219798,92.662284
efficientnet_b0,tensorrt_int8,149,/features/features.2/features.2.1/block/block.2/fc1/Conv,tensorrt,trt_layer,0.016227,0.000328,0.015572,0.017292,60,0.021847,99.738412
efficientnet_b0,tensorrt_int8,155,"PWN(PWN(/features/features.2/features.2.1/block/block.2/activation/Sigmoid), /features/features.2/features.2.1/block/block.2/activation/Mul)",tensorrt,trt_layer,0.008351,0.000383,0.007656,0.009427,60,0.011243,99.839503
efficientnet_b0,tensorrt_int8,148,/features/features.2/features.2.1/block/block.2/fc2/Conv,tensorrt,trt_layer,0.016358,0.000268,0.015834,0.017188,60,0.022024,99.716565
efficientnet_b0,tensorrt_int8,14,"PWN(PWN(/features/features.2/features.2.1/block/block.2/scale_activation/Sigmoid), /features/features.2/features.2.1/block/block.2/Mul)",tensorrt,trt_layer,0.810132,0.000372,0.809271,0.810989,60,1.090733,65.944479
efficientnet_b0,tensorrt_int8,42,/features/features.2/features.2.1/block/block.3/block.3.0/Conv + /features/features.2/features.2.1/Add,tensorrt,trt_layer,0.34116,0.002546,0.334584,0.347396,60,0.459326,83.818786
efficientnet_b0,tensorrt_int8,25,/features/features.3/features.3.0/block/block.0/block.0.0/Conv,tensorrt,trt_layer,0.490155,0.005727,0.48474,0.512552,60,0.659927,74.219694
efficientnet_b0,tensorrt_int8,47,"PWN(PWN(/features/features.3/features.3.0/block/block.0/block.0.2/Sigmoid), /features/features.3/features.3.0/block/block.0/block.0.2/Mul)",tensorrt,trt_layer,0.325859,0.000491,0.325,0.326875,60,0.438725,86.068758
efficientnet_b0,tensorrt_int8,6,/features/features.3/features.3.0/block/block.1/block.1.0/Conv,tensorrt,trt_layer,1.072743,0.008479,1.047031,1.089063,60,1.444303,56.627003
efficientnet_b0,tensorrt_int8,89,"PWN(PWN(/features/features.3/features.3.0/block/block.1/block.1.2/Sigmoid), /features/features.3/features.3.0/block/block.1/block.1.2/Mul)",tensorrt,trt_layer,0.085004,0.002206,0.083855,0.100885,60,0.114446,96.178323
efficientnet_b0,tensorrt_int8,104,/features/features.3/features.3.0/block/block.2/avgpool/GlobalAveragePool,tensorrt,trt_layer,0.060463,0.008016,0.055364,0.08677,60,0.081405,97.556259
efficientnet_b0,tensorrt_int8,150,/features/features.3/features.3.0/block/block.2/fc1/Conv,tensorrt,trt_layer,0.015596,0.000371,0.015,0.01651,60,0.020998,99.75941
efficientnet_b0,tensorrt_int8,159,"PWN(PWN(/features/features.3/features.3.0/block/block.2/activation/Sigmoid), /features/features.3/features.3.0/block/block.2/activation/Mul)",tensorrt,trt_layer,0.007994,0.000266,0.007604,0.008594,60,0.010763,99.883304
efficientnet_b0,tensorrt_int8,145,/features/features.3/features.3.0/block/block.2/fc2/Conv,tensorrt,trt_layer,0.017259,0.004528,0.016146,0.051979,60,0.023237,99.648693
