model,runtime,rank,layer_name,backend,granularity,mean_ms,std_ms,min_ms,max_ms,samples,percent_total_ms,cumulative_percent_ms
shufflenet_v2_x1_0,tensorrt_fp16,2,/conv1/conv1.0/Conv + /conv1/conv1.2/Relu,tensorrt,trt_layer,0.593221,0.020345,0.562135,0.659427,60,1.091962,67.925628
shufflenet_v2_x1_0,tensorrt_fp16,25,/maxpool/MaxPool,tensorrt,trt_layer,0.17887,0.003393,0.173593,0.196875,60,0.329252,79.464727
shufflenet_v2_x1_0,tensorrt_fp16,94,/stage2/stage2.0/branch1/branch1.0/Conv,tensorrt,trt_layer,0.089971,0.001085,0.087864,0.092968,60,0.165613,97.986785
shufflenet_v2_x1_0,tensorrt_fp16,23,/stage2/stage2.0/branch2/branch2.0/Conv + /stage2/stage2.0/branch2/branch2.2/Relu,tensorrt,trt_layer,0.197845,0.001055,0.195729,0.201666,60,0.36418,78.798119
shufflenet_v2_x1_0,tensorrt_fp16,100,/stage2/stage2.0/branch1/branch1.2/Conv + /stage2/stage2.0/branch1/branch1.4/Relu,tensorrt,trt_layer,0.073466,0.00113,0.071146,0.075834,60,0.135231,98.860972
shufflenet_v2_x1_0,tensorrt_fp16,1,/stage2/stage2.0/branch2/branch2.3/Conv,tensorrt,trt_layer,36.308153,277.345284,0.195156,2166.637695,60,66.833666,66.833666
shufflenet_v2_x1_0,tensorrt_fp16,87,/stage2/stage2.0/branch2/branch2.5/Conv + /stage2/stage2.0/branch2/branch2.7/Relu,tensorrt,trt_layer,0.113068,0.029678,0.101198,0.245312,60,0.208128,96.679823
shufflenet_v2_x1_0,tensorrt_fp16,14,/stage2/stage2.0/Reshape + /stage2/stage2.0/Transpose,tensorrt,trt_layer,0.26141,0.031402,0.250781,0.381614,60,0.481186,75.340464
shufflenet_v2_x1_0,tensorrt_fp16,109,/stage2/stage2.1/Slice,tensorrt,trt_layer,0.033227,0.002576,0.030937,0.051823,60,0.061162,99.745732
shufflenet_v2_x1_0,tensorrt_fp16,106,/stage2/stage2.1/Slice_1,tensorrt,trt_layer,0.043758,0.041446,0.03,0.222604,60,0.080547,99.534903
shufflenet_v2_x1_0,tensorrt_fp16,83,/stage2/stage2.1/branch2/branch2.0/Conv + /stage2/stage2.1/branch2/branch2.2/Relu,tensorrt,trt_layer,0.120793,0.037372,0.105573,0.304792,60,0.222348,95.813848
shufflenet_v2_x1_0,tensorrt_fp16,91,/stage2/stage2.1/branch2/branch2.3/Conv,tensorrt,trt_layer,0.103983,0.026656,0.093333,0.223281,60,0.191405,97.466811
shufflenet_v2_x1_0,tensorrt_fp16,86,/stage2/stage2.1/branch2/branch2.5/Conv + /stage2/stage2.1/branch2/branch2.7/Relu,tensorrt,trt_layer,0.118062,0.031976,0.101927,0.231927,60,0.217321,96.471695
shufflenet_v2_x1_0,tensorrt_fp16,13,/stage2/stage2.1/Reshape + /stage2/stage2.1/Transpose,tensorrt,trt_layer,0.262587,0.029157,0.250365,0.361354,60,0.483353,74.859277
shufflenet_v2_x1_0,tensorrt_fp16,111,/stage2/stage2.2/Slice,tensorrt,trt_layer,0.032045,0.00083,0.030417,0.034166,60,0.058986,99.864586
shufflenet_v2_x1_0,tensorrt_fp16,108,/stage2/stage2.2/Slice_1,tensorrt,trt_layer,0.040529,0.030116,0.03026,0.176511,60,0.074603,99.68457
shufflenet_v2_x1_0,tensorrt_fp16,82,/stage2/stage2.2/branch2/branch2.0/Conv + /stage2/stage2.2/branch2/branch2.2/Relu,tensorrt,trt_layer,0.121004,0.034436,0.104792,0.238125,60,0.222736,95.5915
shufflenet_v2_x1_0,tensorrt_fp16,90,/stage2/stage2.2/branch2/branch2.3/Conv,tensorrt,trt_layer,0.105778,0.029904,0.093438,0.244427,60,0.194709,97.275406
shufflenet_v2_x1_0,tensorrt_fp16,85,/stage2/stage2.2/branch2/branch2.5/Conv + /stage2/stage2.2/branch2/branch2.7/Relu,tensorrt,trt_layer,0.118787,0.031605,0.101354,0.22849,60,0.218655,96.254374
shufflenet_v2_x1_0,tensorrt_fp16,12,/stage2/stage2.2/Reshape + /stage2/stage2.2/Transpose,tensorrt,trt_layer,0.263885,0.029881,0.250208,0.378333,60,0.485742,74.375924
shufflenet_v2_x1_0,tensorrt_fp16,110,/stage2/stage2.3/Slice,tensorrt,trt_layer,0.032524,0.00076,0.030938,0.03427,60,0.059868,99.8056
shufflenet_v2_x1_0,tensorrt_fp16,107,/stage2/stage2.3/Slice_1,tensorrt,trt_layer,0.040779,0.032204,0.030105,0.210677,60,0.075063,99.609967
shufflenet_v2_x1_0,tensorrt_fp16,79,/stage2/stage2.3/branch2/branch2.0/Conv + /stage2/stage2.3/branch2/branch2.2/Relu,tensorrt,trt_layer,0.125148,0.033387,0.103646,0.228906,60,0.230364,94.920944
shufflenet_v2_x1_0,tensorrt_fp16,89,/stage2/stage2.3/branch2/branch2.3/Conv,tensorrt,trt_layer,0.10676,0.024904,0.093021,0.186302,60,0.196517,97.080696
shufflenet_v2_x1_0,tensorrt_fp16,78,/stage2/stage2.3/branch2/branch2.5/Conv + /stage2/stage2.3/branch2/branch2.7/Relu,tensorrt,trt_layer,0.127236,0.033842,0.10177,0.201614,60,0.234208,94.69058
shufflenet_v2_x1_0,tensorrt_fp16,11,/stage2/stage2.3/Reshape + /stage2/stage2.3/Transpose,tensorrt,trt_layer,0.274905,0.033281,0.250417,0.375989,60,0.506027,73.890182
shufflenet_v2_x1_0,tensorrt_fp16,80,/stage3/stage3.0/branch1/branch1.0/Conv,tensorrt,trt_layer,0.121806,0.002218,0.118646,0.135364,60,0.224212,95.145157
shufflenet_v2_x1_0,tensorrt_fp16,10,/stage3/stage3.0/branch2/branch2.0/Conv + /stage3/stage3.0/branch2/branch2.2/Relu,tensorrt,trt_layer,0.277336,0.00238,0.272448,0.284011,60,0.510502,73.384155
shufflenet_v2_x1_0,tensorrt_fp16,96,/stage3/stage3.0/branch1/branch1.2/Conv + /stage3/stage3.0/branch1/branch1.4/Relu,tensorrt,trt_layer,0.081183,0.00111,0.078958,0.083645,60,0.149436,98.297656
shufflenet_v2_x1_0,tensorrt_fp16,84,/stage3/stage3.0/branch2/branch2.3/Conv,tensorrt,trt_layer,0.120534,0.001473,0.117031,0.124584,60,0.221871,96.035719
shufflenet_v2_x1_0,tensorrt_fp16,97,/stage3/stage3.0/branch2/branch2.5/Conv + /stage3/stage3.0/branch2/branch2.7/Relu,tensorrt,trt_layer,0.081148,0.00121,0.078698,0.08375,60,0.149372,98.447028
shufflenet_v2_x1_0,tensorrt_fp16,77,/stage3/stage3.0/Reshape + /stage3/stage3.0/Transpose,tensorrt,trt_layer,0.129011,0.007297,0.127396,0.185,60,0.237475,94.456373
shufflenet_v2_x1_0,tensorrt_fp16,114,/stage3/stage3.1/Slice,tensorrt,trt_layer,0.021281,0.02042,0.0175,0.178073,60,0.039173,99.988558
shufflenet_v2_x1_0,tensorrt_fp16,113,/stage3/stage3.1/Slice_1,tensorrt,trt_layer,0.022808,0.027087,0.017343,0.215104,60,0.041983,99.949385
shufflenet_v2_x1_0,tensorrt_fp16,95,/stage3/stage3.1/branch2/branch2.0/Conv + /stage3/stage3.1/branch2/branch2.2/Relu,tensorrt,trt_layer,0.087701,0.023103,0.08,0.211042,60,0.161434,98.148219
