model,runtime,rank,layer_name,backend,granularity,mean_ms,std_ms,min_ms,max_ms,samples,percent_total_ms,cumulative_percent_ms
ssd_mobilenet_v2,tensorrt_fp32,51,"PWN(StatefulPartitionedCall/Preprocessor/mul/x:0 + (Unnamed Layer* 2) [Shuffle] + StatefulPartitionedCall/Preprocessor/mul, PWN(StatefulPartitionedCall/Preprocessor/sub/y:0 + (Unnamed Layer* 5) [Shuffle], StatefulPartitionedCall/Preprocessor/sub))",tensorrt,trt_layer,0.248017,0.096189,0.139948,0.736094,60,0.342704,94.082458
ssd_mobilenet_v2,tensorrt_fp32,56,StatefulPartitionedCall/Preprocessor/unstack,tensorrt,trt_layer,0.235046,0.079599,0.157812,0.583698,60,0.324781,95.726065
ssd_mobilenet_v2,tensorrt_fp32,15,Transpose__24,tensorrt,trt_layer,0.675076,0.044091,0.648437,0.822083,60,0.932804,73.346222
ssd_mobilenet_v2,tensorrt_fp32,23,Resize__36,tensorrt,trt_layer,0.472466,0.000677,0.471198,0.474166,60,0.652842,79.622501
ssd_mobilenet_v2,tensorrt_fp32,12,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/Conv1/Conv2D + StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/Conv1_relu/Relu6,tensorrt,trt_layer,0.849771,0.004703,0.841511,0.863281,60,1.174193,70.366524
ssd_mobilenet_v2,tensorrt_fp32,6,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/expanded_conv_depthwise/depthwise + StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/expanded_conv_depthwise_relu/Relu6,tensorrt,trt_layer,1.218479,0.010152,1.191563,1.240156,60,1.683665,62.806542
ssd_mobilenet_v2,tensorrt_fp32,13,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/expanded_conv_project/Conv2D,tensorrt,trt_layer,0.79788,0.005174,0.790886,0.810678,60,1.102492,71.469015
ssd_mobilenet_v2,tensorrt_fp32,3,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_1_expand/Conv2D + StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_1_expand_relu/Relu6,tensorrt,trt_layer,1.752279,0.006792,1.740677,1.775416,60,2.421257,57.160627
ssd_mobilenet_v2,tensorrt_fp32,2,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_1_depthwise/depthwise + StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_1_depthwise_relu/Relu6,tensorrt,trt_layer,1.959789,0.01797,1.934583,2.035469,60,2.70799,54.739369
ssd_mobilenet_v2,tensorrt_fp32,33,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_1_project/Conv2D,tensorrt,trt_layer,0.409191,0.002531,0.404011,0.420781,60,0.56541,85.70087
ssd_mobilenet_v2,tensorrt_fp32,9,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_2_expand/Conv2D + StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_2_expand_relu/Relu6,tensorrt,trt_layer,0.859898,0.005761,0.848698,0.874531,60,1.188187,66.830636
ssd_mobilenet_v2,tensorrt_fp32,5,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_2_depthwise/depthwise + StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_2_depthwise_relu/Relu6,tensorrt,trt_layer,1.39373,0.013375,1.371406,1.431875,60,1.925823,61.122877
ssd_mobilenet_v2,tensorrt_fp32,20,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_2_project/Conv2D + StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_2_add/add,tensorrt,trt_layer,0.578992,0.005035,0.571823,0.595937,60,0.800037,77.428121
ssd_mobilenet_v2,tensorrt_fp32,10,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_3_expand/Conv2D + StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_3_expand_relu/Relu6,tensorrt,trt_layer,0.858616,0.003422,0.852656,0.869479,60,1.186415,68.017051
ssd_mobilenet_v2,tensorrt_fp32,8,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_3_depthwise/depthwise + StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_3_depthwise_relu/Relu6,tensorrt,trt_layer,0.938366,0.014395,0.915417,0.980729,60,1.296612,65.64245
ssd_mobilenet_v2,tensorrt_fp32,64,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_3_project/Conv2D,tensorrt,trt_layer,0.18209,0.003506,0.175521,0.190989,60,0.251608,97.949325
ssd_mobilenet_v2,tensorrt_fp32,45,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_4_expand/Conv2D + StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_4_expand_relu/Relu6,tensorrt,trt_layer,0.304551,0.002322,0.296041,0.308438,60,0.420821,91.769312
ssd_mobilenet_v2,tensorrt_fp32,24,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_4_depthwise/depthwise + StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_4_depthwise_relu/Relu6,tensorrt,trt_layer,0.466029,0.003148,0.463125,0.486406,60,0.643948,80.266448
ssd_mobilenet_v2,tensorrt_fp32,58,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_4_project/Conv2D + StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_4_add/add,tensorrt,trt_layer,0.222979,0.006911,0.20875,0.240364,60,0.308107,96.342626
ssd_mobilenet_v2,tensorrt_fp32,47,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_5_expand/Conv2D + StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_5_expand_relu/Relu6,tensorrt,trt_layer,0.300592,0.00307,0.294322,0.312604,60,0.415351,92.601083
ssd_mobilenet_v2,tensorrt_fp32,25,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_5_depthwise/depthwise + StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_5_depthwise_relu/Relu6,tensorrt,trt_layer,0.465741,0.002047,0.462396,0.474791,60,0.64355,80.909998
ssd_mobilenet_v2,tensorrt_fp32,57,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_5_project/Conv2D + StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_5_add/add,tensorrt,trt_layer,0.22323,0.005272,0.21125,0.233125,60,0.308454,96.034519
