model,runtime,rank,layer_name,backend,granularity,mean_ms,std_ms,min_ms,max_ms,samples,percent_total_ms,cumulative_percent_ms
yolov8n,tensorrt_fp32,4,/model.0/conv/Conv,tensorrt,trt_layer,3.844268,0.021833,3.824636,3.959896,60,2.754927,39.162418
yolov8n,tensorrt_fp32,23,"PWN(PWN(/model.0/act/Sigmoid), /model.0/act/Mul)",tensorrt,trt_layer,1.168272,0.000779,1.166771,1.170729,60,0.837221,64.711094
yolov8n,tensorrt_fp32,7,/model.1/conv/Conv,tensorrt,trt_layer,2.580936,0.025902,2.528594,2.617031,60,1.849582,45.230606
yolov8n,tensorrt_fp32,65,"PWN(PWN(/model.1/act/Sigmoid), /model.1/act/Mul)",tensorrt,trt_layer,0.556796,0.000731,0.555105,0.55849,60,0.399018,89.001942
yolov8n,tensorrt_fp32,28,/model.2/cv1/conv/Conv,tensorrt,trt_layer,1.007373,0.011148,0.983437,1.031563,60,0.721916,68.55665
yolov8n,tensorrt_fp32,63,"PWN(PWN(/model.2/cv1/act/Sigmoid), /model.2/cv1/act/Mul)",tensorrt,trt_layer,0.579352,0.000711,0.577969,0.581875,60,0.415182,88.195625
yolov8n,tensorrt_fp32,91,/model.2/Split,tensorrt,trt_layer,0.210768,0.003236,0.205156,0.225208,60,0.151043,95.098779
yolov8n,tensorrt_fp32,90,/model.2/Split_0,tensorrt,trt_layer,0.212071,0.00313,0.206719,0.223229,60,0.151977,94.947736
yolov8n,tensorrt_fp32,13,/model.2/m.0/cv1/conv/Conv,tensorrt,trt_layer,1.972168,0.006089,1.963802,1.991927,60,1.413319,54.720455
yolov8n,tensorrt_fp32,81,"PWN(PWN(/model.2/m.0/cv1/act/Sigmoid), /model.2/m.0/cv1/act/Mul)",tensorrt,trt_layer,0.298185,0.001053,0.297187,0.304115,60,0.213689,93.298408
yolov8n,tensorrt_fp32,14,/model.2/m.0/cv2/conv/Conv,tensorrt,trt_layer,1.965002,0.009193,1.946614,1.981823,60,1.408184,56.128639
yolov8n,tensorrt_fp32,72,"PWN(PWN(PWN(/model.2/m.0/cv2/act/Sigmoid), /model.2/m.0/cv2/act/Mul), /model.2/m.0/Add)",tensorrt,trt_layer,0.377886,0.001226,0.376198,0.381146,60,0.270805,91.255809
yolov8n,tensorrt_fp32,92,/model.2/Split_output_1 copy,tensorrt,trt_layer,0.2082,0.003304,0.202865,0.220573,60,0.149203,95.247982
yolov8n,tensorrt_fp32,25,/model.2/cv2/conv/Conv,tensorrt,trt_layer,1.138961,0.007145,1.127917,1.158646,60,0.816216,66.361381
yolov8n,tensorrt_fp32,60,"PWN(PWN(/model.2/cv2/act/Sigmoid), /model.2/cv2/act/Mul)",tensorrt,trt_layer,0.599787,0.001708,0.596719,0.605052,60,0.429827,86.923668
yolov8n,tensorrt_fp32,11,/model.3/conv/Conv,tensorrt,trt_layer,1.987602,0.006619,1.964791,2.001094,60,1.42438,51.892633
yolov8n,tensorrt_fp32,80,"PWN(PWN(/model.3/act/Sigmoid), /model.3/act/Mul)",tensorrt,trt_layer,0.301703,0.002072,0.299479,0.308645,60,0.21621,93.084719
yolov8n,tensorrt_fp32,62,/model.4/cv1/conv/Conv,tensorrt,trt_layer,0.597025,0.004716,0.585312,0.606511,60,0.427847,87.780443
yolov8n,tensorrt_fp32,79,"PWN(PWN(/model.4/cv1/act/Sigmoid), /model.4/cv1/act/Mul)",tensorrt,trt_layer,0.302622,0.001807,0.298333,0.305365,60,0.216869,92.868509
yolov8n,tensorrt_fp32,109,/model.4/Split,tensorrt,trt_layer,0.128985,0.002098,0.124635,0.132969,60,0.092435,97.102209
yolov8n,tensorrt_fp32,112,/model.4/Split_1,tensorrt,trt_layer,0.127677,0.001929,0.123385,0.131615,60,0.091497,97.37717
yolov8n,tensorrt_fp32,43,/model.4/m.0/cv1/conv/Conv,tensorrt,trt_layer,0.752596,0.007375,0.741094,0.775105,60,0.539335,78.24719
yolov8n,tensorrt_fp32,98,"PWN(PWN(/model.4/m.0/cv1/act/Sigmoid), /model.4/m.0/cv1/act/Mul)",tensorrt,trt_layer,0.156935,0.001554,0.153385,0.159531,60,0.112465,95.989537
yolov8n,tensorrt_fp32,47,/model.4/m.0/cv2/conv/Conv,tensorrt,trt_layer,0.737593,0.005608,0.724636,0.746041,60,0.528583,80.364043
yolov8n,tensorrt_fp32,95,"PWN(PWN(PWN(/model.4/m.0/cv2/act/Sigmoid), /model.4/m.0/cv2/act/Mul), /model.4/m.0/Add)",tensorrt,trt_layer,0.178739,0.001603,0.175156,0.182552,60,0.12809,95.648004
yolov8n,tensorrt_fp32,46,/model.4/m.1/cv1/conv/Conv,tensorrt,trt_layer,0.738451,0.007711,0.723906,0.757812,60,0.529198,79.83546
yolov8n,tensorrt_fp32,99,"PWN(PWN(/model.4/m.1/cv1/act/Sigmoid), /model.4/m.1/cv1/act/Mul)",tensorrt,trt_layer,0.153972,0.001658,0.150104,0.156822,60,0.110341,96.099878
yolov8n,tensorrt_fp32,45,/model.4/m.1/cv2/conv/Conv,tensorrt,trt_layer,0.738757,0.005974,0.723021,0.752135,60,0.529417,79.306262
yolov8n,tensorrt_fp32,93,"PWN(PWN(PWN(/model.4/m.1/cv2/act/Sigmoid), /model.4/m.1/cv2/act/Mul), /model.4/m.1/Add)",tensorrt,trt_layer,0.198737,0.001568,0.19526,0.201302,60,0.142421,95.390404
yolov8n,tensorrt_fp32,113,/model.4/Split_output_1 copy,tensorrt,trt_layer,0.127671,0.006802,0.123229,0.163333,60,0.091493,97.468663
yolov8n,tensorrt_fp32,110,/model.4/m.0/Add_output_0 copy,tensorrt,trt_layer,0.128205,0.006676,0.123073,0.166667,60,0.091876,97.194085
yolov8n,tensorrt_fp32,36,/model.4/cv2/conv/Conv,tensorrt,trt_layer,0.96048,0.007847,0.950313,0.996979,60,0.688311,74.219511
yolov8n,tensorrt_fp32,74,"PWN(PWN(/model.4/cv2/act/Sigmoid), /model.4/cv2/act/Mul)",tensorrt,trt_layer,0.334159,0.001051,0.331823,0.335989,60,0.239469,91.750991
yolov8n,tensorrt_fp32,12,/model.5/conv/Conv,tensorrt,trt_layer,1.973819,0.013355,1.936771,1.997968,60,1.414503,53.307135
yolov8n,tensorrt_fp32,101,"PWN(PWN(/model.5/act/Sigmoid), /model.5/act/Mul)",tensorrt,trt_layer,0.148303,0.003931,0.145573,0.175261,60,0.106279,96.312928
yolov8n,tensorrt_fp32,67,/model.6/cv1/conv/Conv,tensorrt,trt_layer,0.519023,0.003746,0.509948,0.528906,60,0.371949,89.7464
yolov8n,tensorrt_fp32,102,"PWN(PWN(/model.6/cv1/act/Sigmoid), /model.6/cv1/act/Mul)",tensorrt,trt_layer,0.148004,0.00144,0.144323,0.150261,60,0.106064,96.418993
yolov8n,tensorrt_fp32,138,/model.6/Split,tensorrt,trt_layer,0.067362,0.001113,0.063959,0.069427,60,0.048274,98.974621
yolov8n,tensorrt_fp32,143,/model.6/Split_2,tensorrt,trt_layer,0.064853,0.000926,0.063073,0.067396,60,0.046476,99.208121
yolov8n,tensorrt_fp32,50,/model.6/m.0/cv1/conv/Conv,tensorrt,trt_layer,0.722952,0.004402,0.716406,0.733645,60,0.518091,81.918682
yolov8n,tensorrt_fp32,126,"PWN(PWN(/model.6/m.0/cv1/act/Sigmoid), /model.6/m.0/cv1/act/Mul)",tensorrt,trt_layer,0.08064,0.00074,0.078541,0.081927,60,0.057789,98.340105
yolov8n,tensorrt_fp32,54,/model.6/m.0/cv2/conv/Conv,tensorrt,trt_layer,0.709767,0.005578,0.70125,0.721407,60,0.508642,83.962006
yolov8n,tensorrt_fp32,121,"PWN(PWN(PWN(/model.6/m.0/cv2/act/Sigmoid), /model.6/m.0/cv2/act/Mul), /model.6/m.0/Add)",tensorrt,trt_layer,0.087286,0.001015,0.084427,0.089896,60,0.062552,98.042245
