model,runtime,rank,layer_name,backend,granularity,mean_ms,std_ms,min_ms,max_ms,samples,percent_total_ms,cumulative_percent_ms
yolov8n,tensorrt_int8,4,/model.0/conv/Conv,tensorrt,trt_layer,3.745799,0.004923,3.732187,3.755469,60,2.784056,37.237004
yolov8n,tensorrt_int8,23,"PWN(PWN(/model.0/act/Sigmoid), /model.0/act/Mul)",tensorrt,trt_layer,1.166995,0.000842,1.16474,1.169635,60,0.867366,63.625395
yolov8n,tensorrt_int8,7,/model.1/conv/Conv,tensorrt,trt_layer,2.578876,0.027969,2.521407,2.614792,60,1.916743,43.518784
yolov8n,tensorrt_int8,65,"PWN(PWN(/model.1/act/Sigmoid), /model.1/act/Mul)",tensorrt,trt_layer,0.548695,0.00056,0.547448,0.549844,60,0.407816,88.68774
yolov8n,tensorrt_int8,36,/model.2/cv1/conv/Conv,tensorrt,trt_layer,0.90851,0.002026,0.904791,0.913438,60,0.675248,73.418487
yolov8n,tensorrt_int8,63,"PWN(PWN(/model.2/cv1/act/Sigmoid), /model.2/cv1/act/Mul)",tensorrt,trt_layer,0.571855,0.000549,0.570625,0.573698,60,0.42503,87.855835
yolov8n,tensorrt_int8,87,/model.2/Split,tensorrt,trt_layer,0.211727,0.002113,0.205157,0.216042,60,0.157366,94.335902
yolov8n,tensorrt_int8,88,/model.2/Split_0,tensorrt,trt_layer,0.20972,0.002485,0.20375,0.214584,60,0.155874,94.491776
yolov8n,tensorrt_int8,12,/model.2/m.0/cv1/conv/Conv,tensorrt,trt_layer,1.998768,0.008486,1.990312,2.02875,60,1.485579,51.846954
yolov8n,tensorrt_int8,81,"PWN(PWN(/model.2/m.0/cv1/act/Sigmoid), /model.2/m.0/cv1/act/Mul)",tensorrt,trt_layer,0.29776,0.000454,0.296927,0.298802,60,0.221309,93.187891
yolov8n,tensorrt_int8,11,/model.2/m.0/cv2/conv/Conv,tensorrt,trt_layer,2.003175,0.010636,1.975886,2.022447,60,1.488855,50.361375
yolov8n,tensorrt_int8,72,"PWN(PWN(PWN(/model.2/m.0/cv2/act/Sigmoid), /model.2/m.0/cv2/act/Mul), /model.2/m.0/Add)",tensorrt,trt_layer,0.378166,0.001616,0.375937,0.384948,60,0.281071,91.059244
yolov8n,tensorrt_int8,89,/model.2/Split_output_1 copy,tensorrt,trt_layer,0.209587,0.002398,0.204792,0.214896,60,0.155775,94.647551
yolov8n,tensorrt_int8,25,/model.2/cv2/conv/Conv,tensorrt,trt_layer,1.135936,0.01892,1.128229,1.279218,60,0.844282,65.328241
yolov8n,tensorrt_int8,62,"PWN(PWN(/model.2/cv2/act/Sigmoid), /model.2/cv2/act/Mul)",tensorrt,trt_layer,0.59428,0.000972,0.592188,0.596459,60,0.441697,87.430805
yolov8n,tensorrt_int8,13,/model.3/conv/Conv,tensorrt,trt_layer,1.991692,0.068943,1.96151,2.515781,60,1.48032,53.327274
yolov8n,tensorrt_int8,77,"PWN(PWN(/model.3/act/Sigmoid), /model.3/act/Mul)",tensorrt,trt_layer,0.303891,0.006718,0.299792,0.336354,60,0.225866,92.294846
yolov8n,tensorrt_int8,61,/model.4/cv1/conv/Conv,tensorrt,trt_layer,0.596887,0.003996,0.586354,0.603073,60,0.443635,86.989108
yolov8n,tensorrt_int8,78,"PWN(PWN(/model.4/cv1/act/Sigmoid), /model.4/cv1/act/Mul)",tensorrt,trt_layer,0.303054,0.001018,0.300989,0.305625,60,0.225244,92.52009
yolov8n,tensorrt_int8,106,/model.4/Split,tensorrt,trt_layer,0.129519,0.001877,0.126041,0.137084,60,0.096265,96.559302
yolov8n,tensorrt_int8,108,/model.4/Split_1,tensorrt,trt_layer,0.127228,0.002157,0.123386,0.134583,60,0.094562,96.748877
yolov8n,tensorrt_int8,42,/model.4/m.0/cv1/conv/Conv,tensorrt,trt_layer,0.746232,0.023495,0.735156,0.923646,60,0.554635,77.02062
yolov8n,tensorrt_int8,94,"PWN(PWN(/model.4/m.0/cv1/act/Sigmoid), /model.4/m.0/cv1/act/Mul)",tensorrt,trt_layer,0.155181,0.001096,0.152968,0.158906,60,0.115338,95.291166
yolov8n,tensorrt_int8,48,/model.4/m.0/cv2/conv/Conv,tensorrt,trt_layer,0.725851,0.004749,0.718594,0.749948,60,0.539487,80.272256
yolov8n,tensorrt_int8,91,"PWN(PWN(PWN(/model.4/m.0/cv2/act/Sigmoid), /model.4/m.0/cv2/act/Mul), /model.4/m.0/Add)",tensorrt,trt_layer,0.178929,0.001399,0.176615,0.183698,60,0.132989,94.925328
yolov8n,tensorrt_int8,44,/model.4/m.1/cv1/conv/Conv,tensorrt,trt_layer,0.729546,0.004348,0.722292,0.741094,60,0.542233,78.112355
yolov8n,tensorrt_int8,96,"PWN(PWN(/model.4/m.1/cv1/act/Sigmoid), /model.4/m.1/cv1/act/Mul)",tensorrt,trt_layer,0.152584,0.001187,0.150573,0.155625,60,0.113408,95.518318
yolov8n,tensorrt_int8,45,/model.4/m.1/cv2/conv/Conv,tensorrt,trt_layer,0.727135,0.003445,0.71974,0.73349,60,0.540441,78.652796
yolov8n,tensorrt_int8,90,"PWN(PWN(PWN(/model.4/m.1/cv2/act/Sigmoid), /model.4/m.1/cv2/act/Mul), /model.4/m.1/Add)",tensorrt,trt_layer,0.194805,0.001418,0.192396,0.197916,60,0.144788,94.792339
yolov8n,tensorrt_int8,110,/model.4/Split_output_1 copy,tensorrt,trt_layer,0.126917,0.001522,0.123386,0.131406,60,0.094331,96.937576
yolov8n,tensorrt_int8,109,/model.4/m.0/Add_output_0 copy,tensorrt,trt_layer,0.126967,0.001488,0.123229,0.129635,60,0.094368,96.843245
yolov8n,tensorrt_int8,35,/model.4/cv2/conv/Conv,tensorrt,trt_layer,0.962183,0.006654,0.953958,0.977917,60,0.71514,72.74324
yolov8n,tensorrt_int8,75,"PWN(PWN(/model.4/cv2/act/Sigmoid), /model.4/cv2/act/Mul)",tensorrt,trt_layer,0.334683,0.001049,0.332084,0.336406,60,0.248752,91.831175
yolov8n,tensorrt_int8,14,/model.5/conv/Conv,tensorrt,trt_layer,1.968885,0.010716,1.942344,1.987761,60,1.463369,54.790643
yolov8n,tensorrt_int8,97,"PWN(PWN(/model.5/act/Sigmoid), /model.5/act/Mul)",tensorrt,trt_layer,0.148893,0.001152,0.146303,0.151562,60,0.110664,95.628982
yolov8n,tensorrt_int8,67,/model.6/cv1/conv/Conv,tensorrt,trt_layer,0.530471,0.004801,0.517813,0.542864,60,0.394271,89.485168
yolov8n,tensorrt_int8,98,"PWN(PWN(/model.6/cv1/act/Sigmoid), /model.6/cv1/act/Mul)",tensorrt,trt_layer,0.148277,0.001375,0.145157,0.151979,60,0.110207,95.739189
yolov8n,tensorrt_int8,140,/model.6/Split,tensorrt,trt_layer,0.068045,0.000991,0.064687,0.070573,60,0.050574,98.920989
yolov8n,tensorrt_int8,147,/model.6/Split_2,tensorrt,trt_layer,0.064714,0.001074,0.062813,0.068333,60,0.048099,99.263533
yolov8n,tensorrt_int8,50,/model.6/m.0/cv1/conv/Conv,tensorrt,trt_layer,0.722303,0.003701,0.714166,0.734427,60,0.53685,81.348019
yolov8n,tensorrt_int8,125,"PWN(PWN(/model.6/m.0/cv1/act/Sigmoid), /model.6/m.0/cv1/act/Mul)",tensorrt,trt_layer,0.080781,0.000714,0.079375,0.083333,60,0.06004,98.09265
yolov8n,tensorrt_int8,53,/model.6/m.0/cv2/conv/Conv,tensorrt,trt_layer,0.713675,0.018545,0.699479,0.849792,60,0.530437,82.942085
yolov8n,tensorrt_int8,121,"PWN(PWN(PWN(/model.6/m.0/cv2/act/Sigmoid), /model.6/m.0/cv2/act/Mul), /model.6/m.0/Add)",tensorrt,trt_layer,0.087848,0.000721,0.085313,0.089531,60,0.065293,97.840106
yolov8n,tensorrt_int8,58,/model.6/m.1/cv1/conv/Conv,tensorrt,trt_layer,0.706793,0.004109,0.698542,0.71849,60,0.525322,85.576492
yolov8n,tensorrt_int8,127,"PWN(PWN(/model.6/m.1/cv1/act/Sigmoid), /model.6/m.1/cv1/act/Mul)",tensorrt,trt_layer,0.078221,0.000466,0.077188,0.079375,60,0.058138,98.210549
yolov8n,tensorrt_int8,55,/model.6/m.1/cv2/conv/Conv,tensorrt,trt_layer,0.711651,0.004938,0.702709,0.727396,60,0.528933,84.000072
yolov8n,tensorrt_int8,118,"PWN(PWN(PWN(/model.6/m.1/cv2/act/Sigmoid), /model.6/m.1/cv2/act/Mul), /model.6/m.1/Add)",tensorrt,trt_layer,0.103401,0.001217,0.101562,0.10724,60,0.076853,97.639305
yolov8n,tensorrt_int8,148,/model.6/Split_output_1 copy,tensorrt,trt_layer,0.064279,0.000951,0.061979,0.066407,60,0.047775,99.311308
yolov8n,tensorrt_int8,146,/model.6/m.0/Add_output_0 copy,tensorrt,trt_layer,0.064795,0.000957,0.063125,0.068125,60,0.048159,99.215435
yolov8n,tensorrt_int8,37,/model.6/cv2/conv/Conv,tensorrt,trt_layer,0.906541,0.004799,0.89651,0.921875,60,0.673784,74.092272
yolov8n,tensorrt_int8,93,"PWN(PWN(/model.6/cv2/act/Sigmoid), /model.6/cv2/act/Mul)",tensorrt,trt_layer,0.159218,0.001044,0.157343,0.161094,60,0.118338,95.175828
yolov8n,tensorrt_int8,9,/model.7/conv/Conv,tensorrt,trt_layer,2.345271,0.011531,2.305834,2.369323,60,1.743117,47.137153
yolov8n,tensorrt_int8,133,"PWN(PWN(/model.7/act/Sigmoid), /model.7/act/Mul)",tensorrt,trt_layer,0.074696,0.000658,0.073281,0.076562,60,0.055518,98.549014
yolov8n,tensorrt_int8,64,/model.8/cv1/conv/Conv,tensorrt,trt_layer,0.570589,0.004578,0.560625,0.582344,60,0.424089,88.279924
yolov8n,tensorrt_int8,128,"PWN(PWN(/model.8/cv1/act/Sigmoid), /model.8/cv1/act/Mul)",tensorrt,trt_layer,0.07791,0.000698,0.076458,0.079375,60,0.057906,98.268456
yolov8n,tensorrt_int8,160,/model.8/Split,tensorrt,trt_layer,0.036494,0.001181,0.034739,0.039427,60,0.027124,99.708272
yolov8n,tensorrt_int8,163,/model.8/Split_3,tensorrt,trt_layer,0.034932,0.000894,0.033177,0.038073,60,0.025963,99.786797
yolov8n,tensorrt_int8,29,/model.8/m.0/cv1/conv/Conv,tensorrt,trt_layer,1.003954,0.006154,0.990885,1.021146,60,0.746186,68.350815
