co2_per_inference_mg,energy_per_inference_mj,error,final_class,mean_ms,memory_mb,model,model_size_mb,num_runs,p50_ms,p95_ms,p99_ms,power_avg_mw,power_max_mw,power_mode,runtime,source_path,status,status_reason,std_ms,total_co2_mg,total_energy_mj,dashboard_source,min_ms,max_ms,fps
0.767367,6018.563698,,measured,1267.3115,18.23,efficientnet_b0,20.33,200.0,1300.3402,1531.1095,1571.4299,4749.08,5079.0,MAXN,pytorch_cpu,results/clean_v2_20260512_131735/latency/MAXN/efficientnet_b0_pytorch_cpu,ok,ok,212.4369,153.4734,1203712.7397,clean_v2_without_tensorrt,,,
0.025437,199.507774,,measured,44.5687,30.94,efficientnet_b0,20.33,200.0,42.9161,49.9032,58.1406,4476.41,6090.0,MAXN,pytorch_cuda,results/clean_v2_20260512_131735/latency/MAXN/efficientnet_b0_pytorch_cuda,ok,ok,3.5969,5.0874,39901.5549,clean_v2_without_tensorrt,,,
,120.46411446910705,,measured,27.65945419311523,0.58,efficientnet_b0,25.22,,27.580988883972168,28.067350769042967,28.136436500549316,4355.26,6961.0,MAXN,tensorrt_fp32,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/latency/efficientnet_b0_10w_20260513_141129,ok,ok,0.1887488055916331,,,tensorrt_only,27.4364070892334,28.22197914123535,36.15
,122.41970774034634,,measured,22.38310781478882,0.58,efficientnet_b0,14.59,,22.25007724761963,22.68885707855225,24.614927005767832,5469.29,6785.0,MAXN,tensorrt_fp16,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/latency/efficientnet_b0_10w_20260513_141129,ok,ok,0.5180633086865084,,,tensorrt_only,22.141563415527344,26.77338600158691,44.68
,160.9963385864983,,measured,27.8030495262146,0.58,efficientnet_b0,24.22,,27.678489685058594,28.275645446777343,29.855746726989747,5790.6,6745.0,MAXN,tensorrt_int8,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/latency/efficientnet_b0_10w_20260513_141129,ok,ok,0.4250312145295674,,,tensorrt_only,27.49166679382324,30.244115829467773,35.97
0.023899,187.442228,,measured,39.5076,387.63,efficientnet_b0,20.16,200.0,39.3301,40.2599,40.4064,4744.46,7249.0,MAXN,onnxrt_cuda,results/clean_v2_20260512_131735/latency/MAXN/efficientnet_b0_onnxrt_cuda,ok,ok,0.3469,4.7798,37488.4456,clean_v2_without_tensorrt,,,
0.012503,98.065817,,measured,27.935,833.79,efficientnet_b0,20.16,200.0,27.6999,28.7144,30.7244,3510.5,6999.0,MAXN,onnxrt_trt,results/clean_v2_20260512_131735/latency/MAXN/efficientnet_b0_onnxrt_trt,ok,ok,0.5704,2.5007,19613.1635,clean_v2_without_tensorrt,,,
0.121151,950.206334,,measured,277.5719,46.24,efficientnet_b0,20.16,200.0,277.058,283.8336,288.3454,3423.28,3784.0,MAXN,tflite_cpu,results/clean_v2_20260512_131735/latency/MAXN/efficientnet_b0_tflite_cpu,ok,ok,3.8435,24.2303,190041.2668,clean_v2_without_tensorrt,,,
,,"tflite_gpu: Descriptors cannot be created directly.
If this call came from a _pb2.py file, your generated code is out of date and must be regenerated with protoc >= 3.19.0.
If you cannot immediately regenerate your protos, some other possible workarounds are:
 1. Downgrade the protobuf package to 3.20.x or lower.
 2. Set PROTOCOL_BUFFERS_PYTHON_IMPLEMENTATION=python (but this will use pure-Python parsing and will be much slower).

More information: https://developers.google.com/protocol-buffers/docs/news/2022-05-06#python-updates",error,,,efficientnet_b0,,,,,,2636.33,2844.0,MAXN,tflite_gpu,results/clean_v2_20260512_131735/latency/MAXN/efficientnet_b0_tflite_gpu,error,runtime_error,,,,clean_v2_without_tensorrt,,,
0.041547,325.860662,,measured,63.1808,24.27,efficientnet_b0,20.09,200.0,60.0256,71.0135,73.359,5157.59,5325.0,MAXN,ncnn_cpu,results/clean_v2_20260512_131735/latency/MAXN/efficientnet_b0_ncnn_cpu,ok,ok,8.2189,8.3094,65172.1325,clean_v2_without_tensorrt,,,
0.011764,92.263738,,measured,23.2369,2.46,efficientnet_b0,20.09,200.0,22.9699,24.945,26.8533,3970.57,5277.0,MAXN,ncnn_vulkan,results/clean_v2_20260512_131735/latency/MAXN/efficientnet_b0_ncnn_vulkan,ok,ok,0.7591,2.3527,18452.7476,clean_v2_without_tensorrt,,,
0.512374,4018.622227,,measured,1618.976,22.34,efficientnet_b0,20.33,200.0,1557.3427,2127.849,2252.4783,2482.2,2714.0,5W,pytorch_cpu,results/clean_v2_20260512_131735/latency/5W/efficientnet_b0_pytorch_cpu,ok,ok,285.408,102.4749,803724.4454,clean_v2_without_tensorrt,,,
0.025576,200.59263,,measured,71.5942,30.94,efficientnet_b0,20.33,200.0,72.8642,82.9681,94.7248,2801.8,3778.0,5W,pytorch_cuda,results/clean_v2_20260512_131735/latency/5W/efficientnet_b0_pytorch_cuda,ok,ok,6.0041,5.1151,40118.5259,clean_v2_without_tensorrt,,,
,125.4380238885727,,measured,39.25704124450684,0.58,efficientnet_b0,25.22,,38.92093849182129,39.82065258026123,45.38867504119874,3195.3,4563.0,5W,tensorrt_fp32,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/latency/efficientnet_b0_5w_20260513_141419,ok,ok,1.2139353811311493,,,tensorrt_only,38.65213394165039,46.995155334472656,25.47
,128.37123561126708,,measured,31.556350936889647,0.58,efficientnet_b0,14.59,,31.389166831970215,31.892493438720702,35.06877536773682,4068.0,4596.0,5W,tensorrt_fp16,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/latency/efficientnet_b0_5w_20260513_141419,ok,ok,0.6357957999834692,,,tensorrt_only,31.184375762939453,36.1900520324707,31.69
,161.9358657623001,,measured,39.757595176696775,0.58,efficientnet_b0,24.22,,39.025339126586914,44.34711837768555,50.60855216979982,4073.08,4717.0,5W,tensorrt_int8,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/latency/efficientnet_b0_5w_20260513_141419,ok,ok,2.2706354503194226,,,tensorrt_only,38.735939025878906,54.51286315917969,25.15
0.021296,167.029596,,measured,53.7747,382.82,efficientnet_b0,20.16,200.0,53.7536,53.8641,54.1669,3106.1,4326.0,5W,onnxrt_cuda,results/clean_v2_20260512_131735/latency/5W/efficientnet_b0_onnxrt_cuda,ok,ok,0.1917,4.2593,33405.9191,clean_v2_without_tensorrt,,,
0.012018,94.261304,,measured,39.0599,763.39,efficientnet_b0,20.16,200.0,39.0372,39.2345,39.4856,2413.25,4253.0,5W,onnxrt_trt,results/clean_v2_20260512_131735/latency/5W/efficientnet_b0_onnxrt_trt,ok,ok,0.1189,2.4037,18852.2607,clean_v2_without_tensorrt,,,
0.141518,1109.944099,,measured,453.5234,45.95,efficientnet_b0,20.16,200.0,451.6942,464.5245,503.3315,2447.38,2641.0,5W,tflite_cpu,results/clean_v2_20260512_131735/latency/5W/efficientnet_b0_tflite_cpu,ok,ok,9.0721,28.3036,221988.8197,clean_v2_without_tensorrt,,,
,,"tflite_gpu: Descriptors cannot be created directly.
If this call came from a _pb2.py file, your generated code is out of date and must be regenerated with protoc >= 3.19.0.
If you cannot immediately regenerate your protos, some other possible workarounds are:
 1. Downgrade the protobuf package to 3.20.x or lower.
 2. Set PROTOCOL_BUFFERS_PYTHON_IMPLEMENTATION=python (but this will use pure-Python parsing and will be much slower).

More information: https://developers.google.com/protocol-buffers/docs/news/2022-05-06#python-updates",error,,,efficientnet_b0,,,,,,2164.8,2245.0,5W,tflite_gpu,results/clean_v2_20260512_131735/latency/5W/efficientnet_b0_tflite_gpu,error,runtime_error,,,,clean_v2_without_tensorrt,,,
0.052602,412.563907,,measured,149.8603,24.39,efficientnet_b0,20.09,200.0,147.407,154.4414,199.3021,2752.99,2844.0,5W,ncnn_cpu,results/clean_v2_20260512_131735/latency/5W/efficientnet_b0_ncnn_cpu,ok,ok,10.1961,10.5204,82512.7815,clean_v2_without_tensorrt,,,
0.012575,98.624216,,measured,32.6024,2.38,efficientnet_b0,20.09,200.0,32.5847,32.7521,32.9002,3025.06,3357.0,5W,ncnn_vulkan,results/clean_v2_20260512_131735/latency/5W/efficientnet_b0_ncnn_vulkan,ok,ok,0.2184,2.5149,19724.8432,clean_v2_without_tensorrt,,,
0.20685,1622.354659,,measured,348.1388,13.34,mobilenetv3_small,9.75,200.0,376.358,430.7702,456.5739,4660.08,4920.0,MAXN,pytorch_cpu,results/clean_v2_20260512_131735/latency/MAXN/mobilenetv3_small_pytorch_cpu,ok,ok,83.3253,41.37,324470.9318,clean_v2_without_tensorrt,,,
0.013798,108.216598,,measured,27.7524,12.29,mobilenetv3_small,9.75,200.0,26.8266,32.2764,34.3787,3899.36,4840.0,MAXN,pytorch_cuda,results/clean_v2_20260512_131735/latency/MAXN/mobilenetv3_small_pytorch_cuda,ok,ok,2.1376,2.7595,21643.3197,clean_v2_without_tensorrt,,,
,27.19523917396345,,measured,7.180943713188172,0.58,mobilenetv3_small,11.94,,6.995910882949829,8.138510608673096,9.537301092147835,3787.14,6130.0,MAXN,tensorrt_fp32,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/latency/mobilenetv3_small_10w_20260513_135950,ok,ok,0.5822316762834486,,,tensorrt_only,6.877552032470703,11.183124542236328,139.26
,36.68555779159069,,measured,8.385270352363586,0.58,mobilenetv3_small,6.78,,9.085311889648438,11.118411684036255,11.950965490341192,4375.0,4983.0,MAXN,tensorrt_fp16,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/latency/mobilenetv3_small_10w_20260513_135950,ok,ok,1.684343110240198,,,tensorrt_only,5.766302108764648,12.825103759765623,119.26
,35.757617534136635,,measured,7.163457827568054,0.58,mobilenetv3_small,12.24,,7.091197490692139,7.468815803527832,7.707514128685004,4991.67,6100.0,MAXN,tensorrt_int8,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/latency/mobilenetv3_small_10w_20260513_135950,ok,ok,0.214614220580435,,,tensorrt_only,6.997499942779541,8.827812194824219,139.6
0.0052,40.784924,,measured,11.1433,388.38,mobilenetv3_small,9.71,200.0,10.9088,12.8202,15.1304,3660.04,5855.0,MAXN,onnxrt_cuda,results/clean_v2_20260512_131735/latency/MAXN/mobilenetv3_small_onnxrt_cuda,ok,ok,0.9092,1.04,8156.9847,clean_v2_without_tensorrt,,,
0.002865,22.473377,,measured,7.2151,986.35,mobilenetv3_small,9.71,200.0,7.118,7.6252,9.3285,3114.77,5697.0,MAXN,onnxrt_trt,results/clean_v2_20260512_131735/latency/MAXN/mobilenetv3_small_onnxrt_trt,ok,ok,0.3617,0.5731,4494.6754,clean_v2_without_tensorrt,,,
0.027141,212.872046,,measured,63.3893,16.38,mobilenetv3_small,11.99,200.0,62.3677,67.9283,70.5376,3358.17,3778.0,MAXN,tflite_cpu,results/clean_v2_20260512_131735/latency/MAXN/mobilenetv3_small_tflite_cpu,ok,ok,2.3581,5.4282,42574.4091,clean_v2_without_tensorrt,,,
,,"tflite_gpu: Descriptors cannot be created directly.
If this call came from a _pb2.py file, your generated code is out of date and must be regenerated with protoc >= 3.19.0.
If you cannot immediately regenerate your protos, some other possible workarounds are:
 1. Downgrade the protobuf package to 3.20.x or lower.
 2. Set PROTOCOL_BUFFERS_PYTHON_IMPLEMENTATION=python (but this will use pure-Python parsing and will be much slower).

More information: https://developers.google.com/protocol-buffers/docs/news/2022-05-06#python-updates",error,,,mobilenetv3_small,,,,,,2411.5,2637.0,MAXN,tflite_gpu,results/clean_v2_20260512_131735/latency/MAXN/mobilenetv3_small_tflite_gpu,error,runtime_error,,,,clean_v2_without_tensorrt,,,
0.005345,41.917678,,measured,9.8306,3.96,mobilenetv3_small,9.68,200.0,8.8947,14.1887,21.0129,4264.0,5141.0,MAXN,ncnn_cpu,results/clean_v2_20260512_131735/latency/MAXN/mobilenetv3_small_ncnn_cpu,ok,ok,4.5183,1.0689,8383.5357,clean_v2_without_tensorrt,,,
0.002799,21.951286,,measured,7.2664,2.17,mobilenetv3_small,9.68,200.0,7.1491,7.5446,9.8466,3020.93,4280.0,MAXN,ncnn_vulkan,results/clean_v2_20260512_131735/latency/MAXN/mobilenetv3_small_ncnn_vulkan,ok,ok,0.4201,0.5598,4390.2572,clean_v2_without_tensorrt,,,
0.150697,1181.938786,,measured,474.3199,11.39,mobilenetv3_small,9.75,200.0,466.3456,679.5694,705.2472,2491.86,2790.0,5W,pytorch_cpu,results/clean_v2_20260512_131735/latency/5W/mobilenetv3_small_pytorch_cpu,ok,ok,132.7491,30.1394,236387.7572,clean_v2_without_tensorrt,,,
0.016367,128.366957,,measured,51.1192,12.29,mobilenetv3_small,9.75,200.0,48.6508,58.3514,65.7213,2511.13,3033.0,5W,pytorch_cuda,results/clean_v2_20260512_131735/latency/5W/mobilenetv3_small_pytorch_cuda,ok,ok,4.5981,3.2734,25673.3913,clean_v2_without_tensorrt,,,
,28.63616435437775,,measured,10.313206329345704,0.58,mobilenetv3_small,11.94,,10.005000114440918,12.4054461479187,14.177661647796636,2776.65,4085.0,5W,tensorrt_fp32,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/latency/mobilenetv3_small_5w_20260513_140233,ok,ok,1.0084244589940352,,,tensorrt_only,9.2798433303833,14.807188034057615,96.96
,44.14773241345214,,measured,14.526103057861327,0.58,mobilenetv3_small,6.78,,14.393749713897703,17.887793922424315,18.970901641845717,3039.2,3413.0,5W,tensorrt_fp16,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/latency/mobilenetv3_small_5w_20260513_140233,ok,ok,1.8269267540007652,,,tensorrt_only,9.7485933303833,21.689844131469727,68.84
,35.30973052318954,,measured,9.717374038696288,0.58,mobilenetv3_small,12.24,,9.53880214691162,10.43432354927063,12.525897216796878,3633.67,4159.0,5W,tensorrt_int8,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/latency/mobilenetv3_small_5w_20260513_140233,ok,ok,0.6132502295673131,,,tensorrt_only,9.433177947998049,13.217968940734863,102.91
0.007485,58.705699,,measured,21.5987,388.56,mobilenetv3_small,9.71,200.0,21.144,25.5648,26.5893,2718.02,3737.0,5W,onnxrt_cuda,results/clean_v2_20260512_131735/latency/5W/mobilenetv3_small_onnxrt_cuda,ok,ok,1.7102,1.497,11741.1397,clean_v2_without_tensorrt,,,
0.003646,28.595537,,measured,12.1605,990.95,mobilenetv3_small,9.71,200.0,11.9007,15.2515,16.5154,2351.51,3846.0,5W,onnxrt_trt,results/clean_v2_20260512_131735/latency/5W/mobilenetv3_small_onnxrt_trt,ok,ok,2.3808,0.7292,5719.1075,clean_v2_without_tensorrt,,,
0.033577,263.346493,,measured,107.5125,18.99,mobilenetv3_small,11.99,200.0,106.5851,117.8272,130.8605,2449.45,2600.0,5W,tflite_cpu,results/clean_v2_20260512_131735/latency/5W/mobilenetv3_small_tflite_cpu,ok,ok,7.8663,6.7153,52669.2986,clean_v2_without_tensorrt,,,
,,"tflite_gpu: Descriptors cannot be created directly.
If this call came from a _pb2.py file, your generated code is out of date and must be regenerated with protoc >= 3.19.0.
If you cannot immediately regenerate your protos, some other possible workarounds are:
 1. Downgrade the protobuf package to 3.20.x or lower.
 2. Set PROTOCOL_BUFFERS_PYTHON_IMPLEMENTATION=python (but this will use pure-Python parsing and will be much slower).

More information: https://developers.google.com/protocol-buffers/docs/news/2022-05-06#python-updates",error,,,mobilenetv3_small,,,,,,2287.33,2360.0,5W,tflite_gpu,results/clean_v2_20260512_131735/latency/5W/mobilenetv3_small_tflite_gpu,error,runtime_error,,,,clean_v2_without_tensorrt,,,
0.007418,58.177551,,measured,21.6849,4.48,mobilenetv3_small,9.68,200.0,19.7256,36.3418,38.2538,2682.86,2840.0,5W,ncnn_cpu,results/clean_v2_20260512_131735/latency/5W/mobilenetv3_small_ncnn_cpu,ok,ok,5.2947,1.4835,11635.5102,clean_v2_without_tensorrt,,,
0.003341,26.207048,,measured,10.6258,2.03,mobilenetv3_small,9.68,200.0,10.4065,11.9088,14.5962,2466.36,2997.0,5W,ncnn_vulkan,results/clean_v2_20260512_131735/latency/5W/mobilenetv3_small_ncnn_vulkan,ok,ok,0.8084,0.6683,5241.4096,clean_v2_without_tensorrt,,,
0.518327,4065.307259,,measured,762.1527,21.02,resnet50,97.7,200.0,764.2314,825.221,842.9892,5333.98,5607.0,MAXN,pytorch_cpu,results/clean_v2_20260512_131735/latency/MAXN/resnet50_pytorch_cpu,ok,ok,36.687,103.6653,813061.4517,clean_v2_without_tensorrt,,,
0.061128,479.435228,,measured,90.2361,125.64,resnet50,97.7,200.0,90.2083,91.088,92.1425,5313.12,8423.0,MAXN,pytorch_cuda,results/clean_v2_20260512_131735/latency/MAXN/resnet50_pytorch_cuda,ok,ok,0.6651,12.2256,95887.0455,clean_v2_without_tensorrt,,,
,292.14066044029533,,measured,55.45191680908203,0.58,resnet50,121.75,,55.38414001464844,55.93210010528564,56.055555152893064,5268.36,7608.0,MAXN,tensorrt_fp32,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/latency/resnet50_10w_20260513_140522,ok,ok,0.2687093060025633,,,tensorrt_only,54.88677215576172,56.095001220703125,18.03
,167.67742113112928,,measured,30.026739597320557,0.58,resnet50,61.14,,29.956249237060547,30.4209659576416,30.64859191894532,5584.27,7305.0,MAXN,tensorrt_fp16,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/latency/resnet50_10w_20260513_140522,ok,ok,0.2351828539865972,,,tensorrt_only,29.671667098999023,31.4012508392334,33.3
,342.98990350877074,,measured,54.63084129333496,0.58,resnet50,115.83,,54.56354331970215,55.14826583862305,55.33872745513917,6278.32,7753.0,MAXN,tensorrt_int8,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/latency/resnet50_10w_20260513_140522,ok,ok,0.3855843662993039,,,tensorrt_only,54.10604095458984,57.17729187011719,18.3
0.37644,2952.46757,,measured,513.2459,391.41,resnet50,97.41,200.0,512.9556,516.4848,520.4068,5752.54,6865.0,MAXN,onnxrt_cuda,results/clean_v2_20260512_131735/latency/MAXN/resnet50_onnxrt_cuda,ok,ok,1.8991,75.2879,590493.5139,clean_v2_without_tensorrt,,,
0.031224,244.897221,,measured,54.7539,651.16,resnet50,97.41,200.0,54.6402,55.4835,55.683,4472.69,7510.0,MAXN,onnxrt_trt,results/clean_v2_20260512_131735/latency/MAXN/resnet50_onnxrt_trt,ok,ok,0.3999,6.2449,48979.4442,clean_v2_without_tensorrt,,,
0.3199,2509.018894,,measured,552.9043,196.38,resnet50,97.43,200.0,549.9915,568.6152,602.9788,4537.89,4760.0,MAXN,tflite_cpu,results/clean_v2_20260512_131735/latency/MAXN/resnet50_tflite_cpu,ok,ok,17.3174,63.98,501803.7788,clean_v2_without_tensorrt,,,
,,"tflite_gpu: Descriptors cannot be created directly.
If this call came from a _pb2.py file, your generated code is out of date and must be regenerated with protoc >= 3.19.0.
If you cannot immediately regenerate your protos, some other possible workarounds are:
 1. Downgrade the protobuf package to 3.20.x or lower.
 2. Set PROTOCOL_BUFFERS_PYTHON_IMPLEMENTATION=python (but this will use pure-Python parsing and will be much slower).

More information: https://developers.google.com/protocol-buffers/docs/news/2022-05-06#python-updates",error,,,resnet50,,,,,,2465.33,2605.0,MAXN,tflite_gpu,results/clean_v2_20260512_131735/latency/MAXN/resnet50_tflite_gpu,error,runtime_error,,,,clean_v2_without_tensorrt,,,
