model,runtime,rank,layer_name,backend,granularity,mean_ms,std_ms,min_ms,max_ms,samples,percent_total_ms,cumulative_percent_ms,sequence,dashboard_source,source_file
efficientnet_b0,ncnn_cpu,9,Convolution:/features/features.0/features.0.0/Conv,ncnn,ncnn_layer,1.968971,0.087903,1.93,2.67,68,2.291829,25.026446,1,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/efficientnet_b0_ncnn_cpu.csv
efficientnet_b0,ncnn_cpu,18,Swish:/features/features.0/features.0.2/Mul,ncnn,ncnn_layer,1.404853,0.020686,1.38,1.47,68,1.635211,41.338157,2,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/efficientnet_b0_ncnn_cpu.csv
efficientnet_b0,ncnn_cpu,38,ConvolutionDepthWise:/features/features.1/features.1.0/block/block.0/block.0.0/Conv,ncnn,ncnn_layer,0.924706,0.144898,0.88,2.1,68,1.076333,69.713594,3,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/efficientnet_b0_ncnn_cpu.csv
efficientnet_b0,ncnn_cpu,19,Swish:/features/features.1/features.1.0/block/block.0/block.0.2/Mul,ncnn,ncnn_layer,1.396912,0.019648,1.38,1.46,68,1.625968,42.964125,4,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/efficientnet_b0_ncnn_cpu.csv
efficientnet_b0,ncnn_cpu,173,Split:splitncnn_0,ncnn,ncnn_layer,0.006912,0.00462,0.0,0.01,68,0.008045,99.894558,5,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/efficientnet_b0_ncnn_cpu.csv
efficientnet_b0,ncnn_cpu,73,Pooling:/features/features.1/features.1.0/block/block.1/avgpool/GlobalAveragePool,ncnn,ncnn_layer,0.319559,0.011039,0.3,0.36,68,0.371958,91.973036,6,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/efficientnet_b0_ncnn_cpu.csv
efficientnet_b0,ncnn_cpu,143,Convolution:/features/features.1/features.1.0/block/block.1/fc1/Conv,ncnn,ncnn_layer,0.021324,0.010834,0.02,0.11,68,0.024821,99.438213,7,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/efficientnet_b0_ncnn_cpu.csv
efficientnet_b0,ncnn_cpu,186,Swish:/features/features.1/features.1.0/block/block.1/activation/Mul,ncnn,ncnn_layer,0.004265,0.004946,0.0,0.01,68,0.004964,99.97501,8,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/efficientnet_b0_ncnn_cpu.csv
efficientnet_b0,ncnn_cpu,163,Convolution:/features/features.1/features.1.0/block/block.1/fc2/Conv,ncnn,ncnn_layer,0.01,0.0,0.01,0.01,68,0.01164,99.791511,9,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/efficientnet_b0_ncnn_cpu.csv
efficientnet_b0,ncnn_cpu,188,Sigmoid:/features/features.1/features.1.0/block/block.1/scale_activation/Sigmoid,ncnn,ncnn_layer,0.003235,0.004678,0.0,0.01,68,0.003765,99.983568,10,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/efficientnet_b0_ncnn_cpu.csv
efficientnet_b0,ncnn_cpu,65,BinaryOp:/features/features.1/features.1.0/block/block.1/Mul,ncnn,ncnn_layer,0.380147,0.064066,0.36,0.9,68,0.442481,88.871391,11,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/efficientnet_b0_ncnn_cpu.csv
efficientnet_b0,ncnn_cpu,26,Convolution:/features/features.1/features.1.0/block/block.2/block.2.0/Conv,ncnn,ncnn_layer,1.271765,0.022488,1.22,1.34,68,1.4803,53.995508,12,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/efficientnet_b0_ncnn_cpu.csv
efficientnet_b0,ncnn_cpu,2,Convolution:/features/features.2/features.2.0/block/block.0/block.0.0/Conv,ncnn,ncnn_layer,2.670294,0.265213,2.56,4.18,68,3.10815,7.937782,13,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/efficientnet_b0_ncnn_cpu.csv
efficientnet_b0,ncnn_cpu,1,Swish:/features/features.2/features.2.0/block/block.0/block.0.2/Mul,ncnn,ncnn_layer,4.149265,0.023534,4.12,4.24,68,4.829632,4.829632,14,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/efficientnet_b0_ncnn_cpu.csv
efficientnet_b0,ncnn_cpu,8,ConvolutionDepthWise:/features/features.2/features.2.0/block/block.1/block.1.0/Conv,ncnn,ncnn_layer,2.065294,0.165098,1.99,3.39,68,2.403946,22.734617,15,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/efficientnet_b0_ncnn_cpu.csv
efficientnet_b0,ncnn_cpu,36,Swish:/features/features.2/features.2.0/block/block.1/block.1.2/Mul,ncnn,ncnn_layer,1.054265,0.021096,1.04,1.15,68,1.227136,67.544667,16,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/efficientnet_b0_ncnn_cpu.csv
efficientnet_b0,ncnn_cpu,182,Split:splitncnn_1,ncnn,ncnn_layer,0.004853,0.004998,0.0,0.01,68,0.005649,99.953612,17,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/efficientnet_b0_ncnn_cpu.csv
efficientnet_b0,ncnn_cpu,77,Pooling:/features/features.2/features.2.0/block/block.2/avgpool/GlobalAveragePool,ncnn,ncnn_layer,0.246324,0.008896,0.23,0.28,68,0.286714,93.238515,18,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/efficientnet_b0_ncnn_cpu.csv
efficientnet_b0,ncnn_cpu,145,Convolution:/features/features.2/features.2.0/block/block.2/fc1/Conv,ncnn,ncnn_layer,0.02,0.0,0.02,0.02,68,0.023279,99.485285,19,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/efficientnet_b0_ncnn_cpu.csv
efficientnet_b0,ncnn_cpu,183,Swish:/features/features.2/features.2.0/block/block.2/activation/Mul,ncnn,ncnn_layer,0.004853,0.004998,0.0,0.01,68,0.005649,99.959261,20,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/efficientnet_b0_ncnn_cpu.csv
efficientnet_b0,ncnn_cpu,162,Convolution:/features/features.2/features.2.0/block/block.2/fc2/Conv,ncnn,ncnn_layer,0.010147,0.001204,0.01,0.02,68,0.011811,99.779872,21,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/efficientnet_b0_ncnn_cpu.csv
