model,runtime,rank,layer_name,backend,granularity,mean_ms,std_ms,min_ms,max_ms,samples,percent_total_ms,cumulative_percent_ms,sequence,dashboard_source,source_file
efficientnet_b0,ncnn_vulkan,1,Convolution:/features/features.0/features.0.0/Conv,ncnn,ncnn_layer,0.951271,0.006054,0.93708,0.96667,70,4.750801,4.750801,1,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/efficientnet_b0_ncnn_vulkan.csv
efficientnet_b0,ncnn_vulkan,63,Swish:/features/features.0/features.0.2/Mul,ncnn,ncnn_layer,0.108393,0.00088,0.10594,0.11026,70,0.541332,82.386618,2,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/efficientnet_b0_ncnn_vulkan.csv
efficientnet_b0,ncnn_vulkan,9,ConvolutionDepthWise:/features/features.1/features.1.0/block/block.0/block.0.0/Conv,ncnn,ncnn_layer,0.430134,0.00244,0.42573,0.43901,70,2.148158,24.331902,3,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/efficientnet_b0_ncnn_vulkan.csv
efficientnet_b0,ncnn_vulkan,64,Swish:/features/features.1/features.1.0/block/block.0/block.0.2/Mul,ncnn,ncnn_layer,0.106799,0.000968,0.10432,0.10891,70,0.533371,82.919989,4,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/efficientnet_b0_ncnn_vulkan.csv
efficientnet_b0,ncnn_vulkan,196,Split:splitncnn_0,ncnn,ncnn_layer,0.000339,2.5e-05,0.00031,0.00036,70,0.001693,99.968462,5,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/efficientnet_b0_ncnn_vulkan.csv
efficientnet_b0,ncnn_vulkan,71,Pooling:/features/features.1/features.1.0/block/block.1/avgpool/GlobalAveragePool,ncnn,ncnn_layer,0.082492,0.000562,0.08115,0.08464,70,0.411978,86.081168,6,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/efficientnet_b0_ncnn_vulkan.csv
efficientnet_b0,ncnn_vulkan,132,Convolution:/features/features.1/features.1.0/block/block.1/fc1/Conv,ncnn,ncnn_layer,0.017728,0.000452,0.01688,0.01849,70,0.088536,97.663227,7,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/efficientnet_b0_ncnn_vulkan.csv
efficientnet_b0,ncnn_vulkan,182,Swish:/features/features.1/features.1.0/block/block.1/activation/Mul,ncnn,ncnn_layer,0.00362,6e-05,0.00354,0.00391,70,0.018079,99.834818,8,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/efficientnet_b0_ncnn_vulkan.csv
efficientnet_b0,ncnn_vulkan,143,Convolution:/features/features.1/features.1.0/block/block.1/fc2/Conv,ncnn,ncnn_layer,0.015221,0.000375,0.01458,0.01604,70,0.076016,98.546619,9,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/efficientnet_b0_ncnn_vulkan.csv
efficientnet_b0,ncnn_vulkan,175,Sigmoid:/features/features.1/features.1.0/block/block.1/scale_activation/Sigmoid,ncnn,ncnn_layer,0.004142,0.000127,0.00401,0.00438,70,0.020686,99.707926,10,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/efficientnet_b0_ncnn_vulkan.csv
efficientnet_b0,ncnn_vulkan,52,BinaryOp:/features/features.1/features.1.0/block/block.1/Mul,ncnn,ncnn_layer,0.139854,0.000281,0.13917,0.14052,70,0.698453,75.807245,11,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/efficientnet_b0_ncnn_vulkan.csv
