model,runtime,rank,layer_name,backend,granularity,mean_ms,std_ms,min_ms,max_ms,samples,percent_total_ms,cumulative_percent_ms,sequence,dashboard_source,source_file
mobilenetv3_small,ncnn_cpu,1,Convolution:/features/features.0/features.0.0/Conv,ncnn,ncnn_layer,1.088676,0.088333,1.06,1.8,68,8.521637,8.521637,1,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_ncnn_cpu.csv
mobilenetv3_small,ncnn_cpu,36,HardSwish:/features/features.0/features.0.2/Mul,ncnn,ncnn_layer,0.154265,0.012639,0.15,0.23,68,1.207513,83.100651,2,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_ncnn_cpu.csv
mobilenetv3_small,ncnn_cpu,10,ConvolutionDepthWise:/features/features.1/block/block.0/block.0.0/Conv,ncnn,ncnn_layer,0.324559,0.050568,0.31,0.73,68,2.540493,36.486607,3,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_ncnn_cpu.csv
mobilenetv3_small,ncnn_cpu,45,ReLU:/features/features.1/block/block.0/block.0.2/Relu,ncnn,ncnn_layer,0.050588,0.004499,0.04,0.08,68,0.395979,88.768694,4,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_ncnn_cpu.csv
mobilenetv3_small,ncnn_cpu,119,Split:splitncnn_0,ncnn,ncnn_layer,0.0,0.0,0.0,0.0,68,0.0,100.0,5,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_ncnn_cpu.csv
mobilenetv3_small,ncnn_cpu,57,Pooling:/features/features.1/block/block.1/avgpool/GlobalAveragePool,ncnn,ncnn_layer,0.030735,0.00261,0.03,0.04,68,0.240579,92.383154,6,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_ncnn_cpu.csv
mobilenetv3_small,ncnn_cpu,91,Convolution:/features/features.1/block/block.1/fc1/Conv,ncnn,ncnn_layer,0.016471,0.007815,0.01,0.06,68,0.128927,98.637111,7,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_ncnn_cpu.csv
mobilenetv3_small,ncnn_cpu,114,ReLU:/features/features.1/block/block.1/activation/Relu,ncnn,ncnn_layer,0.000441,0.003611,0.0,0.03,68,0.003452,99.988494,8,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_ncnn_cpu.csv
mobilenetv3_small,ncnn_cpu,100,Convolution:/features/features.1/block/block.1/fc2/Conv,ncnn,ncnn_layer,0.01,0.0,0.01,0.01,68,0.078275,99.450938,9,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_ncnn_cpu.csv
mobilenetv3_small,ncnn_cpu,117,HardSigmoid:/features/features.1/block/block.1/scale_activation/HardSigmoid,ncnn,ncnn_layer,0.000294,0.00169,0.0,0.01,68,0.002301,99.997699,10,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_ncnn_cpu.csv
mobilenetv3_small,ncnn_cpu,54,BinaryOp:/features/features.1/block/block.1/Mul,ncnn,ncnn_layer,0.0325,0.01376,0.03,0.14,68,0.254395,91.655664,11,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_ncnn_cpu.csv
mobilenetv3_small,ncnn_cpu,29,Convolution:/features/features.1/block/block.2/block.2.0/Conv,ncnn,ncnn_layer,0.178235,0.007658,0.15,0.21,68,1.395139,73.942441,12,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_ncnn_cpu.csv
mobilenetv3_small,ncnn_cpu,2,Convolution:/features/features.2/block/block.0/block.0.0/Conv,ncnn,ncnn_layer,0.684118,0.061363,0.63,1.14,68,5.35495,13.876586,13,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_ncnn_cpu.csv
mobilenetv3_small,ncnn_cpu,33,ReLU:/features/features.2/block/block.0/block.0.2/Relu,ncnn,ncnn_layer,0.169412,0.009217,0.15,0.2,68,1.326076,79.331926,14,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_ncnn_cpu.csv
mobilenetv3_small,ncnn_cpu,3,ConvolutionDepthWise:/features/features.2/block/block.1/block.1.0/Conv,ncnn,ncnn_layer,0.412353,0.054073,0.39,0.75,68,3.227703,17.104289,15,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_ncnn_cpu.csv
mobilenetv3_small,ncnn_cpu,44,ReLU:/features/features.2/block/block.1/block.1.2/Relu,ncnn,ncnn_layer,0.051324,0.007051,0.05,0.1,68,0.40174,88.372715,16,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_ncnn_cpu.csv
