model,runtime,rank,layer_name,backend,granularity,mean_ms,std_ms,min_ms,max_ms,samples,percent_total_ms,cumulative_percent_ms,sequence,dashboard_source,source_file
mobilenetv3_small,onnxrt_cuda,2,model_loading_uri,onnxruntime,onnx_node,122.791,0.0,122.791,122.791,1,4.211304,87.678959,1,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_onnxrt_cuda.csv
mobilenetv3_small,onnxrt_cuda,1,session_initialization,onnxruntime,onnx_node,2433.706,0.0,2433.706,2433.706,1,83.467654,83.467654,2,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_onnxrt_cuda.csv
mobilenetv3_small,onnxrt_cuda,147,Conv:/features/features.0/features.0.0/Conv_fence_before,onnxruntime,onnx_node,0.0011,0.0003,0.001,0.002,60,3.8e-05,99.994536,3,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_onnxrt_cuda.csv
mobilenetv3_small,onnxrt_cuda,5,Conv:/features/features.0/features.0.0/Conv_kernel_time,onnxruntime,onnx_node,54.708017,415.614598,0.384,3247.087,60,1.876295,97.844673,4,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_onnxrt_cuda.csv
mobilenetv3_small,onnxrt_cuda,153,Conv:/features/features.0/features.0.0/Conv_fence_after,onnxruntime,onnx_node,0.001,0.0,0.001,0.001,9,3.4e-05,99.994753,5,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_onnxrt_cuda.csv
mobilenetv3_small,onnxrt_cuda,154,HardSigmoid:/features/features.0/features.0.2/HardSigmoid_fence_before,onnxruntime,onnx_node,0.001,0.0,0.001,0.001,38,3.4e-05,99.994787,6,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_onnxrt_cuda.csv
mobilenetv3_small,onnxrt_cuda,60,HardSigmoid:/features/features.0/features.0.2/HardSigmoid_kernel_time,onnxruntime,onnx_node,0.080167,0.040135,0.064,0.367,60,0.002749,99.838912,7,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_onnxrt_cuda.csv
mobilenetv3_small,onnxrt_cuda,155,Mul:/features/features.0/features.0.2/Mul_fence_before,onnxruntime,onnx_node,0.001,0.0,0.001,0.001,18,3.4e-05,99.994821,8,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_onnxrt_cuda.csv
mobilenetv3_small,onnxrt_cuda,70,Mul:/features/features.0/features.0.2/Mul_kernel_time,onnxruntime,onnx_node,0.070367,0.022993,0.061,0.236,60,0.002413,99.863621,9,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_onnxrt_cuda.csv
mobilenetv3_small,onnxrt_cuda,145,FusedConv:/features/features.1/block/block.0/block.0.0/Conv_/features/features.1/block/block.0/block.0.2/Relu_fence_before,onnxruntime,onnx_node,0.001138,0.000392,0.001,0.003,58,3.9e-05,99.994459,10,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_onnxrt_cuda.csv
mobilenetv3_small,onnxrt_cuda,14,FusedConv:/features/features.1/block/block.0/block.0.0/Conv_/features/features.1/block/block.0/block.0.2/Relu_kernel_time,onnxruntime,onnx_node,1.905383,12.853653,0.196,100.636,60,0.065348,98.933435,11,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_onnxrt_cuda.csv
mobilenetv3_small,onnxrt_cuda,135,GlobalAveragePool:/features/features.1/block/block.1/avgpool/GlobalAveragePool_fence_before,onnxruntime,onnx_node,0.003467,0.014014,0.001,0.111,60,0.000119,99.993972,12,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_onnxrt_cuda.csv
mobilenetv3_small,onnxrt_cuda,58,GlobalAveragePool:/features/features.1/block/block.1/avgpool/GlobalAveragePool_kernel_time,onnxruntime,onnx_node,0.116633,0.03628,0.084,0.304,60,0.004,99.832579,13,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_onnxrt_cuda.csv
mobilenetv3_small,onnxrt_cuda,156,FusedConv:/features/features.1/block/block.1/fc1/Conv_/features/features.1/block/block.1/activation/Relu_fence_before,onnxruntime,onnx_node,0.001,0.0,0.001,0.001,31,3.4e-05,99.994856,14,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_onnxrt_cuda.csv
