model,runtime,rank,layer_name,backend,granularity,mean_ms,std_ms,min_ms,max_ms,samples,percent_total_ms,cumulative_percent_ms,sequence,dashboard_source,source_file
mobilenetv3_small,pytorch_cpu,29,aten::conv2d,pytorch,op,0.006441,0.000566,0.006017,0.007556,2600,0.140014,98.794541,1,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_pytorch_cpu.csv
mobilenetv3_small,pytorch_cpu,26,aten::convolution,pytorch,op,0.006961,0.000234,0.006544,0.00724,2600,0.151318,98.358129,2,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_pytorch_cpu.csv
mobilenetv3_small,pytorch_cpu,2,aten::_convolution,pytorch,op,0.509282,0.033159,0.465385,0.54511,2600,11.07077,67.875633,3,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_pytorch_cpu.csv
mobilenetv3_small,pytorch_cpu,40,aten::thnn_conv2d,pytorch,op,0.002792,0.000232,0.002535,0.003064,124850,0.060692,99.878941,4,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_pytorch_cpu.csv
mobilenetv3_small,pytorch_cpu,9,aten::_slow_conv2d_forward,pytorch,op,0.09596,0.012437,0.076578,0.113781,124850,2.085978,92.788246,5,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_pytorch_cpu.csv
mobilenetv3_small,pytorch_cpu,38,aten::empty,pytorch,op,0.003248,0.000212,0.002968,0.003531,257900,0.070605,99.757339,6,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_pytorch_cpu.csv
mobilenetv3_small,pytorch_cpu,37,aten::view,pytorch,op,0.003773,0.000317,0.003535,0.004396,126850,0.082017,99.686734,7,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_pytorch_cpu.csv
mobilenetv3_small,pytorch_cpu,36,aten::resize_,pytorch,op,0.003805,0.000259,0.003403,0.004164,124850,0.082713,99.604716,8,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_pytorch_cpu.csv
mobilenetv3_small,pytorch_cpu,28,aten::batch_norm,pytorch,op,0.006691,0.000109,0.006553,0.006853,1700,0.145449,98.654527,9,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_pytorch_cpu.csv
mobilenetv3_small,pytorch_cpu,17,aten::_batch_norm_impl_index,pytorch,op,0.014325,0.000216,0.014106,0.014703,1700,0.311397,96.367211,10,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_pytorch_cpu.csv
mobilenetv3_small,pytorch_cpu,3,aten::native_batch_norm,pytorch,op,0.240196,0.052072,0.183956,0.311953,1700,5.22138,73.097012,11,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_pytorch_cpu.csv
mobilenetv3_small,pytorch_cpu,35,aten::empty_like,pytorch,op,0.004621,3.2e-05,0.004597,0.004682,1700,0.100451,99.522003,12,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_pytorch_cpu.csv
mobilenetv3_small,pytorch_cpu,6,aten::hardswish_,pytorch,op,0.136953,0.02488,0.105784,0.181895,950,2.977084,85.007065,13,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_pytorch_cpu.csv
mobilenetv3_small,pytorch_cpu,39,aten::narrow,pytorch,op,0.002802,0.000344,0.002415,0.003332,245850,0.06091,99.818249,14,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_pytorch_cpu.csv
mobilenetv3_small,pytorch_cpu,32,aten::slice,pytorch,op,0.005847,0.000547,0.005221,0.006644,245850,0.127102,99.182977,15,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_pytorch_cpu.csv
mobilenetv3_small,pytorch_cpu,42,aten::as_strided,pytorch,op,0.001552,0.000225,0.001309,0.001835,246050,0.033737,99.972067,16,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_pytorch_cpu.csv
mobilenetv3_small,pytorch_cpu,4,aten::cat,pytorch,op,0.220942,0.081617,0.164527,0.377564,550,4.802836,77.899849,17,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_pytorch_cpu.csv
mobilenetv3_small,pytorch_cpu,24,aten::relu_,pytorch,op,0.007764,3.4e-05,0.0077,0.0078,250,0.168774,98.044559,18,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_pytorch_cpu.csv
mobilenetv3_small,pytorch_cpu,5,aten::clamp_min_,pytorch,op,0.189996,0.008456,0.18144,0.2043,250,4.130132,82.029981,19,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_pytorch_cpu.csv
mobilenetv3_small,pytorch_cpu,27,aten::adaptive_avg_pool2d,pytorch,op,0.006944,0.000719,0.00655,0.00838,500,0.150949,98.509078,20,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_pytorch_cpu.csv
mobilenetv3_small,pytorch_cpu,12,aten::mean,pytorch,op,0.024174,0.001522,0.02303,0.02719,500,0.525494,94.63628,21,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_pytorch_cpu.csv
mobilenetv3_small,pytorch_cpu,8,aten::sum,pytorch,op,0.125484,0.048721,0.08682,0.22164,500,2.727771,90.702268,22,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_pytorch_cpu.csv
mobilenetv3_small,pytorch_cpu,31,aten::fill_,pytorch,op,0.00595,4.5e-05,0.00592,0.00604,500,0.129341,99.055875,23,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_pytorch_cpu.csv
mobilenetv3_small,pytorch_cpu,11,aten::div_,pytorch,op,0.02939,0.000345,0.02887,0.02992,500,0.63888,94.110786,24,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_pytorch_cpu.csv
mobilenetv3_small,pytorch_cpu,33,aten::to,pytorch,op,0.005784,0.000303,0.00528,0.0062,500,0.125733,99.30871,25,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_pytorch_cpu.csv
mobilenetv3_small,pytorch_cpu,19,aten::_to_copy,pytorch,op,0.012882,0.000296,0.01248,0.01318,500,0.280029,96.952289,26,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_pytorch_cpu.csv
mobilenetv3_small,pytorch_cpu,30,aten::empty_strided,pytorch,op,0.006072,0.000295,0.0059,0.00666,500,0.131993,98.926534,27,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_pytorch_cpu.csv
mobilenetv3_small,pytorch_cpu,20,aten::copy_,pytorch,op,0.011583,0.000516,0.011207,0.012603,1500,0.251791,97.204081,28,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_pytorch_cpu.csv
mobilenetv3_small,pytorch_cpu,41,aten::detach,pytorch,op,0.002732,2.9e-05,0.00268,0.002757,2000,0.059388,99.938329,29,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_pytorch_cpu.csv
mobilenetv3_small,pytorch_cpu,18,aten::reshape,pytorch,op,0.014033,0.000229,0.013672,0.014333,900,0.305049,96.672261,30,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_pytorch_cpu.csv
mobilenetv3_small,pytorch_cpu,34,aten::_reshape_alias,pytorch,op,0.005191,0.000379,0.004947,0.005942,950,0.112842,99.421552,31,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_pytorch_cpu.csv
mobilenetv3_small,pytorch_cpu,25,aten::relu,pytorch,op,0.007464,0.004701,0.005089,0.016867,450,0.162252,98.206811,32,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_pytorch_cpu.csv
mobilenetv3_small,pytorch_cpu,14,aten::clamp_min,pytorch,op,0.016044,0.000201,0.015922,0.016444,450,0.348764,95.36459,33,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_pytorch_cpu.csv
mobilenetv3_small,pytorch_cpu,15,aten::hardsigmoid,pytorch,op,0.016038,0.000168,0.015856,0.016311,450,0.348634,95.713224,34,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_pytorch_cpu.csv
mobilenetv3_small,pytorch_cpu,7,aten::mul,pytorch,op,0.136509,0.036385,0.089822,0.185989,450,2.967432,87.974497,35,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_pytorch_cpu.csv
mobilenetv3_small,pytorch_cpu,10,aten::add_,pytorch,op,0.03145,0.000313,0.031033,0.031883,300,0.68366,93.471906,36,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_pytorch_cpu.csv
mobilenetv3_small,pytorch_cpu,13,aten::flatten,pytorch,op,0.01746,0.000224,0.0171,0.0177,50,0.379545,95.015825,37,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_pytorch_cpu.csv
mobilenetv3_small,pytorch_cpu,16,aten::linear,pytorch,op,0.01576,0.000823,0.01525,0.0174,100,0.342591,96.055814,38,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_pytorch_cpu.csv
mobilenetv3_small,pytorch_cpu,21,aten::t,pytorch,op,0.01153,0.000425,0.01115,0.01235,100,0.250639,97.45472,39,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_pytorch_cpu.csv
mobilenetv3_small,pytorch_cpu,22,aten::transpose,pytorch,op,0.00995,0.000298,0.0096,0.01045,100,0.216293,97.671013,40,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_pytorch_cpu.csv
mobilenetv3_small,pytorch_cpu,1,aten::addmm,pytorch,op,2.61316,0.175091,2.3044,2.8071,100,56.804862,56.804862,41,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_pytorch_cpu.csv
mobilenetv3_small,pytorch_cpu,23,aten::expand,pytorch,op,0.00942,0.000201,0.00915,0.0097,100,0.204772,97.875785,42,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_pytorch_cpu.csv
