model,runtime,rank,layer_name,backend,granularity,mean_ms,std_ms,min_ms,max_ms,samples,percent_total_ms,cumulative_percent_ms,sequence,dashboard_source,source_file
mobilenetv3_small,pytorch_cuda,30,aten::conv2d,pytorch,op,0.003849,0.000428,0.003346,0.004392,2600,0.351057,99.596864,1,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_pytorch_cuda.csv
mobilenetv3_small,pytorch_cuda,27,aten::convolution,pytorch,op,0.005388,0.000313,0.004996,0.005794,2600,0.491425,98.312755,2,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_pytorch_cuda.csv
mobilenetv3_small,pytorch_cuda,12,aten::_convolution,pytorch,op,0.025663,0.017925,0.016477,0.06151,2600,2.340654,87.038616,3,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_pytorch_cuda.csv
mobilenetv3_small,pytorch_cuda,1,aten::cudnn_convolution,pytorch,op,0.185419,0.030535,0.168529,0.246432,2050,16.911574,16.911574,4,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_pytorch_cuda.csv
mobilenetv3_small,pytorch_cuda,26,aten::empty,pytorch,op,0.005425,2.5e-05,0.005386,0.005457,9400,0.4948,97.82133,5,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_pytorch_cuda.csv
mobilenetv3_small,pytorch_cuda,28,aten::batch_norm,pytorch,op,0.005332,3.4e-05,0.005291,0.005374,1700,0.486318,98.799073,6,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_pytorch_cuda.csv
mobilenetv3_small,pytorch_cuda,17,aten::_batch_norm_impl_index,pytorch,op,0.00923,0.000191,0.009074,0.009597,1700,0.841844,91.959891,7,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_pytorch_cuda.csv
mobilenetv3_small,pytorch_cuda,3,aten::cudnn_batch_norm,pytorch,op,0.101054,0.024079,0.088506,0.149206,1700,9.216866,39.268681,8,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_pytorch_cuda.csv
mobilenetv3_small,pytorch_cuda,29,aten::empty_like,pytorch,op,0.004898,3.8e-05,0.004847,0.00495,1700,0.446734,99.245807,9,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_pytorch_cuda.csv
mobilenetv3_small,pytorch_cuda,21,aten::view,pytorch,op,0.007338,0.000132,0.007182,0.007521,1700,0.669279,94.886005,10,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/mobilenetv3_small_pytorch_cuda.csv
