model,runtime,rank,layer_name,backend,granularity,mean_ms,std_ms,min_ms,max_ms,samples,percent_total_ms,cumulative_percent_ms,sequence,dashboard_source,source_file
mobilenetv3_small,tensorrt_fp16,2,/features/features.0/features.0.0/Conv,tensorrt,trt_layer,0.615396,0.030202,0.566719,0.731406,60,1.072518,67.209667,1,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/mobilenetv3_small_tensorrt_fp16.csv
mobilenetv3_small,tensorrt_fp16,95,"PWN(/features/features.0/features.0.2/HardSigmoid, /features/features.0/features.0.2/Mul)",tensorrt,trt_layer,0.094799,0.00216,0.090885,0.102344,60,0.165217,98.766365,2,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/mobilenetv3_small_tensorrt_fp16.csv
mobilenetv3_small,tensorrt_fp16,21,/features/features.1/block/block.0/block.0.0/Conv + /features/features.1/block/block.0/block.0.2/Relu,tensorrt,trt_layer,0.219359,0.003282,0.211771,0.22625,60,0.382301,79.725735,3,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/mobilenetv3_small_tensorrt_fp16.csv
mobilenetv3_small,tensorrt_fp16,102,/features/features.1/block/block.1/avgpool/GlobalAveragePool,tensorrt,trt_layer,0.055832,0.001071,0.05375,0.058958,60,0.097305,99.683579,4,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/mobilenetv3_small_tensorrt_fp16.csv
mobilenetv3_small,tensorrt_fp16,107,Reformatting CopyNode for Input Tensor 0 to 2-layer MLP: /features/features.1/block/block.1/fc1/Conv + /features/features.1/block/block.1/activation/Relu -> /features/features.1/block/block.1/fc2/Conv,tensorrt,trt_layer,0.014189,0.000337,0.013541,0.015,60,0.024729,100.0,5,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/mobilenetv3_small_tensorrt_fp16.csv
mobilenetv3_small,tensorrt_fp16,24,2-layer MLP: /features/features.1/block/block.1/fc1/Conv + /features/features.1/block/block.1/activation/Relu -> /features/features.1/block/block.1/fc2/Conv,tensorrt,trt_layer,0.202227,0.325042,0.054427,2.201406,60,0.352443,80.798283,6,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/mobilenetv3_small_tensorrt_fp16.csv
mobilenetv3_small,tensorrt_fp16,85,"Reformatting CopyNode for Input Tensor 0 to PWN(/features/features.1/block/block.1/scale_activation/HardSigmoid, /features/features.1/block/block.1/Mul)",tensorrt,trt_layer,0.130122,0.075842,0.00849,0.312031,60,0.226778,96.850638,7,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/mobilenetv3_small_tensorrt_fp16.csv
mobilenetv3_small,tensorrt_fp16,37,"PWN(/features/features.1/block/block.1/scale_activation/HardSigmoid, /features/features.1/block/block.1/Mul)",tensorrt,trt_layer,0.158892,0.044474,0.08651,0.359115,60,0.276918,84.691211,8,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/mobilenetv3_small_tensorrt_fp16.csv
mobilenetv3_small,tensorrt_fp16,31,/features/features.1/block/block.2/block.2.0/Conv,tensorrt,trt_layer,0.166226,0.041856,0.097031,0.265313,60,0.2897,82.997575,9,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/mobilenetv3_small_tensorrt_fp16.csv
mobilenetv3_small,tensorrt_fp16,13,/features/features.2/block/block.0/block.0.0/Conv + /features/features.2/block/block.0/block.0.2/Relu,tensorrt,trt_layer,0.365711,0.036268,0.29875,0.454531,60,0.637364,75.849198,10,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/mobilenetv3_small_tensorrt_fp16.csv
