model,runtime,rank,layer_name,backend,granularity,mean_ms,std_ms,min_ms,max_ms,samples,percent_total_ms,cumulative_percent_ms,sequence,dashboard_source,source_file
mobilenetv3_small,tensorrt_int8,2,/features/features.0/features.0.0/Conv,tensorrt,trt_layer,0.560142,0.011435,0.546875,0.598906,60,1.184805,79.824605,1,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/mobilenetv3_small_tensorrt_int8.csv
mobilenetv3_small,tensorrt_int8,37,"PWN(/features/features.0/features.0.2/HardSigmoid, /features/features.0/features.0.2/Mul)",tensorrt,trt_layer,0.09371,0.001257,0.090469,0.096614,60,0.198214,94.407344,2,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/mobilenetv3_small_tensorrt_int8.csv
mobilenetv3_small,tensorrt_int8,12,/features/features.1/block/block.0/block.0.0/Conv + /features/features.1/block/block.0/block.0.2/Relu,tensorrt,trt_layer,0.223105,0.003932,0.21375,0.235104,60,0.471909,87.191823,3,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/mobilenetv3_small_tensorrt_int8.csv
mobilenetv3_small,tensorrt_int8,55,/features/features.1/block/block.1/avgpool/GlobalAveragePool,tensorrt,trt_layer,0.056178,0.001073,0.053646,0.058646,60,0.118827,97.400493,4,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/mobilenetv3_small_tensorrt_int8.csv
mobilenetv3_small,tensorrt_int8,86,/features/features.1/block/block.1/fc1/Conv + /features/features.1/block/block.1/activation/Relu,tensorrt,trt_layer,0.01903,0.024136,0.012968,0.155208,60,0.040252,99.640829,5,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/mobilenetv3_small_tensorrt_int8.csv
mobilenetv3_small,tensorrt_int8,85,/features/features.1/block/block.1/fc2/Conv,tensorrt,trt_layer,0.022536,0.032778,0.015312,0.244479,60,0.047668,99.600577,6,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/mobilenetv3_small_tensorrt_int8.csv
mobilenetv3_small,tensorrt_int8,41,"PWN(/features/features.1/block/block.1/scale_activation/HardSigmoid, /features/features.1/block/block.1/Mul)",tensorrt,trt_layer,0.089306,0.013237,0.08651,0.178698,60,0.188899,95.183207,7,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/mobilenetv3_small_tensorrt_int8.csv
mobilenetv3_small,tensorrt_int8,33,/features/features.1/block/block.2/block.2.0/Conv,tensorrt,trt_layer,0.101721,0.011798,0.098489,0.191458,60,0.215159,93.589322,8,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/mobilenetv3_small_tensorrt_int8.csv
mobilenetv3_small,tensorrt_int8,9,/features/features.2/block/block.0/block.0.0/Conv + /features/features.2/block/block.0/block.0.2/Relu,tensorrt,trt_layer,0.256043,0.013933,0.250313,0.331354,60,0.541579,85.645499,9,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/mobilenetv3_small_tensorrt_int8.csv
mobilenetv3_small,tensorrt_int8,10,/features/features.2/block/block.1/block.1.0/Conv + /features/features.2/block/block.1/block.1.2/Relu,tensorrt,trt_layer,0.255528,0.002564,0.249792,0.264167,60,0.540489,86.185989,10,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/mobilenetv3_small_tensorrt_int8.csv
