model,runtime,rank,layer_name,backend,granularity,mean_ms,std_ms,min_ms,max_ms,samples,percent_total_ms,cumulative_percent_ms,sequence,dashboard_source,source_file
resnet50,pytorch_cpu,24,aten::conv2d,pytorch,op,0.009848,0.000231,0.009694,0.010306,2650,0.029528,99.790633,1,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/resnet50_pytorch_cpu.csv
resnet50,pytorch_cpu,17,aten::convolution,pytorch,op,0.011578,0.000186,0.011223,0.011745,2650,0.034716,99.568705,2,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/resnet50_pytorch_cpu.csv
resnet50,pytorch_cpu,11,aten::_convolution,pytorch,op,0.021669,0.002471,0.020342,0.026609,2650,0.064973,99.287895,3,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/resnet50_pytorch_cpu.csv
resnet50,pytorch_cpu,22,aten::thnn_conv2d,pytorch,op,0.010544,0.001167,0.009802,0.012855,2650,0.031615,99.731483,4,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/resnet50_pytorch_cpu.csv
resnet50,pytorch_cpu,1,aten::_slow_conv2d_forward,pytorch,op,11.81426,0.135844,11.625958,11.990455,2650,35.424014,35.424014,5,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/resnet50_pytorch_cpu.csv
resnet50,pytorch_cpu,32,aten::empty,pytorch,op,0.005301,0.000476,0.005051,0.006252,19550,0.015895,99.963078,6,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/resnet50_pytorch_cpu.csv
resnet50,pytorch_cpu,19,aten::view,pytorch,op,0.010924,0.000282,0.010552,0.011409,4300,0.032755,99.635522,7,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/resnet50_pytorch_cpu.csv
resnet50,pytorch_cpu,16,aten::resize_,pytorch,op,0.012431,0.001012,0.011236,0.014302,2650,0.037273,99.53399,8,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/resnet50_pytorch_cpu.csv
resnet50,pytorch_cpu,26,aten::batch_norm,pytorch,op,0.0086,0.000285,0.00826,0.009047,2650,0.025786,99.842685,9,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/resnet50_pytorch_cpu.csv
resnet50,pytorch_cpu,12,aten::_batch_norm_impl_index,pytorch,op,0.019284,0.000248,0.018994,0.01974,2650,0.057821,99.345717,10,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/resnet50_pytorch_cpu.csv
resnet50,pytorch_cpu,5,aten::native_batch_norm,pytorch,op,0.493869,0.042385,0.419528,0.53697,2650,1.480823,97.120709,11,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/resnet50_pytorch_cpu.csv
