model,runtime,rank,layer_name,backend,granularity,mean_ms,std_ms,min_ms,max_ms,samples,percent_total_ms,cumulative_percent_ms,sequence,dashboard_source,source_file
resnet50,pytorch_cuda,23,aten::conv2d,pytorch,op,0.004958,0.000696,0.003974,0.005789,2650,0.295001,99.47402,1,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/resnet50_pytorch_cuda.csv
resnet50,pytorch_cuda,21,aten::convolution,pytorch,op,0.005978,0.000606,0.005394,0.007075,2650,0.355691,98.847426,2,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/resnet50_pytorch_cuda.csv
resnet50,pytorch_cuda,8,aten::_convolution,pytorch,op,0.029634,0.030558,0.013094,0.090732,2650,1.763222,90.275503,3,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/resnet50_pytorch_cuda.csv
resnet50,pytorch_cuda,2,aten::cudnn_convolution,pytorch,op,0.359966,0.019114,0.342909,0.394864,2650,21.417968,55.217523,4,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/resnet50_pytorch_cuda.csv
resnet50,pytorch_cuda,19,aten::empty,pytorch,op,0.006123,0.00027,0.005686,0.006464,13250,0.364318,98.135985,5,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/resnet50_pytorch_cuda.csv
resnet50,pytorch_cuda,20,aten::batch_norm,pytorch,op,0.005979,0.000285,0.005562,0.006458,2650,0.35575,98.491735,6,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/resnet50_pytorch_cuda.csv
resnet50,pytorch_cuda,14,aten::_batch_norm_impl_index,pytorch,op,0.011438,0.000456,0.010672,0.012036,2650,0.680561,95.410231,7,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/resnet50_pytorch_cuda.csv
resnet50,pytorch_cuda,3,aten::cudnn_batch_norm,pytorch,op,0.151315,0.032773,0.13184,0.216406,2650,9.003239,64.220762,8,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/resnet50_pytorch_cuda.csv
resnet50,pytorch_cuda,22,aten::empty_like,pytorch,op,0.005573,0.000274,0.005158,0.005917,2650,0.331593,99.179019,9,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/resnet50_pytorch_cuda.csv
resnet50,pytorch_cuda,17,aten::view,pytorch,op,0.009305,0.000706,0.008381,0.010404,2650,0.553647,97.282398,10,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/resnet50_pytorch_cuda.csv
resnet50,pytorch_cuda,18,aten::relu_,pytorch,op,0.008223,0.000351,0.007765,0.008755,2450,0.489268,97.771666,11,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/resnet50_pytorch_cuda.csv
resnet50,pytorch_cuda,4,aten::clamp_min_,pytorch,op,0.14682,0.03002,0.089022,0.174322,2450,8.735786,72.956548,12,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/resnet50_pytorch_cuda.csv
resnet50,pytorch_cuda,11,aten::max_pool2d,pytorch,op,0.01402,0.0026,0.0116,0.0184,50,0.83419,93.337371,13,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/resnet50_pytorch_cuda.csv
resnet50,pytorch_cuda,6,aten::max_pool2d_with_indices,pytorch,op,0.08694,0.007867,0.0814,0.1025,50,5.172928,83.945003,14,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/resnet50_pytorch_cuda.csv
resnet50,pytorch_cuda,7,aten::add_,pytorch,op,0.076761,0.006891,0.065031,0.085469,800,4.567278,88.51228,15,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/resnet50_pytorch_cuda.csv
resnet50,pytorch_cuda,15,aten::adaptive_avg_pool2d,pytorch,op,0.01138,0.002527,0.0081,0.015,50,0.67711,96.087341,16,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/resnet50_pytorch_cuda.csv
resnet50,pytorch_cuda,5,aten::mean,pytorch,op,0.09774,0.006903,0.0887,0.109,50,5.815527,78.772075,17,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/resnet50_pytorch_cuda.csv
resnet50,pytorch_cuda,9,aten::flatten,pytorch,op,0.0214,0.002161,0.0181,0.0241,50,1.273299,91.548802,18,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/resnet50_pytorch_cuda.csv
resnet50,pytorch_cuda,25,aten::_reshape_alias,pytorch,op,0.00422,9.8e-05,0.0041,0.0044,50,0.25109,100.0,19,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/resnet50_pytorch_cuda.csv
resnet50,pytorch_cuda,10,aten::linear,pytorch,op,0.01604,0.002492,0.0131,0.0195,50,0.95438,92.503182,20,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/resnet50_pytorch_cuda.csv
resnet50,pytorch_cuda,16,aten::t,pytorch,op,0.01078,0.002645,0.0088,0.016,50,0.64141,96.728751,21,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/resnet50_pytorch_cuda.csv
resnet50,pytorch_cuda,12,aten::transpose,pytorch,op,0.01176,0.001515,0.0096,0.0134,50,0.69972,94.037091,22,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/resnet50_pytorch_cuda.csv
resnet50,pytorch_cuda,24,aten::as_strided,pytorch,op,0.00462,0.001042,0.0038,0.00665,100,0.27489,99.74891,23,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/resnet50_pytorch_cuda.csv
resnet50,pytorch_cuda,1,aten::addmm,pytorch,op,0.56806,0.048219,0.507,0.6488,50,33.799555,33.799555,24,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/resnet50_pytorch_cuda.csv
resnet50,pytorch_cuda,13,aten::expand,pytorch,op,0.01164,0.000824,0.0106,0.013,50,0.69258,94.729671,25,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/resnet50_pytorch_cuda.csv
