model,runtime,rank,layer_name,backend,granularity,mean_ms,std_ms,min_ms,max_ms,samples,percent_total_ms,cumulative_percent_ms,sequence,dashboard_source,source_file
resnet50,tensorrt_fp32,3,/conv1/Conv + /relu/Relu,tensorrt,trt_layer,2.526868,0.577513,2.252448,6.890781,60,3.21209,13.124224,1,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/resnet50_tensorrt_fp32.csv
resnet50,tensorrt_fp32,54,/maxpool/MaxPool,tensorrt,trt_layer,0.465968,0.010854,0.451666,0.52401,60,0.592327,99.503311,2,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/resnet50_tensorrt_fp32.csv
resnet50,tensorrt_fp32,55,/layer1/layer1.0/conv1/Conv + /layer1/layer1.0/relu/Relu,tensorrt,trt_layer,0.309076,0.002381,0.303645,0.312709,60,0.39289,99.896201,3,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/resnet50_tensorrt_fp32.csv
resnet50,tensorrt_fp32,18,/layer1/layer1.0/conv2/Conv + /layer1/layer1.0/relu_1/Relu,tensorrt,trt_layer,1.387589,0.009724,1.35625,1.412292,60,1.763868,49.18879,4,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/resnet50_tensorrt_fp32.csv
resnet50,tensorrt_fp32,32,/layer1/layer1.0/conv3/Conv,tensorrt,trt_layer,1.144498,0.008323,1.125625,1.158125,60,1.454857,71.719535,5,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/resnet50_tensorrt_fp32.csv
resnet50,tensorrt_fp32,29,/layer1/layer1.0/downsample/downsample.0/Conv + /layer1/layer1.0/Add + /layer1/layer1.0/relu_2/Relu,tensorrt,trt_layer,1.238055,0.011177,1.215417,1.250781,60,1.573784,67.121706,6,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/resnet50_tensorrt_fp32.csv
resnet50,tensorrt_fp32,52,/layer1/layer1.1/conv1/Conv + /layer1/layer1.1/relu/Relu,tensorrt,trt_layer,0.869772,0.00539,0.85802,0.879271,60,1.105632,98.094194,7,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/resnet50_tensorrt_fp32.csv
resnet50,tensorrt_fp32,16,/layer1/layer1.1/conv2/Conv + /layer1/layer1.1/relu_1/Relu,tensorrt,trt_layer,1.389356,0.01002,1.352708,1.408177,60,1.766114,45.659035,8,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/resnet50_tensorrt_fp32.csv
resnet50,tensorrt_fp32,31,/layer1/layer1.1/conv3/Conv + /layer1/layer1.1/Add + /layer1/layer1.1/relu_2/Relu,tensorrt,trt_layer,1.23566,0.011554,1.211094,1.250312,60,1.570739,70.264678,9,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/resnet50_tensorrt_fp32.csv
resnet50,tensorrt_fp32,51,/layer1/layer1.2/conv1/Conv + /layer1/layer1.2/relu/Relu,tensorrt,trt_layer,0.878003,0.006178,0.859583,0.887813,60,1.116095,96.988562,10,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/resnet50_tensorrt_fp32.csv
