model,runtime,rank,layer_name,backend,granularity,mean_ms,std_ms,min_ms,max_ms,samples,percent_total_ms,cumulative_percent_ms,sequence,dashboard_source,source_file
resnet50,tensorrt_int8,3,/conv1/Conv + /relu/Relu,tensorrt,trt_layer,2.435881,0.106235,2.243177,2.879167,60,3.11193,13.091544,1,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/resnet50_tensorrt_int8.csv
resnet50,tensorrt_int8,54,/maxpool/MaxPool,tensorrt,trt_layer,0.498897,0.267602,0.449375,2.553125,60,0.63736,99.271327,2,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/resnet50_tensorrt_int8.csv
resnet50,tensorrt_int8,55,/layer1/layer1.0/conv1/Conv + /layer1/layer1.0/relu/Relu,tensorrt,trt_layer,0.313845,0.030382,0.304687,0.546719,60,0.400949,99.672276,3,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/resnet50_tensorrt_int8.csv
resnet50,tensorrt_int8,18,/layer1/layer1.0/conv2/Conv + /layer1/layer1.0/relu_1/Relu,tensorrt,trt_layer,1.32663,0.008254,1.306563,1.344427,60,1.69482,49.24092,4,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/resnet50_tensorrt_int8.csv
resnet50,tensorrt_int8,30,/layer1/layer1.0/conv3/Conv,tensorrt,trt_layer,1.14857,0.006409,1.126719,1.158437,60,1.467341,68.453987,5,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/resnet50_tensorrt_int8.csv
resnet50,tensorrt_int8,23,/layer1/layer1.0/downsample/downsample.0/Conv + /layer1/layer1.0/Add + /layer1/layer1.0/relu_2/Relu,tensorrt,trt_layer,1.243364,0.008204,1.216719,1.259792,60,1.588444,57.499062,6,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/resnet50_tensorrt_int8.csv
resnet50,tensorrt_int8,52,/layer1/layer1.1/conv1/Conv + /layer1/layer1.1/relu/Relu,tensorrt,trt_layer,0.876207,0.031418,0.854792,1.114062,60,1.119387,97.79377,7,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/resnet50_tensorrt_int8.csv
resnet50,tensorrt_int8,19,/layer1/layer1.1/conv2/Conv + /layer1/layer1.1/relu_1/Relu,tensorrt,trt_layer,1.325886,0.009278,1.304896,1.349167,60,1.693869,50.934789,8,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/resnet50_tensorrt_int8.csv
resnet50,tensorrt_int8,24,/layer1/layer1.1/conv3/Conv + /layer1/layer1.1/Add + /layer1/layer1.1/relu_2/Relu,tensorrt,trt_layer,1.24256,0.008391,1.215678,1.253178,60,1.587417,59.086479,9,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/resnet50_tensorrt_int8.csv
resnet50,tensorrt_int8,51,/layer1/layer1.2/conv1/Conv + /layer1/layer1.2/relu/Relu,tensorrt,trt_layer,0.880136,0.004688,0.870729,0.889635,60,1.124407,96.674383,10,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/resnet50_tensorrt_int8.csv
resnet50,tensorrt_int8,20,/layer1/layer1.2/conv2/Conv + /layer1/layer1.2/relu_1/Relu,tensorrt,trt_layer,1.325784,0.011867,1.304844,1.366146,60,1.693739,52.628528,11,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/resnet50_tensorrt_int8.csv
resnet50,tensorrt_int8,22,/layer1/layer1.2/conv3/Conv + /layer1/layer1.2/Add + /layer1/layer1.2/relu_2/Relu,tensorrt,trt_layer,1.244193,0.00789,1.214688,1.263437,60,1.589503,55.910618,12,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/resnet50_tensorrt_int8.csv
resnet50,tensorrt_int8,15,/layer2/layer2.0/conv1/Conv + /layer2/layer2.0/relu/Relu,tensorrt,trt_layer,1.78924,0.007325,1.769532,1.805729,60,2.285821,44.155812,13,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/resnet50_tensorrt_int8.csv
