model,runtime,rank,layer_name,backend,granularity,mean_ms,std_ms,min_ms,max_ms,samples,percent_total_ms,cumulative_percent_ms,sequence,dashboard_source,source_file
shufflenet_v2_x1_0,ncnn_vulkan,1,Convolution:/conv1/conv1.0/Conv,ncnn,ncnn_layer,0.917622,0.002662,0.9124,0.92302,70,10.217361,10.217361,1,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/shufflenet_v2_x1_0_ncnn_vulkan.csv
shufflenet_v2_x1_0,ncnn_vulkan,32,ReLU:/conv1/conv1.2/Relu,ncnn,ncnn_layer,0.078926,0.000682,0.07729,0.08109,70,0.87881,63.015666,2,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/shufflenet_v2_x1_0_ncnn_vulkan.csv
shufflenet_v2_x1_0,ncnn_vulkan,8,Pooling:/maxpool/MaxPool,ncnn,ncnn_layer,0.178403,0.001401,0.17536,0.1826,70,1.986447,35.992307,3,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/shufflenet_v2_x1_0_ncnn_vulkan.csv
shufflenet_v2_x1_0,ncnn_vulkan,170,Split:splitncnn_0,ncnn,ncnn_layer,0.000332,2.5e-05,0.00031,0.00036,70,0.003697,100.0,4,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/shufflenet_v2_x1_0_ncnn_vulkan.csv
shufflenet_v2_x1_0,ncnn_vulkan,55,ConvolutionDepthWise:/stage2/stage2.0/branch1/branch1.0/Conv,ncnn,ncnn_layer,0.052362,0.000469,0.05141,0.05333,70,0.58303,80.051972,5,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/shufflenet_v2_x1_0_ncnn_vulkan.csv
shufflenet_v2_x1_0,ncnn_vulkan,16,Convolution:/stage2/stage2.0/branch2/branch2.0/Conv,ncnn,ncnn_layer,0.103372,0.000441,0.10234,0.10448,70,1.151007,48.07653,6,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/shufflenet_v2_x1_0_ncnn_vulkan.csv
shufflenet_v2_x1_0,ncnn_vulkan,80,Convolution:/stage2/stage2.0/branch1/branch1.2/Conv,ncnn,ncnn_layer,0.030293,0.000174,0.02995,0.03078,70,0.337301,90.360581,7,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/shufflenet_v2_x1_0_ncnn_vulkan.csv
shufflenet_v2_x1_0,ncnn_vulkan,56,ReLU:/stage2/stage2.0/branch2/branch2.2/Relu,ncnn,ncnn_layer,0.049347,0.000676,0.04776,0.05109,70,0.549459,80.601431,8,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/shufflenet_v2_x1_0_ncnn_vulkan.csv
shufflenet_v2_x1_0,ncnn_vulkan,108,ReLU:/stage2/stage2.0/branch1/branch1.4/Relu,ncnn,ncnn_layer,0.011576,0.000225,0.01104,0.01203,70,0.128894,95.845433,9,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/shufflenet_v2_x1_0_ncnn_vulkan.csv
shufflenet_v2_x1_0,ncnn_vulkan,5,ConvolutionDepthWise:/stage2/stage2.0/branch2/branch2.3/Conv,ncnn,ncnn_layer,0.259082,0.001152,0.25667,0.26198,70,2.884776,28.735026,10,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/shufflenet_v2_x1_0_ncnn_vulkan.csv
