model,runtime,rank,layer_name,backend,granularity,mean_ms,std_ms,min_ms,max_ms,samples,percent_total_ms,cumulative_percent_ms,sequence,dashboard_source,source_file
shufflenet_v2_x1_0,onnxrt_cuda,2,model_loading_uri,onnxruntime,onnx_node,171.103,0.0,171.103,171.103,1,5.272893,88.413677,1,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/shufflenet_v2_x1_0_onnxrt_cuda.csv
shufflenet_v2_x1_0,onnxrt_cuda,1,session_initialization,onnxruntime,onnx_node,2697.881,0.0,2697.881,2697.881,1,83.140785,83.140785,2,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/shufflenet_v2_x1_0_onnxrt_cuda.csv
shufflenet_v2_x1_0,onnxrt_cuda,433,FusedConv:/conv1/conv1.0/Conv_/conv1/conv1.2/Relu_fence_before,onnxruntime,onnx_node,0.001367,0.000482,0.001,0.002,60,4.2e-05,99.989825,3,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/shufflenet_v2_x1_0_onnxrt_cuda.csv
shufflenet_v2_x1_0,onnxrt_cuda,5,FusedConv:/conv1/conv1.0/Conv_/conv1/conv1.2/Relu_kernel_time,onnxruntime,onnx_node,44.844417,340.958717,0.384,2663.798,60,1.381973,97.715396,4,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/shufflenet_v2_x1_0_onnxrt_cuda.csv
shufflenet_v2_x1_0,onnxrt_cuda,442,FusedConv:/conv1/conv1.0/Conv_/conv1/conv1.2/Relu_fence_after,onnxruntime,onnx_node,0.001,0.0,0.001,0.001,22,3.1e-05,99.990139,5,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/shufflenet_v2_x1_0_onnxrt_cuda.csv
shufflenet_v2_x1_0,onnxrt_cuda,441,MaxPool:/maxpool/MaxPool_fence_before,onnxruntime,onnx_node,0.001034,0.000182,0.001,0.002,58,3.2e-05,99.990108,6,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/shufflenet_v2_x1_0_onnxrt_cuda.csv
shufflenet_v2_x1_0,onnxrt_cuda,77,MaxPool:/maxpool/MaxPool_kernel_time,onnxruntime,onnx_node,0.183717,0.510573,0.109,4.105,60,0.005662,99.68107,7,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/shufflenet_v2_x1_0_onnxrt_cuda.csv
shufflenet_v2_x1_0,onnxrt_cuda,443,MaxPool:/maxpool/MaxPool_fence_after,onnxruntime,onnx_node,0.001,0.0,0.001,0.001,2,3.1e-05,99.990169,8,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/shufflenet_v2_x1_0_onnxrt_cuda.csv
shufflenet_v2_x1_0,onnxrt_cuda,444,Conv:/stage2/stage2.0/branch1/branch1.0/Conv_fence_before,onnxruntime,onnx_node,0.001,0.0,0.001,0.001,29,3.1e-05,99.9902,9,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/shufflenet_v2_x1_0_onnxrt_cuda.csv
shufflenet_v2_x1_0,onnxrt_cuda,24,Conv:/stage2/stage2.0/branch1/branch1.0/Conv_kernel_time,onnxruntime,onnx_node,1.031983,6.500887,0.171,50.966,60,0.031803,98.875113,10,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/shufflenet_v2_x1_0_onnxrt_cuda.csv
