model,runtime,rank,layer_name,backend,granularity,mean_ms,std_ms,min_ms,max_ms,samples,percent_total_ms,cumulative_percent_ms,sequence,dashboard_source,source_file
shufflenet_v2_x1_0,pytorch_cpu,26,aten::conv2d,pytorch,op,0.006392,0.001058,0.004277,0.006979,2800,0.077073,99.392661,1,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/shufflenet_v2_x1_0_pytorch_cpu.csv
shufflenet_v2_x1_0,pytorch_cpu,22,aten::convolution,pytorch,op,0.007904,0.000996,0.007284,0.009891,2800,0.095305,99.082438,2,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/shufflenet_v2_x1_0_pytorch_cpu.csv
shufflenet_v2_x1_0,pytorch_cpu,3,aten::_convolution,pytorch,op,0.464932,0.027775,0.434523,0.503413,2800,5.606053,85.884173,3,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/shufflenet_v2_x1_0_pytorch_cpu.csv
shufflenet_v2_x1_0,pytorch_cpu,36,aten::thnn_conv2d,pytorch,op,0.002771,0.000263,0.002565,0.003263,124850,0.033412,99.947404,4,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/shufflenet_v2_x1_0_pytorch_cpu.csv
shufflenet_v2_x1_0,pytorch_cpu,8,aten::_slow_conv2d_forward,pytorch,op,0.102723,0.012974,0.085383,0.117272,124850,1.238612,95.877827,5,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/shufflenet_v2_x1_0_pytorch_cpu.csv
shufflenet_v2_x1_0,pytorch_cpu,35,aten::empty,pytorch,op,0.003171,0.000199,0.002896,0.003482,265500,0.038235,99.913992,6,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/shufflenet_v2_x1_0_pytorch_cpu.csv
shufflenet_v2_x1_0,pytorch_cpu,32,aten::view,pytorch,op,0.003844,0.000441,0.003502,0.004697,128250,0.04635,99.790327,7,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/shufflenet_v2_x1_0_pytorch_cpu.csv
shufflenet_v2_x1_0,pytorch_cpu,33,aten::resize_,pytorch,op,0.003693,0.000331,0.003276,0.004222,124850,0.044529,99.834856,8,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/shufflenet_v2_x1_0_pytorch_cpu.csv
shufflenet_v2_x1_0,pytorch_cpu,27,aten::batch_norm,pytorch,op,0.006236,6e-05,0.006171,0.006341,2800,0.075192,99.467854,9,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/shufflenet_v2_x1_0_pytorch_cpu.csv
shufflenet_v2_x1_0,pytorch_cpu,14,aten::_batch_norm_impl_index,pytorch,op,0.015481,0.003411,0.013364,0.022275,2800,0.186667,98.14814,10,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/shufflenet_v2_x1_0_pytorch_cpu.csv
shufflenet_v2_x1_0,pytorch_cpu,4,aten::native_batch_norm,pytorch,op,0.228858,0.028678,0.202246,0.273779,2800,2.759522,88.643695,11,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/shufflenet_v2_x1_0_pytorch_cpu.csv
shufflenet_v2_x1_0,pytorch_cpu,21,aten::empty_like,pytorch,op,0.008181,0.000413,0.007615,0.008792,3600,0.098645,98.987133,12,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/shufflenet_v2_x1_0_pytorch_cpu.csv
