model,runtime,rank,layer_name,backend,granularity,mean_ms,std_ms,min_ms,max_ms,samples,percent_total_ms,cumulative_percent_ms,sequence,dashboard_source,source_file
shufflenet_v2_x1_0,pytorch_cuda,28,aten::conv2d,pytorch,op,0.004112,0.000217,0.00373,0.004296,2800,0.312608,99.279831,1,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/shufflenet_v2_x1_0_pytorch_cuda.csv
shufflenet_v2_x1_0,pytorch_cuda,26,aten::convolution,pytorch,op,0.004785,0.000322,0.004387,0.005248,2800,0.363772,98.613639,2,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/shufflenet_v2_x1_0_pytorch_cuda.csv
shufflenet_v2_x1_0,pytorch_cuda,13,aten::_convolution,pytorch,op,0.012384,0.000534,0.012077,0.01345,2800,0.941473,92.08719,3,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/shufflenet_v2_x1_0_pytorch_cuda.csv
shufflenet_v2_x1_0,pytorch_cuda,2,aten::cudnn_convolution,pytorch,op,0.228241,0.007103,0.223292,0.242214,1850,17.351637,36.676763,4,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/shufflenet_v2_x1_0_pytorch_cuda.csv
shufflenet_v2_x1_0,pytorch_cuda,22,aten::empty,pytorch,op,0.005453,0.000107,0.005361,0.005646,14800,0.414555,97.065424,5,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/shufflenet_v2_x1_0_pytorch_cuda.csv
shufflenet_v2_x1_0,pytorch_cuda,25,aten::batch_norm,pytorch,op,0.005048,0.000117,0.004916,0.005268,2800,0.383766,98.249867,6,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/shufflenet_v2_x1_0_pytorch_cuda.csv
shufflenet_v2_x1_0,pytorch_cuda,14,aten::_batch_norm_impl_index,pytorch,op,0.009629,0.000442,0.009261,0.010493,2800,0.732028,92.819218,7,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/shufflenet_v2_x1_0_pytorch_cuda.csv
shufflenet_v2_x1_0,pytorch_cuda,4,aten::cudnn_batch_norm,pytorch,op,0.110857,0.002577,0.109016,0.115955,2800,8.427716,54.359557,8,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/shufflenet_v2_x1_0_pytorch_cuda.csv
shufflenet_v2_x1_0,pytorch_cuda,27,aten::empty_like,pytorch,op,0.004651,0.00013,0.004529,0.004897,3600,0.353584,98.967223,9,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/shufflenet_v2_x1_0_pytorch_cuda.csv
shufflenet_v2_x1_0,pytorch_cuda,20,aten::view,pytorch,op,0.006325,0.000249,0.006149,0.006809,4400,0.480847,96.228788,10,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/shufflenet_v2_x1_0_pytorch_cuda.csv
shufflenet_v2_x1_0,pytorch_cuda,16,aten::relu_,pytorch,op,0.008097,0.000208,0.007795,0.008381,1850,0.615561,94.126591,11,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/shufflenet_v2_x1_0_pytorch_cuda.csv
shufflenet_v2_x1_0,pytorch_cuda,9,aten::clamp_min_,pytorch,op,0.080255,0.002068,0.078859,0.08437,1850,6.101251,86.929464,12,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/shufflenet_v2_x1_0_pytorch_cuda.csv
shufflenet_v2_x1_0,pytorch_cuda,11,aten::max_pool2d,pytorch,op,0.01816,0.003404,0.0147,0.0245,50,1.380583,90.092034,13,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/shufflenet_v2_x1_0_pytorch_cuda.csv
shufflenet_v2_x1_0,pytorch_cuda,3,aten::max_pool2d_with_indices,pytorch,op,0.12174,0.004434,0.1167,0.1285,50,9.255078,45.931841,14,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/shufflenet_v2_x1_0_pytorch_cuda.csv
shufflenet_v2_x1_0,pytorch_cuda,8,aten::_conv_depthwise2d,pytorch,op,0.082865,0.00186,0.081611,0.086558,950,6.299672,80.828213,15,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/shufflenet_v2_x1_0_pytorch_cuda.csv
shufflenet_v2_x1_0,pytorch_cuda,15,aten::resize_,pytorch,op,0.0091,0.000336,0.008879,0.009763,950,0.691812,93.51103,16,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/shufflenet_v2_x1_0_pytorch_cuda.csv
shufflenet_v2_x1_0,pytorch_cuda,5,aten::cat,pytorch,op,0.09008,0.002032,0.087994,0.093869,800,6.84818,61.207737,17,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/shufflenet_v2_x1_0_pytorch_cuda.csv
shufflenet_v2_x1_0,pytorch_cuda,19,aten::transpose,pytorch,op,0.006335,0.000184,0.006218,0.0067,850,0.481608,95.74794,18,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/shufflenet_v2_x1_0_pytorch_cuda.csv
