model,runtime,rank,layer_name,backend,granularity,mean_ms,std_ms,min_ms,max_ms,samples,percent_total_ms,cumulative_percent_ms,sequence,dashboard_source,source_file
shufflenet_v2_x1_0,tensorrt_fp32,3,/conv1/conv1.0/Conv + /conv1/conv1.2/Relu,tensorrt,trt_layer,0.593311,0.023071,0.48073,0.661666,60,1.12087,70.810752,1,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/shufflenet_v2_x1_0_tensorrt_fp32.csv
shufflenet_v2_x1_0,tensorrt_fp32,14,/maxpool/MaxPool,tensorrt,trt_layer,0.26823,0.706475,0.170782,5.694739,60,0.506734,77.157855,2,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/shufflenet_v2_x1_0_tensorrt_fp32.csv
shufflenet_v2_x1_0,tensorrt_fp32,1,/stage2/stage2.0/branch1/branch1.0/Conv,tensorrt,trt_layer,35.831009,274.517501,0.088541,2144.439941,60,67.691125,67.691125,3,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/shufflenet_v2_x1_0_tensorrt_fp32.csv
shufflenet_v2_x1_0,tensorrt_fp32,24,/stage2/stage2.0/branch2/branch2.0/Conv + /stage2/stage2.0/branch2/branch2.2/Relu,tensorrt,trt_layer,0.201497,0.024334,0.189531,0.333073,60,0.380664,81.249404,4,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/shufflenet_v2_x1_0_tensorrt_fp32.csv
shufflenet_v2_x1_0,tensorrt_fp32,90,/stage2/stage2.0/branch1/branch1.2/Conv + /stage2/stage2.0/branch1/branch1.4/Relu,tensorrt,trt_layer,0.073358,0.001588,0.070678,0.081042,60,0.138586,99.134902,5,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/shufflenet_v2_x1_0_tensorrt_fp32.csv
shufflenet_v2_x1_0,tensorrt_fp32,23,/stage2/stage2.0/branch2/branch2.3/Conv,tensorrt,trt_layer,0.206385,0.041018,0.194584,0.498854,60,0.389898,80.868741,6,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/shufflenet_v2_x1_0_tensorrt_fp32.csv
shufflenet_v2_x1_0,tensorrt_fp32,77,/stage2/stage2.0/branch2/branch2.5/Conv + /stage2/stage2.0/branch2/branch2.7/Relu,tensorrt,trt_layer,0.115077,0.037685,0.097813,0.255156,60,0.217401,97.00982,7,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/shufflenet_v2_x1_0_tensorrt_fp32.csv
shufflenet_v2_x1_0,tensorrt_fp32,15,/stage2/stage2.0/Reshape + /stage2/stage2.0/Transpose,tensorrt,trt_layer,0.266931,0.034382,0.250781,0.383959,60,0.50428,77.662135,8,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/shufflenet_v2_x1_0_tensorrt_fp32.csv
shufflenet_v2_x1_0,tensorrt_fp32,97,/stage2/stage2.1/Slice,tensorrt,trt_layer,0.032407,0.000737,0.030833,0.034323,60,0.061223,99.798576,9,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/shufflenet_v2_x1_0_tensorrt_fp32.csv
shufflenet_v2_x1_0,tensorrt_fp32,95,/stage2/stage2.1/Slice_1,tensorrt,trt_layer,0.03942,0.026617,0.030468,0.168438,60,0.074471,99.663005,10,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/shufflenet_v2_x1_0_tensorrt_fp32.csv
shufflenet_v2_x1_0,tensorrt_fp32,73,/stage2/stage2.1/branch2/branch2.0/Conv + /stage2/stage2.1/branch2/branch2.2/Relu,tensorrt,trt_layer,0.128335,0.036484,0.101458,0.212083,60,0.242448,96.100884,11,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/shufflenet_v2_x1_0_tensorrt_fp32.csv
shufflenet_v2_x1_0,tensorrt_fp32,74,/stage2/stage2.1/branch2/branch2.3/Conv,tensorrt,trt_layer,0.123234,0.032487,0.093854,0.198489,60,0.232811,96.333695,12,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/shufflenet_v2_x1_0_tensorrt_fp32.csv
shufflenet_v2_x1_0,tensorrt_fp32,66,/stage2/stage2.1/branch2/branch2.5/Conv + /stage2/stage2.1/branch2/branch2.7/Relu,tensorrt,trt_layer,0.14613,0.03638,0.099428,0.314167,60,0.276065,94.333337,13,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/shufflenet_v2_x1_0_tensorrt_fp32.csv
shufflenet_v2_x1_0,tensorrt_fp32,9,/stage2/stage2.1/Reshape + /stage2/stage2.1/Transpose,tensorrt,trt_layer,0.3037,0.029142,0.250834,0.384635,60,0.573743,74.506838,14,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/shufflenet_v2_x1_0_tensorrt_fp32.csv
shufflenet_v2_x1_0,tensorrt_fp32,99,/stage2/stage2.2/Slice,tensorrt,trt_layer,0.031978,0.000483,0.031042,0.033281,60,0.060412,99.919483,15,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/shufflenet_v2_x1_0_tensorrt_fp32.csv
shufflenet_v2_x1_0,tensorrt_fp32,96,/stage2/stage2.2/Slice_1,tensorrt,trt_layer,0.039355,0.026692,0.030365,0.184167,60,0.074349,99.737353,16,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/shufflenet_v2_x1_0_tensorrt_fp32.csv
shufflenet_v2_x1_0,tensorrt_fp32,37,/stage2/stage2.2/branch2/branch2.0/Conv + /stage2/stage2.2/branch2/branch2.2/Relu,tensorrt,trt_layer,0.163198,0.024692,0.098854,0.253646,60,0.30831,85.82318,17,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/shufflenet_v2_x1_0_tensorrt_fp32.csv
shufflenet_v2_x1_0,tensorrt_fp32,65,/stage2/stage2.2/branch2/branch2.3/Conv,tensorrt,trt_layer,0.148258,0.020548,0.093593,0.220156,60,0.280086,94.057272,18,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/shufflenet_v2_x1_0_tensorrt_fp32.csv
shufflenet_v2_x1_0,tensorrt_fp32,40,/stage2/stage2.2/branch2/branch2.5/Conv + /stage2/stage2.2/branch2/branch2.7/Relu,tensorrt,trt_layer,0.161134,0.021454,0.101198,0.232344,60,0.304411,86.740566,19,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/shufflenet_v2_x1_0_tensorrt_fp32.csv
shufflenet_v2_x1_0,tensorrt_fp32,8,/stage2/stage2.2/Reshape + /stage2/stage2.2/Transpose,tensorrt,trt_layer,0.307951,0.018717,0.250416,0.369115,60,0.581774,73.933095,20,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/shufflenet_v2_x1_0_tensorrt_fp32.csv
shufflenet_v2_x1_0,tensorrt_fp32,98,/stage2/stage2.3/Slice,tensorrt,trt_layer,0.032022,0.000633,0.030781,0.034323,60,0.060495,99.859071,21,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/shufflenet_v2_x1_0_tensorrt_fp32.csv
shufflenet_v2_x1_0,tensorrt_fp32,94,/stage2/stage2.3/Slice_1,tensorrt,trt_layer,0.040346,0.0294,0.029531,0.166771,60,0.076221,99.588533,22,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/shufflenet_v2_x1_0_tensorrt_fp32.csv
shufflenet_v2_x1_0,tensorrt_fp32,42,/stage2/stage2.3/branch2/branch2.0/Conv + /stage2/stage2.3/branch2/branch2.2/Relu,tensorrt,trt_layer,0.159542,0.025026,0.101979,0.245834,60,0.301403,87.346144,23,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/shufflenet_v2_x1_0_tensorrt_fp32.csv
shufflenet_v2_x1_0,tensorrt_fp32,67,/stage2/stage2.3/branch2/branch2.3/Conv,tensorrt,trt_layer,0.144694,0.020778,0.093906,0.236041,60,0.273353,94.60669,24,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/shufflenet_v2_x1_0_tensorrt_fp32.csv
shufflenet_v2_x1_0,tensorrt_fp32,39,/stage2/stage2.3/branch2/branch2.5/Conv + /stage2/stage2.3/branch2/branch2.7/Relu,tensorrt,trt_layer,0.162201,0.023895,0.100521,0.254219,60,0.306426,86.436155,25,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/shufflenet_v2_x1_0_tensorrt_fp32.csv
shufflenet_v2_x1_0,tensorrt_fp32,7,/stage2/stage2.3/Reshape + /stage2/stage2.3/Transpose,tensorrt,trt_layer,0.308465,0.021695,0.251354,0.370833,60,0.582745,73.351321,26,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/shufflenet_v2_x1_0_tensorrt_fp32.csv
shufflenet_v2_x1_0,tensorrt_fp32,76,/stage3/stage3.0/branch1/branch1.0/Conv,tensorrt,trt_layer,0.121318,0.001476,0.116719,0.124427,60,0.229191,96.792419,27,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/shufflenet_v2_x1_0_tensorrt_fp32.csv
shufflenet_v2_x1_0,tensorrt_fp32,12,/stage3/stage3.0/branch2/branch2.0/Conv + /stage3/stage3.0/branch2/branch2.2/Relu,tensorrt,trt_layer,0.281033,0.001991,0.276093,0.286667,60,0.530921,76.126959,28,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/shufflenet_v2_x1_0_tensorrt_fp32.csv
shufflenet_v2_x1_0,tensorrt_fp32,82,/stage3/stage3.0/branch1/branch1.2/Conv + /stage3/stage3.0/branch1/branch1.4/Relu,tensorrt,trt_layer,0.09197,0.001516,0.089322,0.096042,60,0.173748,97.96089,29,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/shufflenet_v2_x1_0_tensorrt_fp32.csv
shufflenet_v2_x1_0,tensorrt_fp32,75,/stage3/stage3.0/branch2/branch2.3/Conv,tensorrt,trt_layer,0.121499,0.001178,0.118385,0.124896,60,0.229533,96.563228,30,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/shufflenet_v2_x1_0_tensorrt_fp32.csv
shufflenet_v2_x1_0,tensorrt_fp32,84,/stage3/stage3.0/branch2/branch2.5/Conv + /stage3/stage3.0/branch2/branch2.7/Relu,tensorrt,trt_layer,0.080986,0.001266,0.07849,0.084531,60,0.152997,98.267045,31,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/shufflenet_v2_x1_0_tensorrt_fp32.csv
shufflenet_v2_x1_0,tensorrt_fp32,71,/stage3/stage3.0/Reshape + /stage3/stage3.0/Transpose,tensorrt,trt_layer,0.129465,0.000329,0.12875,0.130156,60,0.244582,95.614715,32,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/shufflenet_v2_x1_0_tensorrt_fp32.csv
shufflenet_v2_x1_0,tensorrt_fp32,101,/stage3/stage3.1/Slice,tensorrt,trt_layer,0.020796,0.01349,0.017865,0.124323,60,0.039287,100.0,33,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/shufflenet_v2_x1_0_tensorrt_fp32.csv
shufflenet_v2_x1_0,tensorrt_fp32,100,/stage3/stage3.1/Slice_1,tensorrt,trt_layer,0.021824,0.022758,0.017136,0.191146,60,0.041229,99.960713,34,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/shufflenet_v2_x1_0_tensorrt_fp32.csv
shufflenet_v2_x1_0,tensorrt_fp32,80,/stage3/stage3.1/branch2/branch2.0/Conv + /stage3/stage3.1/branch2/branch2.2/Relu,tensorrt,trt_layer,0.101661,0.022207,0.091667,0.206406,60,0.192056,97.597547,35,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/shufflenet_v2_x1_0_tensorrt_fp32.csv
