model,runtime,rank,layer_name,backend,granularity,mean_ms,std_ms,min_ms,max_ms,samples,percent_total_ms,cumulative_percent_ms,sequence,dashboard_source,source_file
shufflenet_v2_x1_0,tensorrt_int8,3,/conv1/conv1.0/Conv + /conv1/conv1.2/Relu,tensorrt,trt_layer,0.598613,0.023328,0.478073,0.66125,60,1.12118,71.445456,1,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/shufflenet_v2_x1_0_tensorrt_int8.csv
shufflenet_v2_x1_0,tensorrt_int8,30,/maxpool/MaxPool,tensorrt,trt_layer,0.180192,0.003565,0.175104,0.192344,60,0.337493,83.745811,2,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/shufflenet_v2_x1_0_tensorrt_int8.csv
shufflenet_v2_x1_0,tensorrt_int8,1,/stage2/stage2.0/branch1/branch1.0/Conv,tensorrt,trt_layer,36.509186,279.697125,0.090208,2184.903564,60,68.380355,68.380355,3,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/shufflenet_v2_x1_0_tensorrt_int8.csv
shufflenet_v2_x1_0,tensorrt_int8,16,/stage2/stage2.0/branch2/branch2.0/Conv + /stage2/stage2.0/branch2/branch2.2/Relu,tensorrt,trt_layer,0.20991,0.037068,0.193177,0.421459,60,0.393154,78.611274,4,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/shufflenet_v2_x1_0_tensorrt_int8.csv
shufflenet_v2_x1_0,tensorrt_int8,92,/stage2/stage2.0/branch1/branch1.2/Conv + /stage2/stage2.0/branch1/branch1.4/Relu,tensorrt,trt_layer,0.060402,0.000741,0.058385,0.061927,60,0.113131,99.410749,5,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/shufflenet_v2_x1_0_tensorrt_int8.csv
shufflenet_v2_x1_0,tensorrt_int8,15,/stage2/stage2.0/branch2/branch2.3/Conv,tensorrt,trt_layer,0.214981,0.061296,0.191511,0.467396,60,0.402651,78.21812,6,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/shufflenet_v2_x1_0_tensorrt_int8.csv
shufflenet_v2_x1_0,tensorrt_int8,77,/stage2/stage2.0/branch2/branch2.5/Conv + /stage2/stage2.0/branch2/branch2.7/Relu,tensorrt,trt_layer,0.111643,0.033934,0.09276,0.216718,60,0.209103,97.009846,7,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/shufflenet_v2_x1_0_tensorrt_int8.csv
shufflenet_v2_x1_0,tensorrt_int8,14,/stage2/stage2.0/Reshape + /stage2/stage2.0/Transpose,tensorrt,trt_layer,0.276103,0.039512,0.25125,0.398594,60,0.517131,77.815468,8,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/shufflenet_v2_x1_0_tensorrt_int8.csv
shufflenet_v2_x1_0,tensorrt_int8,97,/stage2/stage2.1/Slice,tensorrt,trt_layer,0.032838,0.000573,0.031406,0.034166,60,0.061504,99.803339,9,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/shufflenet_v2_x1_0_tensorrt_int8.csv
shufflenet_v2_x1_0,tensorrt_int8,95,/stage2/stage2.1/Slice_1,tensorrt,trt_layer,0.043805,0.031461,0.03026,0.170989,60,0.082045,99.66506,10,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/shufflenet_v2_x1_0_tensorrt_int8.csv
