model,runtime,rank,layer_name,backend,granularity,mean_ms,std_ms,min_ms,max_ms,samples,percent_total_ms,cumulative_percent_ms,sequence,dashboard_source,source_file
ssd_mobilenet_v2,ncnn_cpu,7,Convolution:StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/Conv1/Conv2D,ncnn,ncnn_layer,3.951029,0.114995,3.9,4.74,68,3.010787,28.659126,1,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_ncnn_cpu.csv
ssd_mobilenet_v2,ncnn_cpu,54,Clip:StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/Conv1_relu/Relu6,ncnn,ncnn_layer,0.675147,0.029679,0.66,0.85,68,0.51448,89.174303,2,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_ncnn_cpu.csv
ssd_mobilenet_v2,ncnn_cpu,24,ConvolutionDepthWise:StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/expanded_conv_depthwise/depthwise,ncnn,ncnn_layer,1.832206,0.221312,1.75,3.63,68,1.396189,62.755197,3,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_ncnn_cpu.csv
ssd_mobilenet_v2,ncnn_cpu,53,Clip:StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/expanded_conv_depthwise_relu/Relu6,ncnn,ncnn_layer,0.683971,0.018402,0.66,0.75,68,0.521204,88.659823,4,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_ncnn_cpu.csv
ssd_mobilenet_v2,ncnn_cpu,16,Convolution:StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/expanded_conv_project/Conv2D,ncnn,ncnn_layer,2.493088,0.077027,2.35,2.62,68,1.899798,49.45448,5,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_ncnn_cpu.csv
ssd_mobilenet_v2,ncnn_cpu,3,Convolution:StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_1_expand/Conv2D,ncnn,ncnn_layer,5.313088,0.63869,5.09,9.02,68,4.048711,15.937214,6,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_ncnn_cpu.csv
ssd_mobilenet_v2,ncnn_cpu,21,Clip:StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_1_expand_relu/Relu6,ncnn,ncnn_layer,2.186471,0.031751,2.15,2.33,68,1.666148,58.231227,7,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_ncnn_cpu.csv
ssd_mobilenet_v2,ncnn_cpu,6,ConvolutionDepthWise:StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_1_depthwise/depthwise,ncnn,ncnn_layer,4.085735,0.399847,3.97,7.32,68,3.113437,25.648339,8,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_ncnn_cpu.csv
ssd_mobilenet_v2,ncnn_cpu,59,Clip:StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_1_depthwise_relu/Relu6,ncnn,ncnn_layer,0.506176,0.015438,0.49,0.57,68,0.385719,91.395945,9,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_ncnn_cpu.csv
ssd_mobilenet_v2,ncnn_cpu,11,Convolution:StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_1_project/Conv2D,ncnn,ncnn_layer,3.138529,0.036833,3.06,3.21,68,2.391641,39.001837,10,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_ncnn_cpu.csv
ssd_mobilenet_v2,ncnn_cpu,167,Split:splitncnn_0,ncnn,ncnn_layer,0.003382,0.004731,0.0,0.01,68,0.002577,99.988235,11,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_ncnn_cpu.csv
ssd_mobilenet_v2,ncnn_cpu,13,Convolution:StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_2_expand/Conv2D,ncnn,ncnn_layer,2.8575,0.026423,2.8,2.92,68,2.177489,43.369142,12,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_ncnn_cpu.csv
ssd_mobilenet_v2,ncnn_cpu,49,Clip:StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_2_expand_relu/Relu6,ncnn,ncnn_layer,0.778382,0.035172,0.75,0.92,68,0.593147,86.396718,13,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_ncnn_cpu.csv
ssd_mobilenet_v2,ncnn_cpu,20,ConvolutionDepthWise:StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_2_depthwise/depthwise,ncnn,ncnn_layer,2.221029,0.170511,2.16,3.58,68,1.692482,56.56508,14,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_ncnn_cpu.csv
ssd_mobilenet_v2,ncnn_cpu,48,Clip:StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_2_depthwise_relu/Relu6,ncnn,ncnn_layer,0.7825,0.02232,0.76,0.86,68,0.596285,85.80357,15,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_ncnn_cpu.csv
ssd_mobilenet_v2,ncnn_cpu,4,Convolution:StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_2_project/Conv2D,ncnn,ncnn_layer,4.428382,0.029536,4.39,4.53,68,3.374542,19.311757,16,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_ncnn_cpu.csv
ssd_mobilenet_v2,ncnn_cpu,72,BinaryOp:StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_2_add/add,ncnn,ncnn_layer,0.261471,0.017087,0.25,0.34,68,0.199248,94.869664,17,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_ncnn_cpu.csv
