model,runtime,rank,layer_name,backend,granularity,mean_ms,std_ms,min_ms,max_ms,samples,percent_total_ms,cumulative_percent_ms,sequence,dashboard_source,source_file
ssd_mobilenet_v2,ncnn_vulkan,2,Convolution:StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/Conv1/Conv2D,ncnn,ncnn_layer,1.951294,0.011871,1.92313,1.97839,70,5.746276,11.717471,1,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_ncnn_vulkan.csv
ssd_mobilenet_v2,ncnn_vulkan,43,Clip:StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/Conv1_relu/Relu6,ncnn,ncnn_layer,0.215279,0.00137,0.21245,0.21885,70,0.633965,76.008097,2,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_ncnn_vulkan.csv
ssd_mobilenet_v2,ncnn_vulkan,9,ConvolutionDepthWise:StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/expanded_conv_depthwise/depthwise,ncnn,ncnn_layer,0.847851,0.00344,0.84078,0.85578,70,2.496797,36.090041,3,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_ncnn_vulkan.csv
ssd_mobilenet_v2,ncnn_vulkan,44,Clip:StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/expanded_conv_depthwise_relu/Relu6,ncnn,ncnn_layer,0.214904,0.001391,0.21099,0.21776,70,0.632861,76.640958,4,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_ncnn_vulkan.csv
ssd_mobilenet_v2,ncnn_vulkan,31,Convolution:StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/expanded_conv_project/Conv2D,ncnn,ncnn_layer,0.315314,0.001603,0.31047,0.31979,70,0.928554,66.882056,5,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_ncnn_vulkan.csv
ssd_mobilenet_v2,ncnn_vulkan,6,Convolution:StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_1_expand/Conv2D,ncnn,ncnn_layer,1.178008,0.008786,1.15615,1.19635,70,3.469062,27.96758,6,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_ncnn_vulkan.csv
ssd_mobilenet_v2,ncnn_vulkan,12,Clip:StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_1_expand_relu/Relu6,ncnn,ncnn_layer,0.63939,0.002626,0.63203,0.6451,70,1.88291,42.434791,7,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_ncnn_vulkan.csv
ssd_mobilenet_v2,ncnn_vulkan,4,ConvolutionDepthWise:StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_1_depthwise/depthwise,ncnn,ncnn_layer,1.343156,0.0126,1.31365,1.36922,70,3.955398,20.753453,8,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_ncnn_vulkan.csv
ssd_mobilenet_v2,ncnn_vulkan,65,Clip:StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_1_depthwise_relu/Relu6,ncnn,ncnn_layer,0.160489,0.001235,0.15781,0.16474,70,0.472617,88.316568,9,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_ncnn_vulkan.csv
ssd_mobilenet_v2,ncnn_vulkan,26,Convolution:StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_1_project/Conv2D,ncnn,ncnn_layer,0.374375,0.001217,0.37219,0.37771,70,1.10248,61.686565,10,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_ncnn_vulkan.csv
