model,runtime,rank,layer_name,backend,granularity,mean_ms,std_ms,min_ms,max_ms,samples,percent_total_ms,cumulative_percent_ms,sequence,dashboard_source,source_file
ssd_mobilenet_v2,onnxrt_cuda,2,model_loading_uri,onnxruntime,onnx_node,281.044,0.0,281.044,281.044,1,8.015133,79.830035,1,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_onnxrt_cuda.csv
ssd_mobilenet_v2,onnxrt_cuda,1,session_initialization,onnxruntime,onnx_node,2518.13,0.0,2518.13,2518.13,1,71.814902,71.814902,2,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_onnxrt_cuda.csv
ssd_mobilenet_v2,onnxrt_cuda,233,Cast:StatefulPartitionedCall/Cast_fence_before,onnxruntime,onnx_node,0.001383,0.000486,0.001,0.002,60,3.9e-05,99.992273,3,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_onnxrt_cuda.csv
ssd_mobilenet_v2,onnxrt_cuda,83,Cast:StatefulPartitionedCall/Cast_kernel_time,onnxruntime,onnx_node,0.123683,0.022201,0.1,0.217,60,0.003527,99.797794,4,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_onnxrt_cuda.csv
ssd_mobilenet_v2,onnxrt_cuda,256,Cast:StatefulPartitionedCall/Cast_fence_after,onnxruntime,onnx_node,0.001,0.0,0.001,0.001,3,2.9e-05,99.992984,5,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_onnxrt_cuda.csv
ssd_mobilenet_v2,onnxrt_cuda,257,Mul:StatefulPartitionedCall/Preprocessor/mul_fence_before,onnxruntime,onnx_node,0.001,0.0,0.001,0.001,60,2.9e-05,99.993013,6,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_onnxrt_cuda.csv
ssd_mobilenet_v2,onnxrt_cuda,86,Mul:StatefulPartitionedCall/Preprocessor/mul_kernel_time,onnxruntime,onnx_node,0.090483,0.019159,0.073,0.157,60,0.00258,99.805749,7,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_onnxrt_cuda.csv
ssd_mobilenet_v2,onnxrt_cuda,93,Sub:StatefulPartitionedCall/Preprocessor/sub_kernel_time,onnxruntime,onnx_node,0.0747,0.012516,0.061,0.097,60,0.00213,99.821653,8,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_onnxrt_cuda.csv
ssd_mobilenet_v2,onnxrt_cuda,222,Split:StatefulPartitionedCall/Preprocessor/unstack_fence_before,onnxruntime,onnx_node,0.002559,0.008955,0.001,0.054,34,7.3e-05,99.991657,9,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_onnxrt_cuda.csv
ssd_mobilenet_v2,onnxrt_cuda,78,Split:StatefulPartitionedCall/Preprocessor/unstack_kernel_time,onnxruntime,onnx_node,0.326917,0.133777,0.255,1.252,60,0.009323,99.768198,10,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_onnxrt_cuda.csv
ssd_mobilenet_v2,onnxrt_cuda,258,Transpose:Transpose__24_fence_before,onnxruntime,onnx_node,0.001,0.0,0.001,0.001,3,2.9e-05,99.993041,11,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_onnxrt_cuda.csv
ssd_mobilenet_v2,onnxrt_cuda,88,Transpose:Transpose__24_kernel_time,onnxruntime,onnx_node,0.084383,0.016746,0.069,0.155,60,0.002407,99.810684,12,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_onnxrt_cuda.csv
ssd_mobilenet_v2,onnxrt_cuda,259,Shape:Shape__30_fence_before,onnxruntime,onnx_node,0.001,0.0,0.001,0.001,3,2.9e-05,99.99307,13,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_onnxrt_cuda.csv
ssd_mobilenet_v2,onnxrt_cuda,184,Shape:Shape__30_kernel_time,onnxruntime,onnx_node,0.02415,0.012141,0.021,0.091,60,0.000689,99.974154,14,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_onnxrt_cuda.csv
ssd_mobilenet_v2,onnxrt_cuda,171,Slice:Slice__33_kernel_time,onnxruntime,onnx_node,0.0363,0.001256,0.034,0.04,60,0.001035,99.964285,15,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_onnxrt_cuda.csv
ssd_mobilenet_v2,onnxrt_cuda,172,Concat:Concat__35_kernel_time,onnxruntime,onnx_node,0.031617,0.012373,0.027,0.103,60,0.000902,99.965187,16,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_onnxrt_cuda.csv
