model,runtime,rank,layer_name,backend,granularity,mean_ms,std_ms,min_ms,max_ms,samples,percent_total_ms,cumulative_percent_ms,sequence,dashboard_source,source_file
ssd_mobilenet_v2,pytorch_cpu,1,forward,pytorch,op,8.57428,5.057636,2.776,15.4274,50,26.350567,26.350567,1,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_pytorch_cpu.csv
ssd_mobilenet_v2,pytorch_cpu,8,aten::permute,pytorch,op,0.910616,0.453941,0.008164,1.199879,700,2.798515,89.547261,2,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_pytorch_cpu.csv
ssd_mobilenet_v2,pytorch_cpu,42,aten::as_strided,pytorch,op,0.001606,0.000195,0.00134,0.001943,1076600,0.004936,99.996177,3,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_pytorch_cpu.csv
ssd_mobilenet_v2,pytorch_cpu,3,aten::contiguous,pytorch,op,4.62878,2.774203,0.0141,8.7455,50,14.225215,65.482186,4,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_pytorch_cpu.csv
ssd_mobilenet_v2,pytorch_cpu,17,aten::clone,pytorch,op,0.075515,0.073229,0.008455,0.210336,550,0.232073,98.932327,5,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_pytorch_cpu.csv
ssd_mobilenet_v2,pytorch_cpu,19,aten::empty_like,pytorch,op,0.047835,0.029503,0.00926,0.0934,2750,0.147007,99.25085,6,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_pytorch_cpu.csv
ssd_mobilenet_v2,pytorch_cpu,38,aten::empty,pytorch,op,0.003514,0.000585,0.00273,0.00426,717700,0.010799,99.966016,7,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_pytorch_cpu.csv
ssd_mobilenet_v2,pytorch_cpu,26,aten::copy_,pytorch,op,0.012831,0.001402,0.010482,0.014778,360300,0.039432,99.758101,8,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_pytorch_cpu.csv
ssd_mobilenet_v2,pytorch_cpu,43,aten::to,pytorch,op,0.001244,0.000191,0.000961,0.001548,2200,0.003823,100.0,9,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_pytorch_cpu.csv
ssd_mobilenet_v2,pytorch_cpu,15,aten::mul,pytorch,op,0.113269,0.045711,0.070222,0.195767,450,0.348099,98.457562,10,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_pytorch_cpu.csv
ssd_mobilenet_v2,pytorch_cpu,7,aten::sub,pytorch,op,1.089773,0.626824,0.183333,2.100833,150,3.349102,86.748747,11,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_pytorch_cpu.csv
ssd_mobilenet_v2,pytorch_cpu,12,aten::split,pytorch,op,0.30843,0.147557,0.01365,0.39545,100,0.94787,97.061012,12,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_pytorch_cpu.csv
ssd_mobilenet_v2,pytorch_cpu,40,aten::narrow,pytorch,op,0.00274,0.000148,0.002539,0.002995,1072300,0.008421,99.983331,13,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_pytorch_cpu.csv
ssd_mobilenet_v2,pytorch_cpu,30,aten::slice,pytorch,op,0.00634,0.000811,0.005174,0.007449,1072300,0.019484,99.861828,14,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_pytorch_cpu.csv
ssd_mobilenet_v2,pytorch_cpu,2,aten::upsample_bilinear2d,pytorch,op,8.10436,1.171949,6.6967,9.5488,50,24.906404,51.256971,15,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_pytorch_cpu.csv
ssd_mobilenet_v2,pytorch_cpu,22,aten::squeeze,pytorch,op,0.024817,0.037972,0.004914,0.100743,350,0.076268,99.527196,16,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_pytorch_cpu.csv
ssd_mobilenet_v2,pytorch_cpu,36,aten::unsqueeze,pytorch,op,0.004127,0.000369,0.003633,0.0047,300,0.012683,99.943278,17,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_pytorch_cpu.csv
ssd_mobilenet_v2,pytorch_cpu,21,aten::unbind,pytorch,op,0.02912,0.016332,0.019071,0.061688,850,0.089492,99.450928,18,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_pytorch_cpu.csv
ssd_mobilenet_v2,pytorch_cpu,33,aten::select,pytorch,op,0.004329,0.000859,0.003331,0.00572,2950,0.013304,99.904684,19,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_pytorch_cpu.csv
