model,runtime,rank,layer_name,backend,granularity,mean_ms,std_ms,min_ms,max_ms,samples,percent_total_ms,cumulative_percent_ms,sequence,dashboard_source,source_file
ssd_mobilenet_v2,pytorch_cuda,1,forward,pytorch,op,2.76682,0.030964,2.7139,2.8024,50,61.185826,61.185826,1,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_pytorch_cuda.csv
ssd_mobilenet_v2,pytorch_cuda,29,aten::permute,pytorch,op,0.006991,0.000125,0.006807,0.007157,700,0.1546,99.065479,2,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_pytorch_cuda.csv
ssd_mobilenet_v2,pytorch_cuda,39,aten::as_strided,pytorch,op,0.001665,3.2e-05,0.001606,0.0017,5050,0.03682,99.997457,3,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_pytorch_cuda.csv
ssd_mobilenet_v2,pytorch_cuda,28,aten::contiguous,pytorch,op,0.008,0.001459,0.0071,0.0109,50,0.176913,98.910879,4,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_pytorch_cuda.csv
ssd_mobilenet_v2,pytorch_cuda,26,aten::clone,pytorch,op,0.008073,0.000229,0.007773,0.008418,550,0.178527,98.556168,5,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_pytorch_cuda.csv
ssd_mobilenet_v2,pytorch_cuda,33,aten::empty_like,pytorch,op,0.00444,0.000184,0.004236,0.004673,2750,0.098187,99.539827,6,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_pytorch_cuda.csv
ssd_mobilenet_v2,pytorch_cuda,25,aten::empty,pytorch,op,0.008491,2.8e-05,0.008455,0.008536,4850,0.187771,98.377641,7,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_pytorch_cuda.csv
ssd_mobilenet_v2,pytorch_cuda,8,aten::copy_,pytorch,op,0.079088,0.002781,0.07365,0.081375,800,1.748963,87.648372,8,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_pytorch_cuda.csv
ssd_mobilenet_v2,pytorch_cuda,21,aten::split,pytorch,op,0.01175,0.000906,0.01095,0.0135,100,0.259841,97.512602,9,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_pytorch_cuda.csv
ssd_mobilenet_v2,pytorch_cuda,36,aten::narrow,pytorch,op,0.003993,0.000152,0.003813,0.004253,750,0.088302,99.810814,10,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_pytorch_cuda.csv
ssd_mobilenet_v2,pytorch_cuda,31,aten::slice,pytorch,op,0.005468,0.000138,0.005307,0.0057,750,0.12092,99.334917,11,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_pytorch_cuda.csv
ssd_mobilenet_v2,pytorch_cuda,6,aten::upsample_bilinear2d,pytorch,op,0.1094,0.001649,0.1069,0.1111,50,2.419286,83.828642,12,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_pytorch_cuda.csv
ssd_mobilenet_v2,pytorch_cuda,32,aten::squeeze,pytorch,op,0.004826,7.6e-05,0.004743,0.004943,350,0.106723,99.44164,13,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_pytorch_cuda.csv
ssd_mobilenet_v2,pytorch_cuda,37,aten::unsqueeze,pytorch,op,0.00355,5.3e-05,0.003483,0.003617,300,0.078505,99.889319,14,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_pytorch_cuda.csv
ssd_mobilenet_v2,pytorch_cuda,16,aten::unbind,pytorch,op,0.016356,0.000173,0.016071,0.016618,850,0.361699,96.114414,15,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_pytorch_cuda.csv
ssd_mobilenet_v2,pytorch_cuda,38,aten::select,pytorch,op,0.003225,7.5e-05,0.003164,0.003364,2950,0.071318,99.960637,16,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_pytorch_cuda.csv
ssd_mobilenet_v2,pytorch_cuda,35,aten::item,pytorch,op,0.004097,7e-05,0.004,0.004193,2950,0.090602,99.722512,17,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_pytorch_cuda.csv
ssd_mobilenet_v2,pytorch_cuda,2,aten::_local_scalar_dense,pytorch,op,0.473072,0.002452,0.469336,0.476371,2950,10.461577,71.647403,18,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_pytorch_cuda.csv
ssd_mobilenet_v2,pytorch_cuda,18,aten::reshape,pytorch,op,0.013112,0.000208,0.012841,0.013461,3550,0.289961,96.703358,19,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_pytorch_cuda.csv
ssd_mobilenet_v2,pytorch_cuda,30,aten::_reshape_alias,pytorch,op,0.006716,0.000137,0.006534,0.006867,3050,0.148519,99.213997,20,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_pytorch_cuda.csv
ssd_mobilenet_v2,pytorch_cuda,20,aten::pad,pytorch,op,0.012324,0.001628,0.01102,0.01544,250,0.272535,97.252761,21,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_pytorch_cuda.csv
ssd_mobilenet_v2,pytorch_cuda,15,aten::constant_pad_nd,pytorch,op,0.026284,0.000657,0.02514,0.027,250,0.581248,95.752715,22,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_pytorch_cuda.csv
ssd_mobilenet_v2,pytorch_cuda,11,aten::fill_,pytorch,op,0.061876,0.002676,0.05774,0.06602,250,1.368334,91.892317,23,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/ssd_mobilenet_v2_pytorch_cuda.csv
