model,runtime,rank,layer_name,backend,granularity,mean_ms,std_ms,min_ms,max_ms,samples,percent_total_ms,cumulative_percent_ms,sequence,dashboard_source,source_file
ssd_mobilenet_v2,tensorrt_int8,58,"PWN(StatefulPartitionedCall/Preprocessor/mul/x:0 + (Unnamed Layer* 2) [Shuffle] + StatefulPartitionedCall/Preprocessor/mul, PWN(StatefulPartitionedCall/Preprocessor/sub/y:0 + (Unnamed Layer* 5) [Shuffle], StatefulPartitionedCall/Preprocessor/sub))",tensorrt,trt_layer,0.213933,0.027597,0.137188,0.284219,60,0.300755,96.396823,1,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/ssd_mobilenet_v2_tensorrt_int8.csv
ssd_mobilenet_v2,tensorrt_int8,59,StatefulPartitionedCall/Preprocessor/unstack,tensorrt,trt_layer,0.206046,0.036493,0.158489,0.349323,60,0.289667,96.686489,2,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/ssd_mobilenet_v2_tensorrt_int8.csv
ssd_mobilenet_v2,tensorrt_int8,15,Transpose__24,tensorrt,trt_layer,0.658171,0.024045,0.648281,0.759063,60,0.92528,73.183771,3,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/ssd_mobilenet_v2_tensorrt_int8.csv
ssd_mobilenet_v2,tensorrt_int8,23,Resize__36,tensorrt,trt_layer,0.471847,0.000406,0.471042,0.473021,60,0.663339,79.60787,4,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/ssd_mobilenet_v2_tensorrt_int8.csv
ssd_mobilenet_v2,tensorrt_int8,11,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/Conv1/Conv2D + StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/Conv1_relu/Relu6,tensorrt,trt_layer,0.877488,0.034307,0.868177,1.092135,60,1.233604,68.988326,5,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/ssd_mobilenet_v2_tensorrt_int8.csv
ssd_mobilenet_v2,tensorrt_int8,6,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/expanded_conv_depthwise/depthwise + StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/expanded_conv_depthwise_relu/Relu6,tensorrt,trt_layer,1.219297,0.011382,1.191718,1.246302,60,1.714131,62.278373,6,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/ssd_mobilenet_v2_tensorrt_int8.csv
ssd_mobilenet_v2,tensorrt_int8,13,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/expanded_conv_project/Conv2D,tensorrt,trt_layer,0.799956,0.033519,0.790886,1.056771,60,1.124607,71.315549,7,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/ssd_mobilenet_v2_tensorrt_int8.csv
ssd_mobilenet_v2,tensorrt_int8,3,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_1_expand/Conv2D + StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_1_expand_relu/Relu6,tensorrt,trt_layer,1.748039,0.003303,1.739531,1.756719,60,2.457455,56.456169,8,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/ssd_mobilenet_v2_tensorrt_int8.csv
ssd_mobilenet_v2,tensorrt_int8,2,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_1_depthwise/depthwise + StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_1_depthwise_relu/Relu6,tensorrt,trt_layer,1.956712,0.018799,1.933594,2.090416,60,2.750815,53.998713,9,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/ssd_mobilenet_v2_tensorrt_int8.csv
ssd_mobilenet_v2,tensorrt_int8,33,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_1_project/Conv2D,tensorrt,trt_layer,0.408535,0.002285,0.403282,0.415938,60,0.574333,85.766721,10,tensorrt_only,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/tensorrt_only/detailed_layers/layer_runtime/ssd_mobilenet_v2_tensorrt_int8.csv
