model,runtime,rank,layer_name,backend,granularity,mean_ms,std_ms,min_ms,max_ms,samples,percent_total_ms,cumulative_percent_ms,sequence,dashboard_source,source_file
yolov8n,onnxrt_cuda,3,model_loading_uri,onnxruntime,onnx_node,160.059,0.0,160.059,160.059,1,4.985373,93.021068,1,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/yolov8n_onnxrt_cuda.csv
yolov8n,onnxrt_cuda,1,session_initialization,onnxruntime,onnx_node,2642.881,0.0,2642.881,2642.881,1,82.318074,82.318074,2,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/yolov8n_onnxrt_cuda.csv
yolov8n,onnxrt_cuda,281,Conv:/model.0/conv/Conv_fence_before,onnxruntime,onnx_node,0.0017,0.000458,0.001,0.002,60,5.3e-05,99.988701,3,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/yolov8n_onnxrt_cuda.csv
yolov8n,onnxrt_cuda,5,Conv:/model.0/conv/Conv_kernel_time,onnxruntime,onnx_node,28.83325,217.40035,0.46,1698.717,60,0.898072,97.491208,4,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/yolov8n_onnxrt_cuda.csv
yolov8n,onnxrt_cuda,340,Conv:/model.0/conv/Conv_fence_after,onnxruntime,onnx_node,0.001,0.0,0.001,0.001,15,3.1e-05,99.99078,5,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/yolov8n_onnxrt_cuda.csv
yolov8n,onnxrt_cuda,303,Sigmoid:/model.0/act/Sigmoid_fence_before,onnxruntime,onnx_node,0.001117,0.000321,0.001,0.002,60,3.5e-05,99.98956,6,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/yolov8n_onnxrt_cuda.csv
yolov8n,onnxrt_cuda,69,Sigmoid:/model.0/act/Sigmoid_kernel_time,onnxruntime,onnx_node,0.436133,2.694906,0.079,21.136,60,0.013584,99.459658,7,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/yolov8n_onnxrt_cuda.csv
yolov8n,onnxrt_cuda,341,Sigmoid:/model.0/act/Sigmoid_fence_after,onnxruntime,onnx_node,0.001,0.0,0.001,0.001,39,3.1e-05,99.990812,8,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/yolov8n_onnxrt_cuda.csv
yolov8n,onnxrt_cuda,342,Mul:/model.0/act/Mul_fence_before,onnxruntime,onnx_node,0.001,0.0,0.001,0.001,60,3.1e-05,99.990843,9,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/yolov8n_onnxrt_cuda.csv
yolov8n,onnxrt_cuda,116,Mul:/model.0/act/Mul_kernel_time,onnxruntime,onnx_node,0.074367,0.02643,0.067,0.276,60,0.002316,99.731868,10,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/yolov8n_onnxrt_cuda.csv
