model,runtime,rank,layer_name,backend,granularity,mean_ms,std_ms,min_ms,max_ms,samples,percent_total_ms,cumulative_percent_ms,sequence,dashboard_source,source_file
yolov8n,pytorch_cpu,6,forward,pytorch,op,3.21224,0.035492,3.1881,3.2818,50,7.419902,84.390513,1,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/yolov8n_pytorch_cpu.csv
yolov8n,pytorch_cpu,15,aten::_convolution,pytorch,op,0.034108,0.000926,0.033406,0.035928,3200,0.078786,99.436943,2,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/yolov8n_pytorch_cpu.csv
yolov8n,pytorch_cpu,25,aten::thnn_conv2d,pytorch,op,0.009262,0.000788,0.008816,0.010837,3200,0.021394,99.772613,3,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/yolov8n_pytorch_cpu.csv
yolov8n,pytorch_cpu,1,aten::_slow_conv2d_forward,pytorch,op,11.245303,0.211349,10.907362,11.520352,3200,25.975345,25.975345,4,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/yolov8n_pytorch_cpu.csv
yolov8n,pytorch_cpu,35,aten::empty,pytorch,op,0.006709,0.000103,0.006582,0.006856,5600,0.015497,99.943318,5,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/yolov8n_pytorch_cpu.csv
yolov8n,pytorch_cpu,23,aten::view,pytorch,op,0.011191,0.00013,0.011081,0.011438,4700,0.02585,99.72605,6,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/yolov8n_pytorch_cpu.csv
yolov8n,pytorch_cpu,20,aten::resize_,pytorch,op,0.014127,0.000384,0.013781,0.014858,3200,0.032632,99.635553,7,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/yolov8n_pytorch_cpu.csv
yolov8n,pytorch_cpu,16,aten::reshape,pytorch,op,0.021792,0.001028,0.020814,0.023343,3150,0.050337,99.48728,8,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/yolov8n_pytorch_cpu.csv
yolov8n,pytorch_cpu,24,aten::_reshape_alias,pytorch,op,0.010896,5.1e-05,0.010817,0.01097,3150,0.025168,99.751219,9,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/yolov8n_pytorch_cpu.csv
yolov8n,pytorch_cpu,12,aten::copy_,pytorch,op,0.305411,0.033501,0.274135,0.369198,3250,0.705464,98.769991,10,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/yolov8n_pytorch_cpu.csv
yolov8n,pytorch_cpu,7,aten::silu,pytorch,op,2.653942,0.078588,2.536259,2.779686,2450,6.130298,90.520811,11,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/yolov8n_pytorch_cpu.csv
yolov8n,pytorch_cpu,39,aten::detach,pytorch,op,0.004102,9.8e-05,0.004012,0.004288,1250,0.009475,99.991045,12,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/yolov8n_pytorch_cpu.csv
