model,runtime,rank,layer_name,backend,granularity,mean_ms,std_ms,min_ms,max_ms,samples,percent_total_ms,cumulative_percent_ms,sequence,dashboard_source,source_file
yolov8n,pytorch_cuda,1,forward,pytorch,op,4.66134,0.308559,4.2728,5.0677,50,57.321476,57.321476,1,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/yolov8n_pytorch_cuda.csv
yolov8n,pytorch_cuda,14,aten::_convolution,pytorch,op,0.033928,0.000954,0.032719,0.035388,3200,0.41722,98.018858,2,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/yolov8n_pytorch_cuda.csv
yolov8n,pytorch_cuda,5,aten::cudnn_convolution,pytorch,op,0.405691,0.03116,0.375686,0.446997,3200,4.988867,79.802632,3,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/yolov8n_pytorch_cuda.csv
yolov8n,pytorch_cuda,19,aten::empty,pytorch,op,0.010745,0.000353,0.010184,0.011115,3650,0.132134,99.019642,4,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/yolov8n_pytorch_cuda.csv
yolov8n,pytorch_cuda,18,aten::reshape,pytorch,op,0.012316,0.000318,0.011959,0.012875,3150,0.151452,98.887508,5,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/yolov8n_pytorch_cuda.csv
yolov8n,pytorch_cuda,24,aten::_reshape_alias,pytorch,op,0.00766,0.000184,0.007427,0.007894,3150,0.094197,99.517679,6,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/yolov8n_pytorch_cuda.csv
yolov8n,pytorch_cuda,9,aten::add_,pytorch,op,0.194798,0.021446,0.165057,0.224462,3150,2.395472,90.734913,7,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/yolov8n_pytorch_cuda.csv
yolov8n,pytorch_cuda,7,aten::silu,pytorch,op,0.212077,0.020751,0.175405,0.235735,2150,2.607955,85.777072,8,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/yolov8n_pytorch_cuda.csv
yolov8n,pytorch_cuda,6,aten::silu_,pytorch,op,0.27376,0.013295,0.257587,0.295025,400,3.366484,83.169116,9,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/yolov8n_pytorch_cuda.csv
yolov8n,pytorch_cuda,16,aten::split_with_sizes,pytorch,op,0.014282,0.001023,0.013044,0.016033,450,0.175629,98.577176,10,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/yolov8n_pytorch_cuda.csv
yolov8n,pytorch_cuda,31,aten::as_strided,pytorch,op,0.002558,0.000174,0.002296,0.002779,1200,0.031456,100.0,11,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/yolov8n_pytorch_cuda.csv
yolov8n,pytorch_cuda,11,aten::cat,pytorch,op,0.172204,0.015379,0.146258,0.190947,950,2.117629,95.078583,12,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/yolov8n_pytorch_cuda.csv
yolov8n,pytorch_cuda,15,aten::max_pool2d,pytorch,op,0.03112,0.036933,0.011867,0.104967,150,0.382689,98.401547,13,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/yolov8n_pytorch_cuda.csv
yolov8n,pytorch_cuda,12,aten::max_pool2d_with_indices,pytorch,op,0.109913,0.025359,0.062333,0.1387,150,1.351623,96.430206,14,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/yolov8n_pytorch_cuda.csv
yolov8n,pytorch_cuda,8,aten::upsample_nearest2d,pytorch,op,0.20837,0.086627,0.0683,0.30255,100,2.56237,88.339441,15,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/yolov8n_pytorch_cuda.csv
yolov8n,pytorch_cuda,27,aten::view,pytorch,op,0.006844,0.000223,0.00642,0.00704,250,0.084162,99.779659,16,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/yolov8n_pytorch_cuda.csv
yolov8n,pytorch_cuda,23,aten::transpose,pytorch,op,0.00782,0.000882,0.0071,0.0095,50,0.096164,99.423482,17,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/yolov8n_pytorch_cuda.csv
yolov8n,pytorch_cuda,17,aten::softmax,pytorch,op,0.01292,0.003672,0.0098,0.0195,50,0.15888,98.736056,18,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/yolov8n_pytorch_cuda.csv
yolov8n,pytorch_cuda,4,aten::_softmax,pytorch,op,0.41462,0.165764,0.2642,0.714,50,5.098669,74.813765,19,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/yolov8n_pytorch_cuda.csv
