model,runtime,power_mode,num_runs,model_size_mb,latency_mean_ms,latency_std_ms,latency_min_ms,latency_max_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,fps,memory_gpu_mb,ram_mean_mb,ram_max_mb,ram_min_mb,ram_delta_mb,power_in_mean_mw,power_in_max_mw,power_cpu_mean_mw,power_gpu_mean_mw,gpu_util_mean_pct,cpu_util_mean_pct,temp_cpu_mean_c,temp_gpu_mean_c,wall_time_s,energy_per_inference_mj,co2_per_inference_mg,total_energy_mj,total_co2_mg,source_dir
efficientnet_b0,ncnn_cpu,10w,100,20.09,58.42,1.54,57.21,63.01,57.72,62.48,62.96,17.12,0.31,3553.0,3553.0,3553.0,0.0,5408.08,5703.0,3285.85,161.23,0.0,98.54,41.19,39.81,6.83,315.9444,40.282907,31594.44,4028.2907,efficientnet_b0_10w_20260501_033641
efficientnet_b0,ncnn_cpu,5w,100,20.09,132.79,3.8,128.23,143.09,131.94,140.82,142.18,7.53,0.32,3450.2,3458.0,3449.0,9.0,2734.83,2802.0,929.9,82.0,0.0,48.28,35.03,35.21,15.0,363.1664,46.30371,36316.64,4630.371,efficientnet_b0_5w_20260501_035648
efficientnet_b0,ncnn_vulkan,10w,100,20.09,58.59,1.83,57.16,65.63,57.71,62.6,64.02,17.07,0.0,3550.5,3553.0,3550.0,3.0,5170.13,5662.0,3074.93,161.53,0.0,88.07,40.47,39.37,6.84,302.9128,38.621387,30291.28,3862.1387,efficientnet_b0_10w_20260501_033641
efficientnet_b0,ncnn_vulkan,5w,100,20.09,146.65,6.32,141.97,200.03,145.51,152.48,154.3,6.82,0.06,3446.6,3454.0,3446.0,8.0,2778.65,2843.0,974.9,82.0,0.0,49.02,34.9,35.03,16.71,407.4953,51.955656,40749.53,5195.5656,efficientnet_b0_5w_20260501_035648
efficientnet_b0,onnxrt_cuda,10w,100,20.16,39.75,0.05,39.65,39.94,39.76,39.83,39.88,25.16,0.0,3781.5,3824.0,3690.0,134.0,3867.94,6650.0,908.06,1103.01,37.15,19.27,38.72,39.7,30.86,153.7514,19.603308,15375.14,1960.3308,efficientnet_b0_10w_20260501_033641
efficientnet_b0,onnxrt_cuda,5w,100,20.16,54.85,0.23,54.71,57.08,54.82,54.94,55.19,18.23,0.0,3748.8,3867.0,3692.0,175.0,2735.59,4518.0,463.51,481.61,30.76,22.26,34.22,35.59,49.97,150.0589,19.132511,15005.89,1913.2511,efficientnet_b0_5w_20260501_035648
efficientnet_b0,onnxrt_tensorrt,10w,100,20.16,27.74,0.33,27.47,30.9,27.71,27.82,27.92,36.05,0.0,3736.6,3862.0,3652.0,210.0,3397.12,6320.0,1172.08,550.68,14.96,27.35,38.91,40.01,191.39,94.2269,12.013933,9422.69,1201.3933,efficientnet_b0_10w_20260501_033641
efficientnet_b0,onnxrt_tensorrt,5w,100,20.16,39.18,0.1,39.05,39.87,39.18,39.26,39.51,25.52,0.0,3662.7,3852.0,3535.0,317.0,2424.12,4362.0,537.45,262.96,14.16,26.84,34.63,35.82,288.7,94.9868,12.110814,9498.68,1211.0814,efficientnet_b0_5w_20260501_035648
efficientnet_b0,pytorch_cpu,10w,100,20.33,1096.3,207.26,692.18,1433.69,1101.84,1395.85,1409.92,0.91,17.93,1249.5,1259.0,1104.0,155.0,4889.03,5307.0,3140.1,162.11,0.0,97.16,43.04,41.92,133.29,5359.8578,683.381876,535985.78,68338.1876,efficientnet_b0_10w_20260501_033641
efficientnet_b0,pytorch_cpu,5w,100,20.33,1590.04,278.12,1252.64,2170.58,1509.39,2134.98,2159.87,0.63,15.34,1199.6,1204.0,1052.0,152.0,2525.49,2843.0,884.94,82.0,0.0,49.64,37.11,37.51,184.24,4015.6366,511.993672,401563.66,51199.3672,efficientnet_b0_5w_20260501_035648
