model,runtime,power_mode,num_runs,latency_mean_ms,power_mean_mw,energy_per_inference_mj,total_energy_mj,co2_per_inference_mg,total_co2_mg
efficientnet_b0,ncnn_cpu,10w,100,58.42,5408.08,315.9444,31594.44,40.282907,4028.2907
efficientnet_b0,ncnn_cpu,5w,100,132.79,2734.83,363.1664,36316.64,46.30371,4630.371
efficientnet_b0,ncnn_vulkan,10w,100,58.59,5170.13,302.9128,30291.28,38.621387,3862.1387
efficientnet_b0,ncnn_vulkan,5w,100,146.65,2778.65,407.4953,40749.53,51.955656,5195.5656
efficientnet_b0,onnxrt_cuda,10w,100,39.75,3867.94,153.7514,15375.14,19.603308,1960.3308
efficientnet_b0,onnxrt_cuda,5w,100,54.85,2735.59,150.0589,15005.89,19.132511,1913.2511
efficientnet_b0,onnxrt_tensorrt,10w,100,27.74,3397.12,94.2269,9422.69,12.013933,1201.3933
efficientnet_b0,onnxrt_tensorrt,5w,100,39.18,2424.12,94.9868,9498.68,12.110814,1211.0814
efficientnet_b0,pytorch_cpu,10w,100,1096.3,4889.03,5359.8578,535985.78,683.381876,68338.1876
efficientnet_b0,pytorch_cpu,5w,100,1590.04,2525.49,4015.6366,401563.66,511.993672,51199.3672
efficientnet_b0,pytorch_cuda,10w,100,44.31,3753.81,166.3341,16633.41,21.207597,2120.7597
efficientnet_b0,pytorch_cuda,5w,100,70.96,2587.61,183.6068,18360.68,23.409868,2340.9868
efficientnet_b0,tensorrt_fp16,10w,100,22.09,4270.82,94.3438,9434.38,12.028834,1202.8834
efficientnet_b0,tensorrt_fp16,5w,100,31.03,2978.64,92.4344,9243.44,11.78539,1178.539
efficientnet_b0,tensorrt_fp32,10w,100,27.21,3080.06,83.8141,8381.41,10.686293,1068.6293
efficientnet_b0,tensorrt_fp32,5w,100,39.17,2428.39,95.1249,9512.49,12.128429,1212.8429
efficientnet_b0,tensorrt_int8,10w,100,27.17,5196.11,141.1779,14117.79,18.000178,1800.0178
efficientnet_b0,tensorrt_int8,5w,100,38.22,3334.77,127.4595,12745.95,16.251087,1625.1087
efficientnet_b0,tflite_cpu,10w,100,279.66,3480.41,973.3347,97333.47,124.100171,12410.0171
efficientnet_b0,tflite_cpu,5w,100,447.88,2461.24,1102.3352,110233.52,140.547742,14054.7742
efficientnet_b0,tflite_gpu,10w,100,0,2511.67,0,0,0,0
efficientnet_b0,tflite_gpu,5w,100,0,2167.5,0,0,0,0
mobilenetv3_small,ncnn_cpu,10w,100,9.47,3995.5,37.8334,3783.34,4.82376,482.376
mobilenetv3_small,ncnn_cpu,5w,100,19.11,2879.2,55.0175,5501.75,7.014727,701.4727
mobilenetv3_small,ncnn_vulkan,10w,100,9.42,3913.0,36.8651,3686.51,4.700304,470.0304
mobilenetv3_small,ncnn_vulkan,5w,100,19.29,2642.17,50.9631,5096.31,6.497798,649.7798
mobilenetv3_small,onnxrt_cuda,10w,100,11.11,3016.1,33.5127,3351.27,4.272874,427.2874
mobilenetv3_small,onnxrt_cuda,5w,100,20.49,2588.76,53.0376,5303.76,6.762293,676.2293
