layer_name,layer_type,params,input_shape,output_shape,mean_ms,std_ms,min_ms,max_ms
features.0.0,Conv2d,864,"[1, 3, 224, 224]","[1, 32, 112, 112]",1.4181,0.0139,1.399,1.4499
features.0.1,BatchNorm2d,64,"[1, 32, 112, 112]","[1, 32, 112, 112]",0.635,0.0167,0.621,0.6955
features.0.2,SiLU,0,"[1, 32, 112, 112]","[1, 32, 112, 112]",0.4537,0.0149,0.4409,0.5164
features.1.0.block.0.0,Conv2d,288,"[1, 32, 112, 112]","[1, 32, 112, 112]",1.876,0.0296,1.8492,1.9753
features.1.0.block.0.1,BatchNorm2d,64,"[1, 32, 112, 112]","[1, 32, 112, 112]",0.557,0.0079,0.544,0.5795
features.1.0.block.0.2,SiLU,0,"[1, 32, 112, 112]","[1, 32, 112, 112]",0.4245,0.0171,0.3928,0.4923
features.1.0.block.1.avgpool,AdaptiveAvgPool2d,0,"[1, 32, 112, 112]","[1, 32, 1, 1]",0.3728,0.0239,0.3513,0.4413
features.1.0.block.1.fc1,Conv2d,264,"[1, 32, 1, 1]","[1, 8, 1, 1]",0.7882,0.0419,0.7204,0.8895
features.1.0.block.1.fc2,Conv2d,288,"[1, 8, 1, 1]","[1, 32, 1, 1]",0.6101,0.0435,0.5445,0.7161
features.1.0.block.1.activation,SiLU,0,"[1, 8, 1, 1]","[1, 8, 1, 1]",0.2783,0.0164,0.2494,0.3313
features.1.0.block.1.scale_activation,Sigmoid,0,"[1, 32, 1, 1]","[1, 32, 1, 1]",0.291,0.022,0.2596,0.368
features.1.0.block.2.0,Conv2d,512,"[1, 32, 112, 112]","[1, 16, 112, 112]",1.313,0.0488,1.2444,1.4045
features.1.0.block.2.1,BatchNorm2d,32,"[1, 16, 112, 112]","[1, 16, 112, 112]",0.4507,0.0236,0.4206,0.5204
features.2.0.block.0.0,Conv2d,1536,"[1, 16, 112, 112]","[1, 96, 112, 112]",1.8635,0.0313,1.8224,1.9582
