model,runtime,rank,layer_name,backend,granularity,mean_ms,std_ms,min_ms,max_ms,samples,percent_total_ms,cumulative_percent_ms
efficientnet_b0,onnxrt_cuda,1,session_initialization,onnxruntime,onnx_node,5101.546,0.0,5101.546,5101.546,1,80.212553,80.212553
efficientnet_b0,onnxrt_cuda,2,model_run,onnxruntime,onnx_node,338.545917,2181.824142,53.27,17097.45,60,5.32302,85.535574
efficientnet_b0,onnxrt_cuda,3,SequentialExecutor::Execute,onnxruntime,onnx_node,333.21385,2182.176255,45.073,17094.8,60,5.239183,90.774757
efficientnet_b0,onnxrt_cuda,4,model_loading_uri,onnxruntime,onnx_node,263.261,0.0,263.261,263.261,1,4.139302,94.914058
efficientnet_b0,onnxrt_cuda,5,Conv:/features/features.0/features.0.0/Conv_kernel_time,onnxruntime,onnx_node,47.486833,360.040585,0.479,2813.011,60,0.746644,95.660702
efficientnet_b0,onnxrt_cuda,6,Conv:/features/features.7/features.7.0/block/block.1/block.1.0/Conv_kernel_time,onnxruntime,onnx_node,25.158367,191.572545,0.2,1496.655,60,0.39557,96.056272
efficientnet_b0,onnxrt_cuda,7,Conv:/features/features.6/features.6.3/block/block.1/block.1.0/Conv_kernel_time,onnxruntime,onnx_node,22.445817,170.745125,0.196,1333.964,60,0.35292,96.409192
efficientnet_b0,onnxrt_cuda,8,Conv:/features/features.6/features.6.1/block/block.1/block.1.0/Conv_kernel_time,onnxruntime,onnx_node,22.42195,170.522226,0.195,1332.228,60,0.352544,96.761736
efficientnet_b0,onnxrt_cuda,9,Conv:/features/features.6/features.6.2/block/block.1/block.1.0/Conv_kernel_time,onnxruntime,onnx_node,16.601683,125.867724,0.195,983.41,60,0.261031,97.022768
efficientnet_b0,onnxrt_cuda,10,Conv:/features/features.5/features.5.2/block/block.1/block.1.0/Conv_kernel_time,onnxruntime,onnx_node,14.1672,107.125929,0.189,837.017,60,0.222754,97.245521
efficientnet_b0,onnxrt_cuda,11,Conv:/features/features.5/features.5.1/block/block.1/block.1.0/Conv_kernel_time,onnxruntime,onnx_node,12.862717,97.149738,0.195,759.084,60,0.202243,97.447764
efficientnet_b0,onnxrt_cuda,12,Conv:/features/features.2/features.2.1/block/block.1/block.1.0/Conv_kernel_time,onnxruntime,onnx_node,11.921817,89.786632,0.211,701.586,60,0.187449,97.635213
efficientnet_b0,onnxrt_cuda,13,Conv:/features/features.2/features.2.0/block/block.1/block.1.0/Conv_kernel_time,onnxruntime,onnx_node,11.4269,85.88513,0.157,671.123,60,0.179667,97.81488
efficientnet_b0,onnxrt_cuda,14,Conv:/features/features.1/features.1.0/block/block.0/block.0.0/Conv_kernel_time,onnxruntime,onnx_node,11.182833,83.469873,0.218,652.327,60,0.17583,97.99071
efficientnet_b0,onnxrt_cuda,15,Conv:/features/features.4/features.4.1/block/block.1/block.1.0/Conv_kernel_time,onnxruntime,onnx_node,10.82735,81.481814,0.2,636.701,60,0.17024,98.160951
efficientnet_b0,onnxrt_cuda,16,Conv:/features/features.4/features.4.2/block/block.1/block.1.0/Conv_kernel_time,onnxruntime,onnx_node,10.806917,81.255348,0.195,634.941,60,0.169919,98.33087
efficientnet_b0,onnxrt_cuda,17,Conv:/features/features.5/features.5.0/block/block.1/block.1.0/Conv_kernel_time,onnxruntime,onnx_node,10.354333,77.746444,0.203,607.536,60,0.162803,98.493673
efficientnet_b0,onnxrt_cuda,18,Conv:/features/features.3/features.3.1/block/block.1/block.1.0/Conv_kernel_time,onnxruntime,onnx_node,10.24865,77.013562,0.19,601.801,60,0.161141,98.654814
efficientnet_b0,onnxrt_cuda,19,Conv:/features/features.6/features.6.0/block/block.1/block.1.0/Conv_kernel_time,onnxruntime,onnx_node,5.592267,41.26791,0.197,322.577,60,0.087928,98.742742
efficientnet_b0,onnxrt_cuda,20,Conv:/features/features.3/features.3.0/block/block.1/block.1.0/Conv_kernel_time,onnxruntime,onnx_node,4.761917,34.809805,0.203,272.141,60,0.074873,98.817615
efficientnet_b0,onnxrt_cuda,21,Conv:/features/features.4/features.4.0/block/block.1/block.1.0/Conv_kernel_time,onnxruntime,onnx_node,2.40825,16.791625,0.173,131.387,60,0.037865,98.85548
efficientnet_b0,onnxrt_cuda,22,Conv:/features/features.2/features.2.0/block/block.3/block.3.0/Conv_kernel_time,onnxruntime,onnx_node,1.509483,9.260125,0.244,72.637,60,0.023734,98.879214
efficientnet_b0,onnxrt_cuda,23,Conv:/features/features.2/features.2.0/block/block.0/block.0.0/Conv_kernel_time,onnxruntime,onnx_node,1.503283,7.961881,0.418,62.659,60,0.023636,98.902851
efficientnet_b0,onnxrt_cuda,24,Conv:/features/features.6/features.6.3/block/block.0/block.0.0/Conv_kernel_time,onnxruntime,onnx_node,1.20805,6.751097,0.272,53.062,60,0.018994,98.921845
efficientnet_b0,onnxrt_cuda,25,Conv:/features/features.7/features.7.0/block/block.0/block.0.0/Conv_kernel_time,onnxruntime,onnx_node,1.2079,6.758026,0.274,53.115,60,0.018992,98.940837
efficientnet_b0,onnxrt_cuda,26,Conv:/features/features.6/features.6.2/block/block.0/block.0.0/Conv_kernel_time,onnxruntime,onnx_node,1.2049,6.73895,0.274,52.966,60,0.018945,98.959782
efficientnet_b0,onnxrt_cuda,27,Conv:/features/features.6/features.6.1/block/block.3/block.3.0/Conv_kernel_time,onnxruntime,onnx_node,1.166033,6.443194,0.275,50.655,60,0.018334,98.978116
efficientnet_b0,onnxrt_cuda,28,Conv:/features/features.6/features.6.2/block/block.3/block.3.0/Conv_kernel_time,onnxruntime,onnx_node,1.14885,6.390454,0.275,50.234,60,0.018064,98.996179
efficientnet_b0,onnxrt_cuda,29,Conv:/features/features.6/features.6.3/block/block.3/block.3.0/Conv_kernel_time,onnxruntime,onnx_node,1.14175,6.349313,0.276,49.911,60,0.017952,99.014131
efficientnet_b0,onnxrt_cuda,30,Conv:/features/features.6/features.6.1/block/block.0/block.0.0/Conv_kernel_time,onnxruntime,onnx_node,1.13905,6.807027,0.221,53.424,60,0.017909,99.032041
efficientnet_b0,onnxrt_cuda,31,Conv:/features/features.2/features.2.0/block/block.2/fc1/Conv_kernel_time,onnxruntime,onnx_node,0.986383,5.483096,0.239,43.102,60,0.015509,99.04755
efficientnet_b0,onnxrt_cuda,32,Conv:/features/features.5/features.5.1/block/block.0/block.0.0/Conv_kernel_time,onnxruntime,onnx_node,0.942233,4.820892,0.27,37.97,60,0.014815,99.062365
