model,runtime,rank,layer_name,backend,granularity,mean_ms,std_ms,min_ms,max_ms,samples,percent_total_ms,cumulative_percent_ms
efficientnet_b0,tensorrt_fp16,1,/features/features.3/features.3.0/block/block.1/block.1.0/Conv,tensorrt,trt_layer,116.432171,891.003175,0.420364,6960.357422,60,77.058282,77.058282
efficientnet_b0,tensorrt_fp16,2,/features/features.1/features.1.0/block/block.1/fc1/Conv,tensorrt,trt_layer,1.526147,11.584949,0.016614,90.511826,60,1.01005,78.068331
efficientnet_b0,tensorrt_fp16,3,/features/features.2/features.2.0/block/block.1/block.1.0/Conv,tensorrt,trt_layer,1.246488,0.783449,1.073594,7.203541,60,0.824963,78.893294
efficientnet_b0,tensorrt_fp16,4,/features/features.2/features.2.0/block/block.0/block.0.0/Conv,tensorrt,trt_layer,1.100737,0.815182,0.970261,7.299948,60,0.728501,79.621795
efficientnet_b0,tensorrt_fp16,5,"PWN(PWN(/features/features.2/features.2.0/block/block.0/block.0.2/Sigmoid), /features/features.2/features.2.0/block/block.0/block.0.2/Mul)",tensorrt,trt_layer,0.988859,0.776634,0.868958,6.89224,60,0.654456,80.276251
efficientnet_b0,tensorrt_fp16,6,"PWN(PWN(/features/features.2/features.2.1/block/block.2/scale_activation/Sigmoid), /features/features.2/features.2.1/block/block.2/Mul)",tensorrt,trt_layer,0.84299,0.144649,0.81349,1.618073,60,0.557916,80.834167
efficientnet_b0,tensorrt_fp16,7,/features/features.1/features.1.0/block/block.0/block.0.0/Conv,tensorrt,trt_layer,0.780071,0.563161,0.671979,5.063333,60,0.516274,81.350441
efficientnet_b0,tensorrt_fp16,8,/features/features.2/features.2.1/block/block.1/block.1.0/Conv,tensorrt,trt_layer,0.749498,0.111972,0.704584,1.347708,60,0.49604,81.846481
efficientnet_b0,tensorrt_fp16,9,/features/features.0/features.0.0/Conv,tensorrt,trt_layer,0.645613,0.381316,0.553646,3.535937,60,0.427286,82.273767
efficientnet_b0,tensorrt_fp16,10,/features/features.3/features.3.0/block/block.2/fc1/Conv,tensorrt,trt_layer,0.644974,4.819868,0.016666,37.667084,60,0.426863,82.70063
efficientnet_b0,tensorrt_fp16,11,"PWN(PWN(/features/features.2/features.2.0/block/block.2/scale_activation/Sigmoid), /features/features.2/features.2.0/block/block.2/Mul)",tensorrt,trt_layer,0.630707,0.495515,0.555521,4.398021,60,0.417421,83.118051
efficientnet_b0,tensorrt_fp16,12,"PWN(PWN(/features/features.1/features.1.0/block/block.1/scale_activation/Sigmoid), /features/features.1/features.1.0/block/block.1/Mul)",tensorrt,trt_layer,0.557931,0.436639,0.490677,3.877291,60,0.369255,83.487306
efficientnet_b0,tensorrt_fp16,13,/features/features.2/features.2.1/block/block.0/block.0.0/Conv,tensorrt,trt_layer,0.549267,0.410568,0.483906,3.670886,60,0.363521,83.850828
efficientnet_b0,tensorrt_fp16,14,/features/features.6/features.6.3/block/block.1/block.1.0/Conv,tensorrt,trt_layer,0.542558,0.065167,0.525573,1.032604,60,0.359081,84.209909
efficientnet_b0,tensorrt_fp16,15,/features/features.6/features.6.1/block/block.1/block.1.0/Conv,tensorrt,trt_layer,0.542275,0.066792,0.526198,1.045104,60,0.358894,84.568803
efficientnet_b0,tensorrt_fp16,16,/features/features.6/features.6.2/block/block.1/block.1.0/Conv,tensorrt,trt_layer,0.541898,0.064539,0.527031,1.026979,60,0.358644,84.927447
efficientnet_b0,tensorrt_fp16,17,/features/features.1/features.1.0/block/block.2/block.2.0/Conv,tensorrt,trt_layer,0.505341,0.369845,0.443542,3.316615,60,0.33445,85.261897
efficientnet_b0,tensorrt_fp16,18,/features/features.3/features.3.1/block/block.1/block.1.0/Conv,tensorrt,trt_layer,0.486756,0.354915,0.425521,3.211771,60,0.32215,85.584046
efficientnet_b0,tensorrt_fp16,19,/features/features.5/features.5.1/block/block.1/block.1.0/Conv,tensorrt,trt_layer,0.472908,0.056508,0.458385,0.896458,60,0.312985,85.897031
efficientnet_b0,tensorrt_fp16,20,/features/features.5/features.5.2/block/block.1/block.1.0/Conv,tensorrt,trt_layer,0.472517,0.05732,0.457865,0.90177,60,0.312726,86.209757
efficientnet_b0,tensorrt_fp16,21,"Reformatting CopyNode for Input Tensor 0 to PWN(PWN(/features/features.3/features.3.0/block/block.0/block.0.2/Sigmoid), /features/features.3/features.3.0/block/block.0/block.0.2/Mul)",tensorrt,trt_layer,0.471835,0.059293,0.46125,0.918021,60,0.312274,86.522031
efficientnet_b0,tensorrt_fp16,22,/features/features.8/features.8.0/Conv,tensorrt,trt_layer,0.460043,0.055084,0.443593,0.874062,60,0.30447,86.826501
efficientnet_b0,tensorrt_fp16,23,/features/features.7/features.7.0/block/block.1/block.1.0/Conv,tensorrt,trt_layer,0.446148,0.054717,0.433333,0.858177,60,0.295274,87.121775
efficientnet_b0,tensorrt_fp16,24,/features/features.3/features.3.0/block/block.0/block.0.0/Conv,tensorrt,trt_layer,0.381901,0.044991,0.37125,0.719844,60,0.252753,87.374529
efficientnet_b0,tensorrt_fp16,25,/features/features.6/features.6.0/block/block.2/avgpool/GlobalAveragePool,tensorrt,trt_layer,0.377247,2.684705,0.026511,20.998854,60,0.249673,87.624202
efficientnet_b0,tensorrt_fp16,26,"PWN(PWN(/features/features.3/features.3.0/block/block.0/block.0.2/Sigmoid), /features/features.3/features.3.0/block/block.0/block.0.2/Mul)",tensorrt,trt_layer,0.366597,0.045953,0.357761,0.712448,60,0.242625,87.866827
efficientnet_b0,tensorrt_fp16,27,/features/features.6/features.6.0/block/block.1/block.1.0/Conv,tensorrt,trt_layer,0.364207,0.042874,0.351354,0.686562,60,0.241043,88.10787
efficientnet_b0,tensorrt_fp16,28,"PWN(PWN(/features/features.3/features.3.1/block/block.2/scale_activation/Sigmoid), /features/features.3/features.3.1/block/block.2/Mul)",tensorrt,trt_layer,0.357002,0.281414,0.318229,2.517709,60,0.236275,88.344145
efficientnet_b0,tensorrt_fp16,29,/features/features.2/features.2.1/block/block.3/block.3.0/Conv + /features/features.2/features.2.1/Add,tensorrt,trt_layer,0.349755,0.046073,0.33526,0.634323,60,0.231478,88.575623
efficientnet_b0,tensorrt_fp16,30,/features/features.5/features.5.0/block/block.1/block.1.0/Conv,tensorrt,trt_layer,0.34564,0.041516,0.335312,0.656979,60,0.228755,88.804378
efficientnet_b0,tensorrt_fp16,31,"PWN(PWN(/features/features.2/features.2.1/block/block.1/block.1.2/Sigmoid), /features/features.2/features.2.1/block/block.1/block.1.2/Mul)",tensorrt,trt_layer,0.338463,0.057676,0.325833,0.648073,60,0.224005,89.028383
efficientnet_b0,tensorrt_fp16,32,"PWN(PWN(/features/features.2/features.2.1/block/block.0/block.0.2/Sigmoid), /features/features.2/features.2.1/block/block.0/block.0.2/Mul)",tensorrt,trt_layer,0.336084,0.163728,0.308542,1.557396,60,0.22243,89.250813
efficientnet_b0,tensorrt_fp16,33,"PWN(PWN(/features/features.1/features.1.0/block/block.0/block.0.2/Sigmoid), /features/features.1/features.1.0/block/block.0/block.0.2/Mul)",tensorrt,trt_layer,0.324831,0.253252,0.28526,2.250105,60,0.214983,89.465796
efficientnet_b0,tensorrt_fp16,34,"PWN(PWN(/features/features.0/features.0.2/Sigmoid), /features/features.0/features.0.2/Mul)",tensorrt,trt_layer,0.31809,0.247033,0.279271,2.196042,60,0.210521,89.676317
efficientnet_b0,tensorrt_fp16,35,/features/features.7/features.7.0/block/block.3/block.3.0/Conv,tensorrt,trt_layer,0.315417,0.034158,0.300521,0.572709,60,0.208752,89.88507
efficientnet_b0,tensorrt_fp16,36,/features/features.4/features.4.1/block/block.1/block.1.0/Conv,tensorrt,trt_layer,0.303997,0.233807,0.270833,2.099167,60,0.201194,90.086264
efficientnet_b0,tensorrt_fp16,37,/features/features.4/features.4.2/block/block.1/block.1.0/Conv,tensorrt,trt_layer,0.303869,0.232356,0.27099,2.087917,60,0.20111,90.287374
