model,runtime,rank,layer_name,backend,granularity,mean_ms,std_ms,min_ms,max_ms,samples,percent_total_ms,cumulative_percent_ms
efficientnet_b0,tensorrt_int8,1,/features/features.6/features.6.0/block/block.1/block.1.0/Conv,tensorrt,trt_layer,35.082189,264.787778,0.580468,2068.955566,60,46.688046,46.688046
efficientnet_b0,tensorrt_int8,2,/features/features.3/features.3.1/block/block.1/block.1.0/Conv,tensorrt,trt_layer,1.430896,0.550451,1.313854,5.251615,60,1.904264,48.59231
efficientnet_b0,tensorrt_int8,3,/features/features.5/features.5.1/block/block.1/block.1.0/Conv,tensorrt,trt_layer,1.347306,0.516525,1.239791,4.931355,60,1.793021,50.385331
efficientnet_b0,tensorrt_int8,4,/features/features.5/features.5.2/block/block.1/block.1.0/Conv,tensorrt,trt_layer,1.298274,0.238835,1.24026,2.475209,60,1.727768,52.113098
efficientnet_b0,tensorrt_int8,5,/features/features.2/features.2.0/block/block.1/block.1.0/Conv,tensorrt,trt_layer,1.225164,0.46002,1.08224,4.352396,60,1.630472,53.74357
efficientnet_b0,tensorrt_int8,6,/features/features.3/features.3.0/block/block.1/block.1.0/Conv,tensorrt,trt_layer,1.154014,0.420438,1.034063,4.127864,60,1.535784,55.279354
efficientnet_b0,tensorrt_int8,7,/features/features.2/features.2.0/block/block.0/block.0.0/Conv,tensorrt,trt_layer,1.081734,0.516415,0.972343,4.669375,60,1.439592,56.718946
efficientnet_b0,tensorrt_int8,8,/features/features.5/features.5.0/block/block.1/block.1.0/Conv,tensorrt,trt_layer,0.964708,0.369696,0.887396,3.528646,60,1.283852,58.002798
efficientnet_b0,tensorrt_int8,9,"PWN(PWN(/features/features.2/features.2.0/block/block.0/block.0.2/Sigmoid), /features/features.2/features.2.0/block/block.0/block.0.2/Mul)",tensorrt,trt_layer,0.955849,0.388959,0.869218,3.454948,60,1.272062,59.27486
efficientnet_b0,tensorrt_int8,10,/features/features.6/features.6.1/block/block.1/block.1.0/Conv,tensorrt,trt_layer,0.896733,0.220477,0.839896,2.178593,60,1.193389,60.468249
efficientnet_b0,tensorrt_int8,11,/features/features.8/features.8.0/Conv,tensorrt,trt_layer,0.891247,0.232438,0.833021,2.209271,60,1.186089,61.654338
efficientnet_b0,tensorrt_int8,12,"PWN(PWN(/features/features.2/features.2.1/block/block.2/scale_activation/Sigmoid), /features/features.2/features.2.1/block/block.2/Mul)",tensorrt,trt_layer,0.885859,0.338446,0.814167,3.232865,60,1.178918,62.833256
efficientnet_b0,tensorrt_int8,13,/features/features.6/features.6.2/block/block.1/block.1.0/Conv,tensorrt,trt_layer,0.885028,0.198314,0.840521,2.184271,60,1.177812,64.011068
efficientnet_b0,tensorrt_int8,14,/features/features.6/features.6.3/block/block.1/block.1.0/Conv,tensorrt,trt_layer,0.884646,0.198806,0.839011,2.181146,60,1.177304,65.188372
efficientnet_b0,tensorrt_int8,15,/features/features.1/features.1.0/block/block.0/block.0.0/Conv,tensorrt,trt_layer,0.794729,0.566193,0.671146,4.982969,60,1.057641,66.246013
efficientnet_b0,tensorrt_int8,16,/features/features.2/features.2.1/block/block.1/block.1.0/Conv,tensorrt,trt_layer,0.784909,0.289094,0.706823,2.654688,60,1.044572,67.290584
efficientnet_b0,tensorrt_int8,17,/features/features.0/features.0.0/Conv,tensorrt,trt_layer,0.657703,0.377826,0.55349,3.45,60,0.875284,68.165868
efficientnet_b0,tensorrt_int8,18,"PWN(PWN(/features/features.2/features.2.0/block/block.2/scale_activation/Sigmoid), /features/features.2/features.2.0/block/block.2/Mul)",tensorrt,trt_layer,0.611693,0.24822,0.556406,2.206146,60,0.814053,68.979921
efficientnet_b0,tensorrt_int8,19,"PWN(PWN(/features/features.1/features.1.0/block/block.1/scale_activation/Sigmoid), /features/features.1/features.1.0/block/block.1/Mul)",tensorrt,trt_layer,0.571606,0.447445,0.49073,3.883803,60,0.760704,69.740625
efficientnet_b0,tensorrt_int8,20,/features/features.6/features.6.1/block/block.0/block.0.0/Conv,tensorrt,trt_layer,0.536179,0.141321,0.490261,1.275885,60,0.713557,70.454182
efficientnet_b0,tensorrt_int8,21,/features/features.2/features.2.1/block/block.0/block.0.0/Conv,tensorrt,trt_layer,0.532549,0.205334,0.48474,1.849532,60,0.708726,71.162909
efficientnet_b0,tensorrt_int8,22,/features/features.3/features.3.0/block/block.0/block.0.0/Conv,tensorrt,trt_layer,0.528119,0.195545,0.484323,1.892708,60,0.702831,71.865739
efficientnet_b0,tensorrt_int8,23,"PWN(PWN(/features/features.3/features.3.1/block/block.2/scale_activation/Sigmoid), /features/features.3/features.3.1/block/block.2/Mul)",tensorrt,trt_layer,0.524236,0.19989,0.481562,1.909531,60,0.697663,72.563403
efficientnet_b0,tensorrt_int8,24,/features/features.7/features.7.0/block/block.0/block.0.0/Conv,tensorrt,trt_layer,0.522502,0.117044,0.484167,1.277031,60,0.695356,73.258758
efficientnet_b0,tensorrt_int8,25,/features/features.6/features.6.2/block/block.0/block.0.0/Conv,tensorrt,trt_layer,0.521441,0.114349,0.486458,1.269323,60,0.693944,73.952702
efficientnet_b0,tensorrt_int8,26,/features/features.7/features.7.0/block/block.1/block.1.0/Conv,tensorrt,trt_layer,0.521275,0.119922,0.493594,1.304427,60,0.693723,74.646425
efficientnet_b0,tensorrt_int8,27,/features/features.6/features.6.3/block/block.0/block.0.0/Conv,tensorrt,trt_layer,0.521208,0.119185,0.485469,1.2975,60,0.693634,75.340058
efficientnet_b0,tensorrt_int8,28,/features/features.1/features.1.0/block/block.2/block.2.0/Conv,tensorrt,trt_layer,0.518641,0.392077,0.444896,3.428906,60,0.690217,76.030276
efficientnet_b0,tensorrt_int8,29,/features/features.6/features.6.3/block/block.3/block.3.0/Conv + /features/features.6/features.6.3/Add,tensorrt,trt_layer,0.48735,0.122626,0.452552,1.167344,60,0.648575,76.67885
efficientnet_b0,tensorrt_int8,30,/features/features.7/features.7.0/block/block.3/block.3.0/Conv,tensorrt,trt_layer,0.484672,0.109387,0.449167,1.141667,60,0.645011,77.323861
efficientnet_b0,tensorrt_int8,31,/features/features.6/features.6.1/block/block.3/block.3.0/Conv + /features/features.6/features.6.1/Add,tensorrt,trt_layer,0.483497,0.106693,0.451093,1.158958,60,0.643447,77.967308
efficientnet_b0,tensorrt_int8,32,/features/features.6/features.6.2/block/block.3/block.3.0/Conv + /features/features.6/features.6.2/Add,tensorrt,trt_layer,0.482705,0.107144,0.453073,1.186146,60,0.642393,78.609701
efficientnet_b0,tensorrt_int8,33,/features/features.5/features.5.1/block/block.0/block.0.0/Conv,tensorrt,trt_layer,0.431337,0.158601,0.389896,1.529114,60,0.574032,79.183733
efficientnet_b0,tensorrt_int8,34,/classifier/classifier.1/Gemm,tensorrt,trt_layer,0.424516,0.101747,0.381823,1.137084,60,0.564954,79.748687
efficientnet_b0,tensorrt_int8,35,/features/features.5/features.5.2/block/block.0/block.0.0/Conv,tensorrt,trt_layer,0.419128,0.084163,0.391666,0.793593,60,0.557784,80.30647
efficientnet_b0,tensorrt_int8,36,/features/features.6/features.6.0/block/block.0/block.0.0/Conv,tensorrt,trt_layer,0.414932,0.074086,0.392656,0.783698,60,0.552199,80.858669
efficientnet_b0,tensorrt_int8,37,/features/features.4/features.4.2/block/block.1/block.1.0/Conv,tensorrt,trt_layer,0.393768,0.155048,0.36,1.478645,60,0.524034,81.382703
