model,runtime,group_index,group_key,group_label,group_type,mean_ms,power_gpu_mw,power_total_mw,ops
resnet50,onnxrt_cpu,1,conv1,01. conv1 [conv],conv,28.9701,0.0,0.0,3
resnet50,onnxrt_cpu,2,maxpool,02. maxpool [pool],pool,3.58,0.0,0.0,3
resnet50,onnxrt_cpu,3,layer1/layer1.0/conv1,03. layer1/layer1.0/conv1 [conv],conv,3.4645,0.0,0.0,3
resnet50,onnxrt_cpu,4,layer1/layer1.0/conv2,04. layer1/layer1.0/conv2 [conv],conv,26.0024,0.0,0.0,2
resnet50,onnxrt_cpu,5,layer1/layer1.0/downsample/downsample.0,05. layer1/layer1.0/downsample/downsample.0 [conv],conv,11.403699999999999,0.0,0.0,3
resnet50,onnxrt_cpu,6,layer1/layer1.0/conv3,06. layer1/layer1.0/conv3 [conv],conv,14.040899999999999,0.0,0.0,3
resnet50,onnxrt_cpu,7,layer1/layer1.1/conv1,07. layer1/layer1.1/conv1 [conv],conv,12.918,0.0,0.0,2
resnet50,onnxrt_cpu,8,layer1/layer1.1/conv2,08. layer1/layer1.1/conv2 [conv],conv,26.127,0.0,0.0,3
resnet50,onnxrt_cpu,9,layer1/layer1.1/conv3,09. layer1/layer1.1/conv3 [conv],conv,14.2181,0.0,0.0,3
resnet50,onnxrt_cpu,10,layer1/layer1.2/conv1,10. layer1/layer1.2/conv1 [conv],conv,13.0596,0.0,0.0,2
resnet50,onnxrt_cpu,11,layer1/layer1.2/conv2,11. layer1/layer1.2/conv2 [conv],conv,26.2625,0.0,0.0,2
resnet50,onnxrt_cpu,12,layer1/layer1.2/conv3,12. layer1/layer1.2/conv3 [conv],conv,13.8651,0.0,0.0,3
resnet50,onnxrt_cpu,13,layer2/layer2.0/conv1,13. layer2/layer2.0/conv1 [conv],conv,23.029799999999998,0.0,0.0,2
resnet50,onnxrt_cpu,14,layer2/layer2.0/conv2,14. layer2/layer2.0/conv2 [conv],conv,26.1457,0.0,0.0,2
resnet50,onnxrt_cpu,15,layer2/layer2.0/downsample/downsample.0,15. layer2/layer2.0/downsample/downsample.0 [conv],conv,22.2384,0.0,0.0,3
resnet50,onnxrt_cpu,16,layer2/layer2.0/conv3,16. layer2/layer2.0/conv3 [conv],conv,12.2255,0.0,0.0,2
resnet50,onnxrt_cpu,17,layer2/layer2.1/conv1,17. layer2/layer2.1/conv1 [conv],conv,11.4725,0.0,0.0,2
resnet50,onnxrt_cpu,18,layer2/layer2.1/conv2,18. layer2/layer2.1/conv2 [conv],conv,24.5077,0.0,0.0,2
resnet50,onnxrt_cpu,19,layer2/layer2.1/conv3,19. layer2/layer2.1/conv3 [conv],conv,12.2045,0.0,0.0,3
resnet50,onnxrt_cpu,20,layer2/layer2.2/conv1,20. layer2/layer2.2/conv1 [conv],conv,11.4277,0.0,0.0,2
resnet50,onnxrt_cpu,21,layer2/layer2.2/conv2,21. layer2/layer2.2/conv2 [conv],conv,24.8351,0.0,0.0,3
resnet50,onnxrt_cpu,22,layer2/layer2.2/conv3,22. layer2/layer2.2/conv3 [conv],conv,12.460799999999999,0.0,0.0,3
resnet50,onnxrt_cpu,23,layer2/layer2.3/conv1,23. layer2/layer2.3/conv1 [conv],conv,11.9499,0.0,0.0,2
resnet50,onnxrt_cpu,24,layer2/layer2.3/conv2,24. layer2/layer2.3/conv2 [conv],conv,25.5066,0.0,0.0,2
resnet50,onnxrt_cpu,25,layer2/layer2.3/conv3,25. layer2/layer2.3/conv3 [conv],conv,12.477599999999999,0.0,0.0,3
