model,runtime,group_index,group_key,group_label,group_type,mean_ms,power_gpu_mw,power_total_mw,ops
shufflenetv2,onnxrt_cpu,1,conv1/conv1.0,01. conv1/conv1.0 [conv],conv,3.1238,0.0,0.0,3
shufflenetv2,onnxrt_cpu,2,maxpool,02. maxpool [pool],pool,1.2046999999999999,0.0,0.0,3
shufflenetv2,onnxrt_cpu,3,stage2/stage2.0/branch1/branch1.0,03. stage2/stage2.0/branch1/branch1.0 [conv],conv,1.0165,0.0,0.0,3
shufflenetv2,onnxrt_cpu,4,stage2/stage2.0/branch1/branch1.2,04. stage2/stage2.0/branch1/branch1.2 [conv],conv,0.4017,0.0,0.0,1
shufflenetv2,onnxrt_cpu,5,stage2/stage2.0/branch2/branch2.0,05. stage2/stage2.0/branch2/branch2.0 [conv],conv,1.468,0.0,0.0,2
shufflenetv2,onnxrt_cpu,6,stage2/stage2.0/branch2/branch2.3,06. stage2/stage2.0/branch2/branch2.3 [conv],conv,2.2553,0.0,0.0,2
shufflenetv2,onnxrt_cpu,7,stage2/stage2.0/branch2/branch2.5,07. stage2/stage2.0/branch2/branch2.5 [conv],conv,0.7422,0.0,0.0,1
shufflenetv2,onnxrt_cpu,8,stage2/stage2.0,08. stage2/stage2.0 [concat/split-shape-Shape-Gather],concat/split-shape-Shape-Gather,1.0534999999999999,0.0,0.0,24
shufflenetv2,onnxrt_cpu,9,stage2/stage2.1,09. stage2/stage2.1 [eltwise-concat/split-shape-Shape],eltwise-concat/split-shape-Shape,1.4449,0.0,0.0,33
shufflenetv2,onnxrt_cpu,10,stage2/stage2.1/branch2/branch2.0,10. stage2/stage2.1/branch2/branch2.0 [conv],conv,0.773,0.0,0.0,2
shufflenetv2,onnxrt_cpu,11,stage2/stage2.1/branch2/branch2.3,11. stage2/stage2.1/branch2/branch2.3 [conv],conv,1.1047,0.0,0.0,2
shufflenetv2,onnxrt_cpu,12,stage2/stage2.1/branch2/branch2.5,12. stage2/stage2.1/branch2/branch2.5 [conv],conv,0.7657,0.0,0.0,1
shufflenetv2,onnxrt_cpu,13,stage2/stage2.2,13. stage2/stage2.2 [eltwise-concat/split-shape-Shape],eltwise-concat/split-shape-Shape,1.4158,0.0,0.0,33
shufflenetv2,onnxrt_cpu,14,stage2/stage2.2/branch2/branch2.0,14. stage2/stage2.2/branch2/branch2.0 [conv],conv,0.7413,0.0,0.0,1
shufflenetv2,onnxrt_cpu,15,stage2/stage2.2/branch2/branch2.3,15. stage2/stage2.2/branch2/branch2.3 [conv],conv,1.134,0.0,0.0,1
shufflenetv2,onnxrt_cpu,16,stage2/stage2.2/branch2/branch2.5,16. stage2/stage2.2/branch2/branch2.5 [conv],conv,0.7349,0.0,0.0,2
shufflenetv2,onnxrt_cpu,17,stage2/stage2.3,17. stage2/stage2.3 [eltwise-concat/split-shape-Shape],eltwise-concat/split-shape-Shape,1.4174999999999998,0.0,0.0,31
shufflenetv2,onnxrt_cpu,18,stage2/stage2.3/branch2/branch2.0,18. stage2/stage2.3/branch2/branch2.0 [conv],conv,0.8196,0.0,0.0,1
shufflenetv2,onnxrt_cpu,19,stage2/stage2.3/branch2/branch2.3,19. stage2/stage2.3/branch2/branch2.3 [conv],conv,1.129,0.0,0.0,1
shufflenetv2,onnxrt_cpu,20,stage2/stage2.3/branch2/branch2.5,20. stage2/stage2.3/branch2/branch2.5 [conv],conv,0.7001,0.0,0.0,1
shufflenetv2,onnxrt_cpu,21,stage3/stage3.0/branch1/branch1.0,21. stage3/stage3.0/branch1/branch1.0 [conv],conv,1.2691,0.0,0.0,1
shufflenetv2,onnxrt_cpu,22,stage3/stage3.0/branch1/branch1.2,22. stage3/stage3.0/branch1/branch1.2 [conv],conv,0.8229,0.0,0.0,2
shufflenetv2,onnxrt_cpu,23,stage3/stage3.0/branch2/branch2.0,23. stage3/stage3.0/branch2/branch2.0 [conv],conv,2.3352000000000004,0.0,0.0,2
shufflenetv2,onnxrt_cpu,24,stage3/stage3.0/branch2/branch2.3,24. stage3/stage3.0/branch2/branch2.3 [conv],conv,1.2718,0.0,0.0,1
shufflenetv2,onnxrt_cpu,25,stage3/stage3.0/branch2/branch2.5,25. stage3/stage3.0/branch2/branch2.5 [conv],conv,0.696,0.0,0.0,1
shufflenetv2,onnxrt_cpu,26,stage3/stage3.0,26. stage3/stage3.0 [concat/split-shape-Shape-Gather],concat/split-shape-Shape-Gather,0.9137,0.0,0.0,24
