layer_index,layer_name,type,module_repr,input_shape,output_shape,param_count,trainable_param_count,in_channels,out_channels,kernel_size,stride,padding,dilation,groups,bias,calls,mean_ms,std_ms,min_ms,max_ms,p50_ms,p95_ms,power_gpu_mw,power_total_mw,timestamp
1,features.0.0,Conv2d,"Conv2d(3, 32, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1), bias=False)",1x3x224x224,1x32x112x112,864,864,3,32,3x3,2x2,1x1,1x1,1,False,100,9.207374,3.411611,5.946785,28.080874,8.691007,12.319499,0,0,1777278500.7483106
2,features.0.1,BatchNorm2d,"BatchNorm2d(32, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x32x112x112,1x32x112x112,64,64,,,,,,,,True,100,1.068384,0.780092,0.745483,4.598633,0.762698,1.772267,0,0,1777278500.749145
3,features.0.2,SiLU,SiLU(inplace=True),1x32x112x112,1x32x112x112,0,0,,,,,,,,False,100,9.924277,3.037468,6.515338,14.970715,10.470912,13.80863,0,0,1777278500.7635612
4,features.1.0.block.0.0,Conv2d,"Conv2d(32, 32, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=32, bias=False)",1x32x112x112,1x32x112x112,288,288,32,32,3x3,1x1,1x1,1x1,32,False,100,23.744706,7.303823,15.014831,59.797082,19.870241,32.726967,0,0,1777278500.791714
5,features.1.0.block.0.1,BatchNorm2d,"BatchNorm2d(32, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x32x112x112,1x32x112x112,64,64,,,,,,,,True,100,1.527498,1.635971,0.745744,8.661631,0.76137,5.388493,0,0,1777278500.7925746
6,features.1.0.block.0.2,SiLU,SiLU(inplace=True),1x32x112x112,1x32x112x112,0,0,,,,,,,,False,100,9.256632,2.875234,5.552924,17.648947,10.018039,13.629785,0,0,1777278500.8064642
7,features.1.0.block.1.avgpool,AdaptiveAvgPool2d,AdaptiveAvgPool2d(output_size=1),1x32x112x112,1x32x1x1,0,0,,,,,,,,False,100,2.775293,2.268236,0.62397,7.034307,1.542349,5.886393,0,0,1777278500.8071961
8,features.1.0.block.1.fc1,Conv2d,"Conv2d(32, 8, kernel_size=(1, 1), stride=(1, 1))",1x32x1x1,1x8x1x1,264,264,32,8,1x1,1x1,0x0,1x1,1,True,100,0.399676,0.988331,0.248026,7.48989,0.255187,0.299956,0,0,1777278500.8075237
9,features.1.0.block.1.activation,SiLU,SiLU(inplace=True),1x8x1x1,1x8x1x1,0,0,,,,,,,,False,100,0.069547,0.004006,0.065731,0.104429,0.069272,0.072093,0,0,1777278500.8076618
10,features.1.0.block.1.fc2,Conv2d,"Conv2d(8, 32, kernel_size=(1, 1), stride=(1, 1))",1x8x1x1,1x32x1x1,288,288,8,32,1x1,1x1,0x0,1x1,1,True,100,0.245201,0.736298,0.161149,7.570672,0.1693,0.185262,0,0,1777278500.8079321
11,features.1.0.block.1.scale_activation,Sigmoid,Sigmoid(),1x32x1x1,1x32x1x1,0,0,,,,,,,,False,100,0.066506,0.012476,0.061199,0.189691,0.065366,0.067663,0,0,1777278500.8080597
12,features.1.0.block.2.0,Conv2d,"Conv2d(32, 16, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x32x112x112,1x16x112x112,512,512,32,16,1x1,1x1,0x0,1x1,1,False,100,3.784152,2.541557,1.978998,13.97054,2.096474,9.048272,0,0,1777278500.8169043
13,features.1.0.block.2.1,BatchNorm2d,"BatchNorm2d(16, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x16x112x112,1x16x112x112,32,32,,,,,,,,True,100,0.785759,0.626286,0.512093,3.248451,0.525765,2.691237,0,0,1777278500.8174837
14,features.2.0.block.0.0,Conv2d,"Conv2d(16, 96, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x16x112x112,1x96x112x112,1536,1536,16,96,1x1,1x1,0x0,1x1,1,False,100,7.812218,2.41,5.09531,11.000429,6.914982,10.843071,0,0,1777278500.8283865
15,features.2.0.block.0.1,BatchNorm2d,"BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x96x112x112,1x96x112x112,192,192,,,,,,,,True,100,2.568833,1.500613,1.73915,8.836895,1.819724,5.892521,0,0,1777278500.8320577
16,features.2.0.block.0.2,SiLU,SiLU(inplace=True),1x96x112x112,1x96x112x112,0,0,,,,,,,,False,100,13.229799,3.164794,8.185111,19.38971,13.365605,17.273753,0,0,1777278500.8482304
17,features.2.0.block.1.0,Conv2d,"Conv2d(96, 96, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1), groups=96, bias=False)",1x96x112x112,1x96x56x56,864,864,96,96,3x3,2x2,1x1,1x1,96,False,100,68.089137,16.548891,47.583452,110.259654,75.863366,85.369558,0,0,1777278500.928184
18,features.2.0.block.1.1,BatchNorm2d,"BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x96x56x56,1x96x56x56,192,192,,,,,,,,True,100,1.179983,1.012687,0.637877,7.448065,0.675768,2.442458,0,0,1777278500.9289048
19,features.2.0.block.1.2,SiLU,SiLU(inplace=True),1x96x56x56,1x96x56x56,0,0,,,,,,,,False,100,3.931151,1.942942,2.00702,9.771341,2.907479,8.225925,0,0,1777278500.9311957
20,features.2.0.block.2.avgpool,AdaptiveAvgPool2d,AdaptiveAvgPool2d(output_size=1),1x96x56x56,1x96x1x1,0,0,,,,,,,,False,100,1.774382,1.5778,0.534698,9.478314,1.188878,4.653796,0,0,1777278500.9359105
21,features.2.0.block.2.fc1,Conv2d,"Conv2d(96, 4, kernel_size=(1, 1), stride=(1, 1))",1x96x1x1,1x4x1x1,388,388,96,4,1x1,1x1,0x0,1x1,1,True,100,0.301137,0.446053,0.242141,4.737178,0.252791,0.297636,0,0,1777278500.9362404
22,features.2.0.block.2.activation,SiLU,SiLU(inplace=True),1x4x1x1,1x4x1x1,0,0,,,,,,,,False,100,0.069135,0.013715,0.064012,0.195108,0.067007,0.070781,0,0,1777278500.9363797
23,features.2.0.block.2.fc2,Conv2d,"Conv2d(4, 96, kernel_size=(1, 1), stride=(1, 1))",1x4x1x1,1x96x1x1,480,480,4,96,1x1,1x1,0x0,1x1,1,True,100,0.243522,0.57972,0.163962,5.919701,0.171124,0.226072,0,0,1777278500.936598
24,features.2.0.block.2.scale_activation,Sigmoid,Sigmoid(),1x96x1x1,1x96x1x1,0,0,,,,,,,,False,100,0.069994,0.008457,0.062553,0.124065,0.068569,0.079184,0,0,1777278500.9367266
25,features.2.0.block.3.0,Conv2d,"Conv2d(96, 24, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x96x56x56,1x24x56x56,2304,2304,96,24,1x1,1x1,0x0,1x1,1,False,100,3.91463,2.089483,2.082125,11.357831,3.981928,7.852271,0,0,1777278500.9425695
26,features.2.0.block.3.1,BatchNorm2d,"BatchNorm2d(24, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x24x56x56,1x24x56x56,48,48,,,,,,,,True,100,0.672141,1.167514,0.359539,10.984386,0.369382,1.145612,0,0,1777278500.9429998
27,features.2.1.block.0.0,Conv2d,"Conv2d(24, 144, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x24x56x56,1x144x56x56,3456,3456,24,144,1x1,1x1,0x0,1x1,1,False,100,4.129635,1.60222,2.586093,8.778873,3.11337,5.871183,0,0,1777278500.948913
28,features.2.1.block.0.1,BatchNorm2d,"BatchNorm2d(144, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x144x56x56,1x144x56x56,288,288,,,,,,,,True,100,1.317144,0.953201,0.801109,4.577383,0.869418,3.958863,0,0,1777278500.949812
29,features.2.1.block.0.2,SiLU,SiLU(inplace=True),1x144x56x56,1x144x56x56,0,0,,,,,,,,False,100,4.969257,2.813469,3.077197,24.376894,3.556321,7.921489,0,0,1777278500.9533908
