layer_name,type,mean_ms,power_gpu_mw,power_total_mw,timestamp
[04/28/2026-13:26:53] [I] Sleep time,TensorRTLayer,0.0,0,0,
[04/28/2026-13:27:17] [I] Average on 10 runs - GPU latency,TensorRTLayer,37.6972,0,0,
[04/28/2026-13:27:17] [I] Average on 10 runs - GPU latency,TensorRTLayer,37.6907,0,0,
[04/28/2026-13:27:17] [I] Average on 10 runs - GPU latency,TensorRTLayer,37.6847,0,0,
[04/28/2026-13:27:17] [I] Average on 10 runs - GPU latency,TensorRTLayer,37.6948,0,0,
[04/28/2026-13:27:17] [I] Average on 10 runs - GPU latency,TensorRTLayer,37.719,0,0,
[04/28/2026-13:27:17] [I] Average on 10 runs - GPU latency,TensorRTLayer,37.6999,0,0,
[04/28/2026-13:27:17] [I] Average on 10 runs - GPU latency,TensorRTLayer,37.697,0,0,
[04/28/2026-13:27:17] [I] Average on 10 runs - GPU latency,TensorRTLayer,37.704,0,0,
[04/28/2026-13:27:17] [I] Average on 10 runs - GPU latency,TensorRTLayer,37.6475,0,0,
[04/28/2026-13:27:17] [I] Average on 10 runs - GPU latency,TensorRTLayer,37.7003,0,0,
[04/28/2026-13:27:31] [I],TensorRTLayer,1.6,0,0,
[04/28/2026-13:27:31] [I],TensorRTLayer,0.7,0,0,
[04/28/2026-13:27:31] [I],TensorRTLayer,1.8,0,0,
[04/28/2026-13:27:31] [I],TensorRTLayer,0.7,0,0,
[04/28/2026-13:27:31] [I],TensorRTLayer,0.5,0,0,
[04/28/2026-13:27:31] [I],TensorRTLayer,0.0,0,0,
[04/28/2026-13:27:31] [I],TensorRTLayer,0.0,0,0,
[04/28/2026-13:27:31] [I],TensorRTLayer,0.1,0,0,
[04/28/2026-13:27:31] [I],TensorRTLayer,1.3,0,0,
[04/28/2026-13:27:31] [I],TensorRTLayer,1.2,0,0,
[04/28/2026-13:27:31] [I],TensorRTLayer,2.6,0,0,
[04/28/2026-13:27:31] [I],TensorRTLayer,2.3,0,0,
[04/28/2026-13:27:31] [I],TensorRTLayer,3.0,0,0,
[04/28/2026-13:27:31] [I],TensorRTLayer,0.6,0,0,
