layer_index,layer_name,type,module_repr,input_shape,output_shape,param_count,trainable_param_count,in_channels,out_channels,kernel_size,stride,padding,dilation,groups,bias,calls,mean_ms,std_ms,min_ms,max_ms,p50_ms,p95_ms,power_gpu_mw,power_total_mw,timestamp
1,features.0.0,Conv2d,"Conv2d(3, 16, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1), bias=False)",1x3x224x224,1x16x112x112,432,432,3,16,3x3,2x2,1x1,1x1,1,False,100,7.375195,2.096274,4.880868,11.134522,6.304644,10.57097,0,0,1777275166.7968647
2,features.0.1,BatchNorm2d,"BatchNorm2d(16, eps=0.001, momentum=0.01, affine=True, track_running_stats=True)",1x16x112x112,1x16x112x112,32,32,,,,,,,,True,100,0.788262,0.549542,0.525791,3.130681,0.544151,2.589588,0,0,1777275166.799556
3,features.0.2,Hardswish,Hardswish(),1x16x112x112,1x16x112x112,0,0,,,,,,,,False,100,1.377538,0.550148,1.074134,3.014012,1.083691,2.416759,0,0,1777275166.801982
4,features.1.block.0.0,Conv2d,"Conv2d(16, 16, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1), groups=16, bias=False)",1x16x112x112,1x16x56x56,144,144,16,16,3x3,2x2,1x1,1x1,16,False,100,10.357438,3.481474,6.955645,22.701289,7.823838,15.117265,0,0,1777275166.8166132
5,features.1.block.0.1,BatchNorm2d,"BatchNorm2d(16, eps=0.001, momentum=0.01, affine=True, track_running_stats=True)",1x16x56x56,1x16x56x56,32,32,,,,,,,,True,100,0.478937,0.564505,0.289744,5.475723,0.30248,1.000865,0,0,1777275166.817651
6,features.1.block.0.2,ReLU,ReLU(inplace=True),1x16x56x56,1x16x56x56,0,0,,,,,,,,False,100,0.243167,0.358103,0.150315,3.655482,0.157946,0.419973,0,0,1777275166.8181186
7,features.1.block.1.avgpool,AdaptiveAvgPool2d,AdaptiveAvgPool2d(output_size=1),1x16x56x56,1x16x1x1,0,0,,,,,,,,False,100,0.3953,0.563496,0.259536,5.854583,0.274067,0.620829,0,0,1777275166.8188396
8,features.1.block.1.fc1,Conv2d,"Conv2d(16, 8, kernel_size=(1, 1), stride=(1, 1))",1x16x1x1,1x8x1x1,136,136,16,8,1x1,1x1,0x0,1x1,1,True,100,0.225936,0.019537,0.208806,0.384747,0.222113,0.258546,0,0,1777275166.8191245
9,features.1.block.1.activation,ReLU,ReLU(),1x8x1x1,1x8x1x1,0,0,,,,,,,,False,100,0.075511,0.006202,0.071511,0.117554,0.074584,0.079115,0,0,1777275166.819268
10,features.1.block.1.fc2,Conv2d,"Conv2d(8, 16, kernel_size=(1, 1), stride=(1, 1))",1x8x1x1,1x16x1x1,144,144,8,16,1x1,1x1,0x0,1x1,1,True,100,0.186548,0.157497,0.155471,1.418046,0.161852,0.203179,0,0,1777275166.819489
11,features.1.block.1.scale_activation,Hardsigmoid,Hardsigmoid(),1x16x1x1,1x16x1x1,0,0,,,,,,,,False,100,0.072396,0.007828,0.066147,0.117033,0.071043,0.075851,0,0,1777275166.8196185
12,features.1.block.2.0,Conv2d,"Conv2d(16, 16, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x16x56x56,1x16x56x56,256,256,16,16,1x1,1x1,0x0,1x1,1,False,100,1.406329,1.838436,0.40157,7.483831,0.474384,5.948859,0,0,1777275166.8213773
13,features.1.block.2.1,BatchNorm2d,"BatchNorm2d(16, eps=0.001, momentum=0.01, affine=True, track_running_stats=True)",1x16x56x56,1x16x56x56,32,32,,,,,,,,True,100,0.399581,0.39587,0.249588,3.842985,0.272375,0.815033,0,0,1777275166.8225346
14,features.2.block.0.0,Conv2d,"Conv2d(16, 72, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x16x56x56,1x72x56x56,1152,1152,16,72,1x1,1x1,0x0,1x1,1,False,100,1.867532,0.781599,1.138405,3.533656,1.481745,3.11191,0,0,1777275166.8252492
15,features.2.block.0.1,BatchNorm2d,"BatchNorm2d(72, eps=0.001, momentum=0.01, affine=True, track_running_stats=True)",1x72x56x56,1x72x56x56,144,144,,,,,,,,True,100,1.157126,0.595405,0.543186,3.937778,1.10476,2.294333,0,0,1777275166.8264637
16,features.2.block.0.2,ReLU,ReLU(inplace=True),1x72x56x56,1x72x56x56,0,0,,,,,,,,False,100,0.447561,0.165087,0.340735,0.929756,0.361412,0.772428,0,0,1777275166.8272603
17,features.2.block.1.0,Conv2d,"Conv2d(72, 72, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1), groups=72, bias=False)",1x72x56x56,1x72x28x28,648,648,72,72,3x3,2x2,1x1,1x1,72,False,100,17.145507,6.30331,12.008287,44.854235,13.350862,25.930437,0,0,1777275166.8543162
18,features.2.block.1.1,BatchNorm2d,"BatchNorm2d(72, eps=0.001, momentum=0.01, affine=True, track_running_stats=True)",1x72x28x28,1x72x28x28,144,144,,,,,,,,True,100,0.572261,0.686406,0.317505,6.614128,0.342845,1.157051,0,0,1777275166.8556275
19,features.2.block.1.2,ReLU,ReLU(inplace=True),1x72x28x28,1x72x28x28,0,0,,,,,,,,False,100,0.299961,0.773534,0.15417,7.911495,0.165784,0.462995,0,0,1777275166.8563292
20,features.2.block.2.0,Conv2d,"Conv2d(72, 24, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x72x28x28,1x24x28x28,1728,1728,72,24,1x1,1x1,0x0,1x1,1,False,100,1.177073,1.147297,0.544281,6.414385,0.577667,3.761989,0,0,1777275166.858507
21,features.2.block.2.1,BatchNorm2d,"BatchNorm2d(24, eps=0.001, momentum=0.01, affine=True, track_running_stats=True)",1x24x28x28,1x24x28x28,48,48,,,,,,,,True,100,0.346711,0.270045,0.208754,1.399972,0.225004,1.179057,0,0,1777275166.8589132
22,features.3.block.0.0,Conv2d,"Conv2d(24, 88, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x24x28x28,1x88x28x28,2112,2112,24,88,1x1,1x1,0x0,1x1,1,False,100,1.148918,0.759843,0.545426,2.901822,0.782462,2.788959,0,0,1777275166.8603983
23,features.3.block.0.1,BatchNorm2d,"BatchNorm2d(88, eps=0.001, momentum=0.01, affine=True, track_running_stats=True)",1x88x28x28,1x88x28x28,176,176,,,,,,,,True,100,0.624636,0.561445,0.256619,2.829738,0.487196,1.461992,0,0,1777275166.8610876
