layer_index,layer_name,type,module_repr,input_shape,output_shape,param_count,trainable_param_count,in_channels,out_channels,kernel_size,stride,padding,dilation,groups,bias,calls,mean_ms,std_ms,min_ms,max_ms,p50_ms,p95_ms,power_gpu_mw,power_total_mw,timestamp
1,features.0.0,Conv2d,"Conv2d(3, 16, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1), bias=False)",1x3x224x224,1x16x112x112,432,432,3,16,3x3,2x2,1x1,1x1,1,False,100,1.118215,0.042264,1.07424,1.359975,1.104579,1.187635,0,0,1777375198.8604612
2,features.0.1,BatchNorm2d,"BatchNorm2d(16, eps=0.001, momentum=0.01, affine=True, track_running_stats=True)",1x16x112x112,1x16x112x112,32,32,,,,,,,,True,100,0.451088,0.036396,0.419957,0.61022,0.436102,0.532401,0,0,1777375198.8610423
3,features.0.2,Hardswish,Hardswish(),1x16x112x112,1x16x112x112,0,0,,,,,,,,False,100,0.263142,0.026453,0.237817,0.426362,0.253573,0.322939,0,0,1777375198.8614233
4,features.1.block.0.0,Conv2d,"Conv2d(16, 16, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1), groups=16, bias=False)",1x16x112x112,1x16x56x56,144,144,16,16,3x3,2x2,1x1,1x1,16,False,100,0.440129,0.016501,0.39006,0.510583,0.438837,0.463736,0,0,1777375198.862027
5,features.1.block.0.1,BatchNorm2d,"BatchNorm2d(16, eps=0.001, momentum=0.01, affine=True, track_running_stats=True)",1x16x56x56,1x16x56x56,32,32,,,,,,,,True,100,0.400253,0.030847,0.369017,0.526729,0.386518,0.458814,0,0,1777375198.862528
6,features.1.block.0.2,ReLU,ReLU(inplace=True),1x16x56x56,1x16x56x56,0,0,,,,,,,,False,100,0.263045,0.040332,0.23766,0.579543,0.248755,0.315577,0,0,1777375198.8628953
7,features.1.block.1.avgpool,AdaptiveAvgPool2d,AdaptiveAvgPool2d(output_size=1),1x16x56x56,1x16x1x1,0,0,,,,,,,,False,100,0.307092,0.04769,0.279016,0.590377,0.290683,0.369807,0,0,1777375198.8633282
8,features.1.block.1.fc1,Conv2d,"Conv2d(16, 8, kernel_size=(1, 1), stride=(1, 1))",1x16x1x1,1x8x1x1,136,136,16,8,1x1,1x1,0x0,1x1,1,True,100,0.739574,0.062477,0.681732,1.000801,0.712436,0.844693,0,0,1777375198.8642247
9,features.1.block.1.activation,ReLU,ReLU(),1x8x1x1,1x8x1x1,0,0,,,,,,,,False,100,0.272721,0.035768,0.247401,0.528969,0.258781,0.326387,0,0,1777375198.8646286
10,features.1.block.1.fc2,Conv2d,"Conv2d(8, 16, kernel_size=(1, 1), stride=(1, 1))",1x8x1x1,1x16x1x1,144,144,8,16,1x1,1x1,0x0,1x1,1,True,100,0.602748,0.04014,0.556417,0.737827,0.588058,0.674715,0,0,1777375198.8653328
